symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ABNB,5m,1729073400000,2024-10-16T10:10:00+00:00,133.03,133.03,133.03,133.03,350,1729073699999,2024-10-16T10:14:59.999000+00:00,,49,,
ABNB,5m,1729077300000,2024-10-16T11:15:00+00:00,133.57,133.57,133.57,133.57,539,1729077599999,2024-10-16T11:19:59.999000+00:00,,19,,
ABNB,5m,1729077600000,2024-10-16T11:20:00+00:00,133.84,133.84,133.84,133.84,200,1729077899999,2024-10-16T11:24:59.999000+00:00,,3,,
ABNB,5m,1729078200000,2024-10-16T11:30:00+00:00,133.94,134,133.94,134,1646,1729078499999,2024-10-16T11:34:59.999000+00:00,,38,,
ABNB,5m,1729079100000,2024-10-16T11:45:00+00:00,134.11,134.12,133.95,134.12,2773,1729079399999,2024-10-16T11:49:59.999000+00:00,,38,,
ABNB,5m,1729080000000,2024-10-16T12:00:00+00:00,134.12,134.2987,133.609,134.1195,2106,1729080299999,2024-10-16T12:04:59.999000+00:00,,22,,
ABNB,5m,1729081500000,2024-10-16T12:25:00+00:00,134.01,134.01,134,134.01,673,1729081799999,2024-10-16T12:29:59.999000+00:00,,15,,
ABNB,5m,1729082400000,2024-10-16T12:40:00+00:00,134.05,134.05,134.05,134.05,100,1729082699999,2024-10-16T12:44:59.999000+00:00,,1,,
ABNB,5m,1729082700000,2024-10-16T12:45:00+00:00,134.3988,134.3988,134.3988,134.3988,220,1729082999999,2024-10-16T12:49:59.999000+00:00,,4,,
ABNB,5m,1729084800000,2024-10-16T13:20:00+00:00,134,134,134,134,425,1729085099999,2024-10-16T13:24:59.999000+00:00,,10,,
ABNB,5m,1729085100000,2024-10-16T13:25:00+00:00,134.44,134.63,134.44,134.5,1208,1729085399999,2024-10-16T13:29:59.999000+00:00,,18,,
ABNB,5m,1729085400000,2024-10-16T13:30:00+00:00,134.73,137.395,134.32,136.7,300566,1729085699999,2024-10-16T13:34:59.999000+00:00,,3057,,
ABNB,5m,1729085700000,2024-10-16T13:35:00+00:00,136.66,137.1,135.55,135.6456,94679,1729085999999,2024-10-16T13:39:59.999000+00:00,,1650,,
ABNB,5m,1729086000000,2024-10-16T13:40:00+00:00,135.715,135.77,135.29,135.59,40454,1729086299999,2024-10-16T13:44:59.999000+00:00,,940,,
ABNB,5m,1729086300000,2024-10-16T13:45:00+00:00,135.59,135.65,135.04,135.2,67152,1729086599999,2024-10-16T13:49:59.999000+00:00,,1124,,
ABNB,5m,1729086600000,2024-10-16T13:50:00+00:00,135.2,135.23,134.92,135.02,76895,1729086899999,2024-10-16T13:54:59.999000+00:00,,1167,,
ABNB,5m,1729086900000,2024-10-16T13:55:00+00:00,134.97,135.8,134.83,135.8,133898,1729087199999,2024-10-16T13:59:59.999000+00:00,,1333,,
ABNB,5m,1729087200000,2024-10-16T14:00:00+00:00,135.77,136.15,135.59,136.1182,56736,1729087499999,2024-10-16T14:04:59.999000+00:00,,968,,
ABNB,5m,1729087500000,2024-10-16T14:05:00+00:00,136.17,136.58,136.0501,136.58,34059,1729087799999,2024-10-16T14:09:59.999000+00:00,,677,,
ABNB,5m,1729087800000,2024-10-16T14:10:00+00:00,136.58,137.1596,136.545,137.1009,102442,1729088099999,2024-10-16T14:14:59.999000+00:00,,1435,,
ABNB,5m,1729088100000,2024-10-16T14:15:00+00:00,137.0724,137.11,136.425,136.64,47479,1729088399999,2024-10-16T14:19:59.999000+00:00,,914,,
ABNB,5m,1729088400000,2024-10-16T14:20:00+00:00,136.675,136.76,136.3,136.3305,44669,1729088699999,2024-10-16T14:24:59.999000+00:00,,763,,
ABNB,5m,1729088700000,2024-10-16T14:25:00+00:00,136.23,136.42,135.86,135.935,35003,1729088999999,2024-10-16T14:29:59.999000+00:00,,727,,
ABNB,5m,1729089000000,2024-10-16T14:30:00+00:00,135.98,136.136,135.73,136,47220,1729089299999,2024-10-16T14:34:59.999000+00:00,,920,,
ABNB,5m,1729089300000,2024-10-16T14:35:00+00:00,136,136,135.17,135.28,32386,1729089599999,2024-10-16T14:39:59.999000+00:00,,749,,
ABNB,5m,1729089600000,2024-10-16T14:40:00+00:00,135.2899,135.2899,134.61,134.855,40590,1729089899999,2024-10-16T14:44:59.999000+00:00,,982,,
ABNB,5m,1729089900000,2024-10-16T14:45:00+00:00,134.875,135.12,134.74,135.02,55191,1729090199999,2024-10-16T14:49:59.999000+00:00,,942,,
ABNB,5m,1729090200000,2024-10-16T14:50:00+00:00,134.95,135.4098,134.9228,135,41706,1729090499999,2024-10-16T14:54:59.999000+00:00,,743,,
ABNB,5m,1729090500000,2024-10-16T14:55:00+00:00,135.01,135.0856,134.81,134.98,42725,1729090799999,2024-10-16T14:59:59.999000+00:00,,679,,
ABNB,5m,1729090800000,2024-10-16T15:00:00+00:00,134.98,135.205,134.86,135.1699,45842,1729091099999,2024-10-16T15:04:59.999000+00:00,,826,,
ABNB,5m,1729091100000,2024-10-16T15:05:00+00:00,135.04,135.04,134.77,134.97,27056,1729091399999,2024-10-16T15:09:59.999000+00:00,,691,,
ABNB,5m,1729091400000,2024-10-16T15:10:00+00:00,134.975,135.11,134.94,135.065,21518,1729091699999,2024-10-16T15:14:59.999000+00:00,,604,,
ABNB,5m,1729091700000,2024-10-16T15:15:00+00:00,135.07,135.1,134.78,134.85,22860,1729091999999,2024-10-16T15:19:59.999000+00:00,,552,,
ABNB,5m,1729092000000,2024-10-16T15:20:00+00:00,134.84,135.0799,134.82,134.82,32906,1729092299999,2024-10-16T15:24:59.999000+00:00,,625,,
ABNB,5m,1729092300000,2024-10-16T15:25:00+00:00,134.87,134.984,134.775,134.9569,31830,1729092599999,2024-10-16T15:29:59.999000+00:00,,605,,
ABNB,5m,1729092600000,2024-10-16T15:30:00+00:00,134.984,134.995,134.78,134.92,29017,1729092899999,2024-10-16T15:34:59.999000+00:00,,697,,
ABNB,5m,1729092900000,2024-10-16T15:35:00+00:00,134.895,135.0097,134.84,134.97,18392,1729093199999,2024-10-16T15:39:59.999000+00:00,,433,,
ABNB,5m,1729093200000,2024-10-16T15:40:00+00:00,134.97,135.2856,134.95,135,30171,1729093499999,2024-10-16T15:44:59.999000+00:00,,621,,
ABNB,5m,1729093500000,2024-10-16T15:45:00+00:00,134.97,134.97,134.67,134.76,42416,1729093799999,2024-10-16T15:49:59.999000+00:00,,709,,
ABNB,5m,1729093800000,2024-10-16T15:50:00+00:00,134.75,134.8,134.44,134.645,36658,1729094099999,2024-10-16T15:54:59.999000+00:00,,680,,
ABNB,5m,1729094100000,2024-10-16T15:55:00+00:00,134.645,135.1,134.64,135.0126,26716,1729094399999,2024-10-16T15:59:59.999000+00:00,,605,,
ABNB,5m,1729094400000,2024-10-16T16:00:00+00:00,135.02,135.05,134.74,134.9,42476,1729094699999,2024-10-16T16:04:59.999000+00:00,,650,,
ABNB,5m,1729094700000,2024-10-16T16:05:00+00:00,134.885,134.885,134.55,134.75,23546,1729094999999,2024-10-16T16:09:59.999000+00:00,,480,,
ABNB,5m,1729095000000,2024-10-16T16:10:00+00:00,134.76,134.7677,134.48,134.53,16218,1729095299999,2024-10-16T16:14:59.999000+00:00,,348,,
ABNB,5m,1729095300000,2024-10-16T16:15:00+00:00,134.525,134.61,134.5001,134.57,14237,1729095599999,2024-10-16T16:19:59.999000+00:00,,353,,
ABNB,5m,1729095600000,2024-10-16T16:20:00+00:00,134.57,134.7,134.565,134.68,15076,1729095899999,2024-10-16T16:24:59.999000+00:00,,301,,
ABNB,5m,1729095900000,2024-10-16T16:25:00+00:00,134.71,134.755,134.61,134.63,21960,1729096199999,2024-10-16T16:29:59.999000+00:00,,533,,
ABNB,5m,1729096200000,2024-10-16T16:30:00+00:00,134.61,135.2,134.61,135.08,135489,1729096499999,2024-10-16T16:34:59.999000+00:00,,819,,
ABNB,5m,1729096500000,2024-10-16T16:35:00+00:00,135.05,135.05,134.84,134.92,24576,1729096799999,2024-10-16T16:39:59.999000+00:00,,499,,
ABNB,5m,1729096800000,2024-10-16T16:40:00+00:00,134.925,134.95,134.89,134.915,10850,1729097099999,2024-10-16T16:44:59.999000+00:00,,331,,
ABNB,5m,1729097100000,2024-10-16T16:45:00+00:00,134.91,134.91,134.74,134.77,20153,1729097399999,2024-10-16T16:49:59.999000+00:00,,489,,
ABNB,5m,1729097400000,2024-10-16T16:50:00+00:00,134.77,135.06,134.7604,135.03,12629,1729097699999,2024-10-16T16:54:59.999000+00:00,,354,,
ABNB,5m,1729097700000,2024-10-16T16:55:00+00:00,135.03,135.29,135.025,135.26,19807,1729097999999,2024-10-16T16:59:59.999000+00:00,,530,,
ABNB,5m,1729098000000,2024-10-16T17:00:00+00:00,135.28,135.39,135.08,135.1,31696,1729098299999,2024-10-16T17:04:59.999000+00:00,,665,,
