symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ABT,5m,1729065600000,2024-10-16T08:00:00+00:00,116.9,116.9,116.5,116.5,328,1729065899999,2024-10-16T08:04:59.999000+00:00,,6,,
ABT,5m,1729076400000,2024-10-16T11:00:00+00:00,116.46,116.6,116.3,116.3,1909,1729076699999,2024-10-16T11:04:59.999000+00:00,,22,,
ABT,5m,1729077000000,2024-10-16T11:10:00+00:00,116.2,116.2,116.2,116.2,2000,1729077299999,2024-10-16T11:14:59.999000+00:00,,5,,
ABT,5m,1729078200000,2024-10-16T11:30:00+00:00,116.49,116.83,116.49,116.78,3358,1729078499999,2024-10-16T11:34:59.999000+00:00,,46,,
ABT,5m,1729078500000,2024-10-16T11:35:00+00:00,116.4,116.4,115.7,115.7,2309,1729078799999,2024-10-16T11:39:59.999000+00:00,,39,,
ABT,5m,1729078800000,2024-10-16T11:40:00+00:00,115.91,115.91,115.91,115.91,100,1729079099999,2024-10-16T11:44:59.999000+00:00,,1,,
ABT,5m,1729079100000,2024-10-16T11:45:00+00:00,115.7,115.7,115.7,115.7,1269,1729079399999,2024-10-16T11:49:59.999000+00:00,,28,,
ABT,5m,1729079400000,2024-10-16T11:50:00+00:00,115.8,115.8,115.7,115.7,950,1729079699999,2024-10-16T11:54:59.999000+00:00,,12,,
ABT,5m,1729080000000,2024-10-16T12:00:00+00:00,116.49,117.0599,115.554,115.75,8263,1729080299999,2024-10-16T12:04:59.999000+00:00,,109,,
ABT,5m,1729080300000,2024-10-16T12:05:00+00:00,116,116.33,115.5,116.18,14776,1729080599999,2024-10-16T12:09:59.999000+00:00,,127,,
ABT,5m,1729080600000,2024-10-16T12:10:00+00:00,116.08,116.08,114.74,114.9,10734,1729080899999,2024-10-16T12:14:59.999000+00:00,,185,,
ABT,5m,1729080900000,2024-10-16T12:15:00+00:00,114.9,114.9,114.31,114.31,8919,1729081199999,2024-10-16T12:19:59.999000+00:00,,125,,
ABT,5m,1729081200000,2024-10-16T12:20:00+00:00,114.8,114.85,114.8,114.85,14046,1729081499999,2024-10-16T12:24:59.999000+00:00,,39,,
ABT,5m,1729081500000,2024-10-16T12:25:00+00:00,114.85,114.85,114.85,114.85,25000,1729081799999,2024-10-16T12:29:59.999000+00:00,,2,,
ABT,5m,1729082100000,2024-10-16T12:35:00+00:00,115.5,115.5,114.85,114.85,888,1729082399999,2024-10-16T12:39:59.999000+00:00,,69,,
ABT,5m,1729082400000,2024-10-16T12:40:00+00:00,115,115,115,115,250,1729082699999,2024-10-16T12:44:59.999000+00:00,,4,,
ABT,5m,1729082700000,2024-10-16T12:45:00+00:00,114.86,115,114.85,114.9,4736,1729082999999,2024-10-16T12:49:59.999000+00:00,,45,,
ABT,5m,1729083000000,2024-10-16T12:50:00+00:00,114.88,115,114.88,115,1283,1729083299999,2024-10-16T12:54:59.999000+00:00,,27,,
ABT,5m,1729083600000,2024-10-16T13:00:00+00:00,115.38,115.38,115.38,115.38,131,1729083899999,2024-10-16T13:04:59.999000+00:00,,5,,
ABT,5m,1729083900000,2024-10-16T13:05:00+00:00,115.5,115.5,115.5,115.5,362,1729084199999,2024-10-16T13:09:59.999000+00:00,,18,,
ABT,5m,1729084200000,2024-10-16T13:10:00+00:00,115.78,116.5,115.78,116.5,7451,1729084499999,2024-10-16T13:14:59.999000+00:00,,89,,
ABT,5m,1729084500000,2024-10-16T13:15:00+00:00,116.44,116.44,116.05,116.05,675,1729084799999,2024-10-16T13:19:59.999000+00:00,,24,,
ABT,5m,1729084800000,2024-10-16T13:20:00+00:00,116.37,116.5,116.2,116.5,4885,1729085099999,2024-10-16T13:24:59.999000+00:00,,36,,
ABT,5m,1729085100000,2024-10-16T13:25:00+00:00,116.49,118.71,116.49,118.71,6283,1729085399999,2024-10-16T13:29:59.999000+00:00,,149,,
ABT,5m,1729085400000,2024-10-16T13:30:00+00:00,118.01,118.92,117,117.5375,383172,1729085699999,2024-10-16T13:34:59.999000+00:00,,3696,,
ABT,5m,1729085700000,2024-10-16T13:35:00+00:00,117.42,117.48,116.64,117,246696,1729085999999,2024-10-16T13:39:59.999000+00:00,,3951,,
ABT,5m,1729086000000,2024-10-16T13:40:00+00:00,117.02,117.86,116.64,117.835,310423,1729086299999,2024-10-16T13:44:59.999000+00:00,,3256,,
ABT,5m,1729086300000,2024-10-16T13:45:00+00:00,117.71,118.385,117.69,117.95,154185,1729086599999,2024-10-16T13:49:59.999000+00:00,,2630,,
ABT,5m,1729086600000,2024-10-16T13:50:00+00:00,117.94,118.58,117.86,118.015,240005,1729086899999,2024-10-16T13:54:59.999000+00:00,,3355,,
ABT,5m,1729086900000,2024-10-16T13:55:00+00:00,118.015,118.58,118.015,118.5,192245,1729087199999,2024-10-16T13:59:59.999000+00:00,,2381,,
ABT,5m,1729087200000,2024-10-16T14:00:00+00:00,118.49,118.84,118.3901,118.41,134642,1729087499999,2024-10-16T14:04:59.999000+00:00,,2229,,
ABT,5m,1729087500000,2024-10-16T14:05:00+00:00,118.44,118.75,118.35,118.615,87264,1729087799999,2024-10-16T14:09:59.999000+00:00,,1668,,
ABT,5m,1729087800000,2024-10-16T14:10:00+00:00,118.65,118.94,118.58,118.8912,80147,1729088099999,2024-10-16T14:14:59.999000+00:00,,1615,,
ABT,5m,1729088100000,2024-10-16T14:15:00+00:00,118.87,119.24,118.78,119.21,220240,1729088399999,2024-10-16T14:19:59.999000+00:00,,2289,,
ABT,5m,1729088400000,2024-10-16T14:20:00+00:00,119.21,119.52,118.98,119.14,131488,1729088699999,2024-10-16T14:24:59.999000+00:00,,1988,,
ABT,5m,1729088700000,2024-10-16T14:25:00+00:00,119.11,119.29,118.945,119.06,80955,1729088999999,2024-10-16T14:29:59.999000+00:00,,1152,,
ABT,5m,1729089000000,2024-10-16T14:30:00+00:00,119.03,119.18,118.75,118.9005,145690,1729089299999,2024-10-16T14:34:59.999000+00:00,,1369,,
ABT,5m,1729089300000,2024-10-16T14:35:00+00:00,118.87,118.95,118.7348,118.81,64664,1729089599999,2024-10-16T14:39:59.999000+00:00,,1186,,
ABT,5m,1729089600000,2024-10-16T14:40:00+00:00,118.81,118.99,118.65,118.96,61415,1729089899999,2024-10-16T14:44:59.999000+00:00,,1096,,
ABT,5m,1729089900000,2024-10-16T14:45:00+00:00,118.95,118.96,118.43,118.43,79571,1729090199999,2024-10-16T14:49:59.999000+00:00,,1084,,
ABT,5m,1729090200000,2024-10-16T14:50:00+00:00,118.45,118.5294,118.32,118.42,57500,1729090499999,2024-10-16T14:54:59.999000+00:00,,1134,,
ABT,5m,1729090500000,2024-10-16T14:55:00+00:00,118.43,118.5,117.66,117.75,189034,1729090799999,2024-10-16T14:59:59.999000+00:00,,1435,,
ABT,5m,1729090800000,2024-10-16T15:00:00+00:00,117.74,117.74,117.25,117.382,103546,1729091099999,2024-10-16T15:04:59.999000+00:00,,1676,,
ABT,5m,1729091100000,2024-10-16T15:05:00+00:00,117.375,117.51,117.195,117.245,56528,1729091399999,2024-10-16T15:09:59.999000+00:00,,1105,,
ABT,5m,1729091400000,2024-10-16T15:10:00+00:00,117.21,117.6225,117.05,117.515,37542,1729091699999,2024-10-16T15:14:59.999000+00:00,,683,,
ABT,5m,1729091700000,2024-10-16T15:15:00+00:00,117.48,117.525,117.02,117.16,39539,1729091999999,2024-10-16T15:19:59.999000+00:00,,756,,
ABT,5m,1729092000000,2024-10-16T15:20:00+00:00,117.16,117.28,117.11,117.25,33854,1729092299999,2024-10-16T15:24:59.999000+00:00,,779,,
ABT,5m,1729092300000,2024-10-16T15:25:00+00:00,117.26,117.66,117.2,117.54,45772,1729092599999,2024-10-16T15:29:59.999000+00:00,,807,,
ABT,5m,1729092600000,2024-10-16T15:30:00+00:00,117.49,117.52,117.3107,117.43,38783,1729092899999,2024-10-16T15:34:59.999000+00:00,,786,,
ABT,5m,1729092900000,2024-10-16T15:35:00+00:00,117.47,117.61,117.38,117.52,30331,1729093199999,2024-10-16T15:39:59.999000+00:00,,761,,
ABT,5m,1729093200000,2024-10-16T15:40:00+00:00,117.54,117.85,117.53,117.85,35653,1729093499999,2024-10-16T15:44:59.999000+00:00,,750,,
ABT,5m,1729093500000,2024-10-16T15:45:00+00:00,117.87,118.0716,117.84,117.88,44514,1729093799999,2024-10-16T15:49:59.999000+00:00,,1047,,
ABT,5m,1729093800000,2024-10-16T15:50:00+00:00,117.84,117.84,117.59,117.7624,28701,1729094099999,2024-10-16T15:54:59.999000+00:00,,696,,
ABT,5m,1729094100000,2024-10-16T15:55:00+00:00,117.78,117.89,117.66,117.885,37849,1729094399999,2024-10-16T15:59:59.999000+00:00,,743,,
ABT,5m,1729094400000,2024-10-16T16:00:00+00:00,117.9038,118.27,117.885,118.26,31416,1729094699999,2024-10-16T16:04:59.999000+00:00,,619,,
ABT,5m,1729094700000,2024-10-16T16:05:00+00:00,118.28,118.45,118.24,118.24,40880,1729094999999,2024-10-16T16:09:59.999000+00:00,,755,,
ABT,5m,1729095000000,2024-10-16T16:10:00+00:00,118.238,118.27,118.03,118.08,30306,1729095299999,2024-10-16T16:14:59.999000+00:00,,561,,
ABT,5m,1729095300000,2024-10-16T16:15:00+00:00,118.06,118.14,118,118.07,25763,1729095599999,2024-10-16T16:19:59.999000+00:00,,549,,
ABT,5m,1729095600000,2024-10-16T16:20:00+00:00,118.1,118.14,118.04,118.09,41515,1729095899999,2024-10-16T16:24:59.999000+00:00,,787,,
ABT,5m,1729095900000,2024-10-16T16:25:00+00:00,118.085,118.15,118.04,118.12,50928,1729096199999,2024-10-16T16:29:59.999000+00:00,,882,,
ABT,5m,1729096200000,2024-10-16T16:30:00+00:00,118.112,118.185,117.925,118.185,61656,1729096499999,2024-10-16T16:34:59.999000+00:00,,977,,
ABT,5m,1729096500000,2024-10-16T16:35:00+00:00,118.195,118.4,118.195,118.22,39765,1729096799999,2024-10-16T16:39:59.999000+00:00,,781,,
