symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ACN,5m,1729083600000,2024-10-16T13:00:00+00:00,367.52,367.52,367.52,367.52,402,1729083899999,2024-10-16T13:04:59.999000+00:00,,10,,
ACN,5m,1729085100000,2024-10-16T13:25:00+00:00,367.01,367.01,367.01,367.01,245,1729085399999,2024-10-16T13:29:59.999000+00:00,,7,,
ACN,5m,1729085400000,2024-10-16T13:30:00+00:00,365.69,368.74,364.88,367.91,114307,1729085699999,2024-10-16T13:34:59.999000+00:00,,1208,,
ACN,5m,1729085700000,2024-10-16T13:35:00+00:00,368.56,368.78,366.85,367.08,17496,1729085999999,2024-10-16T13:39:59.999000+00:00,,432,,
ACN,5m,1729086000000,2024-10-16T13:40:00+00:00,366.53,368.3,366.53,367.89,12143,1729086299999,2024-10-16T13:44:59.999000+00:00,,372,,
ACN,5m,1729086300000,2024-10-16T13:45:00+00:00,367.99,368.1,367.52,367.95,14720,1729086599999,2024-10-16T13:49:59.999000+00:00,,369,,
ACN,5m,1729086600000,2024-10-16T13:50:00+00:00,368.02,368.29,367.55,368.17,15979,1729086899999,2024-10-16T13:54:59.999000+00:00,,381,,
ACN,5m,1729086900000,2024-10-16T13:55:00+00:00,367.72,368.97,367.72,368.86,27184,1729087199999,2024-10-16T13:59:59.999000+00:00,,694,,
ACN,5m,1729087200000,2024-10-16T14:00:00+00:00,368.79,369.12,368.18,368.96,26573,1729087499999,2024-10-16T14:04:59.999000+00:00,,572,,
ACN,5m,1729087500000,2024-10-16T14:05:00+00:00,368.9,370.34,368.9,370.3399,39522,1729087799999,2024-10-16T14:09:59.999000+00:00,,799,,
ACN,5m,1729087800000,2024-10-16T14:10:00+00:00,370.06,370.06,369.3,369.6428,32930,1729088099999,2024-10-16T14:14:59.999000+00:00,,600,,
ACN,5m,1729088100000,2024-10-16T14:15:00+00:00,369.79,370.41,369.65,370.4,9890,1729088399999,2024-10-16T14:19:59.999000+00:00,,396,,
ACN,5m,1729088400000,2024-10-16T14:20:00+00:00,370.47,370.47,369.64,369.725,20471,1729088699999,2024-10-16T14:24:59.999000+00:00,,420,,
ACN,5m,1729088700000,2024-10-16T14:25:00+00:00,369.5032,370.42,369.5032,370.28,11946,1729088999999,2024-10-16T14:29:59.999000+00:00,,388,,
ACN,5m,1729089000000,2024-10-16T14:30:00+00:00,370.22,370.6217,369.97,370.495,10749,1729089299999,2024-10-16T14:34:59.999000+00:00,,442,,
ACN,5m,1729089300000,2024-10-16T14:35:00+00:00,370.46,370.8,370.13,370.13,16819,1729089599999,2024-10-16T14:39:59.999000+00:00,,462,,
ACN,5m,1729089600000,2024-10-16T14:40:00+00:00,370.22,370.22,369.78,369.98,30347,1729089899999,2024-10-16T14:44:59.999000+00:00,,436,,
ACN,5m,1729089900000,2024-10-16T14:45:00+00:00,369.975,370.0599,369.33,369.44,24135,1729090199999,2024-10-16T14:49:59.999000+00:00,,631,,
