symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ADM,5m,1729080000000,2024-10-16T12:00:00+00:00,57.85,57.85,57.85,57.85,111,1729080299999,2024-10-16T12:04:59.999000+00:00,,5,,
ADM,5m,1729083300000,2024-10-16T12:55:00+00:00,57.82,57.82,57.8,57.8,715,1729083599999,2024-10-16T12:59:59.999000+00:00,,6,,
ADM,5m,1729084800000,2024-10-16T13:20:00+00:00,57.99,57.99,57.99,57.99,100,1729085099999,2024-10-16T13:24:59.999000+00:00,,1,,
ADM,5m,1729085400000,2024-10-16T13:30:00+00:00,57.82,57.95,57.82,57.93,70554,1729085699999,2024-10-16T13:34:59.999000+00:00,,273,,
ADM,5m,1729085700000,2024-10-16T13:35:00+00:00,57.97,58.305,57.94,58.305,13857,1729085999999,2024-10-16T13:39:59.999000+00:00,,343,,
ADM,5m,1729086000000,2024-10-16T13:40:00+00:00,58.32,58.45,58.21,58.4175,16198,1729086299999,2024-10-16T13:44:59.999000+00:00,,373,,
ADM,5m,1729086300000,2024-10-16T13:45:00+00:00,58.415,58.5,58.34,58.34,16285,1729086599999,2024-10-16T13:49:59.999000+00:00,,478,,
ADM,5m,1729086600000,2024-10-16T13:50:00+00:00,58.3375,58.41,58.335,58.34,8261,1729086899999,2024-10-16T13:54:59.999000+00:00,,283,,
ADM,5m,1729086900000,2024-10-16T13:55:00+00:00,58.37,58.53,58.37,58.49,11679,1729087199999,2024-10-16T13:59:59.999000+00:00,,378,,
ADM,5m,1729087200000,2024-10-16T14:00:00+00:00,58.51,58.53,58.39,58.41,12260,1729087499999,2024-10-16T14:04:59.999000+00:00,,319,,
ADM,5m,1729087500000,2024-10-16T14:05:00+00:00,58.42,58.42,58.27,58.28,10771,1729087799999,2024-10-16T14:09:59.999000+00:00,,292,,
ADM,5m,1729087800000,2024-10-16T14:10:00+00:00,58.27,58.27,58.14,58.15,9720,1729088099999,2024-10-16T14:14:59.999000+00:00,,280,,
ADM,5m,1729088100000,2024-10-16T14:15:00+00:00,58.14,58.1684,58.08,58.13,7394,1729088399999,2024-10-16T14:19:59.999000+00:00,,169,,
ADM,5m,1729088400000,2024-10-16T14:20:00+00:00,58.09,58.1,58.02,58.02,4706,1729088699999,2024-10-16T14:24:59.999000+00:00,,146,,
ADM,5m,1729088700000,2024-10-16T14:25:00+00:00,58.02,58.05,58.0001,58.0001,3513,1729088999999,2024-10-16T14:29:59.999000+00:00,,123,,
ADM,5m,1729089000000,2024-10-16T14:30:00+00:00,57.99,58.065,57.96,58.045,8739,1729089299999,2024-10-16T14:34:59.999000+00:00,,193,,
ADM,5m,1729089300000,2024-10-16T14:35:00+00:00,58.08,58.25,58.08,58.22,11804,1729089599999,2024-10-16T14:39:59.999000+00:00,,270,,
ADM,5m,1729089600000,2024-10-16T14:40:00+00:00,58.225,58.24,58.15,58.24,6828,1729089899999,2024-10-16T14:44:59.999000+00:00,,209,,
ADM,5m,1729089900000,2024-10-16T14:45:00+00:00,58.18,58.28,58.18,58.24,9833,1729090199999,2024-10-16T14:49:59.999000+00:00,,268,,
ADM,5m,1729090200000,2024-10-16T14:50:00+00:00,58.26,58.36,58.26,58.35,8595,1729090499999,2024-10-16T14:54:59.999000+00:00,,204,,
ADM,5m,1729090500000,2024-10-16T14:55:00+00:00,58.35,58.35,58.2602,58.3,13342,1729090799999,2024-10-16T14:59:59.999000+00:00,,274,,
ADM,5m,1729090800000,2024-10-16T15:00:00+00:00,58.29,58.29,58.16,58.18,11882,1729091099999,2024-10-16T15:04:59.999000+00:00,,327,,
ADM,5m,1729091100000,2024-10-16T15:05:00+00:00,58.185,58.2,58.125,58.14,23516,1729091399999,2024-10-16T15:09:59.999000+00:00,,263,,
ADM,5m,1729091400000,2024-10-16T15:10:00+00:00,58.14,58.19,58.14,58.18,6525,1729091699999,2024-10-16T15:14:59.999000+00:00,,169,,
ADM,5m,1729091700000,2024-10-16T15:15:00+00:00,58.175,58.21,58.17,58.19,6425,1729091999999,2024-10-16T15:19:59.999000+00:00,,204,,
ADM,5m,1729092000000,2024-10-16T15:20:00+00:00,58.18,58.18,58.1,58.12,6782,1729092299999,2024-10-16T15:24:59.999000+00:00,,236,,
