symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ADP,5m,1729085400000,2024-10-16T13:30:00+00:00,289.11,290.071,287.79,289.58,21756,1729085699999,2024-10-16T13:34:59.999000+00:00,,315,,
ADP,5m,1729085700000,2024-10-16T13:35:00+00:00,289.32,289.88,288.41,288.41,4481,1729085999999,2024-10-16T13:39:59.999000+00:00,,185,,
ADP,5m,1729086000000,2024-10-16T13:40:00+00:00,288.72,289.48,288.58,289.48,7910,1729086299999,2024-10-16T13:44:59.999000+00:00,,289,,
ADP,5m,1729086300000,2024-10-16T13:45:00+00:00,289.495,290.03,289.49,289.49,11554,1729086599999,2024-10-16T13:49:59.999000+00:00,,403,,
ADP,5m,1729086600000,2024-10-16T13:50:00+00:00,289.64,289.81,289.5301,289.5301,6953,1729086899999,2024-10-16T13:54:59.999000+00:00,,241,,
ADP,5m,1729086900000,2024-10-16T13:55:00+00:00,289.75,290.37,289.66,290.235,6051,1729087199999,2024-10-16T13:59:59.999000+00:00,,300,,
ADP,5m,1729087200000,2024-10-16T14:00:00+00:00,290.37,290.405,290.13,290.37,8881,1729087499999,2024-10-16T14:04:59.999000+00:00,,318,,
ADP,5m,1729087500000,2024-10-16T14:05:00+00:00,290.3019,290.82,290.3019,290.82,5358,1729087799999,2024-10-16T14:09:59.999000+00:00,,262,,
ADP,5m,1729087800000,2024-10-16T14:10:00+00:00,290.54,290.59,290.09,290.09,4890,1729088099999,2024-10-16T14:14:59.999000+00:00,,248,,
ADP,5m,1729088100000,2024-10-16T14:15:00+00:00,290.055,290.43,290,290.42,4581,1729088399999,2024-10-16T14:19:59.999000+00:00,,177,,
ADP,5m,1729088400000,2024-10-16T14:20:00+00:00,290.35,290.35,290,290,5406,1729088699999,2024-10-16T14:24:59.999000+00:00,,215,,
ADP,5m,1729088700000,2024-10-16T14:25:00+00:00,290,290.27,290,290.175032,4867,1729088999999,2024-10-16T14:29:59.999000+00:00,,234,,
ADP,5m,1729089000000,2024-10-16T14:30:00+00:00,290.175,290.24,290.04,290.06,5912,1729089299999,2024-10-16T14:34:59.999000+00:00,,237,,
ADP,5m,1729089300000,2024-10-16T14:35:00+00:00,290.3,290.4,290.165,290.38,5597,1729089599999,2024-10-16T14:39:59.999000+00:00,,226,,
ADP,5m,1729089600000,2024-10-16T14:40:00+00:00,290.27,290.27,289.93,289.955,10292,1729089899999,2024-10-16T14:44:59.999000+00:00,,341,,
ADP,5m,1729089900000,2024-10-16T14:45:00+00:00,289.87,289.87,289.59,289.685,10566,1729090199999,2024-10-16T14:49:59.999000+00:00,,298,,
ADP,5m,1729090200000,2024-10-16T14:50:00+00:00,289.78,289.95,289.71,289.865,7624,1729090499999,2024-10-16T14:54:59.999000+00:00,,243,,
ADP,5m,1729090500000,2024-10-16T14:55:00+00:00,289.865,289.96,289.63,289.74,8217,1729090799999,2024-10-16T14:59:59.999000+00:00,,279,,
ADP,5m,1729090800000,2024-10-16T15:00:00+00:00,289.75,289.75,289.27,289.4,9797,1729091099999,2024-10-16T15:04:59.999000+00:00,,369,,
ADP,5m,1729091100000,2024-10-16T15:05:00+00:00,289.27,289.38,289.24,289.28,6094,1729091399999,2024-10-16T15:09:59.999000+00:00,,247,,
ADP,5m,1729091400000,2024-10-16T15:10:00+00:00,289.29,289.62,289.240358,289.575,7908,1729091699999,2024-10-16T15:14:59.999000+00:00,,295,,
ADP,5m,1729091700000,2024-10-16T15:15:00+00:00,289.64,289.78,289.64,289.75,3840,1729091999999,2024-10-16T15:19:59.999000+00:00,,224,,
ADP,5m,1729092000000,2024-10-16T15:20:00+00:00,289.68,289.95,289.68,289.77,8154,1729092299999,2024-10-16T15:24:59.999000+00:00,,283,,
ADP,5m,1729092300000,2024-10-16T15:25:00+00:00,289.83,289.83,289.64,289.74,5987,1729092599999,2024-10-16T15:29:59.999000+00:00,,298,,
ADP,5m,1729092600000,2024-10-16T15:30:00+00:00,289.82,290,289.72,289.995,5192,1729092899999,2024-10-16T15:34:59.999000+00:00,,246,,
ADP,5m,1729092900000,2024-10-16T15:35:00+00:00,289.98,290.165,289.89,290.165,4132,1729093199999,2024-10-16T15:39:59.999000+00:00,,246,,
ADP,5m,1729093200000,2024-10-16T15:40:00+00:00,290.33,290.495,290.225,290.495,3250,1729093499999,2024-10-16T15:44:59.999000+00:00,,188,,
ADP,5m,1729093500000,2024-10-16T15:45:00+00:00,290.3601,290.39,289.94,290.01,7727,1729093799999,2024-10-16T15:49:59.999000+00:00,,409,,
ADP,5m,1729093800000,2024-10-16T15:50:00+00:00,290.04,290.11,289.99,290.055,3772,1729094099999,2024-10-16T15:54:59.999000+00:00,,198,,
ADP,5m,1729094100000,2024-10-16T15:55:00+00:00,290.05,290.05,289.935,289.94,7009,1729094399999,2024-10-16T15:59:59.999000+00:00,,258,,
ADP,5m,1729094400000,2024-10-16T16:00:00+00:00,289.85,289.85,289.83,289.85,2153,1729094699999,2024-10-16T16:04:59.999000+00:00,,142,,
ADP,5m,1729094700000,2024-10-16T16:05:00+00:00,289.76,289.83,289.69,289.82,12628,1729094999999,2024-10-16T16:09:59.999000+00:00,,368,,
ADP,5m,1729095000000,2024-10-16T16:10:00+00:00,289.815,289.93,289.59,289.59,10580,1729095299999,2024-10-16T16:14:59.999000+00:00,,407,,
ADP,5m,1729095300000,2024-10-16T16:15:00+00:00,289.495,289.605,289.4201,289.605,3804,1729095599999,2024-10-16T16:19:59.999000+00:00,,168,,
ADP,5m,1729095600000,2024-10-16T16:20:00+00:00,289.54,289.67,289.54,289.67,5913,1729095899999,2024-10-16T16:24:59.999000+00:00,,226,,
ADP,5m,1729095900000,2024-10-16T16:25:00+00:00,289.74,289.85,289.71,289.81,7251,1729096199999,2024-10-16T16:29:59.999000+00:00,,247,,
ADP,5m,1729096200000,2024-10-16T16:30:00+00:00,289.795,290.135,289.795,289.9,5665,1729096499999,2024-10-16T16:34:59.999000+00:00,,217,,
ADP,5m,1729096500000,2024-10-16T16:35:00+00:00,289.97,290.13,289.97,290.07,2514,1729096799999,2024-10-16T16:39:59.999000+00:00,,129,,
ADP,5m,1729096800000,2024-10-16T16:40:00+00:00,290.13,290.22,290.13,290.22,2767,1729097099999,2024-10-16T16:44:59.999000+00:00,,157,,
ADP,5m,1729097100000,2024-10-16T16:45:00+00:00,290.31,290.31,290.1421,290.1421,4910,1729097399999,2024-10-16T16:49:59.999000+00:00,,208,,
ADP,5m,1729097400000,2024-10-16T16:50:00+00:00,290.28,290.29,290.225,290.27,2145,1729097699999,2024-10-16T16:54:59.999000+00:00,,141,,
ADP,5m,1729097700000,2024-10-16T16:55:00+00:00,290.33,290.37,290.28,290.31,6758,1729097999999,2024-10-16T16:59:59.999000+00:00,,306,,
ADP,5m,1729098000000,2024-10-16T17:00:00+00:00,290.37,290.51,290.04,290.085,7752,1729098299999,2024-10-16T17:04:59.999000+00:00,,355,,
ADP,5m,1729098300000,2024-10-16T17:05:00+00:00,290.085,290.085,289.88,289.88,1787,1729098599999,2024-10-16T17:09:59.999000+00:00,,103,,
ADP,5m,1729098600000,2024-10-16T17:10:00+00:00,289.935,289.987,289.84,289.855,3442,1729098899999,2024-10-16T17:14:59.999000+00:00,,120,,
ADP,5m,1729098900000,2024-10-16T17:15:00+00:00,289.825,289.92,289.61,289.61,5249,1729099199999,2024-10-16T17:19:59.999000+00:00,,234,,
ADP,5m,1729099200000,2024-10-16T17:20:00+00:00,289.62,289.76,289.62,289.745,4986,1729099499999,2024-10-16T17:24:59.999000+00:00,,176,,
ADP,5m,1729099500000,2024-10-16T17:25:00+00:00,289.725,289.89,289.725,289.88,6761,1729099799999,2024-10-16T17:29:59.999000+00:00,,229,,
ADP,5m,1729099800000,2024-10-16T17:30:00+00:00,289.812,289.812,289.565,289.565,3768,1729100099999,2024-10-16T17:34:59.999000+00:00,,154,,
ADP,5m,1729100100000,2024-10-16T17:35:00+00:00,289.63,289.728,289.500536,289.6,7039,1729100399999,2024-10-16T17:39:59.999000+00:00,,179,,
ADP,5m,1729100400000,2024-10-16T17:40:00+00:00,289.57,289.63,289.415,289.5175,4767,1729100699999,2024-10-16T17:44:59.999000+00:00,,179,,
ADP,5m,1729100700000,2024-10-16T17:45:00+00:00,289.55,289.705,289.55,289.555,8527,1729100999999,2024-10-16T17:49:59.999000+00:00,,274,,
ADP,5m,1729101000000,2024-10-16T17:50:00+00:00,289.58,289.64,289.51,289.51,5527,1729101299999,2024-10-16T17:54:59.999000+00:00,,167,,
ADP,5m,1729101300000,2024-10-16T17:55:00+00:00,289.52,289.83,289.51,289.77,20854,1729101599999,2024-10-16T17:59:59.999000+00:00,,548,,
ADP,5m,1729101600000,2024-10-16T18:00:00+00:00,289.73,289.87,289.695,289.715,11425,1729101899999,2024-10-16T18:04:59.999000+00:00,,376,,
ADP,5m,1729101900000,2024-10-16T18:05:00+00:00,289.695,289.76,289.61,289.72,12151,1729102199999,2024-10-16T18:09:59.999000+00:00,,388,,
ADP,5m,1729102200000,2024-10-16T18:10:00+00:00,289.72,290.09,289.72,290.05,20702,1729102499999,2024-10-16T18:14:59.999000+00:00,,460,,
ADP,5m,1729102500000,2024-10-16T18:15:00+00:00,290.05,290.28,290.005,290.28,11048,1729102799999,2024-10-16T18:19:59.999000+00:00,,379,,
ADP,5m,1729102800000,2024-10-16T18:20:00+00:00,290.33,291.06,290.33,291.06,8182,1729103099999,2024-10-16T18:24:59.999000+00:00,,381,,
ADP,5m,1729103100000,2024-10-16T18:25:00+00:00,290.99,291.04,290.78,290.8149,6181,1729103399999,2024-10-16T18:29:59.999000+00:00,,224,,
ADP,5m,1729103400000,2024-10-16T18:30:00+00:00,290.89,290.95,290.79,290.95,2311,1729103699999,2024-10-16T18:34:59.999000+00:00,,169,,
ADP,5m,1729103700000,2024-10-16T18:35:00+00:00,290.875,290.93,290.46,290.495,12965,1729103999999,2024-10-16T18:39:59.999000+00:00,,433,,
ADP,5m,1729104000000,2024-10-16T18:40:00+00:00,290.4,290.41,290.18,290.41,8546,1729104299999,2024-10-16T18:44:59.999000+00:00,,294,,
ADP,5m,1729104300000,2024-10-16T18:45:00+00:00,290.48,290.6,290.48,290.55,6159,1729104599999,2024-10-16T18:49:59.999000+00:00,,201,,
ADP,5m,1729104600000,2024-10-16T18:50:00+00:00,290.5,290.5,290.23,290.33,6850,1729104899999,2024-10-16T18:54:59.999000+00:00,,241,,
ADP,5m,1729104900000,2024-10-16T18:55:00+00:00,290.33,290.61,290.33,290.57,8294,1729105199999,2024-10-16T18:59:59.999000+00:00,,329,,
ADP,5m,1729105200000,2024-10-16T19:00:00+00:00,290.45,290.55,290.38,290.45,6343,1729105499999,2024-10-16T19:04:59.999000+00:00,,278,,
ADP,5m,1729105500000,2024-10-16T19:05:00+00:00,290.415,290.58,290.32,290.525,5846,1729105799999,2024-10-16T19:09:59.999000+00:00,,281,,
