symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ADSK,5m,1729068300000,2024-10-16T08:45:00+00:00,286.48,286.48,286.48,286.48,350,1729068599999,2024-10-16T08:49:59.999000+00:00,,13,,
ADSK,5m,1729068900000,2024-10-16T08:55:00+00:00,288,288,288,288,603,1729069199999,2024-10-16T08:59:59.999000+00:00,,8,,
ADSK,5m,1729069500000,2024-10-16T09:05:00+00:00,288.53,288.65,288.53,288.65,476,1729069799999,2024-10-16T09:09:59.999000+00:00,,12,,
ADSK,5m,1729070100000,2024-10-16T09:15:00+00:00,288.99,288.99,288.99,288.99,200,1729070399999,2024-10-16T09:19:59.999000+00:00,,2,,
ADSK,5m,1729077900000,2024-10-16T11:25:00+00:00,288.64,288.65,288.64,288.65,300,1729078199999,2024-10-16T11:29:59.999000+00:00,,3,,
ADSK,5m,1729078500000,2024-10-16T11:35:00+00:00,288.51,288.75,288.51,288.75,925,1729078799999,2024-10-16T11:39:59.999000+00:00,,9,,
ADSK,5m,1729080000000,2024-10-16T12:00:00+00:00,289.01,289.01,289.01,289.01,303,1729080299999,2024-10-16T12:04:59.999000+00:00,,11,,
ADSK,5m,1729080900000,2024-10-16T12:15:00+00:00,290,290,290,290,362,1729081199999,2024-10-16T12:19:59.999000+00:00,,38,,
ADSK,5m,1729081800000,2024-10-16T12:30:00+00:00,289.31,289.31,289.31,289.31,100,1729082099999,2024-10-16T12:34:59.999000+00:00,,1,,
ADSK,5m,1729082700000,2024-10-16T12:45:00+00:00,289.1,289.1,289.1,289.1,200,1729082999999,2024-10-16T12:49:59.999000+00:00,,3,,
ADSK,5m,1729083300000,2024-10-16T12:55:00+00:00,289.9375,289.9375,289.9375,289.9375,100,1729083599999,2024-10-16T12:59:59.999000+00:00,,1,,
ADSK,5m,1729085400000,2024-10-16T13:30:00+00:00,288.18,288.44,286.815,287.645,30688,1729085699999,2024-10-16T13:34:59.999000+00:00,,483,,
ADSK,5m,1729085700000,2024-10-16T13:35:00+00:00,287.95,287.99,287.23,287.55,15145,1729085999999,2024-10-16T13:39:59.999000+00:00,,414,,
ADSK,5m,1729086000000,2024-10-16T13:40:00+00:00,287.405,287.47,286.465,286.465,14517,1729086299999,2024-10-16T13:44:59.999000+00:00,,446,,
ADSK,5m,1729086300000,2024-10-16T13:45:00+00:00,286.525,287.21,286.45,287.21,11375,1729086599999,2024-10-16T13:49:59.999000+00:00,,338,,
ADSK,5m,1729086600000,2024-10-16T13:50:00+00:00,287.03,287.46,286.94,287.05,20483,1729086899999,2024-10-16T13:54:59.999000+00:00,,455,,
ADSK,5m,1729086900000,2024-10-16T13:55:00+00:00,287.06,287.2,286.26,286.42,33067,1729087199999,2024-10-16T13:59:59.999000+00:00,,700,,
ADSK,5m,1729087200000,2024-10-16T14:00:00+00:00,286.33,286.455,285.29,285.37,21734,1729087499999,2024-10-16T14:04:59.999000+00:00,,589,,
ADSK,5m,1729087500000,2024-10-16T14:05:00+00:00,285.215,285.93,284.9,285.92,13162,1729087799999,2024-10-16T14:09:59.999000+00:00,,377,,
ADSK,5m,1729087800000,2024-10-16T14:10:00+00:00,285.995,286.15,285.42,285.61,19063,1729088099999,2024-10-16T14:14:59.999000+00:00,,380,,
ADSK,5m,1729088100000,2024-10-16T14:15:00+00:00,285.57,286.19,285.46,285.62,20403,1729088399999,2024-10-16T14:19:59.999000+00:00,,428,,
ADSK,5m,1729088400000,2024-10-16T14:20:00+00:00,285.71,286.39,285.695,286.39,8743,1729088699999,2024-10-16T14:24:59.999000+00:00,,243,,
ADSK,5m,1729088700000,2024-10-16T14:25:00+00:00,286.41,286.55,286.24,286.48,23633,1729088999999,2024-10-16T14:29:59.999000+00:00,,422,,
ADSK,5m,1729089000000,2024-10-16T14:30:00+00:00,286.48,286.82,286.34,286.77,9579,1729089299999,2024-10-16T14:34:59.999000+00:00,,285,,
ADSK,5m,1729089300000,2024-10-16T14:35:00+00:00,286.775,286.775,285.98,285.99,14447,1729089599999,2024-10-16T14:39:59.999000+00:00,,331,,
ADSK,5m,1729089600000,2024-10-16T14:40:00+00:00,286.03,286.06,285.87,285.965,22438,1729089899999,2024-10-16T14:44:59.999000+00:00,,519,,
ADSK,5m,1729089900000,2024-10-16T14:45:00+00:00,285.99,286.47,285.99,286.47,11409,1729090199999,2024-10-16T14:49:59.999000+00:00,,351,,
ADSK,5m,1729090200000,2024-10-16T14:50:00+00:00,286.5,287.15,286.5,286.935,9724,1729090499999,2024-10-16T14:54:59.999000+00:00,,344,,
ADSK,5m,1729090500000,2024-10-16T14:55:00+00:00,286.905,286.915,286.78,286.815,9323,1729090799999,2024-10-16T14:59:59.999000+00:00,,309,,
ADSK,5m,1729090800000,2024-10-16T15:00:00+00:00,286.815,286.86,286.715,286.8,12064,1729091099999,2024-10-16T15:04:59.999000+00:00,,256,,
ADSK,5m,1729091100000,2024-10-16T15:05:00+00:00,286.86,287.12,286.76,286.86,15401,1729091399999,2024-10-16T15:09:59.999000+00:00,,411,,
ADSK,5m,1729091400000,2024-10-16T15:10:00+00:00,286.935,287.01,286.66,286.78,20625,1729091699999,2024-10-16T15:14:59.999000+00:00,,377,,
ADSK,5m,1729091700000,2024-10-16T15:15:00+00:00,286.78,287.18,286.78,287.18,4993,1729091999999,2024-10-16T15:19:59.999000+00:00,,178,,
ADSK,5m,1729092000000,2024-10-16T15:20:00+00:00,287.15,287.285,286.855,286.905,14534,1729092299999,2024-10-16T15:24:59.999000+00:00,,325,,
ADSK,5m,1729092300000,2024-10-16T15:25:00+00:00,286.91,287.25,286.8125,287.25,13880,1729092599999,2024-10-16T15:29:59.999000+00:00,,298,,
ADSK,5m,1729092600000,2024-10-16T15:30:00+00:00,287.275,287.5,287.275,287.5,17994,1729092899999,2024-10-16T15:34:59.999000+00:00,,406,,
ADSK,5m,1729092900000,2024-10-16T15:35:00+00:00,287.57,287.9496,287.51,287.69,7810,1729093199999,2024-10-16T15:39:59.999000+00:00,,271,,
ADSK,5m,1729093200000,2024-10-16T15:40:00+00:00,287.74,287.995,287.72,287.755,4891,1729093499999,2024-10-16T15:44:59.999000+00:00,,171,,
ADSK,5m,1729093500000,2024-10-16T15:45:00+00:00,287.74,287.85,287.32,287.83,20482,1729093799999,2024-10-16T15:49:59.999000+00:00,,624,,
ADSK,5m,1729093800000,2024-10-16T15:50:00+00:00,287.86,287.86,287.36,287.36,10127,1729094099999,2024-10-16T15:54:59.999000+00:00,,292,,
ADSK,5m,1729094100000,2024-10-16T15:55:00+00:00,287.34,287.4,286.895,287.12,11330,1729094399999,2024-10-16T15:59:59.999000+00:00,,272,,
ADSK,5m,1729094400000,2024-10-16T16:00:00+00:00,287.12,287.15,286.735,286.735,13259,1729094699999,2024-10-16T16:04:59.999000+00:00,,316,,
ADSK,5m,1729094700000,2024-10-16T16:05:00+00:00,286.7,286.7777,286.59,286.75,2987,1729094999999,2024-10-16T16:09:59.999000+00:00,,117,,
ADSK,5m,1729095000000,2024-10-16T16:10:00+00:00,286.72,286.73,286.36,286.41,9576,1729095299999,2024-10-16T16:14:59.999000+00:00,,294,,
ADSK,5m,1729095300000,2024-10-16T16:15:00+00:00,286.4,286.67,286.35,286.67,15993,1729095599999,2024-10-16T16:19:59.999000+00:00,,372,,
ADSK,5m,1729095600000,2024-10-16T16:20:00+00:00,286.85,287.085,286.84,286.99,5510,1729095899999,2024-10-16T16:24:59.999000+00:00,,191,,
ADSK,5m,1729095900000,2024-10-16T16:25:00+00:00,286.985,287.17,286.85,286.85,8472,1729096199999,2024-10-16T16:29:59.999000+00:00,,266,,
ADSK,5m,1729096200000,2024-10-16T16:30:00+00:00,286.97,287.21,286.94,286.94,6408,1729096499999,2024-10-16T16:34:59.999000+00:00,,213,,
ADSK,5m,1729096500000,2024-10-16T16:35:00+00:00,286.94,287.2,286.87,287.2,6661,1729096799999,2024-10-16T16:39:59.999000+00:00,,242,,
ADSK,5m,1729096800000,2024-10-16T16:40:00+00:00,287.215,287.3325,287.125,287.21,7511,1729097099999,2024-10-16T16:44:59.999000+00:00,,241,,
ADSK,5m,1729097100000,2024-10-16T16:45:00+00:00,287.2,287.36,287.06,287.12,9872,1729097399999,2024-10-16T16:49:59.999000+00:00,,282,,
ADSK,5m,1729097400000,2024-10-16T16:50:00+00:00,287.18,287.3155,287.115,287.27,3940,1729097699999,2024-10-16T16:54:59.999000+00:00,,189,,
ADSK,5m,1729097700000,2024-10-16T16:55:00+00:00,287.255,287.7,287.255,287.62,7181,1729097999999,2024-10-16T16:59:59.999000+00:00,,260,,
ADSK,5m,1729098000000,2024-10-16T17:00:00+00:00,287.7,287.84,287.62,287.715,9264,1729098299999,2024-10-16T17:04:59.999000+00:00,,267,,
ADSK,5m,1729098300000,2024-10-16T17:05:00+00:00,287.773,287.89,287.64,287.695,9775,1729098599999,2024-10-16T17:09:59.999000+00:00,,305,,
ADSK,5m,1729098600000,2024-10-16T17:10:00+00:00,287.695,287.695,287.36,287.455,4678,1729098899999,2024-10-16T17:14:59.999000+00:00,,146,,
ADSK,5m,1729098900000,2024-10-16T17:15:00+00:00,287.445,287.55,287.285,287.285,7124,1729099199999,2024-10-16T17:19:59.999000+00:00,,260,,
