symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AES,5m,1729077600000,2024-10-16T11:20:00+00:00,17.48,17.48,17.48,17.48,200,1729077899999,2024-10-16T11:24:59.999000+00:00,,1,,
AES,5m,1729078200000,2024-10-16T11:30:00+00:00,17.49,17.5,17.49,17.49,382,1729078499999,2024-10-16T11:34:59.999000+00:00,,3,,
AES,5m,1729080000000,2024-10-16T12:00:00+00:00,17.4995,17.5,17.4163,17.4163,514,1729080299999,2024-10-16T12:04:59.999000+00:00,,4,,
AES,5m,1729082700000,2024-10-16T12:45:00+00:00,17.57,17.57,17.57,17.57,701,1729082999999,2024-10-16T12:49:59.999000+00:00,,8,,
AES,5m,1729083900000,2024-10-16T13:05:00+00:00,17.55,17.55,17.54,17.54,401,1729084199999,2024-10-16T13:09:59.999000+00:00,,6,,
AES,5m,1729084200000,2024-10-16T13:10:00+00:00,17.54,17.54,17.54,17.54,205,1729084499999,2024-10-16T13:14:59.999000+00:00,,3,,
AES,5m,1729084800000,2024-10-16T13:20:00+00:00,17.55,17.55,17.52,17.52,2841,1729085099999,2024-10-16T13:24:59.999000+00:00,,26,,
AES,5m,1729085100000,2024-10-16T13:25:00+00:00,17.55,17.55,17.55,17.55,1500,1729085399999,2024-10-16T13:29:59.999000+00:00,,5,,
AES,5m,1729085400000,2024-10-16T13:30:00+00:00,17.59,17.71,17.52,17.695,256629,1729085699999,2024-10-16T13:34:59.999000+00:00,,845,,
AES,5m,1729085700000,2024-10-16T13:35:00+00:00,17.7,17.78,17.69,17.72,61536,1729085999999,2024-10-16T13:39:59.999000+00:00,,453,,
AES,5m,1729086000000,2024-10-16T13:40:00+00:00,17.7,17.79,17.675,17.78,46804,1729086299999,2024-10-16T13:44:59.999000+00:00,,365,,
AES,5m,1729086300000,2024-10-16T13:45:00+00:00,17.785,17.845,17.68,17.69,148164,1729086599999,2024-10-16T13:49:59.999000+00:00,,747,,
AES,5m,1729086600000,2024-10-16T13:50:00+00:00,17.69,17.7272,17.68,17.685,42336,1729086899999,2024-10-16T13:54:59.999000+00:00,,403,,
AES,5m,1729086900000,2024-10-16T13:55:00+00:00,17.675,17.765,17.67,17.765,52975,1729087199999,2024-10-16T13:59:59.999000+00:00,,502,,
AES,5m,1729087200000,2024-10-16T14:00:00+00:00,17.765,17.79,17.755,17.79,57626,1729087499999,2024-10-16T14:04:59.999000+00:00,,547,,
