symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AIG,5m,1729085400000,2024-10-16T13:30:00+00:00,77.2,77.2,76.98,77.115,22514,1729085699999,2024-10-16T13:34:59.999000+00:00,,81,,
AIG,5m,1729085700000,2024-10-16T13:35:00+00:00,77.135,77.36,77.02,77.36,6766,1729085999999,2024-10-16T13:39:59.999000+00:00,,135,,
AIG,5m,1729086000000,2024-10-16T13:40:00+00:00,77.34,77.6595,77.31,77.61,16398,1729086299999,2024-10-16T13:44:59.999000+00:00,,317,,
AIG,5m,1729086300000,2024-10-16T13:45:00+00:00,77.58,77.62,77.44,77.52,18917,1729086599999,2024-10-16T13:49:59.999000+00:00,,298,,
AIG,5m,1729086600000,2024-10-16T13:50:00+00:00,77.52,77.5553,77.43,77.44,14910,1729086899999,2024-10-16T13:54:59.999000+00:00,,316,,
AIG,5m,1729086900000,2024-10-16T13:55:00+00:00,77.425,77.61,77.38,77.495,41239,1729087199999,2024-10-16T13:59:59.999000+00:00,,630,,
AIG,5m,1729087200000,2024-10-16T14:00:00+00:00,77.52,77.7,77.52,77.62,29625,1729087499999,2024-10-16T14:04:59.999000+00:00,,470,,
AIG,5m,1729087500000,2024-10-16T14:05:00+00:00,77.67,77.67,77.38,77.38,33126,1729087799999,2024-10-16T14:09:59.999000+00:00,,597,,
AIG,5m,1729087800000,2024-10-16T14:10:00+00:00,77.37,77.39,77.05,77.06,27534,1729088099999,2024-10-16T14:14:59.999000+00:00,,601,,
AIG,5m,1729088100000,2024-10-16T14:15:00+00:00,77.06,77.495,77.05,77.495,43981,1729088399999,2024-10-16T14:19:59.999000+00:00,,445,,
AIG,5m,1729088400000,2024-10-16T14:20:00+00:00,77.46,77.46,77.22,77.3,21585,1729088699999,2024-10-16T14:24:59.999000+00:00,,420,,
AIG,5m,1729088700000,2024-10-16T14:25:00+00:00,77.3,77.5,77.29,77.46,93492,1729088999999,2024-10-16T14:29:59.999000+00:00,,310,,
AIG,5m,1729089000000,2024-10-16T14:30:00+00:00,77.46,77.6,77.43,77.6,48389,1729089299999,2024-10-16T14:34:59.999000+00:00,,653,,
AIG,5m,1729089300000,2024-10-16T14:35:00+00:00,77.595,77.69,77.445,77.46,60560,1729089599999,2024-10-16T14:39:59.999000+00:00,,611,,
AIG,5m,1729089600000,2024-10-16T14:40:00+00:00,77.44,77.51,77.38,77.45,20183,1729089899999,2024-10-16T14:44:59.999000+00:00,,406,,
AIG,5m,1729089900000,2024-10-16T14:45:00+00:00,77.42,77.42,77.34,77.42,13900,1729090199999,2024-10-16T14:49:59.999000+00:00,,304,,
AIG,5m,1729090200000,2024-10-16T14:50:00+00:00,77.43,77.55,77.415,77.55,44602,1729090499999,2024-10-16T14:54:59.999000+00:00,,406,,
AIG,5m,1729090500000,2024-10-16T14:55:00+00:00,77.55,77.58,77.47,77.57,25647,1729090799999,2024-10-16T14:59:59.999000+00:00,,444,,
AIG,5m,1729090800000,2024-10-16T15:00:00+00:00,77.57,77.65,77.54,77.54,26926,1729091099999,2024-10-16T15:04:59.999000+00:00,,531,,
AIG,5m,1729091100000,2024-10-16T15:05:00+00:00,77.55,77.55,77.35,77.37,10815,1729091399999,2024-10-16T15:09:59.999000+00:00,,324,,
AIG,5m,1729091400000,2024-10-16T15:10:00+00:00,77.36,77.41,77.335,77.37,12787,1729091699999,2024-10-16T15:14:59.999000+00:00,,313,,
AIG,5m,1729091700000,2024-10-16T15:15:00+00:00,77.36,77.37,77.27,77.27,13602,1729091999999,2024-10-16T15:19:59.999000+00:00,,308,,
