symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AIZ,5m,1729085400000,2024-10-16T13:30:00+00:00,194.67,194.77,194.59,194.59,2806,1729085699999,2024-10-16T13:34:59.999000+00:00,,28,,
AIZ,5m,1729085700000,2024-10-16T13:35:00+00:00,195.65,195.65,195.39,195.39,812,1729085999999,2024-10-16T13:39:59.999000+00:00,,37,,
AIZ,5m,1729086000000,2024-10-16T13:40:00+00:00,195.035,195.76,194.99,195.71,1881,1729086299999,2024-10-16T13:44:59.999000+00:00,,64,,
AIZ,5m,1729086300000,2024-10-16T13:45:00+00:00,196.125,196.135,196.125,196.135,1012,1729086599999,2024-10-16T13:49:59.999000+00:00,,16,,
AIZ,5m,1729086600000,2024-10-16T13:50:00+00:00,196.17,196.33,196.11,196.11,1716,1729086899999,2024-10-16T13:54:59.999000+00:00,,79,,
AIZ,5m,1729086900000,2024-10-16T13:55:00+00:00,196.44,197.3,196.44,197.3,2709,1729087199999,2024-10-16T13:59:59.999000+00:00,,62,,
AIZ,5m,1729087200000,2024-10-16T14:00:00+00:00,197.36,197.41,197.3,197.345,2841,1729087499999,2024-10-16T14:04:59.999000+00:00,,91,,
AIZ,5m,1729087500000,2024-10-16T14:05:00+00:00,197.63,197.645,197.34,197.34,1632,1729087799999,2024-10-16T14:09:59.999000+00:00,,59,,
AIZ,5m,1729087800000,2024-10-16T14:10:00+00:00,197.39,197.39,197.09,197.09,1500,1729088099999,2024-10-16T14:14:59.999000+00:00,,64,,
AIZ,5m,1729088100000,2024-10-16T14:15:00+00:00,197.11,197.11,197.11,197.11,133,1729088399999,2024-10-16T14:19:59.999000+00:00,,8,,
AIZ,5m,1729088400000,2024-10-16T14:20:00+00:00,197.25,197.27,196.97,197.11,4722,1729088699999,2024-10-16T14:24:59.999000+00:00,,132,,
AIZ,5m,1729088700000,2024-10-16T14:25:00+00:00,197.105,197.145,197.105,197.145,660,1729088999999,2024-10-16T14:29:59.999000+00:00,,33,,
AIZ,5m,1729089000000,2024-10-16T14:30:00+00:00,197.08,197.42,197.08,197.2525,2640,1729089299999,2024-10-16T14:34:59.999000+00:00,,115,,
AIZ,5m,1729089300000,2024-10-16T14:35:00+00:00,197.46,197.69,197.46,197.625,1826,1729089599999,2024-10-16T14:39:59.999000+00:00,,117,,
AIZ,5m,1729089600000,2024-10-16T14:40:00+00:00,197.625,197.625,197.18,197.18,1655,1729089899999,2024-10-16T14:44:59.999000+00:00,,97,,
AIZ,5m,1729089900000,2024-10-16T14:45:00+00:00,197.18,197.4299,197.05,197.13,2433,1729090199999,2024-10-16T14:49:59.999000+00:00,,78,,
AIZ,5m,1729090200000,2024-10-16T14:50:00+00:00,197.27,197.415,197.27,197.415,3115,1729090499999,2024-10-16T14:54:59.999000+00:00,,42,,
AIZ,5m,1729090500000,2024-10-16T14:55:00+00:00,197.31,197.53,197.285,197.3725,2551,1729090799999,2024-10-16T14:59:59.999000+00:00,,55,,
AIZ,5m,1729090800000,2024-10-16T15:00:00+00:00,197.56,197.56,197.4,197.4,1433,1729091099999,2024-10-16T15:04:59.999000+00:00,,76,,
AIZ,5m,1729091100000,2024-10-16T15:05:00+00:00,197.165,197.165,197.165,197.165,691,1729091399999,2024-10-16T15:09:59.999000+00:00,,29,,
AIZ,5m,1729091400000,2024-10-16T15:10:00+00:00,197.29,197.325,197.13,197.185,1647,1729091699999,2024-10-16T15:14:59.999000+00:00,,39,,
AIZ,5m,1729092000000,2024-10-16T15:20:00+00:00,197.41,197.41,197.19,197.3,11238,1729092299999,2024-10-16T15:24:59.999000+00:00,,83,,
AIZ,5m,1729092300000,2024-10-16T15:25:00+00:00,197.14,197.3,196.41,196.42,10710,1729092599999,2024-10-16T15:29:59.999000+00:00,,151,,
AIZ,5m,1729092600000,2024-10-16T15:30:00+00:00,196.37,196.38,195.86,196.24,5248,1729092899999,2024-10-16T15:34:59.999000+00:00,,180,,
AIZ,5m,1729092900000,2024-10-16T15:35:00+00:00,196.2,196.265,196.12,196.12,631,1729093199999,2024-10-16T15:39:59.999000+00:00,,32,,
AIZ,5m,1729093200000,2024-10-16T15:40:00+00:00,196.08,196.41,196.08,196.41,557,1729093499999,2024-10-16T15:44:59.999000+00:00,,26,,
AIZ,5m,1729093500000,2024-10-16T15:45:00+00:00,196.14,196.215,196.14,196.215,315,1729093799999,2024-10-16T15:49:59.999000+00:00,,7,,
AIZ,5m,1729093800000,2024-10-16T15:50:00+00:00,196.22,196.23,196.22,196.23,487,1729094099999,2024-10-16T15:54:59.999000+00:00,,16,,
AIZ,5m,1729094100000,2024-10-16T15:55:00+00:00,196.4,196.4,196.29,196.315,1049,1729094399999,2024-10-16T15:59:59.999000+00:00,,35,,
AIZ,5m,1729094400000,2024-10-16T16:00:00+00:00,196.27,196.27,196.24,196.24,780,1729094699999,2024-10-16T16:04:59.999000+00:00,,31,,
AIZ,5m,1729094700000,2024-10-16T16:05:00+00:00,196.39,196.505,196.3,196.3,1469,1729094999999,2024-10-16T16:09:59.999000+00:00,,84,,
AIZ,5m,1729095000000,2024-10-16T16:10:00+00:00,196.43,196.44,196.43,196.44,373,1729095299999,2024-10-16T16:14:59.999000+00:00,,11,,
AIZ,5m,1729095300000,2024-10-16T16:15:00+00:00,196.5476,196.605,196.49,196.605,2169,1729095599999,2024-10-16T16:19:59.999000+00:00,,52,,
AIZ,5m,1729095600000,2024-10-16T16:20:00+00:00,196.645,196.665,196.56,196.56,905,1729095899999,2024-10-16T16:24:59.999000+00:00,,40,,
AIZ,5m,1729095900000,2024-10-16T16:25:00+00:00,196.51,196.51,196.38,196.38,394,1729096199999,2024-10-16T16:29:59.999000+00:00,,16,,
AIZ,5m,1729096200000,2024-10-16T16:30:00+00:00,196.51,196.53,196.35,196.505,1833,1729096499999,2024-10-16T16:34:59.999000+00:00,,72,,
AIZ,5m,1729097100000,2024-10-16T16:45:00+00:00,196.405,196.405,196.27,196.27,435,1729097399999,2024-10-16T16:49:59.999000+00:00,,29,,
AIZ,5m,1729097400000,2024-10-16T16:50:00+00:00,196.22,196.25,196.22,196.25,527,1729097699999,2024-10-16T16:54:59.999000+00:00,,21,,
AIZ,5m,1729097700000,2024-10-16T16:55:00+00:00,196.18,196.35,196.145,196.35,1962,1729097999999,2024-10-16T16:59:59.999000+00:00,,77,,
AIZ,5m,1729098000000,2024-10-16T17:00:00+00:00,196.35,196.4,196.35,196.4,784,1729098299999,2024-10-16T17:04:59.999000+00:00,,30,,
AIZ,5m,1729098300000,2024-10-16T17:05:00+00:00,196.345,196.48,196.345,196.48,411,1729098599999,2024-10-16T17:09:59.999000+00:00,,19,,
AIZ,5m,1729098600000,2024-10-16T17:10:00+00:00,196.37,196.37,196.37,196.37,130,1729098899999,2024-10-16T17:14:59.999000+00:00,,8,,
AIZ,5m,1729098900000,2024-10-16T17:15:00+00:00,196.37,196.37,196.28,196.295,1500,1729099199999,2024-10-16T17:19:59.999000+00:00,,50,,
AIZ,5m,1729099200000,2024-10-16T17:20:00+00:00,196.27,196.27,196.27,196.27,193,1729099499999,2024-10-16T17:24:59.999000+00:00,,12,,
AIZ,5m,1729099500000,2024-10-16T17:25:00+00:00,196.34,196.36,196.22,196.26,2314,1729099799999,2024-10-16T17:29:59.999000+00:00,,112,,
AIZ,5m,1729099800000,2024-10-16T17:30:00+00:00,196.04,196.08,195.975,195.98,1259,1729100099999,2024-10-16T17:34:59.999000+00:00,,53,,
AIZ,5m,1729100100000,2024-10-16T17:35:00+00:00,195.96,196.12,195.96,196.11,971,1729100399999,2024-10-16T17:39:59.999000+00:00,,47,,
AIZ,5m,1729100400000,2024-10-16T17:40:00+00:00,196.13,196.13,196.13,196.13,106,1729100699999,2024-10-16T17:44:59.999000+00:00,,7,,
AIZ,5m,1729101000000,2024-10-16T17:50:00+00:00,196.235,196.235,196.16,196.16,916,1729101299999,2024-10-16T17:54:59.999000+00:00,,32,,
AIZ,5m,1729101300000,2024-10-16T17:55:00+00:00,196.23,196.39,196.21,196.39,1119,1729101599999,2024-10-16T17:59:59.999000+00:00,,71,,
AIZ,5m,1729101600000,2024-10-16T18:00:00+00:00,196.5,196.53,196.45,196.455,952,1729101899999,2024-10-16T18:04:59.999000+00:00,,51,,
AIZ,5m,1729101900000,2024-10-16T18:05:00+00:00,196.4475,196.4475,196.4475,196.4475,156,1729102199999,2024-10-16T18:09:59.999000+00:00,,4,,
AIZ,5m,1729102200000,2024-10-16T18:10:00+00:00,196.3,196.3,196.24,196.2825,1206,1729102499999,2024-10-16T18:14:59.999000+00:00,,34,,
AIZ,5m,1729102500000,2024-10-16T18:15:00+00:00,196.3,196.41,196.3,196.41,1137,1729102799999,2024-10-16T18:19:59.999000+00:00,,55,,
AIZ,5m,1729102800000,2024-10-16T18:20:00+00:00,196.36,196.71,196.36,196.71,1969,1729103099999,2024-10-16T18:24:59.999000+00:00,,86,,
AIZ,5m,1729103100000,2024-10-16T18:25:00+00:00,196.62,196.7,196.605,196.665,1177,1729103399999,2024-10-16T18:29:59.999000+00:00,,47,,
AIZ,5m,1729103400000,2024-10-16T18:30:00+00:00,196.77,196.79,196.77,196.79,569,1729103699999,2024-10-16T18:34:59.999000+00:00,,30,,
AIZ,5m,1729103700000,2024-10-16T18:35:00+00:00,196.975,196.975,196.81,196.81,1598,1729103999999,2024-10-16T18:39:59.999000+00:00,,70,,
AIZ,5m,1729104000000,2024-10-16T18:40:00+00:00,196.79,196.8,196.67,196.67,1288,1729104299999,2024-10-16T18:44:59.999000+00:00,,49,,
AIZ,5m,1729104300000,2024-10-16T18:45:00+00:00,196.8,196.85,196.765,196.8,2921,1729104599999,2024-10-16T18:49:59.999000+00:00,,120,,
AIZ,5m,1729104600000,2024-10-16T18:50:00+00:00,196.74,196.74,196.73,196.73,718,1729104899999,2024-10-16T18:54:59.999000+00:00,,39,,
AIZ,5m,1729104900000,2024-10-16T18:55:00+00:00,196.6875,196.695,196.54,196.54,1399,1729105199999,2024-10-16T18:59:59.999000+00:00,,54,,
AIZ,5m,1729105200000,2024-10-16T19:00:00+00:00,196.53,196.61,196.33,196.53,3373,1729105499999,2024-10-16T19:04:59.999000+00:00,,144,,
AIZ,5m,1729105500000,2024-10-16T19:05:00+00:00,196.31,196.62,196.31,196.52,2759,1729105799999,2024-10-16T19:09:59.999000+00:00,,124,,
AIZ,5m,1729105800000,2024-10-16T19:10:00+00:00,196.535,196.72,196.535,196.62,2808,1729106099999,2024-10-16T19:14:59.999000+00:00,,91,,
AIZ,5m,1729106100000,2024-10-16T19:15:00+00:00,196.73,196.8,196.685,196.8,2674,1729106399999,2024-10-16T19:19:59.999000+00:00,,124,,
AIZ,5m,1729106400000,2024-10-16T19:20:00+00:00,196.74,196.74,196.4,196.4,4232,1729106699999,2024-10-16T19:24:59.999000+00:00,,131,,
AIZ,5m,1729106700000,2024-10-16T19:25:00+00:00,196.4,196.45,196.265,196.355,3370,1729106999999,2024-10-16T19:29:59.999000+00:00,,155,,
AIZ,5m,1729107000000,2024-10-16T19:30:00+00:00,196.45,196.55,196.385,196.49,2904,1729107299999,2024-10-16T19:34:59.999000+00:00,,150,,
