symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AJG,5m,1729081800000,2024-10-16T12:30:00+00:00,287.6,287.6,287.6,287.6,100,1729082099999,2024-10-16T12:34:59.999000+00:00,,1,,
AJG,5m,1729085400000,2024-10-16T13:30:00+00:00,285.84,287.32,285.5,287.32,9581,1729085699999,2024-10-16T13:34:59.999000+00:00,,147,,
AJG,5m,1729085700000,2024-10-16T13:35:00+00:00,287.57,288.84,287.57,287.57,6424,1729085999999,2024-10-16T13:39:59.999000+00:00,,280,,
AJG,5m,1729086000000,2024-10-16T13:40:00+00:00,287.61,288.275,287.19,288.24,4127,1729086299999,2024-10-16T13:44:59.999000+00:00,,198,,
AJG,5m,1729086300000,2024-10-16T13:45:00+00:00,288.8,289.235,288.09,288.53,5949,1729086599999,2024-10-16T13:49:59.999000+00:00,,164,,
AJG,5m,1729086600000,2024-10-16T13:50:00+00:00,288.52,289.45,288.52,288.975,3206,1729086899999,2024-10-16T13:54:59.999000+00:00,,129,,
AJG,5m,1729086900000,2024-10-16T13:55:00+00:00,288.635,289.34,288.635,288.95,4433,1729087199999,2024-10-16T13:59:59.999000+00:00,,166,,
AJG,5m,1729087200000,2024-10-16T14:00:00+00:00,289.045,290.04,288.885,289.905,10269,1729087499999,2024-10-16T14:04:59.999000+00:00,,308,,
AJG,5m,1729087500000,2024-10-16T14:05:00+00:00,289.77,290.2,289.6,289.6,6354,1729087799999,2024-10-16T14:09:59.999000+00:00,,243,,
AJG,5m,1729087800000,2024-10-16T14:10:00+00:00,289.56,289.885,289.45,289.555,9755,1729088099999,2024-10-16T14:14:59.999000+00:00,,274,,
AJG,5m,1729088100000,2024-10-16T14:15:00+00:00,289.72,290.2,289.72,289.94,5234,1729088399999,2024-10-16T14:19:59.999000+00:00,,164,,
AJG,5m,1729088400000,2024-10-16T14:20:00+00:00,289.76,289.8,289.3,289.8,3156,1729088699999,2024-10-16T14:24:59.999000+00:00,,116,,
AJG,5m,1729088700000,2024-10-16T14:25:00+00:00,289.58,289.655,289.37,289.37,3641,1729088999999,2024-10-16T14:29:59.999000+00:00,,188,,
AJG,5m,1729089000000,2024-10-16T14:30:00+00:00,289.235,289.45,289.18,289.27,4748,1729089299999,2024-10-16T14:34:59.999000+00:00,,135,,
AJG,5m,1729089300000,2024-10-16T14:35:00+00:00,289.275,289.365,289.21,289.365,2351,1729089599999,2024-10-16T14:39:59.999000+00:00,,148,,
AJG,5m,1729089600000,2024-10-16T14:40:00+00:00,289.49,289.59,288.84,288.84,6934,1729089899999,2024-10-16T14:44:59.999000+00:00,,233,,
