symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AKAM,5m,1729065600000,2024-10-16T08:00:00+00:00,104.5,104.5,104.5,104.5,108,1729065899999,2024-10-16T08:04:59.999000+00:00,,5,,
AKAM,5m,1729074300000,2024-10-16T10:25:00+00:00,104.17,104.17,104.17,104.17,103,1729074599999,2024-10-16T10:29:59.999000+00:00,,4,,
AKAM,5m,1729085400000,2024-10-16T13:30:00+00:00,103.31,103.5,103.2515,103.355,11433,1729085699999,2024-10-16T13:34:59.999000+00:00,,121,,
AKAM,5m,1729085700000,2024-10-16T13:35:00+00:00,103.25,103.29,103.095,103.29,2195,1729085999999,2024-10-16T13:39:59.999000+00:00,,102,,
AKAM,5m,1729086000000,2024-10-16T13:40:00+00:00,103.245,103.26,103.215,103.225,1227,1729086299999,2024-10-16T13:44:59.999000+00:00,,32,,
AKAM,5m,1729086300000,2024-10-16T13:45:00+00:00,103.1368,103.33,102.97,102.97,19638,1729086599999,2024-10-16T13:49:59.999000+00:00,,378,,
AKAM,5m,1729086600000,2024-10-16T13:50:00+00:00,102.97,102.98,102.8,102.84,3954,1729086899999,2024-10-16T13:54:59.999000+00:00,,153,,
AKAM,5m,1729086900000,2024-10-16T13:55:00+00:00,102.84,103.01,102.84,103.01,11569,1729087199999,2024-10-16T13:59:59.999000+00:00,,160,,
AKAM,5m,1729087200000,2024-10-16T14:00:00+00:00,103.04,103.28,103,103.22,6770,1729087499999,2024-10-16T14:04:59.999000+00:00,,248,,
AKAM,5m,1729087500000,2024-10-16T14:05:00+00:00,103.26,103.3,103.232,103.232,4685,1729087799999,2024-10-16T14:09:59.999000+00:00,,110,,
AKAM,5m,1729087800000,2024-10-16T14:10:00+00:00,103.22,103.26,103.22,103.26,1279,1729088099999,2024-10-16T14:14:59.999000+00:00,,60,,
AKAM,5m,1729088100000,2024-10-16T14:15:00+00:00,103.285,103.33,103.27,103.275,1627,1729088399999,2024-10-16T14:19:59.999000+00:00,,85,,
AKAM,5m,1729088400000,2024-10-16T14:20:00+00:00,103.29,103.29,103.1049,103.11,9502,1729088699999,2024-10-16T14:24:59.999000+00:00,,252,,
AKAM,5m,1729088700000,2024-10-16T14:25:00+00:00,103.12,103.12,103.03,103.11,3265,1729088999999,2024-10-16T14:29:59.999000+00:00,,168,,
AKAM,5m,1729089000000,2024-10-16T14:30:00+00:00,103.1,103.21,103.09,103.2,4102,1729089299999,2024-10-16T14:34:59.999000+00:00,,156,,
AKAM,5m,1729089300000,2024-10-16T14:35:00+00:00,103.205,103.31,103.1,103.1,3900,1729089599999,2024-10-16T14:39:59.999000+00:00,,201,,
AKAM,5m,1729089600000,2024-10-16T14:40:00+00:00,102.98,103.0475,102.98,103.0475,663,1729089899999,2024-10-16T14:44:59.999000+00:00,,60,,
AKAM,5m,1729089900000,2024-10-16T14:45:00+00:00,103.03,103.03,102.95,102.99,3590,1729090199999,2024-10-16T14:49:59.999000+00:00,,124,,
AKAM,5m,1729090200000,2024-10-16T14:50:00+00:00,103.02,103.175,103,103.17,2693,1729090499999,2024-10-16T14:54:59.999000+00:00,,167,,
AKAM,5m,1729090500000,2024-10-16T14:55:00+00:00,103.11,103.11,102.945,102.945,2499,1729090799999,2024-10-16T14:59:59.999000+00:00,,107,,
AKAM,5m,1729090800000,2024-10-16T15:00:00+00:00,102.955,102.955,102.89,102.915,656,1729091099999,2024-10-16T15:04:59.999000+00:00,,60,,
AKAM,5m,1729091100000,2024-10-16T15:05:00+00:00,102.8904,103.0125,102.88,102.98,4184,1729091399999,2024-10-16T15:09:59.999000+00:00,,173,,
AKAM,5m,1729091400000,2024-10-16T15:10:00+00:00,102.96,102.97,102.93,102.93,4690,1729091699999,2024-10-16T15:14:59.999000+00:00,,175,,
AKAM,5m,1729091700000,2024-10-16T15:15:00+00:00,102.95,102.98,102.94,102.96,1939,1729091999999,2024-10-16T15:19:59.999000+00:00,,93,,
AKAM,5m,1729092000000,2024-10-16T15:20:00+00:00,102.94,102.95,102.8675,102.88,9148,1729092299999,2024-10-16T15:24:59.999000+00:00,,311,,
AKAM,5m,1729092300000,2024-10-16T15:25:00+00:00,102.91,102.93,102.86,102.9,3586,1729092599999,2024-10-16T15:29:59.999000+00:00,,158,,
AKAM,5m,1729092600000,2024-10-16T15:30:00+00:00,102.89,102.91,102.88,102.9,2596,1729092899999,2024-10-16T15:34:59.999000+00:00,,133,,
AKAM,5m,1729092900000,2024-10-16T15:35:00+00:00,102.87,102.94,102.87,102.93,5947,1729093199999,2024-10-16T15:39:59.999000+00:00,,165,,
AKAM,5m,1729093200000,2024-10-16T15:40:00+00:00,102.97,102.97,102.925,102.93,1996,1729093499999,2024-10-16T15:44:59.999000+00:00,,111,,
AKAM,5m,1729093500000,2024-10-16T15:45:00+00:00,102.89,102.89,102.815,102.815,2185,1729093799999,2024-10-16T15:49:59.999000+00:00,,102,,
AKAM,5m,1729093800000,2024-10-16T15:50:00+00:00,102.925,102.925,102.8801,102.8801,1349,1729094099999,2024-10-16T15:54:59.999000+00:00,,74,,
AKAM,5m,1729094100000,2024-10-16T15:55:00+00:00,102.92,102.99,102.91,102.98,4496,1729094399999,2024-10-16T15:59:59.999000+00:00,,201,,
AKAM,5m,1729094400000,2024-10-16T16:00:00+00:00,102.99,103,102.92,102.93,4234,1729094699999,2024-10-16T16:04:59.999000+00:00,,128,,
AKAM,5m,1729094700000,2024-10-16T16:05:00+00:00,102.885,102.9481,102.86,102.9481,2651,1729094999999,2024-10-16T16:09:59.999000+00:00,,149,,
AKAM,5m,1729095000000,2024-10-16T16:10:00+00:00,102.9342,102.99,102.88,102.93,6650,1729095299999,2024-10-16T16:14:59.999000+00:00,,179,,
AKAM,5m,1729095300000,2024-10-16T16:15:00+00:00,102.9125,102.97,102.91,102.97,3431,1729095599999,2024-10-16T16:19:59.999000+00:00,,162,,
AKAM,5m,1729095600000,2024-10-16T16:20:00+00:00,102.92,102.99,102.92,102.95,7599,1729095899999,2024-10-16T16:24:59.999000+00:00,,141,,
AKAM,5m,1729095900000,2024-10-16T16:25:00+00:00,102.93,102.96,102.88,102.88,2356,1729096199999,2024-10-16T16:29:59.999000+00:00,,145,,
AKAM,5m,1729096200000,2024-10-16T16:30:00+00:00,102.91,102.91,102.81,102.81,1749,1729096499999,2024-10-16T16:34:59.999000+00:00,,79,,
AKAM,5m,1729096500000,2024-10-16T16:35:00+00:00,102.805,102.805,102.74,102.78,5657,1729096799999,2024-10-16T16:39:59.999000+00:00,,213,,
AKAM,5m,1729096800000,2024-10-16T16:40:00+00:00,102.815,102.8299,102.79,102.79,1491,1729097099999,2024-10-16T16:44:59.999000+00:00,,56,,
AKAM,5m,1729097100000,2024-10-16T16:45:00+00:00,102.82,102.88,102.81,102.88,2770,1729097399999,2024-10-16T16:49:59.999000+00:00,,104,,
AKAM,5m,1729097400000,2024-10-16T16:50:00+00:00,102.92,102.955,102.88,102.955,5998,1729097699999,2024-10-16T16:54:59.999000+00:00,,173,,
AKAM,5m,1729097700000,2024-10-16T16:55:00+00:00,103.03,103.14,103.02,103.135,14032,1729097999999,2024-10-16T16:59:59.999000+00:00,,270,,
AKAM,5m,1729098000000,2024-10-16T17:00:00+00:00,103.13,103.32,103.13,103.18,22127,1729098299999,2024-10-16T17:04:59.999000+00:00,,324,,
AKAM,5m,1729098300000,2024-10-16T17:05:00+00:00,103.19,103.19,103.07,103.08,5141,1729098599999,2024-10-16T17:09:59.999000+00:00,,163,,
AKAM,5m,1729098600000,2024-10-16T17:10:00+00:00,103.045,103.09,103.045,103.08,1270,1729098899999,2024-10-16T17:14:59.999000+00:00,,53,,
AKAM,5m,1729098900000,2024-10-16T17:15:00+00:00,103.07,103.07,103.01,103.01,1621,1729099199999,2024-10-16T17:19:59.999000+00:00,,77,,
AKAM,5m,1729099500000,2024-10-16T17:25:00+00:00,103.01,103.01,102.95,102.95,1755,1729099799999,2024-10-16T17:29:59.999000+00:00,,94,,
AKAM,5m,1729100100000,2024-10-16T17:35:00+00:00,103.05,103.05,103.03,103.03,377559,1729100399999,2024-10-16T17:39:59.999000+00:00,,113,,
AKAM,5m,1729100400000,2024-10-16T17:40:00+00:00,103.02,103.02,102.92,102.925,6893,1729100699999,2024-10-16T17:44:59.999000+00:00,,190,,
AKAM,5m,1729100700000,2024-10-16T17:45:00+00:00,102.93,102.93,102.91,102.91,734,1729100999999,2024-10-16T17:49:59.999000+00:00,,47,,
AKAM,5m,1729101000000,2024-10-16T17:50:00+00:00,102.95,103.005,102.89,102.89,4079,1729101299999,2024-10-16T17:54:59.999000+00:00,,192,,
AKAM,5m,1729101300000,2024-10-16T17:55:00+00:00,102.945,102.945,102.945,102.945,165,1729101599999,2024-10-16T17:59:59.999000+00:00,,18,,
AKAM,5m,1729101600000,2024-10-16T18:00:00+00:00,103.01,103.09,103.01,103.09,3028,1729101899999,2024-10-16T18:04:59.999000+00:00,,165,,
AKAM,5m,1729101900000,2024-10-16T18:05:00+00:00,103.06,103.07,103.02,103.07,2760,1729102199999,2024-10-16T18:09:59.999000+00:00,,143,,
AKAM,5m,1729102200000,2024-10-16T18:10:00+00:00,103.12,103.145,103.12,103.13,1909,1729102499999,2024-10-16T18:14:59.999000+00:00,,109,,
AKAM,5m,1729102500000,2024-10-16T18:15:00+00:00,103.15,103.15,103.0901,103.124,4075,1729102799999,2024-10-16T18:19:59.999000+00:00,,131,,
AKAM,5m,1729102800000,2024-10-16T18:20:00+00:00,103.13,103.2533,103.13,103.2533,3215,1729103099999,2024-10-16T18:24:59.999000+00:00,,154,,
AKAM,5m,1729103100000,2024-10-16T18:25:00+00:00,103.28,103.39,103.28,103.36,40885,1729103399999,2024-10-16T18:29:59.999000+00:00,,213,,
AKAM,5m,1729103400000,2024-10-16T18:30:00+00:00,103.33,103.35,103.315,103.315,1445,1729103699999,2024-10-16T18:34:59.999000+00:00,,79,,
AKAM,5m,1729103700000,2024-10-16T18:35:00+00:00,103.29,103.34,103.28,103.34,3249,1729103999999,2024-10-16T18:39:59.999000+00:00,,158,,
AKAM,5m,1729104000000,2024-10-16T18:40:00+00:00,103.325,103.36,103.25,103.25,5707,1729104299999,2024-10-16T18:44:59.999000+00:00,,267,,
AKAM,5m,1729104300000,2024-10-16T18:45:00+00:00,103.23,103.31,103.23,103.3,2628,1729104599999,2024-10-16T18:49:59.999000+00:00,,159,,
AKAM,5m,1729104600000,2024-10-16T18:50:00+00:00,103.3,103.3,103.27,103.27,2044,1729104899999,2024-10-16T18:54:59.999000+00:00,,90,,
AKAM,5m,1729104900000,2024-10-16T18:55:00+00:00,103.26,103.27,103.24,103.255,3361,1729105199999,2024-10-16T18:59:59.999000+00:00,,182,,
AKAM,5m,1729105200000,2024-10-16T19:00:00+00:00,103.24,103.28,103.24,103.28,3475,1729105499999,2024-10-16T19:04:59.999000+00:00,,203,,
AKAM,5m,1729105500000,2024-10-16T19:05:00+00:00,103.27,103.27,103.22,103.22,3047,1729105799999,2024-10-16T19:09:59.999000+00:00,,149,,
AKAM,5m,1729105800000,2024-10-16T19:10:00+00:00,103.26,103.275,103.2,103.2,4473,1729106099999,2024-10-16T19:14:59.999000+00:00,,229,,
AKAM,5m,1729106100000,2024-10-16T19:15:00+00:00,103.18,103.2312,103.16,103.17,5388,1729106399999,2024-10-16T19:19:59.999000+00:00,,265,,
