symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ALB,5m,1729065900000,2024-10-16T08:05:00+00:00,95.8,95.8,95.8,95.8,279,1729066199999,2024-10-16T08:09:59.999000+00:00,,8,,
ALB,5m,1729075500000,2024-10-16T10:45:00+00:00,96.4,96.41,96.4,96.41,245,1729075799999,2024-10-16T10:49:59.999000+00:00,,8,,
ALB,5m,1729076100000,2024-10-16T10:55:00+00:00,96.63,96.63,96.63,96.63,129,1729076399999,2024-10-16T10:59:59.999000+00:00,,2,,
ALB,5m,1729076400000,2024-10-16T11:00:00+00:00,96.45,96.45,96.45,96.45,311,1729076699999,2024-10-16T11:04:59.999000+00:00,,4,,
ALB,5m,1729079400000,2024-10-16T11:50:00+00:00,96.39,96.39,96.39,96.39,192,1729079699999,2024-10-16T11:54:59.999000+00:00,,7,,
ALB,5m,1729081500000,2024-10-16T12:25:00+00:00,96.52,96.54,96.52,96.54,401,1729081799999,2024-10-16T12:29:59.999000+00:00,,14,,
ALB,5m,1729082700000,2024-10-16T12:45:00+00:00,96.5,96.5,96.5,96.5,539,1729082999999,2024-10-16T12:49:59.999000+00:00,,10,,
ALB,5m,1729083300000,2024-10-16T12:55:00+00:00,96.65,96.92,96.65,96.92,1415,1729083599999,2024-10-16T12:59:59.999000+00:00,,32,,
ALB,5m,1729083900000,2024-10-16T13:05:00+00:00,96.99,96.99,96.99,96.99,106,1729084199999,2024-10-16T13:09:59.999000+00:00,,3,,
ALB,5m,1729084500000,2024-10-16T13:15:00+00:00,97.02,97.03,97,97,1773,1729084799999,2024-10-16T13:19:59.999000+00:00,,34,,
ALB,5m,1729084800000,2024-10-16T13:20:00+00:00,97,97,97,97,714,1729085099999,2024-10-16T13:24:59.999000+00:00,,7,,
ALB,5m,1729085100000,2024-10-16T13:25:00+00:00,97,97.53,96.9,97.53,2433,1729085399999,2024-10-16T13:29:59.999000+00:00,,36,,
ALB,5m,1729085400000,2024-10-16T13:30:00+00:00,97.84,97.9,96.91,97.1575,69772,1729085699999,2024-10-16T13:34:59.999000+00:00,,499,,
ALB,5m,1729085700000,2024-10-16T13:35:00+00:00,97.27,98.81,97.14,98.8,60196,1729085999999,2024-10-16T13:39:59.999000+00:00,,833,,
ALB,5m,1729086000000,2024-10-16T13:40:00+00:00,98.745,99.67,98.685,99.6,109431,1729086299999,2024-10-16T13:44:59.999000+00:00,,1321,,
ALB,5m,1729086300000,2024-10-16T13:45:00+00:00,99.52,99.52,98.47,98.47,50571,1729086599999,2024-10-16T13:49:59.999000+00:00,,875,,
ALB,5m,1729086600000,2024-10-16T13:50:00+00:00,98.54,98.55,97.865,98.175,18072,1729086899999,2024-10-16T13:54:59.999000+00:00,,483,,
ALB,5m,1729086900000,2024-10-16T13:55:00+00:00,98.18,98.53,98.164,98.2701,15517,1729087199999,2024-10-16T13:59:59.999000+00:00,,501,,
ALB,5m,1729087200000,2024-10-16T14:00:00+00:00,98.3938,98.77,98.22,98.75,22853,1729087499999,2024-10-16T14:04:59.999000+00:00,,566,,
ALB,5m,1729087500000,2024-10-16T14:05:00+00:00,98.7,99.12,98.68,98.985,28774,1729087799999,2024-10-16T14:09:59.999000+00:00,,669,,
ALB,5m,1729087800000,2024-10-16T14:10:00+00:00,98.94,98.94,98.4,98.4,26639,1729088099999,2024-10-16T14:14:59.999000+00:00,,590,,
ALB,5m,1729088100000,2024-10-16T14:15:00+00:00,98.35,98.35,97.7,97.81,32933,1729088399999,2024-10-16T14:19:59.999000+00:00,,672,,
ALB,5m,1729088400000,2024-10-16T14:20:00+00:00,97.75,98.17,97.58,98.17,30888,1729088699999,2024-10-16T14:24:59.999000+00:00,,499,,
ALB,5m,1729088700000,2024-10-16T14:25:00+00:00,98.2,98.23,97.94,98.08,12956,1729088999999,2024-10-16T14:29:59.999000+00:00,,329,,
ALB,5m,1729089000000,2024-10-16T14:30:00+00:00,98.06,98.28,97.98,97.98,10317,1729089299999,2024-10-16T14:34:59.999000+00:00,,304,,
ALB,5m,1729089300000,2024-10-16T14:35:00+00:00,98.002,98.181,97.955,97.96,10449,1729089599999,2024-10-16T14:39:59.999000+00:00,,293,,
ALB,5m,1729089600000,2024-10-16T14:40:00+00:00,97.86,98.165,97.68,98.12,19256,1729089899999,2024-10-16T14:44:59.999000+00:00,,388,,
ALB,5m,1729089900000,2024-10-16T14:45:00+00:00,98.15,98.575,98.15,98.405,19487,1729090199999,2024-10-16T14:49:59.999000+00:00,,400,,
ALB,5m,1729090200000,2024-10-16T14:50:00+00:00,98.58,98.8,98.58,98.6,6203,1729090499999,2024-10-16T14:54:59.999000+00:00,,282,,
ALB,5m,1729090500000,2024-10-16T14:55:00+00:00,98.65,98.768,98.44,98.7,11349,1729090799999,2024-10-16T14:59:59.999000+00:00,,295,,
ALB,5m,1729090800000,2024-10-16T15:00:00+00:00,98.69,98.69,98.41,98.41,7223,1729091099999,2024-10-16T15:04:59.999000+00:00,,221,,
ALB,5m,1729091100000,2024-10-16T15:05:00+00:00,98.425,98.49,98.275,98.3,12814,1729091399999,2024-10-16T15:09:59.999000+00:00,,286,,
ALB,5m,1729091400000,2024-10-16T15:10:00+00:00,98.25,98.44,98.24,98.4,6900,1729091699999,2024-10-16T15:14:59.999000+00:00,,249,,
ALB,5m,1729091700000,2024-10-16T15:15:00+00:00,98.3201,98.387,98.1,98.14,15287,1729091999999,2024-10-16T15:19:59.999000+00:00,,308,,
ALB,5m,1729092000000,2024-10-16T15:20:00+00:00,98.13,98.1899,97.7,97.82,14422,1729092299999,2024-10-16T15:24:59.999000+00:00,,449,,
ALB,5m,1729092300000,2024-10-16T15:25:00+00:00,97.825,97.94,97.765,97.9216,10368,1729092599999,2024-10-16T15:29:59.999000+00:00,,275,,
ALB,5m,1729092600000,2024-10-16T15:30:00+00:00,97.85,97.93,97.705,97.705,4874,1729092899999,2024-10-16T15:34:59.999000+00:00,,189,,
ALB,5m,1729092900000,2024-10-16T15:35:00+00:00,97.705,97.95,97.575,97.6,15797,1729093199999,2024-10-16T15:39:59.999000+00:00,,417,,
ALB,5m,1729093200000,2024-10-16T15:40:00+00:00,97.63,97.94,97.63,97.79,12869,1729093499999,2024-10-16T15:44:59.999000+00:00,,305,,
ALB,5m,1729093500000,2024-10-16T15:45:00+00:00,97.71,97.71,97.29,97.51,19830,1729093799999,2024-10-16T15:49:59.999000+00:00,,406,,
ALB,5m,1729093800000,2024-10-16T15:50:00+00:00,97.51,97.52,97.23,97.25,7690,1729094099999,2024-10-16T15:54:59.999000+00:00,,180,,
ALB,5m,1729094100000,2024-10-16T15:55:00+00:00,97.235,97.6023,97.235,97.4887,19913,1729094399999,2024-10-16T15:59:59.999000+00:00,,414,,
ALB,5m,1729094400000,2024-10-16T16:00:00+00:00,97.46,97.465,97.325,97.37,5927,1729094699999,2024-10-16T16:04:59.999000+00:00,,162,,
ALB,5m,1729094700000,2024-10-16T16:05:00+00:00,97.24,97.35,97.14,97.2211,9353,1729094999999,2024-10-16T16:09:59.999000+00:00,,244,,
ALB,5m,1729095000000,2024-10-16T16:10:00+00:00,97.285,97.285,97.1266,97.17,9876,1729095299999,2024-10-16T16:14:59.999000+00:00,,201,,
ALB,5m,1729095300000,2024-10-16T16:15:00+00:00,97.13,97.2,97.03,97.19,14376,1729095599999,2024-10-16T16:19:59.999000+00:00,,291,,
ALB,5m,1729095600000,2024-10-16T16:20:00+00:00,97.15,97.21,97.05,97.05,18203,1729095899999,2024-10-16T16:24:59.999000+00:00,,285,,
ALB,5m,1729095900000,2024-10-16T16:25:00+00:00,97.09,97.09,96.845,96.9,10938,1729096199999,2024-10-16T16:29:59.999000+00:00,,246,,
ALB,5m,1729096200000,2024-10-16T16:30:00+00:00,96.87,96.93,96.78,96.8112,12553,1729096499999,2024-10-16T16:34:59.999000+00:00,,306,,
ALB,5m,1729096500000,2024-10-16T16:35:00+00:00,96.8,96.94,96.74,96.898,13839,1729096799999,2024-10-16T16:39:59.999000+00:00,,302,,
ALB,5m,1729096800000,2024-10-16T16:40:00+00:00,96.897,97.02,96.88,97.02,6001,1729097099999,2024-10-16T16:44:59.999000+00:00,,198,,
ALB,5m,1729097100000,2024-10-16T16:45:00+00:00,97,97.09,96.97,97.01,4866,1729097399999,2024-10-16T16:49:59.999000+00:00,,192,,
ALB,5m,1729097400000,2024-10-16T16:50:00+00:00,97.01,97.01,96.865,96.865,15913,1729097699999,2024-10-16T16:54:59.999000+00:00,,214,,
ALB,5m,1729097700000,2024-10-16T16:55:00+00:00,96.89,97.04,96.8584,96.895,29392,1729097999999,2024-10-16T16:59:59.999000+00:00,,370,,
ALB,5m,1729098000000,2024-10-16T17:00:00+00:00,96.975,96.975,96.69,96.785,8190,1729098299999,2024-10-16T17:04:59.999000+00:00,,262,,
ALB,5m,1729098300000,2024-10-16T17:05:00+00:00,96.725,96.9496,96.63,96.76,8357,1729098599999,2024-10-16T17:09:59.999000+00:00,,261,,
ALB,5m,1729098600000,2024-10-16T17:10:00+00:00,96.84,96.9,96.795,96.9,4059,1729098899999,2024-10-16T17:14:59.999000+00:00,,144,,
ALB,5m,1729098900000,2024-10-16T17:15:00+00:00,96.85,97,96.85,96.98,7333,1729099199999,2024-10-16T17:19:59.999000+00:00,,245,,
ALB,5m,1729099200000,2024-10-16T17:20:00+00:00,96.975,97.15,96.975,97.15,10827,1729099499999,2024-10-16T17:24:59.999000+00:00,,282,,
ALB,5m,1729099500000,2024-10-16T17:25:00+00:00,97.17,97.22,97.1,97.165,6833,1729099799999,2024-10-16T17:29:59.999000+00:00,,271,,
ALB,5m,1729099800000,2024-10-16T17:30:00+00:00,97.17,97.39,97.165,97.23,29632,1729100099999,2024-10-16T17:34:59.999000+00:00,,449,,
ALB,5m,1729100100000,2024-10-16T17:35:00+00:00,97.19,97.19,97,97.11,12472,1729100399999,2024-10-16T17:39:59.999000+00:00,,296,,
ALB,5m,1729100400000,2024-10-16T17:40:00+00:00,97.14,97.27,97.11,97.25,10702,1729100699999,2024-10-16T17:44:59.999000+00:00,,243,,
ALB,5m,1729100700000,2024-10-16T17:45:00+00:00,97.2619,97.4,97.26,97.26,10471,1729100999999,2024-10-16T17:49:59.999000+00:00,,241,,
ALB,5m,1729101000000,2024-10-16T17:50:00+00:00,97.24,97.25,97.17,97.21,7100,1729101299999,2024-10-16T17:54:59.999000+00:00,,211,,
ALB,5m,1729101300000,2024-10-16T17:55:00+00:00,97.23,97.405,97.23,97.3993,7244,1729101599999,2024-10-16T17:59:59.999000+00:00,,252,,
ALB,5m,1729101600000,2024-10-16T18:00:00+00:00,97.39,97.43,97.36,97.4108,7935,1729101899999,2024-10-16T18:04:59.999000+00:00,,250,,
ALB,5m,1729101900000,2024-10-16T18:05:00+00:00,97.42,97.9,97.42,97.9,12342,1729102199999,2024-10-16T18:09:59.999000+00:00,,358,,
ALB,5m,1729102200000,2024-10-16T18:10:00+00:00,97.86,98.3,97.86,98.3,13565,1729102499999,2024-10-16T18:14:59.999000+00:00,,378,,
ALB,5m,1729102500000,2024-10-16T18:15:00+00:00,98.28,98.33,98.12,98.13,15310,1729102799999,2024-10-16T18:19:59.999000+00:00,,418,,
ALB,5m,1729102800000,2024-10-16T18:20:00+00:00,98.11,98.15,97.965,97.98,14387,1729103099999,2024-10-16T18:24:59.999000+00:00,,298,,
ALB,5m,1729103100000,2024-10-16T18:25:00+00:00,97.96,97.96,97.78,97.8039,9220,1729103399999,2024-10-16T18:29:59.999000+00:00,,240,,
ALB,5m,1729103400000,2024-10-16T18:30:00+00:00,97.76,97.88,97.7,97.8,9704,1729103699999,2024-10-16T18:34:59.999000+00:00,,323,,
ALB,5m,1729103700000,2024-10-16T18:35:00+00:00,97.82,97.83,97.7048,97.79,6526,1729103999999,2024-10-16T18:39:59.999000+00:00,,220,,
ALB,5m,1729104000000,2024-10-16T18:40:00+00:00,97.84,97.84,97.755,97.785,7276,1729104299999,2024-10-16T18:44:59.999000+00:00,,217,,
ALB,5m,1729104300000,2024-10-16T18:45:00+00:00,97.79,97.95,97.78,97.93,12273,1729104599999,2024-10-16T18:49:59.999000+00:00,,334,,
ALB,5m,1729104600000,2024-10-16T18:50:00+00:00,97.91,98.33,97.9,98.32,32688,1729104899999,2024-10-16T18:54:59.999000+00:00,,562,,
ALB,5m,1729104900000,2024-10-16T18:55:00+00:00,98.312369,98.98,98.312369,98.8847,87448,1729105199999,2024-10-16T18:59:59.999000+00:00,,1160,,
ALB,5m,1729105200000,2024-10-16T19:00:00+00:00,98.92,98.92,98.53,98.72,15209,1729105499999,2024-10-16T19:04:59.999000+00:00,,493,,
ALB,5m,1729105500000,2024-10-16T19:05:00+00:00,98.72,98.78,98.56,98.74,18284,1729105799999,2024-10-16T19:09:59.999000+00:00,,499,,
ALB,5m,1729105800000,2024-10-16T19:10:00+00:00,98.75,98.75,98.27,98.46,13297,1729106099999,2024-10-16T19:14:59.999000+00:00,,422,,
ALB,5m,1729106100000,2024-10-16T19:15:00+00:00,98.46,98.59,98.29,98.36,13037,1729106399999,2024-10-16T19:19:59.999000+00:00,,352,,
ALB,5m,1729106400000,2024-10-16T19:20:00+00:00,98.36,98.36,98.11,98.24,15396,1729106699999,2024-10-16T19:24:59.999000+00:00,,424,,
ALB,5m,1729106700000,2024-10-16T19:25:00+00:00,98.2,98.38,98.11,98.11,19600,1729106999999,2024-10-16T19:29:59.999000+00:00,,481,,
ALB,5m,1729107000000,2024-10-16T19:30:00+00:00,98.09,98.29,98.075,98.23,18635,1729107299999,2024-10-16T19:34:59.999000+00:00,,615,,
ALB,5m,1729107300000,2024-10-16T19:35:00+00:00,98.2,98.2,97.76,97.76,20821,1729107599999,2024-10-16T19:39:59.999000+00:00,,467,,
ALB,5m,1729107600000,2024-10-16T19:40:00+00:00,97.769,97.89,97.73,97.865,27234,1729107899999,2024-10-16T19:44:59.999000+00:00,,690,,
ALB,5m,1729107900000,2024-10-16T19:45:00+00:00,97.84,97.85,97.6,97.68,20381,1729108199999,2024-10-16T19:49:59.999000+00:00,,674,,
ALB,5m,1729108200000,2024-10-16T19:50:00+00:00,97.66,98.22,97.62,98.22,54123,1729108499999,2024-10-16T19:54:59.999000+00:00,,1301,,
ALB,5m,1729108500000,2024-10-16T19:55:00+00:00,98.2,98.35,98.11,98.23,159778,1729108799999,2024-10-16T19:59:59.999000+00:00,,2482,,
ALB,5m,1729108800000,2024-10-16T20:00:00+00:00,98.25,98.25,98.25,98.25,4162,1729109099999,2024-10-16T20:04:59.999000+00:00,,27,,
