symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ALL,5m,1729085400000,2024-10-16T13:30:00+00:00,192.2,193.36,192.2,193.23,19951,1729085699999,2024-10-16T13:34:59.999000+00:00,,236,,
ALL,5m,1729085700000,2024-10-16T13:35:00+00:00,194.07,194.07,192.94,192.94,4397,1729085999999,2024-10-16T13:39:59.999000+00:00,,182,,
ALL,5m,1729086000000,2024-10-16T13:40:00+00:00,192.9603,193.85,192.74,193.85,7063,1729086299999,2024-10-16T13:44:59.999000+00:00,,121,,
ALL,5m,1729086300000,2024-10-16T13:45:00+00:00,193.86,194.315,193.6364,194.3,12780,1729086599999,2024-10-16T13:49:59.999000+00:00,,290,,
ALL,5m,1729086600000,2024-10-16T13:50:00+00:00,194.225,194.37,194.18,194.37,3486,1729086899999,2024-10-16T13:54:59.999000+00:00,,88,,
ALL,5m,1729086900000,2024-10-16T13:55:00+00:00,194.255,194.99,194.255,194.9,6148,1729087199999,2024-10-16T13:59:59.999000+00:00,,190,,
ALL,5m,1729087200000,2024-10-16T14:00:00+00:00,194.935,195.5567,194.935,195.52,33473,1729087499999,2024-10-16T14:04:59.999000+00:00,,552,,
ALL,5m,1729087500000,2024-10-16T14:05:00+00:00,195.49,195.55,194.58,195.05,14429,1729087799999,2024-10-16T14:09:59.999000+00:00,,402,,
ALL,5m,1729087800000,2024-10-16T14:10:00+00:00,194.945,195.18,194.285,194.41,26524,1729088099999,2024-10-16T14:14:59.999000+00:00,,618,,
ALL,5m,1729088100000,2024-10-16T14:15:00+00:00,194.5,195.27,194.495,195.01,26077,1729088399999,2024-10-16T14:19:59.999000+00:00,,488,,
ALL,5m,1729088400000,2024-10-16T14:20:00+00:00,195,195.09,194.515,194.515,225291,1729088699999,2024-10-16T14:24:59.999000+00:00,,901,,
ALL,5m,1729088700000,2024-10-16T14:25:00+00:00,194.34,194.38,194.1,194.18,6855,1729088999999,2024-10-16T14:29:59.999000+00:00,,189,,
ALL,5m,1729089000000,2024-10-16T14:30:00+00:00,194.16,194.46,193.99,194.44,7973,1729089299999,2024-10-16T14:34:59.999000+00:00,,216,,
ALL,5m,1729089300000,2024-10-16T14:35:00+00:00,194.54,194.69,193.88,193.88,9651,1729089599999,2024-10-16T14:39:59.999000+00:00,,217,,
ALL,5m,1729089600000,2024-10-16T14:40:00+00:00,194.1,194.55,194.02,194.37,11098,1729089899999,2024-10-16T14:44:59.999000+00:00,,269,,
ALL,5m,1729089900000,2024-10-16T14:45:00+00:00,194.26,194.316,193.92,193.975,7697,1729090199999,2024-10-16T14:49:59.999000+00:00,,158,,
ALL,5m,1729090200000,2024-10-16T14:50:00+00:00,193.86,194.3,193.86,194.3,5622,1729090499999,2024-10-16T14:54:59.999000+00:00,,137,,
ALL,5m,1729090500000,2024-10-16T14:55:00+00:00,194.4,194.68,194.32,194.645,13545,1729090799999,2024-10-16T14:59:59.999000+00:00,,284,,
ALL,5m,1729090800000,2024-10-16T15:00:00+00:00,194.62,194.9491,194.43,194.79,9980,1729091099999,2024-10-16T15:04:59.999000+00:00,,199,,
ALL,5m,1729091100000,2024-10-16T15:05:00+00:00,194.39,194.4045,194.19,194.245,1342,1729091399999,2024-10-16T15:09:59.999000+00:00,,45,,
ALL,5m,1729091400000,2024-10-16T15:10:00+00:00,194.12,194.12,193.85,193.85,2815,1729091699999,2024-10-16T15:14:59.999000+00:00,,95,,
ALL,5m,1729091700000,2024-10-16T15:15:00+00:00,193.86,194.24,193.81,194.24,5661,1729091999999,2024-10-16T15:19:59.999000+00:00,,153,,
ALL,5m,1729092000000,2024-10-16T15:20:00+00:00,194.22,194.45,194.15,194.31,9642,1729092299999,2024-10-16T15:24:59.999000+00:00,,212,,
