symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AMP,5m,1729065900000,2024-10-16T08:05:00+00:00,513.91,513.91,513.91,513.91,154,1729066199999,2024-10-16T08:09:59.999000+00:00,,10,,
AMP,5m,1729085400000,2024-10-16T13:30:00+00:00,510.7,513.125,510.7,511.64,10014,1729085699999,2024-10-16T13:34:59.999000+00:00,,227,,
AMP,5m,1729085700000,2024-10-16T13:35:00+00:00,511.925,512.57,511.56,512.57,1608,1729085999999,2024-10-16T13:39:59.999000+00:00,,75,,
AMP,5m,1729086000000,2024-10-16T13:40:00+00:00,512.53,513.44,512.53,513.44,1478,1729086299999,2024-10-16T13:44:59.999000+00:00,,66,,
AMP,5m,1729086300000,2024-10-16T13:45:00+00:00,513.405,514.59,513.405,514.31,9804,1729086599999,2024-10-16T13:49:59.999000+00:00,,140,,
AMP,5m,1729086600000,2024-10-16T13:50:00+00:00,514.165,515.06,514.165,514.46,2696,1729086899999,2024-10-16T13:54:59.999000+00:00,,126,,
AMP,5m,1729086900000,2024-10-16T13:55:00+00:00,514.43,514.78,514.18,514.2,3144,1729087199999,2024-10-16T13:59:59.999000+00:00,,139,,
AMP,5m,1729087200000,2024-10-16T14:00:00+00:00,514.2,514.82,514.2,514.82,2992,1729087499999,2024-10-16T14:04:59.999000+00:00,,186,,
AMP,5m,1729087500000,2024-10-16T14:05:00+00:00,515.48,515.59,514.64,514.64,1541,1729087799999,2024-10-16T14:09:59.999000+00:00,,58,,
AMP,5m,1729087800000,2024-10-16T14:10:00+00:00,515.111,515.111,512.95,513.635,5457,1729088099999,2024-10-16T14:14:59.999000+00:00,,187,,
AMP,5m,1729088100000,2024-10-16T14:15:00+00:00,513.06,514.21,513.06,513.91,2920,1729088399999,2024-10-16T14:19:59.999000+00:00,,110,,
AMP,5m,1729088400000,2024-10-16T14:20:00+00:00,513.4,513.44,512.36,512.91,3128,1729088699999,2024-10-16T14:24:59.999000+00:00,,95,,
AMP,5m,1729088700000,2024-10-16T14:25:00+00:00,514.15,514.7,513.72,513.72,2291,1729088999999,2024-10-16T14:29:59.999000+00:00,,82,,
AMP,5m,1729089000000,2024-10-16T14:30:00+00:00,514.44,514.56,514.44,514.56,1355,1729089299999,2024-10-16T14:34:59.999000+00:00,,91,,
AMP,5m,1729089300000,2024-10-16T14:35:00+00:00,514.925,514.925,514.02,514.325,3075,1729089599999,2024-10-16T14:39:59.999000+00:00,,133,,
AMP,5m,1729089600000,2024-10-16T14:40:00+00:00,514.04,514.04,512.88,513.71,2372,1729089899999,2024-10-16T14:44:59.999000+00:00,,79,,
AMP,5m,1729089900000,2024-10-16T14:45:00+00:00,513.91,513.98,513.71,513.98,1223,1729090199999,2024-10-16T14:49:59.999000+00:00,,71,,
AMP,5m,1729090200000,2024-10-16T14:50:00+00:00,513.915,514.24,513.7,514.08,2831,1729090499999,2024-10-16T14:54:59.999000+00:00,,78,,
AMP,5m,1729090500000,2024-10-16T14:55:00+00:00,513.97,514.55,513.56,514.55,5028,1729090799999,2024-10-16T14:59:59.999000+00:00,,198,,
AMP,5m,1729090800000,2024-10-16T15:00:00+00:00,514.4,514.4,514.39,514.39,960,1729091099999,2024-10-16T15:04:59.999000+00:00,,71,,
AMP,5m,1729091100000,2024-10-16T15:05:00+00:00,514.27,514.27,513.705,513.73,4018,1729091399999,2024-10-16T15:09:59.999000+00:00,,188,,
AMP,5m,1729091400000,2024-10-16T15:10:00+00:00,513.73,513.875,513.58,513.58,1594,1729091699999,2024-10-16T15:14:59.999000+00:00,,99,,
AMP,5m,1729091700000,2024-10-16T15:15:00+00:00,513.56,513.92,513.56,513.77,1785,1729091999999,2024-10-16T15:19:59.999000+00:00,,78,,
AMP,5m,1729092000000,2024-10-16T15:20:00+00:00,513.77,513.96,513.555,513.555,3304,1729092299999,2024-10-16T15:24:59.999000+00:00,,143,,
AMP,5m,1729092300000,2024-10-16T15:25:00+00:00,513.76,514.04,513.7,514.04,4276,1729092599999,2024-10-16T15:29:59.999000+00:00,,159,,
AMP,5m,1729092600000,2024-10-16T15:30:00+00:00,513.91,513.92,513.75,513.825,1696,1729092899999,2024-10-16T15:34:59.999000+00:00,,89,,
AMP,5m,1729092900000,2024-10-16T15:35:00+00:00,513.78,513.78,513.78,513.78,178,1729093199999,2024-10-16T15:39:59.999000+00:00,,9,,
AMP,5m,1729093200000,2024-10-16T15:40:00+00:00,513.51,514.2,513.51,514.2,1057,1729093499999,2024-10-16T15:44:59.999000+00:00,,59,,
AMP,5m,1729093500000,2024-10-16T15:45:00+00:00,514.214,514.214,513.87,513.9135,3395,1729093799999,2024-10-16T15:49:59.999000+00:00,,187,,
AMP,5m,1729093800000,2024-10-16T15:50:00+00:00,513.64,513.67,513.64,513.64,1120,1729094099999,2024-10-16T15:54:59.999000+00:00,,53,,
AMP,5m,1729094100000,2024-10-16T15:55:00+00:00,513.64,514.195,513.64,513.7,2427,1729094399999,2024-10-16T15:59:59.999000+00:00,,105,,
AMP,5m,1729094400000,2024-10-16T16:00:00+00:00,513.865,514.11,513.78,514.105,4426,1729094699999,2024-10-16T16:04:59.999000+00:00,,164,,
AMP,5m,1729094700000,2024-10-16T16:05:00+00:00,514.1,514.395,514.1,514.15,3211,1729094999999,2024-10-16T16:09:59.999000+00:00,,114,,
AMP,5m,1729095000000,2024-10-16T16:10:00+00:00,514.23,514.23,514.09,514.09,1435,1729095299999,2024-10-16T16:14:59.999000+00:00,,59,,
AMP,5m,1729095300000,2024-10-16T16:15:00+00:00,513.8,514.145,513.8,513.95,1157,1729095599999,2024-10-16T16:19:59.999000+00:00,,71,,
AMP,5m,1729095600000,2024-10-16T16:20:00+00:00,513.95,513.95,513.85,513.85,1147,1729095899999,2024-10-16T16:24:59.999000+00:00,,52,,
AMP,5m,1729095900000,2024-10-16T16:25:00+00:00,513.8,513.8,512.545,512.76,4870,1729096199999,2024-10-16T16:29:59.999000+00:00,,236,,
AMP,5m,1729096200000,2024-10-16T16:30:00+00:00,513.2425,513.2425,512.425,512.525,2769,1729096499999,2024-10-16T16:34:59.999000+00:00,,126,,
AMP,5m,1729096500000,2024-10-16T16:35:00+00:00,512.76,512.94,512.545,512.79,3040,1729096799999,2024-10-16T16:39:59.999000+00:00,,64,,
AMP,5m,1729096800000,2024-10-16T16:40:00+00:00,512.81,512.915,512.66,512.66,3217,1729097099999,2024-10-16T16:44:59.999000+00:00,,180,,
AMP,5m,1729097100000,2024-10-16T16:45:00+00:00,512.81,512.81,512.67,512.7,1967,1729097399999,2024-10-16T16:49:59.999000+00:00,,67,,
AMP,5m,1729097400000,2024-10-16T16:50:00+00:00,512.58,512.85,512.58,512.6,1109,1729097699999,2024-10-16T16:54:59.999000+00:00,,47,,
AMP,5m,1729097700000,2024-10-16T16:55:00+00:00,512.6,512.715,512.105,512.105,1578,1729097999999,2024-10-16T16:59:59.999000+00:00,,83,,
AMP,5m,1729098000000,2024-10-16T17:00:00+00:00,512.35,512.365,512.12,512.34,1952,1729098299999,2024-10-16T17:04:59.999000+00:00,,98,,
AMP,5m,1729098300000,2024-10-16T17:05:00+00:00,512.13,512.424,511.62,512.05,1830,1729098599999,2024-10-16T17:09:59.999000+00:00,,97,,
AMP,5m,1729098600000,2024-10-16T17:10:00+00:00,511.68,511.82,511.68,511.82,1317,1729098899999,2024-10-16T17:14:59.999000+00:00,,112,,
AMP,5m,1729098900000,2024-10-16T17:15:00+00:00,511.525,511.54,511.445,511.445,1200,1729099199999,2024-10-16T17:19:59.999000+00:00,,72,,
