symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AON,5m,1729085400000,2024-10-16T13:30:00+00:00,356.14,357.53,355.67,356.905,11383,1729085699999,2024-10-16T13:34:59.999000+00:00,,185,,
AON,5m,1729085700000,2024-10-16T13:35:00+00:00,356.935,357.81,356.935,357.45,13583,1729085999999,2024-10-16T13:39:59.999000+00:00,,155,,
AON,5m,1729086000000,2024-10-16T13:40:00+00:00,357.45,358.02,356.75,358.02,3930,1729086299999,2024-10-16T13:44:59.999000+00:00,,103,,
AON,5m,1729086300000,2024-10-16T13:45:00+00:00,359.3,359.3,358.26,358.45,6426,1729086599999,2024-10-16T13:49:59.999000+00:00,,146,,
AON,5m,1729086600000,2024-10-16T13:50:00+00:00,358.5,358.98,358.2,358.955,9858,1729086899999,2024-10-16T13:54:59.999000+00:00,,180,,
AON,5m,1729086900000,2024-10-16T13:55:00+00:00,359.18,359.51,359.18,359.225,1933,1729087199999,2024-10-16T13:59:59.999000+00:00,,43,,
AON,5m,1729087200000,2024-10-16T14:00:00+00:00,359.58,359.73,359.2,359.2,4386,1729087499999,2024-10-16T14:04:59.999000+00:00,,137,,
AON,5m,1729087500000,2024-10-16T14:05:00+00:00,359.035,359.275,358.89,358.89,2250,1729087799999,2024-10-16T14:09:59.999000+00:00,,92,,
AON,5m,1729087800000,2024-10-16T14:10:00+00:00,358.78,359.14,358.24,358.24,6027,1729088099999,2024-10-16T14:14:59.999000+00:00,,172,,
AON,5m,1729088100000,2024-10-16T14:15:00+00:00,358.66,358.94,358.66,358.72,5549,1729088399999,2024-10-16T14:19:59.999000+00:00,,152,,
AON,5m,1729088400000,2024-10-16T14:20:00+00:00,358.93,358.94,357.84,358.16,8303,1729088699999,2024-10-16T14:24:59.999000+00:00,,206,,
AON,5m,1729088700000,2024-10-16T14:25:00+00:00,358.14,358.41,357.9975,358.15,3403,1729088999999,2024-10-16T14:29:59.999000+00:00,,86,,
AON,5m,1729089000000,2024-10-16T14:30:00+00:00,358.15,358.15,357.54,357.76,15232,1729089299999,2024-10-16T14:34:59.999000+00:00,,296,,
AON,5m,1729089300000,2024-10-16T14:35:00+00:00,357.96,358.53,357.75,358.385,7203,1729089599999,2024-10-16T14:39:59.999000+00:00,,158,,
AON,5m,1729089600000,2024-10-16T14:40:00+00:00,358.44,358.61,358.05,358.245,3949,1729089899999,2024-10-16T14:44:59.999000+00:00,,102,,
AON,5m,1729089900000,2024-10-16T14:45:00+00:00,358.01,358.01,357.435,357.435,1879,1729090199999,2024-10-16T14:49:59.999000+00:00,,71,,
AON,5m,1729090200000,2024-10-16T14:50:00+00:00,357.365,358.04,357.365,358.04,6971,1729090499999,2024-10-16T14:54:59.999000+00:00,,156,,
AON,5m,1729090500000,2024-10-16T14:55:00+00:00,357.92,358.36,357.92,358.18,8826,1729090799999,2024-10-16T14:59:59.999000+00:00,,220,,
AON,5m,1729090800000,2024-10-16T15:00:00+00:00,358.18,358.35,358,358.15,5082,1729091099999,2024-10-16T15:04:59.999000+00:00,,158,,
AON,5m,1729091100000,2024-10-16T15:05:00+00:00,358.03,358.03,357.67,357.77,3636,1729091399999,2024-10-16T15:09:59.999000+00:00,,154,,
AON,5m,1729091400000,2024-10-16T15:10:00+00:00,357.84,357.98,357.63,357.78,5852,1729091699999,2024-10-16T15:14:59.999000+00:00,,110,,
AON,5m,1729091700000,2024-10-16T15:15:00+00:00,357.77,357.97,357.67,357.81,6975,1729091999999,2024-10-16T15:19:59.999000+00:00,,164,,
AON,5m,1729092000000,2024-10-16T15:20:00+00:00,357.6847,358.05,357.6847,357.91,9318,1729092299999,2024-10-16T15:24:59.999000+00:00,,206,,
AON,5m,1729092300000,2024-10-16T15:25:00+00:00,357.91,357.92,357.84,357.92,2496,1729092599999,2024-10-16T15:29:59.999000+00:00,,72,,
AON,5m,1729092600000,2024-10-16T15:30:00+00:00,357.915,358.41,357.915,358.2525,6403,1729092899999,2024-10-16T15:34:59.999000+00:00,,176,,
AON,5m,1729092900000,2024-10-16T15:35:00+00:00,358.2,358.2,357.84,357.95,4153,1729093199999,2024-10-16T15:39:59.999000+00:00,,158,,
AON,5m,1729093200000,2024-10-16T15:40:00+00:00,358.08,358.655,358.08,358.6475,7272,1729093499999,2024-10-16T15:44:59.999000+00:00,,198,,
AON,5m,1729093500000,2024-10-16T15:45:00+00:00,358.65,359.08,358.54,359,7637,1729093799999,2024-10-16T15:49:59.999000+00:00,,133,,
AON,5m,1729093800000,2024-10-16T15:50:00+00:00,359.015,359.16,358.82,358.93,4756,1729094099999,2024-10-16T15:54:59.999000+00:00,,189,,
AON,5m,1729094100000,2024-10-16T15:55:00+00:00,358.6,358.99,358.6,358.795,7567,1729094399999,2024-10-16T15:59:59.999000+00:00,,164,,
AON,5m,1729094400000,2024-10-16T16:00:00+00:00,358.7975,359.05,358.77,358.77,5340,1729094699999,2024-10-16T16:04:59.999000+00:00,,144,,
AON,5m,1729094700000,2024-10-16T16:05:00+00:00,358.94,359,358.885,359,681,1729094999999,2024-10-16T16:09:59.999000+00:00,,36,,
AON,5m,1729095000000,2024-10-16T16:10:00+00:00,358.72,358.98,358.715,358.885,1564,1729095299999,2024-10-16T16:14:59.999000+00:00,,65,,
AON,5m,1729095300000,2024-10-16T16:15:00+00:00,359.03,359.03,358.82,358.82,1810,1729095599999,2024-10-16T16:19:59.999000+00:00,,64,,
AON,5m,1729095600000,2024-10-16T16:20:00+00:00,358.925,358.925,358.435,358.665,7382,1729095899999,2024-10-16T16:24:59.999000+00:00,,201,,
AON,5m,1729095900000,2024-10-16T16:25:00+00:00,358.665,358.775,358.45,358.56,2179,1729096199999,2024-10-16T16:29:59.999000+00:00,,61,,
AON,5m,1729096200000,2024-10-16T16:30:00+00:00,358.79,359.15,358.5301,359.005,15496,1729096499999,2024-10-16T16:34:59.999000+00:00,,352,,
AON,5m,1729096500000,2024-10-16T16:35:00+00:00,359.01,359.24,359.005,359.13,6435,1729096799999,2024-10-16T16:39:59.999000+00:00,,138,,
AON,5m,1729096800000,2024-10-16T16:40:00+00:00,359.13,359.21,359.13,359.21,649,1729097099999,2024-10-16T16:44:59.999000+00:00,,32,,
