symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
APA,5m,1729065600000,2024-10-16T08:00:00+00:00,24.97,24.97,24.94,24.94,1195,1729065899999,2024-10-16T08:04:59.999000+00:00,,14,,
APA,5m,1729067100000,2024-10-16T08:25:00+00:00,25,25,24.9,24.9,919,1729067399999,2024-10-16T08:29:59.999000+00:00,,11,,
APA,5m,1729071300000,2024-10-16T09:35:00+00:00,24.99,24.99,24.97,24.97,500,1729071599999,2024-10-16T09:39:59.999000+00:00,,4,,
APA,5m,1729071600000,2024-10-16T09:40:00+00:00,24.94,24.94,24.94,24.94,200,1729071899999,2024-10-16T09:44:59.999000+00:00,,3,,
APA,5m,1729073400000,2024-10-16T10:10:00+00:00,25,25,24.99,24.99,609,1729073699999,2024-10-16T10:14:59.999000+00:00,,15,,
APA,5m,1729074600000,2024-10-16T10:30:00+00:00,24.95,24.95,24.94,24.94,602,1729074899999,2024-10-16T10:34:59.999000+00:00,,6,,
APA,5m,1729075800000,2024-10-16T10:50:00+00:00,24.85,24.85,24.81,24.81,500,1729076099999,2024-10-16T10:54:59.999000+00:00,,6,,
APA,5m,1729076100000,2024-10-16T10:55:00+00:00,24.82,24.82,24.82,24.82,160,1729076399999,2024-10-16T10:59:59.999000+00:00,,2,,
APA,5m,1729076400000,2024-10-16T11:00:00+00:00,24.92,24.92,24.92,24.92,100,1729076699999,2024-10-16T11:04:59.999000+00:00,,1,,
APA,5m,1729079100000,2024-10-16T11:45:00+00:00,24.95,24.95,24.9,24.9,1280,1729079399999,2024-10-16T11:49:59.999000+00:00,,12,,
APA,5m,1729079700000,2024-10-16T11:55:00+00:00,24.95,24.98,24.95,24.98,900,1729079999999,2024-10-16T11:59:59.999000+00:00,,5,,
APA,5m,1729080000000,2024-10-16T12:00:00+00:00,24.87,25,24.87,24.97,679,1729080299999,2024-10-16T12:04:59.999000+00:00,,13,,
APA,5m,1729080900000,2024-10-16T12:15:00+00:00,24.99,24.99,24.99,24.99,300,1729081199999,2024-10-16T12:19:59.999000+00:00,,1,,
APA,5m,1729081200000,2024-10-16T12:20:00+00:00,24.99,24.99,24.99,24.99,100,1729081499999,2024-10-16T12:24:59.999000+00:00,,1,,
APA,5m,1729081800000,2024-10-16T12:30:00+00:00,25.01,25.01,25,25.01,315,1729082099999,2024-10-16T12:34:59.999000+00:00,,3,,
APA,5m,1729082700000,2024-10-16T12:45:00+00:00,24.99,25,24.99,25,1003,1729082999999,2024-10-16T12:49:59.999000+00:00,,2,,
APA,5m,1729083300000,2024-10-16T12:55:00+00:00,25.08,25.08,25.08,25.08,400,1729083599999,2024-10-16T12:59:59.999000+00:00,,3,,
APA,5m,1729083900000,2024-10-16T13:05:00+00:00,25.01,25.06,25.0003,25.05,405,1729084199999,2024-10-16T13:09:59.999000+00:00,,5,,
APA,5m,1729084200000,2024-10-16T13:10:00+00:00,25,25.02,25,25,596,1729084499999,2024-10-16T13:14:59.999000+00:00,,6,,
APA,5m,1729085100000,2024-10-16T13:25:00+00:00,24.94,24.94,24.94,24.94,160,1729085399999,2024-10-16T13:29:59.999000+00:00,,1,,
APA,5m,1729085400000,2024-10-16T13:30:00+00:00,24.95,25.12,24.94,24.97,130303,1729085699999,2024-10-16T13:34:59.999000+00:00,,798,,
APA,5m,1729085700000,2024-10-16T13:35:00+00:00,24.98,25.08,24.93,25.06,42028,1729085999999,2024-10-16T13:39:59.999000+00:00,,475,,
APA,5m,1729086000000,2024-10-16T13:40:00+00:00,25.07,25.07,24.955,25.03,40311,1729086299999,2024-10-16T13:44:59.999000+00:00,,451,,
APA,5m,1729086300000,2024-10-16T13:45:00+00:00,25.02,25.11,24.995,24.9961,29787,1729086599999,2024-10-16T13:49:59.999000+00:00,,445,,
APA,5m,1729086600000,2024-10-16T13:50:00+00:00,24.995,25.02,24.94,24.955,29897,1729086899999,2024-10-16T13:54:59.999000+00:00,,422,,
APA,5m,1729086900000,2024-10-16T13:55:00+00:00,24.965,25.02,24.95,24.97,24020,1729087199999,2024-10-16T13:59:59.999000+00:00,,311,,
APA,5m,1729087200000,2024-10-16T14:00:00+00:00,24.98,25,24.93,24.94,28817,1729087499999,2024-10-16T14:04:59.999000+00:00,,436,,
APA,5m,1729087500000,2024-10-16T14:05:00+00:00,24.95,25.045,24.92,25.0149,46416,1729087799999,2024-10-16T14:09:59.999000+00:00,,472,,
APA,5m,1729087800000,2024-10-16T14:10:00+00:00,25.015,25.0301,24.99,25.005,32407,1729088099999,2024-10-16T14:14:59.999000+00:00,,428,,
APA,5m,1729088100000,2024-10-16T14:15:00+00:00,25,25.1,24.9813,25.09,57336,1729088399999,2024-10-16T14:19:59.999000+00:00,,712,,
APA,5m,1729088400000,2024-10-16T14:20:00+00:00,25.095,25.1,24.98,25,44623,1729088699999,2024-10-16T14:24:59.999000+00:00,,577,,
APA,5m,1729088700000,2024-10-16T14:25:00+00:00,24.99,25.005,24.935,24.935,38327,1729088999999,2024-10-16T14:29:59.999000+00:00,,482,,
APA,5m,1729089000000,2024-10-16T14:30:00+00:00,24.94,25.02,24.94,24.965,32274,1729089299999,2024-10-16T14:34:59.999000+00:00,,452,,
APA,5m,1729089300000,2024-10-16T14:35:00+00:00,24.96,24.98,24.94,24.955,16975,1729089599999,2024-10-16T14:39:59.999000+00:00,,349,,
APA,5m,1729089600000,2024-10-16T14:40:00+00:00,24.955,24.955,24.89,24.915,52526,1729089899999,2024-10-16T14:44:59.999000+00:00,,683,,
APA,5m,1729089900000,2024-10-16T14:45:00+00:00,24.925,25.025,24.925,25.02,32858,1729090199999,2024-10-16T14:49:59.999000+00:00,,460,,
APA,5m,1729090200000,2024-10-16T14:50:00+00:00,25.015,25.06,25.005,25.01,28531,1729090499999,2024-10-16T14:54:59.999000+00:00,,496,,
APA,5m,1729090500000,2024-10-16T14:55:00+00:00,25,25.02,24.974,25.0101,27664,1729090799999,2024-10-16T14:59:59.999000+00:00,,442,,
APA,5m,1729090800000,2024-10-16T15:00:00+00:00,25.01,25.01,24.9,24.905,31297,1729091099999,2024-10-16T15:04:59.999000+00:00,,590,,
APA,5m,1729091100000,2024-10-16T15:05:00+00:00,24.91,24.91,24.8338,24.8616,40142,1729091399999,2024-10-16T15:09:59.999000+00:00,,573,,
APA,5m,1729091400000,2024-10-16T15:10:00+00:00,24.869,24.88,24.75,24.78,183849,1729091699999,2024-10-16T15:14:59.999000+00:00,,1791,,
APA,5m,1729091700000,2024-10-16T15:15:00+00:00,24.7853,24.7853,24.735,24.76,40884,1729091999999,2024-10-16T15:19:59.999000+00:00,,540,,
APA,5m,1729092000000,2024-10-16T15:20:00+00:00,24.75,24.775,24.6938,24.775,83061,1729092299999,2024-10-16T15:24:59.999000+00:00,,689,,
APA,5m,1729092300000,2024-10-16T15:25:00+00:00,24.7715,24.795,24.735,24.765,49588,1729092599999,2024-10-16T15:29:59.999000+00:00,,586,,
APA,5m,1729092600000,2024-10-16T15:30:00+00:00,24.77,24.79,24.74,24.755,42642,1729092899999,2024-10-16T15:34:59.999000+00:00,,507,,
APA,5m,1729092900000,2024-10-16T15:35:00+00:00,24.76,24.775,24.7402,24.755,33060,1729093199999,2024-10-16T15:39:59.999000+00:00,,484,,
APA,5m,1729093200000,2024-10-16T15:40:00+00:00,24.755,24.76,24.71,24.725,36182,1729093499999,2024-10-16T15:44:59.999000+00:00,,523,,
APA,5m,1729093500000,2024-10-16T15:45:00+00:00,24.72,24.7499,24.7,24.7269,33080,1729093799999,2024-10-16T15:49:59.999000+00:00,,468,,
APA,5m,1729093800000,2024-10-16T15:50:00+00:00,24.725,24.74,24.72,24.73,37770,1729094099999,2024-10-16T15:54:59.999000+00:00,,459,,
APA,5m,1729094100000,2024-10-16T15:55:00+00:00,24.7347,24.79,24.725,24.785,48992,1729094399999,2024-10-16T15:59:59.999000+00:00,,681,,
APA,5m,1729094400000,2024-10-16T16:00:00+00:00,24.785,24.79,24.77,24.78,33146,1729094699999,2024-10-16T16:04:59.999000+00:00,,345,,
APA,5m,1729094700000,2024-10-16T16:05:00+00:00,24.79,24.8,24.74,24.74,28667,1729094999999,2024-10-16T16:09:59.999000+00:00,,430,,
APA,5m,1729095000000,2024-10-16T16:10:00+00:00,24.745,24.75,24.71,24.735,50643,1729095299999,2024-10-16T16:14:59.999000+00:00,,500,,
APA,5m,1729095300000,2024-10-16T16:15:00+00:00,24.735,24.75,24.72,24.75,29100,1729095599999,2024-10-16T16:19:59.999000+00:00,,412,,
APA,5m,1729095600000,2024-10-16T16:20:00+00:00,24.75,24.8,24.744,24.78,38167,1729095899999,2024-10-16T16:24:59.999000+00:00,,490,,
APA,5m,1729095900000,2024-10-16T16:25:00+00:00,24.77,24.775,24.745,24.755,27424,1729096199999,2024-10-16T16:29:59.999000+00:00,,412,,
APA,5m,1729096200000,2024-10-16T16:30:00+00:00,24.75,24.8,24.745,24.785,25633,1729096499999,2024-10-16T16:34:59.999000+00:00,,401,,
APA,5m,1729096500000,2024-10-16T16:35:00+00:00,24.79,24.8,24.765,24.795,61573,1729096799999,2024-10-16T16:39:59.999000+00:00,,516,,
APA,5m,1729096800000,2024-10-16T16:40:00+00:00,24.795,24.83,24.795,24.8099,37408,1729097099999,2024-10-16T16:44:59.999000+00:00,,521,,
APA,5m,1729097100000,2024-10-16T16:45:00+00:00,24.81,24.84,24.805,24.82,47105,1729097399999,2024-10-16T16:49:59.999000+00:00,,533,,
APA,5m,1729097400000,2024-10-16T16:50:00+00:00,24.825,24.8335,24.805,24.815,35571,1729097699999,2024-10-16T16:54:59.999000+00:00,,475,,
APA,5m,1729097700000,2024-10-16T16:55:00+00:00,24.81,24.87,24.805,24.855,48648,1729097999999,2024-10-16T16:59:59.999000+00:00,,610,,
APA,5m,1729098000000,2024-10-16T17:00:00+00:00,24.855,24.875,24.845,24.865,21572,1729098299999,2024-10-16T17:04:59.999000+00:00,,476,,
APA,5m,1729098300000,2024-10-16T17:05:00+00:00,24.865,24.89,24.86,24.865,38580,1729098599999,2024-10-16T17:09:59.999000+00:00,,436,,
APA,5m,1729098600000,2024-10-16T17:10:00+00:00,24.87,24.915,24.865,24.9,58068,1729098899999,2024-10-16T17:14:59.999000+00:00,,495,,
APA,5m,1729098900000,2024-10-16T17:15:00+00:00,24.895,24.91,24.875,24.89,22144,1729099199999,2024-10-16T17:19:59.999000+00:00,,301,,
APA,5m,1729099200000,2024-10-16T17:20:00+00:00,24.895,24.915,24.89,24.905,19800,1729099499999,2024-10-16T17:24:59.999000+00:00,,358,,
