symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
APD,5m,1729085400000,2024-10-16T13:30:00+00:00,323.88,325.75,323.07,325.17,29163,1729085699999,2024-10-16T13:34:59.999000+00:00,,494,,
APD,5m,1729085700000,2024-10-16T13:35:00+00:00,325.275,326.47,324.55,325.42,6194,1729085999999,2024-10-16T13:39:59.999000+00:00,,213,,
APD,5m,1729086000000,2024-10-16T13:40:00+00:00,325.96,327.64,325.96,326.66,37705,1729086299999,2024-10-16T13:44:59.999000+00:00,,925,,
APD,5m,1729086300000,2024-10-16T13:45:00+00:00,326.945,327.59,326.66,326.85,16033,1729086599999,2024-10-16T13:49:59.999000+00:00,,380,,
APD,5m,1729086600000,2024-10-16T13:50:00+00:00,327.59,327.59,326.59,326.715,22796,1729086899999,2024-10-16T13:54:59.999000+00:00,,488,,
APD,5m,1729086900000,2024-10-16T13:55:00+00:00,326.71,327.72,326.59,327.645,10895,1729087199999,2024-10-16T13:59:59.999000+00:00,,293,,
APD,5m,1729087200000,2024-10-16T14:00:00+00:00,327.47,328.11,327.34,327.94,12199,1729087499999,2024-10-16T14:04:59.999000+00:00,,380,,
APD,5m,1729087500000,2024-10-16T14:05:00+00:00,327.745,327.86,327.2515,327.405,20305,1729087799999,2024-10-16T14:09:59.999000+00:00,,362,,
APD,5m,1729087800000,2024-10-16T14:10:00+00:00,327.4,328.21,327.28,327.56,26618,1729088099999,2024-10-16T14:14:59.999000+00:00,,504,,
APD,5m,1729088100000,2024-10-16T14:15:00+00:00,327.58,327.585,327.005,327.23,7746,1729088399999,2024-10-16T14:19:59.999000+00:00,,234,,
APD,5m,1729088400000,2024-10-16T14:20:00+00:00,326.96,327.25,326.84,327.225,8497,1729088699999,2024-10-16T14:24:59.999000+00:00,,267,,
APD,5m,1729088700000,2024-10-16T14:25:00+00:00,327.35,327.4,327.08,327.365,19010,1729088999999,2024-10-16T14:29:59.999000+00:00,,287,,
APD,5m,1729089000000,2024-10-16T14:30:00+00:00,327.42,327.42,326.72,327.02,11728,1729089299999,2024-10-16T14:34:59.999000+00:00,,295,,
APD,5m,1729089300000,2024-10-16T14:35:00+00:00,327.29,327.29,326.72,326.945,13409,1729089599999,2024-10-16T14:39:59.999000+00:00,,258,,
APD,5m,1729089600000,2024-10-16T14:40:00+00:00,327.02,327.58,326.84,327.515,24013,1729089899999,2024-10-16T14:44:59.999000+00:00,,491,,
APD,5m,1729089900000,2024-10-16T14:45:00+00:00,327.54,327.54,326.81,326.95,13799,1729090199999,2024-10-16T14:49:59.999000+00:00,,305,,
APD,5m,1729090200000,2024-10-16T14:50:00+00:00,327.04,327.41,326.96,326.9601,16327,1729090499999,2024-10-16T14:54:59.999000+00:00,,297,,
APD,5m,1729090500000,2024-10-16T14:55:00+00:00,326.97,327.2136,326.3,326.44,10724,1729090799999,2024-10-16T14:59:59.999000+00:00,,256,,
APD,5m,1729090800000,2024-10-16T15:00:00+00:00,326.665,327.08,326.41,326.815,8808,1729091099999,2024-10-16T15:04:59.999000+00:00,,231,,
APD,5m,1729091100000,2024-10-16T15:05:00+00:00,326.79,326.79,326.41,326.5,25737,1729091399999,2024-10-16T15:09:59.999000+00:00,,355,,
APD,5m,1729091400000,2024-10-16T15:10:00+00:00,326.5,326.605,326.21,326.605,19779,1729091699999,2024-10-16T15:14:59.999000+00:00,,354,,
APD,5m,1729091700000,2024-10-16T15:15:00+00:00,326.4384,326.81,326.4384,326.695,5675,1729091999999,2024-10-16T15:19:59.999000+00:00,,357,,
APD,5m,1729092000000,2024-10-16T15:20:00+00:00,326.92,327.8,326.875,327.595,18093,1729092299999,2024-10-16T15:24:59.999000+00:00,,717,,
APD,5m,1729092300000,2024-10-16T15:25:00+00:00,327.595,327.67,326.71,326.855,14483,1729092599999,2024-10-16T15:29:59.999000+00:00,,425,,
APD,5m,1729092600000,2024-10-16T15:30:00+00:00,326.875,327.58,326.875,327.21,28937,1729092899999,2024-10-16T15:34:59.999000+00:00,,395,,
APD,5m,1729092900000,2024-10-16T15:35:00+00:00,327.08,327.24,326.71,326.71,9527,1729093199999,2024-10-16T15:39:59.999000+00:00,,282,,
APD,5m,1729093200000,2024-10-16T15:40:00+00:00,327.02,327.73,326.845,327.29,86390,1729093499999,2024-10-16T15:44:59.999000+00:00,,281,,
APD,5m,1729093500000,2024-10-16T15:45:00+00:00,327.42,327.53,326.655,326.67,14275,1729093799999,2024-10-16T15:49:59.999000+00:00,,330,,
APD,5m,1729093800000,2024-10-16T15:50:00+00:00,326.54,327,326.52,327,5570,1729094099999,2024-10-16T15:54:59.999000+00:00,,235,,
APD,5m,1729094100000,2024-10-16T15:55:00+00:00,327.075,327.075,326.6982,326.6982,11504,1729094399999,2024-10-16T15:59:59.999000+00:00,,286,,
APD,5m,1729094400000,2024-10-16T16:00:00+00:00,326.83,326.83,326.65,326.66,3329,1729094699999,2024-10-16T16:04:59.999000+00:00,,170,,
APD,5m,1729094700000,2024-10-16T16:05:00+00:00,326.66,327.42,326.65,327.24,103868,1729094999999,2024-10-16T16:09:59.999000+00:00,,474,,
APD,5m,1729095000000,2024-10-16T16:10:00+00:00,327.06,327.28,327.02,327.28,7014,1729095299999,2024-10-16T16:14:59.999000+00:00,,218,,
APD,5m,1729095300000,2024-10-16T16:15:00+00:00,327.38,327.485,327.38,327.4372,4525,1729095599999,2024-10-16T16:19:59.999000+00:00,,149,,
APD,5m,1729095600000,2024-10-16T16:20:00+00:00,327.435,327.715,326.83,326.83,38017,1729095899999,2024-10-16T16:24:59.999000+00:00,,625,,
APD,5m,1729095900000,2024-10-16T16:25:00+00:00,326.8275,326.8275,326.8,326.825,1829,1729096199999,2024-10-16T16:29:59.999000+00:00,,95,,
APD,5m,1729096200000,2024-10-16T16:30:00+00:00,327.055,327.055,326.66,326.79,4343,1729096499999,2024-10-16T16:34:59.999000+00:00,,150,,
APD,5m,1729096500000,2024-10-16T16:35:00+00:00,326.69,326.79,326.4907,326.7,7634,1729096799999,2024-10-16T16:39:59.999000+00:00,,209,,
APD,5m,1729096800000,2024-10-16T16:40:00+00:00,326.695,326.97,326.5,326.61,88549,1729097099999,2024-10-16T16:44:59.999000+00:00,,239,,
APD,5m,1729097100000,2024-10-16T16:45:00+00:00,326.5,326.5,326.0301,326.0301,7731,1729097399999,2024-10-16T16:49:59.999000+00:00,,222,,
APD,5m,1729097400000,2024-10-16T16:50:00+00:00,326.03,326.275,326.03,326.275,2895,1729097699999,2024-10-16T16:54:59.999000+00:00,,112,,
APD,5m,1729097700000,2024-10-16T16:55:00+00:00,326.27,326.38,326.03,326.22,14251,1729097999999,2024-10-16T16:59:59.999000+00:00,,255,,
APD,5m,1729098000000,2024-10-16T17:00:00+00:00,326.22,326.79,326.22,326.72,8939,1729098299999,2024-10-16T17:04:59.999000+00:00,,255,,
APD,5m,1729098300000,2024-10-16T17:05:00+00:00,326.7298,326.95,326.5645,326.753,3318,1729098599999,2024-10-16T17:09:59.999000+00:00,,134,,
APD,5m,1729098600000,2024-10-16T17:10:00+00:00,326.98,327.11,326.855,327.005,6837,1729098899999,2024-10-16T17:14:59.999000+00:00,,189,,
APD,5m,1729098900000,2024-10-16T17:15:00+00:00,327.005,327.05,326.66,326.805,9498,1729099199999,2024-10-16T17:19:59.999000+00:00,,268,,
APD,5m,1729099200000,2024-10-16T17:20:00+00:00,326.805,327.055,326.63,327.055,4218,1729099499999,2024-10-16T17:24:59.999000+00:00,,162,,
APD,5m,1729099500000,2024-10-16T17:25:00+00:00,327.005,327.005,326.65,326.65,8217,1729099799999,2024-10-16T17:29:59.999000+00:00,,258,,
