symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
APH,5m,1729075800000,2024-10-16T10:50:00+00:00,65.74,65.74,65.74,65.74,100,1729076099999,2024-10-16T10:54:59.999000+00:00,,1,,
APH,5m,1729076100000,2024-10-16T10:55:00+00:00,65.75,65.75,65.75,65.75,100,1729076399999,2024-10-16T10:59:59.999000+00:00,,1,,
APH,5m,1729083900000,2024-10-16T13:05:00+00:00,65.88,65.9,65.88,65.9,594,1729084199999,2024-10-16T13:09:59.999000+00:00,,13,,
APH,5m,1729084200000,2024-10-16T13:10:00+00:00,65.88,65.88,65.88,65.88,334,1729084499999,2024-10-16T13:14:59.999000+00:00,,5,,
APH,5m,1729085400000,2024-10-16T13:30:00+00:00,65.81,66.425,65.73,66.345,234001,1729085699999,2024-10-16T13:34:59.999000+00:00,,1352,,
APH,5m,1729085700000,2024-10-16T13:35:00+00:00,66.36,66.5,66.05,66.12,151061,1729085999999,2024-10-16T13:39:59.999000+00:00,,1099,,
APH,5m,1729086000000,2024-10-16T13:40:00+00:00,66.12,66.36,66.11,66.26,67020,1729086299999,2024-10-16T13:44:59.999000+00:00,,875,,
APH,5m,1729086300000,2024-10-16T13:45:00+00:00,66.26,66.32,66.08,66.235,168519,1729086599999,2024-10-16T13:49:59.999000+00:00,,1173,,
APH,5m,1729086600000,2024-10-16T13:50:00+00:00,66.23,66.415,66.23,66.29,104615,1729086899999,2024-10-16T13:54:59.999000+00:00,,1072,,
APH,5m,1729086900000,2024-10-16T13:55:00+00:00,66.305,66.305,66.03,66.14,109853,1729087199999,2024-10-16T13:59:59.999000+00:00,,854,,
APH,5m,1729087200000,2024-10-16T14:00:00+00:00,66.13,66.27,66.02,66.25,61267,1729087499999,2024-10-16T14:04:59.999000+00:00,,795,,
APH,5m,1729087500000,2024-10-16T14:05:00+00:00,66.24,66.405,66.215,66.405,43197,1729087799999,2024-10-16T14:09:59.999000+00:00,,663,,
APH,5m,1729087800000,2024-10-16T14:10:00+00:00,66.405,66.71,66.39,66.62,74976,1729088099999,2024-10-16T14:14:59.999000+00:00,,875,,
APH,5m,1729088100000,2024-10-16T14:15:00+00:00,66.65,66.755,66.64,66.69,53836,1729088399999,2024-10-16T14:19:59.999000+00:00,,792,,
APH,5m,1729088400000,2024-10-16T14:20:00+00:00,66.69,66.845,66.68,66.815,47758,1729088699999,2024-10-16T14:24:59.999000+00:00,,686,,
APH,5m,1729088700000,2024-10-16T14:25:00+00:00,66.825,67.05,66.82,66.915,62302,1729088999999,2024-10-16T14:29:59.999000+00:00,,833,,
APH,5m,1729089000000,2024-10-16T14:30:00+00:00,66.915,66.915,66.71,66.7525,65050,1729089299999,2024-10-16T14:34:59.999000+00:00,,897,,
APH,5m,1729089300000,2024-10-16T14:35:00+00:00,66.76,66.82,66.66,66.68,72553,1729089599999,2024-10-16T14:39:59.999000+00:00,,834,,
APH,5m,1729089600000,2024-10-16T14:40:00+00:00,66.685,66.745,66.63,66.68,52859,1729089899999,2024-10-16T14:44:59.999000+00:00,,914,,
APH,5m,1729089900000,2024-10-16T14:45:00+00:00,66.68,66.825,66.68,66.82,44754,1729090199999,2024-10-16T14:49:59.999000+00:00,,549,,
APH,5m,1729090200000,2024-10-16T14:50:00+00:00,66.82,66.85,66.77,66.805,82418,1729090499999,2024-10-16T14:54:59.999000+00:00,,699,,
APH,5m,1729090500000,2024-10-16T14:55:00+00:00,66.81,66.91,66.8,66.81,72550,1729090799999,2024-10-16T14:59:59.999000+00:00,,818,,
APH,5m,1729090800000,2024-10-16T15:00:00+00:00,66.81,66.83,66.69,66.695,44888,1729091099999,2024-10-16T15:04:59.999000+00:00,,640,,
APH,5m,1729091100000,2024-10-16T15:05:00+00:00,66.695,66.71,66.62,66.71,55559,1729091399999,2024-10-16T15:09:59.999000+00:00,,689,,
APH,5m,1729091400000,2024-10-16T15:10:00+00:00,66.72,66.84,66.72,66.81,137583,1729091699999,2024-10-16T15:14:59.999000+00:00,,814,,
APH,5m,1729091700000,2024-10-16T15:15:00+00:00,66.805,66.92,66.78,66.88,61793,1729091999999,2024-10-16T15:19:59.999000+00:00,,729,,
APH,5m,1729092000000,2024-10-16T15:20:00+00:00,66.885,66.885,66.795,66.835,63302,1729092299999,2024-10-16T15:24:59.999000+00:00,,757,,
APH,5m,1729092300000,2024-10-16T15:25:00+00:00,66.83,66.97,66.79,66.96,273547,1729092599999,2024-10-16T15:29:59.999000+00:00,,1053,,
APH,5m,1729092600000,2024-10-16T15:30:00+00:00,66.96,67.075,66.9552,67.075,52378,1729092899999,2024-10-16T15:34:59.999000+00:00,,780,,
APH,5m,1729092900000,2024-10-16T15:35:00+00:00,67.07,67.16,67.01,67.1,73154,1729093199999,2024-10-16T15:39:59.999000+00:00,,799,,
APH,5m,1729093200000,2024-10-16T15:40:00+00:00,67.1,67.13,67.05,67.05,67900,1729093499999,2024-10-16T15:44:59.999000+00:00,,800,,
APH,5m,1729093500000,2024-10-16T15:45:00+00:00,67.06,67.11,67.01,67.05,97768,1729093799999,2024-10-16T15:49:59.999000+00:00,,1105,,
APH,5m,1729093800000,2024-10-16T15:50:00+00:00,67.05,67.15,67.04,67.115,58332,1729094099999,2024-10-16T15:54:59.999000+00:00,,914,,
APH,5m,1729094100000,2024-10-16T15:55:00+00:00,67.12,67.19,67.11,67.17,42609,1729094399999,2024-10-16T15:59:59.999000+00:00,,826,,
APH,5m,1729094400000,2024-10-16T16:00:00+00:00,67.17,67.245,67.16,67.18,53888,1729094699999,2024-10-16T16:04:59.999000+00:00,,920,,
APH,5m,1729094700000,2024-10-16T16:05:00+00:00,67.18,67.35,67.17,67.34,47911,1729094999999,2024-10-16T16:09:59.999000+00:00,,795,,
APH,5m,1729095000000,2024-10-16T16:10:00+00:00,67.34,67.37,67.26,67.265,87322,1729095299999,2024-10-16T16:14:59.999000+00:00,,1052,,
APH,5m,1729095300000,2024-10-16T16:15:00+00:00,67.265,67.32,67.25,67.29,59022,1729095599999,2024-10-16T16:19:59.999000+00:00,,817,,
APH,5m,1729095600000,2024-10-16T16:20:00+00:00,67.285,67.36,67.27,67.31,46745,1729095899999,2024-10-16T16:24:59.999000+00:00,,670,,
APH,5m,1729095900000,2024-10-16T16:25:00+00:00,67.32,67.36,67.25,67.29,56658,1729096199999,2024-10-16T16:29:59.999000+00:00,,790,,
APH,5m,1729096200000,2024-10-16T16:30:00+00:00,67.29,67.31,67.23,67.24,47009,1729096499999,2024-10-16T16:34:59.999000+00:00,,656,,
APH,5m,1729096500000,2024-10-16T16:35:00+00:00,67.24,67.29,67.22,67.26,77219,1729096799999,2024-10-16T16:39:59.999000+00:00,,823,,
APH,5m,1729096800000,2024-10-16T16:40:00+00:00,67.27,67.33,67.27,67.32,40798,1729097099999,2024-10-16T16:44:59.999000+00:00,,604,,
APH,5m,1729097100000,2024-10-16T16:45:00+00:00,67.32,67.35,67.27,67.345,48380,1729097399999,2024-10-16T16:49:59.999000+00:00,,775,,
APH,5m,1729097400000,2024-10-16T16:50:00+00:00,67.345,67.44,67.335,67.44,44929,1729097699999,2024-10-16T16:54:59.999000+00:00,,842,,
APH,5m,1729097700000,2024-10-16T16:55:00+00:00,67.44,67.46,67.41,67.44,45703,1729097999999,2024-10-16T16:59:59.999000+00:00,,743,,
APH,5m,1729098000000,2024-10-16T17:00:00+00:00,67.45,67.46,67.35,67.401,43127,1729098299999,2024-10-16T17:04:59.999000+00:00,,842,,
APH,5m,1729098300000,2024-10-16T17:05:00+00:00,67.4,67.415,67.33,67.33,56350,1729098599999,2024-10-16T17:09:59.999000+00:00,,928,,
APH,5m,1729098600000,2024-10-16T17:10:00+00:00,67.34,67.34,67.24,67.275,60665,1729098899999,2024-10-16T17:14:59.999000+00:00,,966,,
APH,5m,1729098900000,2024-10-16T17:15:00+00:00,67.28,67.38,67.27,67.37,63504,1729099199999,2024-10-16T17:19:59.999000+00:00,,967,,
APH,5m,1729099200000,2024-10-16T17:20:00+00:00,67.38,67.41,67.31,67.38,64470,1729099499999,2024-10-16T17:24:59.999000+00:00,,1013,,
APH,5m,1729099500000,2024-10-16T17:25:00+00:00,67.38,67.42,67.325,67.33,51633,1729099799999,2024-10-16T17:29:59.999000+00:00,,766,,
APH,5m,1729099800000,2024-10-16T17:30:00+00:00,67.34,67.41,67.305,67.4,33733,1729100099999,2024-10-16T17:34:59.999000+00:00,,674,,
APH,5m,1729100100000,2024-10-16T17:35:00+00:00,67.4,67.47,67.38,67.38,101787,1729100399999,2024-10-16T17:39:59.999000+00:00,,1156,,
APH,5m,1729100400000,2024-10-16T17:40:00+00:00,67.385,67.4,67.33,67.385,44193,1729100699999,2024-10-16T17:44:59.999000+00:00,,809,,
APH,5m,1729100700000,2024-10-16T17:45:00+00:00,67.39,67.395,67.24,67.36,108093,1729100999999,2024-10-16T17:49:59.999000+00:00,,958,,
APH,5m,1729101000000,2024-10-16T17:50:00+00:00,67.355,67.45,67.32,67.357,56877,1729101299999,2024-10-16T17:54:59.999000+00:00,,784,,
APH,5m,1729101300000,2024-10-16T17:55:00+00:00,67.355,67.38,67.34,67.375,33235,1729101599999,2024-10-16T17:59:59.999000+00:00,,517,,
APH,5m,1729101600000,2024-10-16T18:00:00+00:00,67.37,67.39,67.3,67.34,50262,1729101899999,2024-10-16T18:04:59.999000+00:00,,755,,
APH,5m,1729101900000,2024-10-16T18:05:00+00:00,67.33,67.35,67.285,67.34,71437,1729102199999,2024-10-16T18:09:59.999000+00:00,,925,,
