symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
APO,5m,1729085400000,2024-10-16T13:30:00+00:00,142.62,142.77,142.29,142.48,12313,1729085699999,2024-10-16T13:34:59.999000+00:00,,99,,
APO,5m,1729085700000,2024-10-16T13:35:00+00:00,142.47,142.78,142.32,142.6,19425,1729085999999,2024-10-16T13:39:59.999000+00:00,,231,,
APO,5m,1729086000000,2024-10-16T13:40:00+00:00,142.4621,142.855,142.43,142.855,12896,1729086299999,2024-10-16T13:44:59.999000+00:00,,247,,
APO,5m,1729086300000,2024-10-16T13:45:00+00:00,142.905,143.045,142.72,142.735,20121,1729086599999,2024-10-16T13:49:59.999000+00:00,,428,,
APO,5m,1729086600000,2024-10-16T13:50:00+00:00,142.735,142.76,142.55,142.62,20958,1729086899999,2024-10-16T13:54:59.999000+00:00,,342,,
APO,5m,1729086900000,2024-10-16T13:55:00+00:00,142.642,142.78,142.57,142.62,11219,1729087199999,2024-10-16T13:59:59.999000+00:00,,239,,
APO,5m,1729087200000,2024-10-16T14:00:00+00:00,142.62,142.67,141.78,141.78,85536,1729087499999,2024-10-16T14:04:59.999000+00:00,,982,,
APO,5m,1729087500000,2024-10-16T14:05:00+00:00,141.79,141.9,141.5,141.81,45598,1729087799999,2024-10-16T14:09:59.999000+00:00,,760,,
APO,5m,1729087800000,2024-10-16T14:10:00+00:00,141.75,142.1,141.75,141.9562,15366,1729088099999,2024-10-16T14:14:59.999000+00:00,,334,,
APO,5m,1729088100000,2024-10-16T14:15:00+00:00,142.09,142.32,142.09,142.32,19063,1729088399999,2024-10-16T14:19:59.999000+00:00,,361,,
APO,5m,1729088400000,2024-10-16T14:20:00+00:00,142.23,142.53,142.23,142.5286,6489,1729088699999,2024-10-16T14:24:59.999000+00:00,,140,,
APO,5m,1729088700000,2024-10-16T14:25:00+00:00,142.495,142.7,142.3,142.3,18665,1729088999999,2024-10-16T14:29:59.999000+00:00,,385,,
APO,5m,1729089000000,2024-10-16T14:30:00+00:00,142.345,142.605,142.3,142.605,21483,1729089299999,2024-10-16T14:34:59.999000+00:00,,328,,
APO,5m,1729089300000,2024-10-16T14:35:00+00:00,142.65,142.67,142.19,142.25,35533,1729089599999,2024-10-16T14:39:59.999000+00:00,,478,,
APO,5m,1729089600000,2024-10-16T14:40:00+00:00,142.245,142.28,141.96,142.1,31303,1729089899999,2024-10-16T14:44:59.999000+00:00,,536,,
APO,5m,1729089900000,2024-10-16T14:45:00+00:00,142.1,142.56,141.965,142.56,23677,1729090199999,2024-10-16T14:49:59.999000+00:00,,355,,
APO,5m,1729090200000,2024-10-16T14:50:00+00:00,142.55,142.74,142.55,142.63,25142,1729090499999,2024-10-16T14:54:59.999000+00:00,,287,,
APO,5m,1729090500000,2024-10-16T14:55:00+00:00,142.58,142.63,142.2452,142.3663,23888,1729090799999,2024-10-16T14:59:59.999000+00:00,,369,,
APO,5m,1729090800000,2024-10-16T15:00:00+00:00,142.35,142.35,141.81,141.86,50443,1729091099999,2024-10-16T15:04:59.999000+00:00,,697,,
APO,5m,1729091100000,2024-10-16T15:05:00+00:00,141.875,141.88,141.64,141.875,35170,1729091399999,2024-10-16T15:09:59.999000+00:00,,560,,
APO,5m,1729091400000,2024-10-16T15:10:00+00:00,141.875,141.975,141.7,141.815,39018,1729091699999,2024-10-16T15:14:59.999000+00:00,,564,,
APO,5m,1729091700000,2024-10-16T15:15:00+00:00,141.785,142.23,141.785,142.23,19722,1729091999999,2024-10-16T15:19:59.999000+00:00,,321,,
APO,5m,1729092000000,2024-10-16T15:20:00+00:00,142.28,142.375,142.1,142.25,24087,1729092299999,2024-10-16T15:24:59.999000+00:00,,414,,
APO,5m,1729092300000,2024-10-16T15:25:00+00:00,142.27,142.27,142.01,142.25,34858,1729092599999,2024-10-16T15:29:59.999000+00:00,,489,,
APO,5m,1729092600000,2024-10-16T15:30:00+00:00,142.26,142.375,141.92,142.01,107765,1729092899999,2024-10-16T15:34:59.999000+00:00,,502,,
APO,5m,1729092900000,2024-10-16T15:35:00+00:00,142.01,142.23,142.01,142.2,57567,1729093199999,2024-10-16T15:39:59.999000+00:00,,837,,
APO,5m,1729093200000,2024-10-16T15:40:00+00:00,142.2,142.43,142.19,142.32,17321,1729093499999,2024-10-16T15:44:59.999000+00:00,,334,,
APO,5m,1729093500000,2024-10-16T15:45:00+00:00,142.32,142.33,142.09,142.22,17225,1729093799999,2024-10-16T15:49:59.999000+00:00,,346,,
APO,5m,1729093800000,2024-10-16T15:50:00+00:00,142.26,142.3206,142.215,142.31,20260,1729094099999,2024-10-16T15:54:59.999000+00:00,,380,,
APO,5m,1729094100000,2024-10-16T15:55:00+00:00,142.3,142.37,142.24,142.31,16274,1729094399999,2024-10-16T15:59:59.999000+00:00,,288,,
APO,5m,1729094400000,2024-10-16T16:00:00+00:00,142.32,142.5,142.32,142.45,10785,1729094699999,2024-10-16T16:04:59.999000+00:00,,261,,
APO,5m,1729094700000,2024-10-16T16:05:00+00:00,142.465,142.74,142.465,142.725,15598,1729094999999,2024-10-16T16:09:59.999000+00:00,,315,,
APO,5m,1729095000000,2024-10-16T16:10:00+00:00,142.73,142.79,142.61,142.79,33001,1729095299999,2024-10-16T16:14:59.999000+00:00,,580,,
APO,5m,1729095300000,2024-10-16T16:15:00+00:00,142.78,142.78,142.45,142.46,140816,1729095599999,2024-10-16T16:19:59.999000+00:00,,601,,
APO,5m,1729095600000,2024-10-16T16:20:00+00:00,142.475,142.73,142.45,142.73,30570,1729095899999,2024-10-16T16:24:59.999000+00:00,,509,,
APO,5m,1729095900000,2024-10-16T16:25:00+00:00,142.69,142.96,142.69,142.95,21135,1729096199999,2024-10-16T16:29:59.999000+00:00,,343,,
APO,5m,1729096200000,2024-10-16T16:30:00+00:00,142.95,143.02,142.71,142.765,21287,1729096499999,2024-10-16T16:34:59.999000+00:00,,342,,
APO,5m,1729096500000,2024-10-16T16:35:00+00:00,142.75,142.85,142.7,142.85,9732,1729096799999,2024-10-16T16:39:59.999000+00:00,,236,,
