symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
APTV,5m,1729085400000,2024-10-16T13:30:00+00:00,70.66,70.69,70.315,70.64,38320,1729085699999,2024-10-16T13:34:59.999000+00:00,,204,,
APTV,5m,1729085700000,2024-10-16T13:35:00+00:00,70.77,70.78,70.555,70.76,25895,1729085999999,2024-10-16T13:39:59.999000+00:00,,230,,
APTV,5m,1729086000000,2024-10-16T13:40:00+00:00,70.76,71.18,70.7052,71.105,6201,1729086299999,2024-10-16T13:44:59.999000+00:00,,121,,
APTV,5m,1729086300000,2024-10-16T13:45:00+00:00,71.12,71.355,70.95,70.95,18698,1729086599999,2024-10-16T13:49:59.999000+00:00,,269,,
APTV,5m,1729086600000,2024-10-16T13:50:00+00:00,70.99,70.99,70.67,70.78,16982,1729086899999,2024-10-16T13:54:59.999000+00:00,,265,,
APTV,5m,1729086900000,2024-10-16T13:55:00+00:00,70.75,71.03,70.75,71.015,11410,1729087199999,2024-10-16T13:59:59.999000+00:00,,198,,
APTV,5m,1729087200000,2024-10-16T14:00:00+00:00,71.04,71.115,70.97,71.02,20312,1729087499999,2024-10-16T14:04:59.999000+00:00,,312,,
APTV,5m,1729087500000,2024-10-16T14:05:00+00:00,71.055,71.09,70.97,71.01,19947,1729087799999,2024-10-16T14:09:59.999000+00:00,,368,,
APTV,5m,1729087800000,2024-10-16T14:10:00+00:00,71.03,71.07,70.99,71.045,18237,1729088099999,2024-10-16T14:14:59.999000+00:00,,342,,
APTV,5m,1729088100000,2024-10-16T14:15:00+00:00,71.05,71.195,71.05,71.15,21902,1729088399999,2024-10-16T14:19:59.999000+00:00,,466,,
APTV,5m,1729088400000,2024-10-16T14:20:00+00:00,71.1,71.1288,70.84,70.84,7908,1729088699999,2024-10-16T14:24:59.999000+00:00,,264,,
APTV,5m,1729088700000,2024-10-16T14:25:00+00:00,70.78,70.78,70.66,70.695,11554,1729088999999,2024-10-16T14:29:59.999000+00:00,,241,,
APTV,5m,1729089000000,2024-10-16T14:30:00+00:00,70.695,70.77,70.58,70.635,17893,1729089299999,2024-10-16T14:34:59.999000+00:00,,420,,
APTV,5m,1729089300000,2024-10-16T14:35:00+00:00,70.635,70.77,70.635,70.68,15897,1729089599999,2024-10-16T14:39:59.999000+00:00,,317,,
APTV,5m,1729089600000,2024-10-16T14:40:00+00:00,70.65,70.6725,70.55,70.575,8704,1729089899999,2024-10-16T14:44:59.999000+00:00,,174,,
APTV,5m,1729089900000,2024-10-16T14:45:00+00:00,70.575,70.64,70.54,70.64,12494,1729090199999,2024-10-16T14:49:59.999000+00:00,,302,,
APTV,5m,1729090200000,2024-10-16T14:50:00+00:00,70.63,70.71,70.62,70.675,13360,1729090499999,2024-10-16T14:54:59.999000+00:00,,271,,
APTV,5m,1729090500000,2024-10-16T14:55:00+00:00,70.65,70.77,70.635,70.77,11302,1729090799999,2024-10-16T14:59:59.999000+00:00,,305,,
APTV,5m,1729090800000,2024-10-16T15:00:00+00:00,70.72,70.72,70.61,70.655,11966,1729091099999,2024-10-16T15:04:59.999000+00:00,,222,,
APTV,5m,1729091100000,2024-10-16T15:05:00+00:00,70.65,70.71,70.59,70.71,10972,1729091399999,2024-10-16T15:09:59.999000+00:00,,205,,
APTV,5m,1729091400000,2024-10-16T15:10:00+00:00,70.69,70.85,70.67,70.85,11248,1729091699999,2024-10-16T15:14:59.999000+00:00,,291,,
APTV,5m,1729091700000,2024-10-16T15:15:00+00:00,70.84,70.85,70.72,70.72,7336,1729091999999,2024-10-16T15:19:59.999000+00:00,,167,,
APTV,5m,1729092000000,2024-10-16T15:20:00+00:00,70.745,70.76,70.65,70.689,19032,1729092299999,2024-10-16T15:24:59.999000+00:00,,289,,
APTV,5m,1729092300000,2024-10-16T15:25:00+00:00,70.68,70.68,70.59,70.65,17533,1729092599999,2024-10-16T15:29:59.999000+00:00,,278,,
APTV,5m,1729092600000,2024-10-16T15:30:00+00:00,70.64,70.675,70.63,70.64,13803,1729092899999,2024-10-16T15:34:59.999000+00:00,,259,,
APTV,5m,1729092900000,2024-10-16T15:35:00+00:00,70.645,70.66,70.62,70.655,7129,1729093199999,2024-10-16T15:39:59.999000+00:00,,250,,
APTV,5m,1729093200000,2024-10-16T15:40:00+00:00,70.67,70.67,70.61,70.625,4590,1729093499999,2024-10-16T15:44:59.999000+00:00,,166,,
APTV,5m,1729093500000,2024-10-16T15:45:00+00:00,70.6,70.6,70.38,70.49,9526,1729093799999,2024-10-16T15:49:59.999000+00:00,,251,,
APTV,5m,1729093800000,2024-10-16T15:50:00+00:00,70.515,70.57,70.42,70.42,6867,1729094099999,2024-10-16T15:54:59.999000+00:00,,171,,
APTV,5m,1729094100000,2024-10-16T15:55:00+00:00,70.39,70.45,70.34,70.34,9012,1729094399999,2024-10-16T15:59:59.999000+00:00,,204,,
APTV,5m,1729094400000,2024-10-16T16:00:00+00:00,70.3,70.37,70.3,70.33,4806,1729094699999,2024-10-16T16:04:59.999000+00:00,,123,,
APTV,5m,1729094700000,2024-10-16T16:05:00+00:00,70.31,70.35,70.26,70.345,11731,1729094999999,2024-10-16T16:09:59.999000+00:00,,286,,
APTV,5m,1729095000000,2024-10-16T16:10:00+00:00,70.34,70.395,70.295,70.38,8172,1729095299999,2024-10-16T16:14:59.999000+00:00,,198,,
APTV,5m,1729095300000,2024-10-16T16:15:00+00:00,70.39,70.405,70.27,70.31,14230,1729095599999,2024-10-16T16:19:59.999000+00:00,,290,,
APTV,5m,1729095600000,2024-10-16T16:20:00+00:00,70.31,70.35,70.26,70.315,11316,1729095899999,2024-10-16T16:24:59.999000+00:00,,266,,
APTV,5m,1729095900000,2024-10-16T16:25:00+00:00,70.32,70.32,70.19,70.1901,7145,1729096199999,2024-10-16T16:29:59.999000+00:00,,170,,
APTV,5m,1729096200000,2024-10-16T16:30:00+00:00,70.19,70.2,70.08,70.095,8916,1729096499999,2024-10-16T16:34:59.999000+00:00,,222,,
APTV,5m,1729096500000,2024-10-16T16:35:00+00:00,70.1,70.16,70.1,70.14,9577,1729096799999,2024-10-16T16:39:59.999000+00:00,,211,,
APTV,5m,1729096800000,2024-10-16T16:40:00+00:00,70.135,70.15,70.09,70.13,10474,1729097099999,2024-10-16T16:44:59.999000+00:00,,274,,
APTV,5m,1729097100000,2024-10-16T16:45:00+00:00,70.13,70.21,70.12,70.18,13024,1729097399999,2024-10-16T16:49:59.999000+00:00,,277,,
APTV,5m,1729097400000,2024-10-16T16:50:00+00:00,70.17,70.396,70.17,70.38,25030,1729097699999,2024-10-16T16:54:59.999000+00:00,,375,,
APTV,5m,1729097700000,2024-10-16T16:55:00+00:00,70.385,70.5,70.37,70.415,28678,1729097999999,2024-10-16T16:59:59.999000+00:00,,422,,
APTV,5m,1729098000000,2024-10-16T17:00:00+00:00,70.43,70.435,70.34,70.355,10232,1729098299999,2024-10-16T17:04:59.999000+00:00,,253,,
APTV,5m,1729098300000,2024-10-16T17:05:00+00:00,70.37,70.45,70.315,70.315,19997,1729098599999,2024-10-16T17:09:59.999000+00:00,,350,,
APTV,5m,1729098600000,2024-10-16T17:10:00+00:00,70.325,70.42,70.325,70.42,10937,1729098899999,2024-10-16T17:14:59.999000+00:00,,204,,
