symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AVB,5m,1729085400000,2024-10-16T13:30:00+00:00,224.34,225.73,223.81,224.11,3915,1729085699999,2024-10-16T13:34:59.999000+00:00,,50,,
AVB,5m,1729085700000,2024-10-16T13:35:00+00:00,224.61,225.53,224.45,224.73,6675,1729085999999,2024-10-16T13:39:59.999000+00:00,,154,,
AVB,5m,1729086000000,2024-10-16T13:40:00+00:00,224.665,225.33,224.65,225.33,2735,1729086299999,2024-10-16T13:44:59.999000+00:00,,68,,
AVB,5m,1729086300000,2024-10-16T13:45:00+00:00,225.95,225.95,225.33,225.33,438,1729086599999,2024-10-16T13:49:59.999000+00:00,,22,,
AVB,5m,1729086600000,2024-10-16T13:50:00+00:00,225.6,225.6,225.165,225.165,1818,1729086899999,2024-10-16T13:54:59.999000+00:00,,80,,
AVB,5m,1729086900000,2024-10-16T13:55:00+00:00,225.03,225.37,224.92,225.29,4689,1729087199999,2024-10-16T13:59:59.999000+00:00,,131,,
AVB,5m,1729087200000,2024-10-16T14:00:00+00:00,225.5,225.705,225.415,225.61,4088,1729087499999,2024-10-16T14:04:59.999000+00:00,,109,,
AVB,5m,1729087500000,2024-10-16T14:05:00+00:00,225.59,225.65,225.5,225.5,904,1729087799999,2024-10-16T14:09:59.999000+00:00,,31,,
AVB,5m,1729087800000,2024-10-16T14:10:00+00:00,225.14,225.14,224.6,224.6,1669,1729088099999,2024-10-16T14:14:59.999000+00:00,,81,,
AVB,5m,1729088100000,2024-10-16T14:15:00+00:00,224.57,224.76,224.57,224.76,1148,1729088399999,2024-10-16T14:19:59.999000+00:00,,58,,
AVB,5m,1729088400000,2024-10-16T14:20:00+00:00,224.59,224.59,224.58,224.59,902,1729088699999,2024-10-16T14:24:59.999000+00:00,,22,,
AVB,5m,1729088700000,2024-10-16T14:25:00+00:00,224.495,224.5,224.1459,224.1459,1387,1729088999999,2024-10-16T14:29:59.999000+00:00,,62,,
AVB,5m,1729089000000,2024-10-16T14:30:00+00:00,224.07,224.07,223.89,223.965,2561,1729089299999,2024-10-16T14:34:59.999000+00:00,,70,,
AVB,5m,1729089300000,2024-10-16T14:35:00+00:00,223.9549,224.23,223.81,224.16,2848,1729089599999,2024-10-16T14:39:59.999000+00:00,,92,,
