symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AVY,5m,1729074300000,2024-10-16T10:25:00+00:00,218,218,218,218,107,1729074599999,2024-10-16T10:29:59.999000+00:00,,2,,
AVY,5m,1729085400000,2024-10-16T13:30:00+00:00,219.58,219.58,217.48,217.82,6068,1729085699999,2024-10-16T13:34:59.999000+00:00,,95,,
AVY,5m,1729085700000,2024-10-16T13:35:00+00:00,217.82,217.82,216.27,217.22,9537,1729085999999,2024-10-16T13:39:59.999000+00:00,,214,,
AVY,5m,1729086000000,2024-10-16T13:40:00+00:00,217.47,217.73,217.47,217.73,662,1729086299999,2024-10-16T13:44:59.999000+00:00,,23,,
AVY,5m,1729086300000,2024-10-16T13:45:00+00:00,218.12,218.15,217.855,218.15,1015,1729086599999,2024-10-16T13:49:59.999000+00:00,,22,,
AVY,5m,1729086600000,2024-10-16T13:50:00+00:00,218.335,218.335,218.335,218.335,324,1729086899999,2024-10-16T13:54:59.999000+00:00,,7,,
AVY,5m,1729086900000,2024-10-16T13:55:00+00:00,218.375,218.76,217.85,218.76,10275,1729087199999,2024-10-16T13:59:59.999000+00:00,,239,,
AVY,5m,1729087200000,2024-10-16T14:00:00+00:00,218.77,219.09,218.77,219.045,1716,1729087499999,2024-10-16T14:04:59.999000+00:00,,76,,
AVY,5m,1729087500000,2024-10-16T14:05:00+00:00,218.77,219.3571,218.77,219.3571,529,1729087799999,2024-10-16T14:09:59.999000+00:00,,39,,
AVY,5m,1729087800000,2024-10-16T14:10:00+00:00,219.01,219.095,218.48,218.6,9528,1729088099999,2024-10-16T14:14:59.999000+00:00,,213,,
AVY,5m,1729088100000,2024-10-16T14:15:00+00:00,218.8,218.83,218.55,218.68,5139,1729088399999,2024-10-16T14:19:59.999000+00:00,,135,,
AVY,5m,1729088400000,2024-10-16T14:20:00+00:00,218.65,218.65,218.35,218.38,2659,1729088699999,2024-10-16T14:24:59.999000+00:00,,117,,
AVY,5m,1729088700000,2024-10-16T14:25:00+00:00,218.415,218.415,217.99,218.2,4202,1729088999999,2024-10-16T14:29:59.999000+00:00,,137,,
AVY,5m,1729089000000,2024-10-16T14:30:00+00:00,218.2,218.39,218.005,218.34,16997,1729089299999,2024-10-16T14:34:59.999000+00:00,,302,,
AVY,5m,1729089300000,2024-10-16T14:35:00+00:00,218.42,218.56,218.1,218.1,5472,1729089599999,2024-10-16T14:39:59.999000+00:00,,190,,
AVY,5m,1729089900000,2024-10-16T14:45:00+00:00,217.485,217.485,217.285,217.31,1552,1729090199999,2024-10-16T14:49:59.999000+00:00,,82,,
AVY,5m,1729090200000,2024-10-16T14:50:00+00:00,217.32,217.382582,217.32,217.382582,745,1729090499999,2024-10-16T14:54:59.999000+00:00,,39,,
AVY,5m,1729090500000,2024-10-16T14:55:00+00:00,217.39,217.39,216.93,217.135,1235,1729090799999,2024-10-16T14:59:59.999000+00:00,,83,,
AVY,5m,1729090800000,2024-10-16T15:00:00+00:00,217.17,217.39,217.065,217.23,11852,1729091099999,2024-10-16T15:04:59.999000+00:00,,214,,
AVY,5m,1729091100000,2024-10-16T15:05:00+00:00,217.08,217.34,217.01,217.34,2894,1729091399999,2024-10-16T15:09:59.999000+00:00,,100,,
AVY,5m,1729091400000,2024-10-16T15:10:00+00:00,217.425,217.545,217.425,217.545,887,1729091699999,2024-10-16T15:14:59.999000+00:00,,36,,
AVY,5m,1729091700000,2024-10-16T15:15:00+00:00,217.72,217.72,217.71,217.71,1045,1729091999999,2024-10-16T15:19:59.999000+00:00,,49,,
AVY,5m,1729092000000,2024-10-16T15:20:00+00:00,217.63,217.63,217.57,217.58,3417,1729092299999,2024-10-16T15:24:59.999000+00:00,,100,,
AVY,5m,1729092300000,2024-10-16T15:25:00+00:00,217.39,217.46,217.39,217.46,487,1729092599999,2024-10-16T15:29:59.999000+00:00,,26,,
AVY,5m,1729092600000,2024-10-16T15:30:00+00:00,217.44,217.46,217.2,217.2,2984,1729092899999,2024-10-16T15:34:59.999000+00:00,,84,,
AVY,5m,1729092900000,2024-10-16T15:35:00+00:00,217.2,217.47,217.005,217.2925,7132,1729093199999,2024-10-16T15:39:59.999000+00:00,,185,,
AVY,5m,1729093200000,2024-10-16T15:40:00+00:00,217.305,217.605,217.305,217.605,2906,1729093499999,2024-10-16T15:44:59.999000+00:00,,61,,
AVY,5m,1729093500000,2024-10-16T15:45:00+00:00,217.48,217.48,217.44,217.44,629,1729093799999,2024-10-16T15:49:59.999000+00:00,,23,,
AVY,5m,1729093800000,2024-10-16T15:50:00+00:00,217.3552,217.49,217.345,217.345,2242,1729094099999,2024-10-16T15:54:59.999000+00:00,,58,,
AVY,5m,1729094100000,2024-10-16T15:55:00+00:00,217.31,217.31,217.0231,217.19,2654,1729094399999,2024-10-16T15:59:59.999000+00:00,,115,,
AVY,5m,1729094400000,2024-10-16T16:00:00+00:00,217.175,217.34,216.94,217.06,5498,1729094699999,2024-10-16T16:04:59.999000+00:00,,188,,
AVY,5m,1729094700000,2024-10-16T16:05:00+00:00,216.92,216.92,216.92,216.92,200,1729094999999,2024-10-16T16:09:59.999000+00:00,,13,,
AVY,5m,1729095000000,2024-10-16T16:10:00+00:00,217.1966,217.1966,217.03,217.1774,1132,1729095299999,2024-10-16T16:14:59.999000+00:00,,71,,
AVY,5m,1729095300000,2024-10-16T16:15:00+00:00,217,217.07,216.85,216.85,3771,1729095599999,2024-10-16T16:19:59.999000+00:00,,153,,
AVY,5m,1729095600000,2024-10-16T16:20:00+00:00,216.91,216.91,216.91,216.91,266,1729095899999,2024-10-16T16:24:59.999000+00:00,,12,,
AVY,5m,1729095900000,2024-10-16T16:25:00+00:00,216.77,216.77,216.77,216.77,626,1729096199999,2024-10-16T16:29:59.999000+00:00,,40,,
AVY,5m,1729096200000,2024-10-16T16:30:00+00:00,216.77,216.785,216.77,216.785,671,1729096499999,2024-10-16T16:34:59.999000+00:00,,42,,
AVY,5m,1729096500000,2024-10-16T16:35:00+00:00,216.74,216.94,216.73,216.79,4372,1729096799999,2024-10-16T16:39:59.999000+00:00,,135,,
AVY,5m,1729096800000,2024-10-16T16:40:00+00:00,216.915,216.915,216.915,216.915,163,1729097099999,2024-10-16T16:44:59.999000+00:00,,12,,
AVY,5m,1729097100000,2024-10-16T16:45:00+00:00,216.885,216.915,216.885,216.915,471,1729097399999,2024-10-16T16:49:59.999000+00:00,,33,,
AVY,5m,1729097400000,2024-10-16T16:50:00+00:00,216.93,216.93,216.77,216.78,2023,1729097699999,2024-10-16T16:54:59.999000+00:00,,77,,
AVY,5m,1729097700000,2024-10-16T16:55:00+00:00,216.885,216.885,216.77,216.775,2012,1729097999999,2024-10-16T16:59:59.999000+00:00,,103,,
AVY,5m,1729098000000,2024-10-16T17:00:00+00:00,216.74,216.91,216.69,216.8,6939,1729098299999,2024-10-16T17:04:59.999000+00:00,,211,,
AVY,5m,1729098300000,2024-10-16T17:05:00+00:00,216.62,216.62,216.31,216.39,2020,1729098599999,2024-10-16T17:09:59.999000+00:00,,108,,
AVY,5m,1729098600000,2024-10-16T17:10:00+00:00,216.395,216.395,216.3,216.395,853,1729098899999,2024-10-16T17:14:59.999000+00:00,,68,,
AVY,5m,1729099200000,2024-10-16T17:20:00+00:00,216.4,216.4,216.045,216.26,4204,1729099499999,2024-10-16T17:24:59.999000+00:00,,141,,
AVY,5m,1729099500000,2024-10-16T17:25:00+00:00,216.1,216.1,216.1,216.1,199,1729099799999,2024-10-16T17:29:59.999000+00:00,,21,,
AVY,5m,1729099800000,2024-10-16T17:30:00+00:00,216.355,216.355,216,216.095,5031,1729100099999,2024-10-16T17:34:59.999000+00:00,,213,,
AVY,5m,1729100100000,2024-10-16T17:35:00+00:00,215.97,216.2,215.97,216.2,13275,1729100399999,2024-10-16T17:39:59.999000+00:00,,340,,
AVY,5m,1729100400000,2024-10-16T17:40:00+00:00,216.21,216.2918,215.99,216.1962,2142,1729100699999,2024-10-16T17:44:59.999000+00:00,,81,,
AVY,5m,1729100700000,2024-10-16T17:45:00+00:00,216.16,216.16,216.14,216.14,1335,1729100999999,2024-10-16T17:49:59.999000+00:00,,54,,
AVY,5m,1729101000000,2024-10-16T17:50:00+00:00,216.12,216.22,216.12,216.22,448,1729101299999,2024-10-16T17:54:59.999000+00:00,,23,,
AVY,5m,1729101300000,2024-10-16T17:55:00+00:00,216.225,216.41,216.225,216.28,5728,1729101599999,2024-10-16T17:59:59.999000+00:00,,188,,
AVY,5m,1729101600000,2024-10-16T18:00:00+00:00,216.39,216.45,216.3,216.42,1734,1729101899999,2024-10-16T18:04:59.999000+00:00,,37,,
AVY,5m,1729101900000,2024-10-16T18:05:00+00:00,216.55,216.55,216.47,216.47,1900,1729102199999,2024-10-16T18:09:59.999000+00:00,,70,,
AVY,5m,1729102200000,2024-10-16T18:10:00+00:00,216.6,216.62,216.515,216.545,821,1729102499999,2024-10-16T18:14:59.999000+00:00,,35,,
AVY,5m,1729102500000,2024-10-16T18:15:00+00:00,216.54,216.55,216.54,216.55,1336,1729102799999,2024-10-16T18:19:59.999000+00:00,,57,,
AVY,5m,1729102800000,2024-10-16T18:20:00+00:00,216.62,216.73,216.56,216.72,5256,1729103099999,2024-10-16T18:24:59.999000+00:00,,199,,
AVY,5m,1729103100000,2024-10-16T18:25:00+00:00,216.535,216.57,216.535,216.57,616,1729103399999,2024-10-16T18:29:59.999000+00:00,,32,,
AVY,5m,1729103400000,2024-10-16T18:30:00+00:00,216.5,216.5,216.48,216.48,1909,1729103699999,2024-10-16T18:34:59.999000+00:00,,113,,
AVY,5m,1729103700000,2024-10-16T18:35:00+00:00,216.3,216.38,216.28,216.38,4178,1729103999999,2024-10-16T18:39:59.999000+00:00,,182,,
AVY,5m,1729104000000,2024-10-16T18:40:00+00:00,216.2,216.2,216,216,2785,1729104299999,2024-10-16T18:44:59.999000+00:00,,169,,
