symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AXP,5m,1729065600000,2024-10-16T08:00:00+00:00,277.31,277.31,277.31,277.31,112,1729065899999,2024-10-16T08:04:59.999000+00:00,,7,,
AXP,5m,1729079100000,2024-10-16T11:45:00+00:00,278,278,278,278,102,1729079399999,2024-10-16T11:49:59.999000+00:00,,2,,
AXP,5m,1729081200000,2024-10-16T12:20:00+00:00,279.05,279.05,279.05,279.05,500,1729081499999,2024-10-16T12:24:59.999000+00:00,,1,,
AXP,5m,1729085100000,2024-10-16T13:25:00+00:00,278.94,280.55,278.94,280.55,1361,1729085399999,2024-10-16T13:29:59.999000+00:00,,32,,
AXP,5m,1729085400000,2024-10-16T13:30:00+00:00,278.88,279.2,278,278.47,41948,1729085699999,2024-10-16T13:34:59.999000+00:00,,720,,
AXP,5m,1729085700000,2024-10-16T13:35:00+00:00,278.655,278.96,278.1,278.57,11280,1729085999999,2024-10-16T13:39:59.999000+00:00,,347,,
AXP,5m,1729086000000,2024-10-16T13:40:00+00:00,278.55,279.86,278.51,279.86,11740,1729086299999,2024-10-16T13:44:59.999000+00:00,,414,,
AXP,5m,1729086300000,2024-10-16T13:45:00+00:00,279.66,279.9,278.89,278.91,23615,1729086599999,2024-10-16T13:49:59.999000+00:00,,1103,,
AXP,5m,1729086600000,2024-10-16T13:50:00+00:00,278.96,279.18,278.64,278.72,25193,1729086899999,2024-10-16T13:54:59.999000+00:00,,1333,,
AXP,5m,1729086900000,2024-10-16T13:55:00+00:00,278.745,278.905,278.2,278.79,38009,1729087199999,2024-10-16T13:59:59.999000+00:00,,1371,,
AXP,5m,1729087200000,2024-10-16T14:00:00+00:00,278.6,279.4926,278.6,279.31,25862,1729087499999,2024-10-16T14:04:59.999000+00:00,,1317,,
AXP,5m,1729087500000,2024-10-16T14:05:00+00:00,279.3,279.49,278.89,278.9261,16510,1729087799999,2024-10-16T14:09:59.999000+00:00,,1298,,
AXP,5m,1729087800000,2024-10-16T14:10:00+00:00,278.77,279.0899,278.3,278.36,11766,1729088099999,2024-10-16T14:14:59.999000+00:00,,1074,,
AXP,5m,1729088100000,2024-10-16T14:15:00+00:00,278.51,279.07,278.43,278.94,20915,1729088399999,2024-10-16T14:19:59.999000+00:00,,733,,
AXP,5m,1729088400000,2024-10-16T14:20:00+00:00,278.94,278.94,278.56,278.71,23897,1729088699999,2024-10-16T14:24:59.999000+00:00,,361,,
AXP,5m,1729088700000,2024-10-16T14:25:00+00:00,278.84,279,278.67,278.882946,18092,1729088999999,2024-10-16T14:29:59.999000+00:00,,410,,
AXP,5m,1729089000000,2024-10-16T14:30:00+00:00,278.95,279.7666,278.94,279.6249,29233,1729089299999,2024-10-16T14:34:59.999000+00:00,,607,,
