symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
AZO,5m,1729085400000,2024-10-16T13:30:00+00:00,3100,3101.025,3078.46,3078.46,3014,1729085699999,2024-10-16T13:34:59.999000+00:00,,314,,
AZO,5m,1729085700000,2024-10-16T13:35:00+00:00,3095.4,3097.4,3094.275,3094.275,1121,1729085999999,2024-10-16T13:39:59.999000+00:00,,51,,
AZO,5m,1729086000000,2024-10-16T13:40:00+00:00,3098.16,3120.01,3097.03,3120.01,3225,1729086299999,2024-10-16T13:44:59.999000+00:00,,156,,
AZO,5m,1729086300000,2024-10-16T13:45:00+00:00,3118.09,3126.68,3118.09,3126.68,1543,1729086599999,2024-10-16T13:49:59.999000+00:00,,75,,
AZO,5m,1729086600000,2024-10-16T13:50:00+00:00,3120.155,3120.155,3120.155,3120.155,610,1729086899999,2024-10-16T13:54:59.999000+00:00,,56,,
AZO,5m,1729086900000,2024-10-16T13:55:00+00:00,3123.995,3127.08,3116.825,3123.08,2409,1729087199999,2024-10-16T13:59:59.999000+00:00,,104,,
AZO,5m,1729087200000,2024-10-16T14:00:00+00:00,3121.855,3121.87,3119.105,3121.87,712,1729087499999,2024-10-16T14:04:59.999000+00:00,,58,,
AZO,5m,1729087500000,2024-10-16T14:05:00+00:00,3121.895,3121.9,3121.8,3121.9,944,1729087799999,2024-10-16T14:09:59.999000+00:00,,64,,
AZO,5m,1729087800000,2024-10-16T14:10:00+00:00,3121.905,3122.49,3121.905,3122.49,449,1729088099999,2024-10-16T14:14:59.999000+00:00,,23,,
AZO,5m,1729088100000,2024-10-16T14:15:00+00:00,3130,3130.425,3128.795,3128.795,1795,1729088399999,2024-10-16T14:19:59.999000+00:00,,126,,
AZO,5m,1729088400000,2024-10-16T14:20:00+00:00,3121.975,3121.975,3119.275,3120.07,856,1729088699999,2024-10-16T14:24:59.999000+00:00,,55,,
AZO,5m,1729088700000,2024-10-16T14:25:00+00:00,3114.59,3114.59,3110.825,3110.825,1294,1729088999999,2024-10-16T14:29:59.999000+00:00,,96,,
