symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
BALL,5m,1729085400000,2024-10-16T13:30:00+00:00,66.15,66.72,66.13,66.65,23404,1729085699999,2024-10-16T13:34:59.999000+00:00,,298,,
BALL,5m,1729085700000,2024-10-16T13:35:00+00:00,66.65,66.72,66.47,66.61,8992,1729085999999,2024-10-16T13:39:59.999000+00:00,,239,,
BALL,5m,1729086000000,2024-10-16T13:40:00+00:00,66.63,66.69,66.52,66.69,8360,1729086299999,2024-10-16T13:44:59.999000+00:00,,206,,
BALL,5m,1729086300000,2024-10-16T13:45:00+00:00,66.72,66.96,66.72,66.96,39769,1729086599999,2024-10-16T13:49:59.999000+00:00,,433,,
BALL,5m,1729086600000,2024-10-16T13:50:00+00:00,66.925,67.08,66.91,67.03,17463,1729086899999,2024-10-16T13:54:59.999000+00:00,,355,,
BALL,5m,1729086900000,2024-10-16T13:55:00+00:00,67.06,67.355,67.06,67.355,19923,1729087199999,2024-10-16T13:59:59.999000+00:00,,273,,
BALL,5m,1729087200000,2024-10-16T14:00:00+00:00,67.375,67.45,67.3,67.31,17851,1729087499999,2024-10-16T14:04:59.999000+00:00,,411,,
BALL,5m,1729087500000,2024-10-16T14:05:00+00:00,67.33,67.49,67.33,67.49,9885,1729087799999,2024-10-16T14:09:59.999000+00:00,,232,,
BALL,5m,1729087800000,2024-10-16T14:10:00+00:00,67.45,67.46,67.29,67.32,10611,1729088099999,2024-10-16T14:14:59.999000+00:00,,232,,
BALL,5m,1729088100000,2024-10-16T14:15:00+00:00,67.3,67.43,67.3,67.41,9828,1729088399999,2024-10-16T14:19:59.999000+00:00,,272,,
BALL,5m,1729088400000,2024-10-16T14:20:00+00:00,67.39,67.39,67.23,67.24,6522,1729088699999,2024-10-16T14:24:59.999000+00:00,,204,,
BALL,5m,1729088700000,2024-10-16T14:25:00+00:00,67.24,67.25,67.21,67.23,8588,1729088999999,2024-10-16T14:29:59.999000+00:00,,236,,
