symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
BBY,5m,1729080000000,2024-10-16T12:00:00+00:00,99.4905,99.4905,97.7,99.4635,722,1729080299999,2024-10-16T12:04:59.999000+00:00,,7,,
BBY,5m,1729082400000,2024-10-16T12:40:00+00:00,97.99,98,97.99,98,200,1729082699999,2024-10-16T12:44:59.999000+00:00,,2,,
BBY,5m,1729085100000,2024-10-16T13:25:00+00:00,98.47,98.48,98.47,98.48,566,1729085399999,2024-10-16T13:29:59.999000+00:00,,11,,
BBY,5m,1729085400000,2024-10-16T13:30:00+00:00,98.24,98.485,97.855,98.2208,43623,1729085699999,2024-10-16T13:34:59.999000+00:00,,352,,
BBY,5m,1729085700000,2024-10-16T13:35:00+00:00,98.32,98.7299,98.32,98.61,31668,1729085999999,2024-10-16T13:39:59.999000+00:00,,399,,
BBY,5m,1729086000000,2024-10-16T13:40:00+00:00,98.5,99.21,98.3,99.11,58510,1729086299999,2024-10-16T13:44:59.999000+00:00,,510,,
BBY,5m,1729086300000,2024-10-16T13:45:00+00:00,99.08,99.8,99.01,99.48,42847,1729086599999,2024-10-16T13:49:59.999000+00:00,,704,,
BBY,5m,1729086600000,2024-10-16T13:50:00+00:00,99.465,99.67,99.37,99.405,57418,1729086899999,2024-10-16T13:54:59.999000+00:00,,731,,
BBY,5m,1729086900000,2024-10-16T13:55:00+00:00,99.335,99.67,99.335,99.46,19528,1729087199999,2024-10-16T13:59:59.999000+00:00,,477,,
BBY,5m,1729087200000,2024-10-16T14:00:00+00:00,99.46,99.5307,99.16,99.16,78789,1729087499999,2024-10-16T14:04:59.999000+00:00,,582,,
BBY,5m,1729087500000,2024-10-16T14:05:00+00:00,99.22,99.36,99.175,99.24,15647,1729087799999,2024-10-16T14:09:59.999000+00:00,,464,,
BBY,5m,1729087800000,2024-10-16T14:10:00+00:00,99.28,99.29,99.06,99.12,11304,1729088099999,2024-10-16T14:14:59.999000+00:00,,329,,
BBY,5m,1729088100000,2024-10-16T14:15:00+00:00,99.17,99.25,98.9829,99.04,13559,1729088399999,2024-10-16T14:19:59.999000+00:00,,327,,
BBY,5m,1729088400000,2024-10-16T14:20:00+00:00,98.86,98.9,98.59,98.64,8085,1729088699999,2024-10-16T14:24:59.999000+00:00,,262,,
BBY,5m,1729088700000,2024-10-16T14:25:00+00:00,98.645,98.68,98.36,98.4,11042,1729088999999,2024-10-16T14:29:59.999000+00:00,,311,,
BBY,5m,1729089000000,2024-10-16T14:30:00+00:00,98.37,98.66,98.36,98.66,16025,1729089299999,2024-10-16T14:34:59.999000+00:00,,393,,
BBY,5m,1729089300000,2024-10-16T14:35:00+00:00,98.69,98.71,98.58,98.58,12118,1729089599999,2024-10-16T14:39:59.999000+00:00,,312,,
BBY,5m,1729089600000,2024-10-16T14:40:00+00:00,98.54,98.56,98.37,98.475,13329,1729089899999,2024-10-16T14:44:59.999000+00:00,,351,,
BBY,5m,1729089900000,2024-10-16T14:45:00+00:00,98.48,98.4999,98.32,98.48,20548,1729090199999,2024-10-16T14:49:59.999000+00:00,,288,,
BBY,5m,1729090200000,2024-10-16T14:50:00+00:00,98.5,98.695,98.5,98.695,10557,1729090499999,2024-10-16T14:54:59.999000+00:00,,274,,
BBY,5m,1729090500000,2024-10-16T14:55:00+00:00,98.66,98.965,98.66,98.96,60527,1729090799999,2024-10-16T14:59:59.999000+00:00,,705,,
BBY,5m,1729090800000,2024-10-16T15:00:00+00:00,98.94,98.975,98.805,98.83,19562,1729091099999,2024-10-16T15:04:59.999000+00:00,,420,,
BBY,5m,1729091100000,2024-10-16T15:05:00+00:00,98.805,98.955,98.73,98.735,19971,1729091399999,2024-10-16T15:09:59.999000+00:00,,463,,
BBY,5m,1729091400000,2024-10-16T15:10:00+00:00,98.735,98.835,98.69,98.745,19777,1729091699999,2024-10-16T15:14:59.999000+00:00,,381,,
BBY,5m,1729091700000,2024-10-16T15:15:00+00:00,98.75,98.8274,98.66,98.78,22342,1729091999999,2024-10-16T15:19:59.999000+00:00,,425,,
BBY,5m,1729092000000,2024-10-16T15:20:00+00:00,98.78,98.95,98.755,98.95,17497,1729092299999,2024-10-16T15:24:59.999000+00:00,,399,,
BBY,5m,1729092300000,2024-10-16T15:25:00+00:00,98.99,99.14,98.9,99,23119,1729092599999,2024-10-16T15:29:59.999000+00:00,,491,,
BBY,5m,1729092600000,2024-10-16T15:30:00+00:00,98.99,99.05,98.95,99.035,17427,1729092899999,2024-10-16T15:34:59.999000+00:00,,390,,
BBY,5m,1729092900000,2024-10-16T15:35:00+00:00,99.04,99.13,98.99,99.13,17873,1729093199999,2024-10-16T15:39:59.999000+00:00,,319,,
BBY,5m,1729093200000,2024-10-16T15:40:00+00:00,99.15,99.27,99.12,99.24,32671,1729093499999,2024-10-16T15:44:59.999000+00:00,,406,,
BBY,5m,1729093500000,2024-10-16T15:45:00+00:00,99.24,99.255,98.98,99.02,17051,1729093799999,2024-10-16T15:49:59.999000+00:00,,358,,
BBY,5m,1729093800000,2024-10-16T15:50:00+00:00,99.05,99.12,99.02,99.05,7905,1729094099999,2024-10-16T15:54:59.999000+00:00,,205,,
BBY,5m,1729094100000,2024-10-16T15:55:00+00:00,99.04,99.16,98.98,99.09,15108,1729094399999,2024-10-16T15:59:59.999000+00:00,,310,,
BBY,5m,1729094400000,2024-10-16T16:00:00+00:00,99.09,99.3,99.09,99.29,18083,1729094699999,2024-10-16T16:04:59.999000+00:00,,337,,
BBY,5m,1729094700000,2024-10-16T16:05:00+00:00,99.27,99.39,99.26,99.38,23458,1729094999999,2024-10-16T16:09:59.999000+00:00,,356,,
BBY,5m,1729095000000,2024-10-16T16:10:00+00:00,99.38,99.49,99.38,99.47,16619,1729095299999,2024-10-16T16:14:59.999000+00:00,,329,,
