symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
BLDR,5m,1729079100000,2024-10-16T11:45:00+00:00,197.02,197.23,197.02,197.23,205,1729079399999,2024-10-16T11:49:59.999000+00:00,,7,,
BLDR,5m,1729080000000,2024-10-16T12:00:00+00:00,196.58,196.58,196.58,196.58,623,1729080299999,2024-10-16T12:04:59.999000+00:00,,18,,
BLDR,5m,1729085400000,2024-10-16T13:30:00+00:00,197.53,198.848,197.2,198.64,21636,1729085699999,2024-10-16T13:34:59.999000+00:00,,220,,
BLDR,5m,1729085700000,2024-10-16T13:35:00+00:00,198.85,199.93,198.21,199.93,14836,1729085999999,2024-10-16T13:39:59.999000+00:00,,262,,
BLDR,5m,1729086000000,2024-10-16T13:40:00+00:00,199.0978,200.41,199.04,200.41,16967,1729086299999,2024-10-16T13:44:59.999000+00:00,,262,,
BLDR,5m,1729086300000,2024-10-16T13:45:00+00:00,200.12,200.705,199.405,200.61,14145,1729086599999,2024-10-16T13:49:59.999000+00:00,,313,,
BLDR,5m,1729086600000,2024-10-16T13:50:00+00:00,200.61,200.61,199.44,199.56,12295,1729086899999,2024-10-16T13:54:59.999000+00:00,,342,,
BLDR,5m,1729086900000,2024-10-16T13:55:00+00:00,199.635,200.27,199.58,200,9534,1729087199999,2024-10-16T13:59:59.999000+00:00,,257,,
BLDR,5m,1729087200000,2024-10-16T14:00:00+00:00,200.1591,200.22,199.79,200.04,7818,1729087499999,2024-10-16T14:04:59.999000+00:00,,203,,
BLDR,5m,1729087500000,2024-10-16T14:05:00+00:00,199.8,200.14,199.8,199.8,9263,1729087799999,2024-10-16T14:09:59.999000+00:00,,197,,
BLDR,5m,1729087800000,2024-10-16T14:10:00+00:00,199.79,200.38,199.79,200.11,14306,1729088099999,2024-10-16T14:14:59.999000+00:00,,386,,
BLDR,5m,1729088100000,2024-10-16T14:15:00+00:00,200.1,200.9767,200.1,200.22,16514,1729088399999,2024-10-16T14:19:59.999000+00:00,,378,,
BLDR,5m,1729088400000,2024-10-16T14:20:00+00:00,200.4699,200.4699,200,200.175,8951,1729088699999,2024-10-16T14:24:59.999000+00:00,,163,,
BLDR,5m,1729088700000,2024-10-16T14:25:00+00:00,200.22,200.9,200.15,200.73,9433,1729088999999,2024-10-16T14:29:59.999000+00:00,,251,,
BLDR,5m,1729089000000,2024-10-16T14:30:00+00:00,200.6697,201.26,200.625,201.26,5950,1729089299999,2024-10-16T14:34:59.999000+00:00,,211,,
BLDR,5m,1729089300000,2024-10-16T14:35:00+00:00,201.38,201.51,200.89,201.38,13478,1729089599999,2024-10-16T14:39:59.999000+00:00,,349,,
BLDR,5m,1729089600000,2024-10-16T14:40:00+00:00,201.33,201.4399,200.73,200.8189,13470,1729089899999,2024-10-16T14:44:59.999000+00:00,,349,,
BLDR,5m,1729089900000,2024-10-16T14:45:00+00:00,200.985,201.29,200.83,201.0844,5740,1729090199999,2024-10-16T14:49:59.999000+00:00,,216,,
BLDR,5m,1729090200000,2024-10-16T14:50:00+00:00,201.26,201.26,200.985,201.05,7165,1729090499999,2024-10-16T14:54:59.999000+00:00,,232,,
BLDR,5m,1729090500000,2024-10-16T14:55:00+00:00,200.985,200.985,200.55,200.555,6474,1729090799999,2024-10-16T14:59:59.999000+00:00,,197,,
BLDR,5m,1729090800000,2024-10-16T15:00:00+00:00,200.555,200.64,200.11,200.3,6178,1729091099999,2024-10-16T15:04:59.999000+00:00,,171,,
BLDR,5m,1729091100000,2024-10-16T15:05:00+00:00,200.325,200.325,199.77,199.93,6982,1729091399999,2024-10-16T15:09:59.999000+00:00,,221,,
BLDR,5m,1729091400000,2024-10-16T15:10:00+00:00,199.6101,200.01,199.6101,199.83,2276,1729091699999,2024-10-16T15:14:59.999000+00:00,,74,,
BLDR,5m,1729091700000,2024-10-16T15:15:00+00:00,199.99,200.2999,199.785,200.04,9006,1729091999999,2024-10-16T15:19:59.999000+00:00,,122,,
BLDR,5m,1729092000000,2024-10-16T15:20:00+00:00,200.04,200.34,199.945,200.085,6992,1729092299999,2024-10-16T15:24:59.999000+00:00,,144,,
BLDR,5m,1729092300000,2024-10-16T15:25:00+00:00,200.085,200.88,200.03,200.85,9766,1729092599999,2024-10-16T15:29:59.999000+00:00,,320,,
BLDR,5m,1729092600000,2024-10-16T15:30:00+00:00,200.67,201,200.56,200.92,6579,1729092899999,2024-10-16T15:34:59.999000+00:00,,174,,
BLDR,5m,1729092900000,2024-10-16T15:35:00+00:00,200.935,200.99,200.835,200.97,3262,1729093199999,2024-10-16T15:39:59.999000+00:00,,96,,
BLDR,5m,1729093200000,2024-10-16T15:40:00+00:00,200.975,201.53,200.86,201.41,23991,1729093499999,2024-10-16T15:44:59.999000+00:00,,505,,
BLDR,5m,1729093500000,2024-10-16T15:45:00+00:00,201.41,201.41,200.52,200.625,12967,1729093799999,2024-10-16T15:49:59.999000+00:00,,250,,
BLDR,5m,1729093800000,2024-10-16T15:50:00+00:00,200.625,200.705,200.52,200.605,4653,1729094099999,2024-10-16T15:54:59.999000+00:00,,185,,
BLDR,5m,1729094100000,2024-10-16T15:55:00+00:00,200.605,200.77,200.595,200.745,3922,1729094399999,2024-10-16T15:59:59.999000+00:00,,119,,
BLDR,5m,1729094400000,2024-10-16T16:00:00+00:00,200.765,201.06,200.765,200.82,6483,1729094699999,2024-10-16T16:04:59.999000+00:00,,157,,
BLDR,5m,1729094700000,2024-10-16T16:05:00+00:00,200.74,200.98,200.7,200.915,7378,1729094999999,2024-10-16T16:09:59.999000+00:00,,136,,
BLDR,5m,1729095000000,2024-10-16T16:10:00+00:00,200.995,201.235,200.93,201.235,4757,1729095299999,2024-10-16T16:14:59.999000+00:00,,178,,
BLDR,5m,1729095300000,2024-10-16T16:15:00+00:00,201.255,201.255,201.12,201.165,2033,1729095599999,2024-10-16T16:19:59.999000+00:00,,87,,
BLDR,5m,1729095600000,2024-10-16T16:20:00+00:00,201.17,201.32,201.15,201.18,5419,1729095899999,2024-10-16T16:24:59.999000+00:00,,170,,
BLDR,5m,1729095900000,2024-10-16T16:25:00+00:00,201.17,201.53,201.03,201.36,11416,1729096199999,2024-10-16T16:29:59.999000+00:00,,277,,
BLDR,5m,1729096200000,2024-10-16T16:30:00+00:00,201.3299,201.3299,200.94,201.06,1345,1729096499999,2024-10-16T16:34:59.999000+00:00,,81,,
BLDR,5m,1729096500000,2024-10-16T16:35:00+00:00,201.025,201.1,200.95,200.95,2566,1729096799999,2024-10-16T16:39:59.999000+00:00,,70,,
BLDR,5m,1729096800000,2024-10-16T16:40:00+00:00,201.04,201.06,201.005,201.035,1608,1729097099999,2024-10-16T16:44:59.999000+00:00,,68,,
BLDR,5m,1729097100000,2024-10-16T16:45:00+00:00,201.005,201.005,200.66,200.79,4205,1729097399999,2024-10-16T16:49:59.999000+00:00,,104,,
BLDR,5m,1729097400000,2024-10-16T16:50:00+00:00,200.85,200.94,200.74,200.74,1463,1729097699999,2024-10-16T16:54:59.999000+00:00,,73,,
BLDR,5m,1729097700000,2024-10-16T16:55:00+00:00,200.74,200.74,200.32,200.465,3900,1729097999999,2024-10-16T16:59:59.999000+00:00,,160,,
BLDR,5m,1729098000000,2024-10-16T17:00:00+00:00,200.5,200.6,200.41,200.53,3533,1729098299999,2024-10-16T17:04:59.999000+00:00,,169,,
BLDR,5m,1729098300000,2024-10-16T17:05:00+00:00,200.45,200.45,199.89,199.89,3645,1729098599999,2024-10-16T17:09:59.999000+00:00,,145,,
