symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
BMY,5m,1729073400000,2024-10-16T10:10:00+00:00,52.49,52.49,52.49,52.49,145,1729073699999,2024-10-16T10:14:59.999000+00:00,,2,,
BMY,5m,1729078800000,2024-10-16T11:40:00+00:00,52.6,52.6,52.6,52.6,200,1729079099999,2024-10-16T11:44:59.999000+00:00,,1,,
BMY,5m,1729079700000,2024-10-16T11:55:00+00:00,52.69,52.69,52.69,52.69,200,1729079999999,2024-10-16T11:59:59.999000+00:00,,5,,
BMY,5m,1729080900000,2024-10-16T12:15:00+00:00,52.8,52.8,52.8,52.8,1000,1729081199999,2024-10-16T12:19:59.999000+00:00,,2,,
BMY,5m,1729081800000,2024-10-16T12:30:00+00:00,52.73,52.73,52.7,52.7,1172,1729082099999,2024-10-16T12:34:59.999000+00:00,,13,,
BMY,5m,1729083000000,2024-10-16T12:50:00+00:00,52.65,52.65,52.65,52.65,200,1729083299999,2024-10-16T12:54:59.999000+00:00,,1,,
BMY,5m,1729083900000,2024-10-16T13:05:00+00:00,52.6,52.61,52.6,52.61,1450,1729084199999,2024-10-16T13:09:59.999000+00:00,,6,,
BMY,5m,1729084200000,2024-10-16T13:10:00+00:00,52.61,52.61,52.6,52.6,800,1729084499999,2024-10-16T13:14:59.999000+00:00,,3,,
BMY,5m,1729084500000,2024-10-16T13:15:00+00:00,52.6,52.61,52.6,52.6,2311,1729084799999,2024-10-16T13:19:59.999000+00:00,,24,,
BMY,5m,1729084800000,2024-10-16T13:20:00+00:00,52.7,52.7,52.6008,52.6008,201,1729085099999,2024-10-16T13:24:59.999000+00:00,,3,,
BMY,5m,1729085400000,2024-10-16T13:30:00+00:00,52.63,52.83,52.51,52.62,129384,1729085699999,2024-10-16T13:34:59.999000+00:00,,737,,
BMY,5m,1729085700000,2024-10-16T13:35:00+00:00,52.62,52.75,52.53,52.69,54288,1729085999999,2024-10-16T13:39:59.999000+00:00,,694,,
BMY,5m,1729086000000,2024-10-16T13:40:00+00:00,52.68,52.72,52.635,52.72,40945,1729086299999,2024-10-16T13:44:59.999000+00:00,,684,,
