symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
BR,5m,1729085400000,2024-10-16T13:30:00+00:00,221.16,221.2,220.1595,220.25,5736,1729085699999,2024-10-16T13:34:59.999000+00:00,,39,,
BR,5m,1729085700000,2024-10-16T13:35:00+00:00,221.22,221.22,221.22,221.22,108,1729085999999,2024-10-16T13:39:59.999000+00:00,,3,,
BR,5m,1729086000000,2024-10-16T13:40:00+00:00,221.11,221.45,221.11,221.45,445,1729086299999,2024-10-16T13:44:59.999000+00:00,,22,,
BR,5m,1729086300000,2024-10-16T13:45:00+00:00,222.36,222.44,222.36,222.44,435,1729086599999,2024-10-16T13:49:59.999000+00:00,,22,,
BR,5m,1729086600000,2024-10-16T13:50:00+00:00,222.185,222.185,222.185,222.185,372,1729086899999,2024-10-16T13:54:59.999000+00:00,,13,,
BR,5m,1729086900000,2024-10-16T13:55:00+00:00,222.17,222.19,222.17,222.19,1582,1729087199999,2024-10-16T13:59:59.999000+00:00,,63,,
BR,5m,1729087200000,2024-10-16T14:00:00+00:00,222.245,222.7,221.7601,222.23,2804,1729087499999,2024-10-16T14:04:59.999000+00:00,,49,,
BR,5m,1729087500000,2024-10-16T14:05:00+00:00,222.185,222.205,222.155,222.155,1450,1729087799999,2024-10-16T14:09:59.999000+00:00,,48,,
BR,5m,1729087800000,2024-10-16T14:10:00+00:00,222.17,222.5,222,222,5546,1729088099999,2024-10-16T14:14:59.999000+00:00,,135,,
BR,5m,1729088100000,2024-10-16T14:15:00+00:00,222.32,222.7999,222.32,222.6,2469,1729088399999,2024-10-16T14:19:59.999000+00:00,,111,,
BR,5m,1729088400000,2024-10-16T14:20:00+00:00,222.15,222.15,222.15,222.15,465,1729088699999,2024-10-16T14:24:59.999000+00:00,,20,,
BR,5m,1729088700000,2024-10-16T14:25:00+00:00,222.12,222.12,222.12,222.12,172,1729088999999,2024-10-16T14:29:59.999000+00:00,,11,,
BR,5m,1729089300000,2024-10-16T14:35:00+00:00,222.68,222.68,222.23,222.23,2818,1729089599999,2024-10-16T14:39:59.999000+00:00,,67,,
BR,5m,1729089600000,2024-10-16T14:40:00+00:00,222.0301,222.0301,222.03,222.03,597,1729089899999,2024-10-16T14:44:59.999000+00:00,,26,,
BR,5m,1729089900000,2024-10-16T14:45:00+00:00,221.8,222.14,221.43,221.5996,1588,1729090199999,2024-10-16T14:49:59.999000+00:00,,54,,
BR,5m,1729090200000,2024-10-16T14:50:00+00:00,221.2215,221.2215,220.9301,221.19,801,1729090499999,2024-10-16T14:54:59.999000+00:00,,42,,
BR,5m,1729090500000,2024-10-16T14:55:00+00:00,221.74,221.74,221.74,221.74,388,1729090799999,2024-10-16T14:59:59.999000+00:00,,6,,
BR,5m,1729090800000,2024-10-16T15:00:00+00:00,221.05,221.05,221.05,221.05,101,1729091099999,2024-10-16T15:04:59.999000+00:00,,2,,
BR,5m,1729091100000,2024-10-16T15:05:00+00:00,221.155,221.155,220.92,220.92,232,1729091399999,2024-10-16T15:09:59.999000+00:00,,10,,
BR,5m,1729091400000,2024-10-16T15:10:00+00:00,221.165,221.165,221.165,221.165,1125,1729091699999,2024-10-16T15:14:59.999000+00:00,,21,,
BR,5m,1729091700000,2024-10-16T15:15:00+00:00,221.175,221.535,221,221.457,6790,1729091999999,2024-10-16T15:19:59.999000+00:00,,232,,
BR,5m,1729092000000,2024-10-16T15:20:00+00:00,221.445,221.445,221.37,221.37,353,1729092299999,2024-10-16T15:24:59.999000+00:00,,21,,
BR,5m,1729092300000,2024-10-16T15:25:00+00:00,221.395,221.395,221.375,221.375,337,1729092599999,2024-10-16T15:29:59.999000+00:00,,8,,
BR,5m,1729092600000,2024-10-16T15:30:00+00:00,221.23,221.395,221.23,221.3,788,1729092899999,2024-10-16T15:34:59.999000+00:00,,24,,
BR,5m,1729093500000,2024-10-16T15:45:00+00:00,221.35,221.41,221.3,221.41,1344,1729093799999,2024-10-16T15:49:59.999000+00:00,,40,,
BR,5m,1729093800000,2024-10-16T15:50:00+00:00,221.285,221.46,221.28,221.34,3136,1729094099999,2024-10-16T15:54:59.999000+00:00,,147,,
BR,5m,1729094100000,2024-10-16T15:55:00+00:00,221.345,221.345,221.345,221.345,520,1729094399999,2024-10-16T15:59:59.999000+00:00,,16,,
BR,5m,1729094400000,2024-10-16T16:00:00+00:00,221.23,221.34,221.23,221.34,373,1729094699999,2024-10-16T16:04:59.999000+00:00,,13,,
BR,5m,1729094700000,2024-10-16T16:05:00+00:00,221.19,221.48,221.19,221.48,970,1729094999999,2024-10-16T16:09:59.999000+00:00,,36,,
BR,5m,1729095000000,2024-10-16T16:10:00+00:00,221.21,221.21,221.2,221.21,901,1729095299999,2024-10-16T16:14:59.999000+00:00,,40,,
BR,5m,1729095300000,2024-10-16T16:15:00+00:00,221.335,221.335,221.205,221.205,479,1729095599999,2024-10-16T16:19:59.999000+00:00,,37,,
BR,5m,1729095600000,2024-10-16T16:20:00+00:00,221.275,221.275,221.14,221.14,374,1729095899999,2024-10-16T16:24:59.999000+00:00,,14,,
BR,5m,1729095900000,2024-10-16T16:25:00+00:00,221.1,221.4,221.1,221.14,4017,1729096199999,2024-10-16T16:29:59.999000+00:00,,90,,
BR,5m,1729096200000,2024-10-16T16:30:00+00:00,221.08,221.18,220.98,220.98,4554,1729096499999,2024-10-16T16:34:59.999000+00:00,,86,,
BR,5m,1729096500000,2024-10-16T16:35:00+00:00,220.875,221.055,220.875,221.055,2047,1729096799999,2024-10-16T16:39:59.999000+00:00,,63,,
BR,5m,1729096800000,2024-10-16T16:40:00+00:00,220.98,221.005,220.82,221.005,875,1729097099999,2024-10-16T16:44:59.999000+00:00,,38,,
BR,5m,1729097100000,2024-10-16T16:45:00+00:00,221.005,221.005,220.665,220.665,962,1729097399999,2024-10-16T16:49:59.999000+00:00,,34,,
BR,5m,1729097400000,2024-10-16T16:50:00+00:00,220.67,221.139,220.67,220.67,1893,1729097699999,2024-10-16T16:54:59.999000+00:00,,51,,
BR,5m,1729097700000,2024-10-16T16:55:00+00:00,220.68,220.68,220.66,220.66,1468,1729097999999,2024-10-16T16:59:59.999000+00:00,,87,,
BR,5m,1729098000000,2024-10-16T17:00:00+00:00,220.62,220.7,220.62,220.7,754,1729098299999,2024-10-16T17:04:59.999000+00:00,,45,,
BR,5m,1729098300000,2024-10-16T17:05:00+00:00,220.565,220.735,220.46,220.46,2587,1729098599999,2024-10-16T17:09:59.999000+00:00,,58,,
BR,5m,1729098600000,2024-10-16T17:10:00+00:00,220.43,220.43,220.265,220.265,2053,1729098899999,2024-10-16T17:14:59.999000+00:00,,107,,
BR,5m,1729098900000,2024-10-16T17:15:00+00:00,220.26,220.26,220.26,220.26,1135,1729099199999,2024-10-16T17:19:59.999000+00:00,,55,,
BR,5m,1729099200000,2024-10-16T17:20:00+00:00,220.12,220.12,220.1019,220.1019,423,1729099499999,2024-10-16T17:24:59.999000+00:00,,21,,
BR,5m,1729099500000,2024-10-16T17:25:00+00:00,220.255,220.26,220.255,220.26,1081,1729099799999,2024-10-16T17:29:59.999000+00:00,,58,,
BR,5m,1729099800000,2024-10-16T17:30:00+00:00,220.175,220.3,220.175,220.3,1020,1729100099999,2024-10-16T17:34:59.999000+00:00,,52,,
BR,5m,1729100100000,2024-10-16T17:35:00+00:00,220.085,220.23,220.08,220.08,786,1729100399999,2024-10-16T17:39:59.999000+00:00,,31,,
BR,5m,1729100700000,2024-10-16T17:45:00+00:00,220.16,220.16,219.8726,219.8726,4113,1729100999999,2024-10-16T17:49:59.999000+00:00,,144,,
BR,5m,1729101000000,2024-10-16T17:50:00+00:00,219.77,219.99,219.725,219.725,1791,1729101299999,2024-10-16T17:54:59.999000+00:00,,59,,
BR,5m,1729101300000,2024-10-16T17:55:00+00:00,219.905,220.1,219.81,219.895,10525,1729101599999,2024-10-16T17:59:59.999000+00:00,,262,,
BR,5m,1729101600000,2024-10-16T18:00:00+00:00,219.95,220.11,219.9,219.98,19331,1729101899999,2024-10-16T18:04:59.999000+00:00,,306,,
BR,5m,1729101900000,2024-10-16T18:05:00+00:00,220,220.06,219.73,219.77,23327,1729102199999,2024-10-16T18:09:59.999000+00:00,,371,,
BR,5m,1729102200000,2024-10-16T18:10:00+00:00,219.8,220,219.6912,219.77,10339,1729102499999,2024-10-16T18:14:59.999000+00:00,,189,,
BR,5m,1729102500000,2024-10-16T18:15:00+00:00,219.73,219.7625,219.575,219.64,4640,1729102799999,2024-10-16T18:19:59.999000+00:00,,127,,
BR,5m,1729102800000,2024-10-16T18:20:00+00:00,219.73,220.2,219.69,220.115,11433,1729103099999,2024-10-16T18:24:59.999000+00:00,,226,,
BR,5m,1729103100000,2024-10-16T18:25:00+00:00,220.08,220.09,219.85,220.085,12291,1729103399999,2024-10-16T18:29:59.999000+00:00,,204,,
BR,5m,1729103400000,2024-10-16T18:30:00+00:00,220.085,220.1738,219.86,219.865,18568,1729103699999,2024-10-16T18:34:59.999000+00:00,,313,,
BR,5m,1729103700000,2024-10-16T18:35:00+00:00,219.98,219.98,219.88,219.88,1419,1729103999999,2024-10-16T18:39:59.999000+00:00,,64,,
BR,5m,1729104000000,2024-10-16T18:40:00+00:00,219.81,219.81,219.56,219.665,4747,1729104299999,2024-10-16T18:44:59.999000+00:00,,156,,
BR,5m,1729104300000,2024-10-16T18:45:00+00:00,219.61,219.71,219.53,219.615,5554,1729104599999,2024-10-16T18:49:59.999000+00:00,,128,,
BR,5m,1729104600000,2024-10-16T18:50:00+00:00,219.58,219.78,219.26,219.77,11136,1729104899999,2024-10-16T18:54:59.999000+00:00,,271,,
BR,5m,1729104900000,2024-10-16T18:55:00+00:00,219.47,219.53,219.32,219.33,2966,1729105199999,2024-10-16T18:59:59.999000+00:00,,123,,
BR,5m,1729105200000,2024-10-16T19:00:00+00:00,219.455,219.455,219.255,219.255,2344,1729105499999,2024-10-16T19:04:59.999000+00:00,,126,,
BR,5m,1729105500000,2024-10-16T19:05:00+00:00,219.48,219.48,219.33,219.46,1507,1729105799999,2024-10-16T19:09:59.999000+00:00,,77,,
BR,5m,1729105800000,2024-10-16T19:10:00+00:00,219.49,219.49,219.4,219.4,2276,1729106099999,2024-10-16T19:14:59.999000+00:00,,101,,
BR,5m,1729106100000,2024-10-16T19:15:00+00:00,219.48,219.505,219.48,219.505,1321,1729106399999,2024-10-16T19:19:59.999000+00:00,,67,,
BR,5m,1729106400000,2024-10-16T19:20:00+00:00,219.58,219.58,219.395,219.395,5157,1729106699999,2024-10-16T19:24:59.999000+00:00,,206,,
BR,5m,1729106700000,2024-10-16T19:25:00+00:00,219.39,219.48,219.28,219.28,3950,1729106999999,2024-10-16T19:29:59.999000+00:00,,226,,
BR,5m,1729107000000,2024-10-16T19:30:00+00:00,219.27,219.355,219.04,219.21,5496,1729107299999,2024-10-16T19:34:59.999000+00:00,,261,,
BR,5m,1729107300000,2024-10-16T19:35:00+00:00,219.225,219.41,219.04,219.41,4743,1729107599999,2024-10-16T19:39:59.999000+00:00,,240,,
BR,5m,1729107600000,2024-10-16T19:40:00+00:00,219.63,219.69,219.51,219.51,3548,1729107899999,2024-10-16T19:44:59.999000+00:00,,187,,
BR,5m,1729107900000,2024-10-16T19:45:00+00:00,219.67,219.68,219.285,219.365,8967,1729108199999,2024-10-16T19:49:59.999000+00:00,,355,,
BR,5m,1729108200000,2024-10-16T19:50:00+00:00,219.435,219.52,219.31,219.52,11773,1729108499999,2024-10-16T19:54:59.999000+00:00,,382,,
BR,5m,1729108500000,2024-10-16T19:55:00+00:00,219.395,219.395,218.97,219.22,33216,1729108799999,2024-10-16T19:59:59.999000+00:00,,943,,
BR,5m,1729108800000,2024-10-16T20:00:00+00:00,219.23,219.23,219.23,219.23,1925,1729109099999,2024-10-16T20:04:59.999000+00:00,,30,,
BR,5m,1729171800000,2024-10-17T13:30:00+00:00,219.92,220.46,219.92,220.46,5046,1729172099999,2024-10-17T13:34:59.999000+00:00,,42,,
BR,5m,1729172400000,2024-10-17T13:40:00+00:00,220.46,220.46,219.58,219.58,1766,1729172699999,2024-10-17T13:44:59.999000+00:00,,74,,
BR,5m,1729172700000,2024-10-17T13:45:00+00:00,220.07,220.07,219.28,219.59,6421,1729172999999,2024-10-17T13:49:59.999000+00:00,,100,,
BR,5m,1729173000000,2024-10-17T13:50:00+00:00,219.5,219.5,219.5,219.5,596,1729173299999,2024-10-17T13:54:59.999000+00:00,,41,,
BR,5m,1729173300000,2024-10-17T13:55:00+00:00,219.5,220.13,219.5,220.13,1282,1729173599999,2024-10-17T13:59:59.999000+00:00,,73,,
BR,5m,1729173600000,2024-10-17T14:00:00+00:00,220.16,220.2,219.49,220.0799,7418,1729173899999,2024-10-17T14:04:59.999000+00:00,,108,,
BR,5m,1729173900000,2024-10-17T14:05:00+00:00,219.17,219.87,218.77,219.87,6393,1729174199999,2024-10-17T14:09:59.999000+00:00,,68,,
