symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
BX,5m,1729076100000,2024-10-16T10:55:00+00:00,156.6,156.6,156.6,156.6,199,1729076399999,2024-10-16T10:59:59.999000+00:00,,2,,
BX,5m,1729083600000,2024-10-16T13:00:00+00:00,157,157,157,157,100,1729083899999,2024-10-16T13:04:59.999000+00:00,,1,,
BX,5m,1729085400000,2024-10-16T13:30:00+00:00,157.38,158,157.0591,157.895,39099,1729085699999,2024-10-16T13:34:59.999000+00:00,,458,,
BX,5m,1729085700000,2024-10-16T13:35:00+00:00,157.95,158.07,157.22,157.225,30809,1729085999999,2024-10-16T13:39:59.999000+00:00,,678,,
BX,5m,1729086000000,2024-10-16T13:40:00+00:00,157.22427,157.82,157.1447,157.82,11833,1729086299999,2024-10-16T13:44:59.999000+00:00,,233,,
BX,5m,1729086300000,2024-10-16T13:45:00+00:00,157.82,157.835,157.07,157.28,27277,1729086599999,2024-10-16T13:49:59.999000+00:00,,553,,
BX,5m,1729086600000,2024-10-16T13:50:00+00:00,157.295,157.64,157.24,157.56,19728,1729086899999,2024-10-16T13:54:59.999000+00:00,,391,,
BX,5m,1729086900000,2024-10-16T13:55:00+00:00,157.54,157.5782,157.31,157.31,15627,1729087199999,2024-10-16T13:59:59.999000+00:00,,360,,
BX,5m,1729087200000,2024-10-16T14:00:00+00:00,157.365,157.69,157.27,157.69,16177,1729087499999,2024-10-16T14:04:59.999000+00:00,,491,,
BX,5m,1729087500000,2024-10-16T14:05:00+00:00,157.73,157.94,157.64,157.72,53184,1729087799999,2024-10-16T14:09:59.999000+00:00,,662,,
BX,5m,1729087800000,2024-10-16T14:10:00+00:00,157.825,157.9213,157.39,157.54,23996,1729088099999,2024-10-16T14:14:59.999000+00:00,,493,,
BX,5m,1729088100000,2024-10-16T14:15:00+00:00,157.56,157.865,157.56,157.59,19208,1729088399999,2024-10-16T14:19:59.999000+00:00,,435,,
BX,5m,1729088400000,2024-10-16T14:20:00+00:00,157.59,157.815,157.5,157.775,28573,1729088699999,2024-10-16T14:24:59.999000+00:00,,461,,
BX,5m,1729088700000,2024-10-16T14:25:00+00:00,157.815,157.96,157.64,157.698,57800,1729088999999,2024-10-16T14:29:59.999000+00:00,,653,,
BX,5m,1729089000000,2024-10-16T14:30:00+00:00,157.72,158.31,157.68,158.29,29415,1729089299999,2024-10-16T14:34:59.999000+00:00,,504,,
BX,5m,1729089300000,2024-10-16T14:35:00+00:00,158.35,158.45,157.97,158,29546,1729089599999,2024-10-16T14:39:59.999000+00:00,,574,,
BX,5m,1729089600000,2024-10-16T14:40:00+00:00,158.05,158.21,157.79,158.02,17367,1729089899999,2024-10-16T14:44:59.999000+00:00,,535,,
BX,5m,1729089900000,2024-10-16T14:45:00+00:00,158.0264,158.4,158.01,158.395,13679,1729090199999,2024-10-16T14:49:59.999000+00:00,,293,,
BX,5m,1729090200000,2024-10-16T14:50:00+00:00,158.395,158.61,158.34,158.56,22426,1729090499999,2024-10-16T14:54:59.999000+00:00,,461,,
BX,5m,1729090500000,2024-10-16T14:55:00+00:00,158.61,158.69,158.335,158.58,53231,1729090799999,2024-10-16T14:59:59.999000+00:00,,777,,
BX,5m,1729090800000,2024-10-16T15:00:00+00:00,158.63,159.11,158.605,158.89,73719,1729091099999,2024-10-16T15:04:59.999000+00:00,,1130,,
BX,5m,1729091100000,2024-10-16T15:05:00+00:00,158.9,158.935,158.44,158.65,53257,1729091399999,2024-10-16T15:09:59.999000+00:00,,641,,
BX,5m,1729091400000,2024-10-16T15:10:00+00:00,158.55,158.72,158.55,158.67,25059,1729091699999,2024-10-16T15:14:59.999000+00:00,,422,,
BX,5m,1729091700000,2024-10-16T15:15:00+00:00,158.67,159.04,158.67,158.995,27506,1729091999999,2024-10-16T15:19:59.999000+00:00,,495,,
BX,5m,1729092000000,2024-10-16T15:20:00+00:00,158.99,159.13,158.9,158.93,27072,1729092299999,2024-10-16T15:24:59.999000+00:00,,590,,
BX,5m,1729092300000,2024-10-16T15:25:00+00:00,158.92,159.1,158.895,158.99,52865,1729092599999,2024-10-16T15:29:59.999000+00:00,,560,,
BX,5m,1729092600000,2024-10-16T15:30:00+00:00,159.005,159.22,158.92,159.05,26282,1729092899999,2024-10-16T15:34:59.999000+00:00,,497,,
BX,5m,1729092900000,2024-10-16T15:35:00+00:00,158.9997,159.14,158.9101,159.07,22904,1729093199999,2024-10-16T15:39:59.999000+00:00,,459,,
