symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CAH,5m,1729085400000,2024-10-16T13:30:00+00:00,111.57,112.19,111.55,111.79,19803,1729085699999,2024-10-16T13:34:59.999000+00:00,,294,,
CAH,5m,1729085700000,2024-10-16T13:35:00+00:00,111.895,112.066,111.895,112.04,4301,1729085999999,2024-10-16T13:39:59.999000+00:00,,149,,
CAH,5m,1729086000000,2024-10-16T13:40:00+00:00,111.89,112.58,111.83,112.58,6222,1729086299999,2024-10-16T13:44:59.999000+00:00,,203,,
CAH,5m,1729086300000,2024-10-16T13:45:00+00:00,112.3802,112.61,112.33,112.39,12805,1729086599999,2024-10-16T13:49:59.999000+00:00,,279,,
CAH,5m,1729086600000,2024-10-16T13:50:00+00:00,112.39,112.62,112.34,112.57,18321,1729086899999,2024-10-16T13:54:59.999000+00:00,,432,,
CAH,5m,1729086900000,2024-10-16T13:55:00+00:00,112.58,112.83,112.565,112.83,12074,1729087199999,2024-10-16T13:59:59.999000+00:00,,263,,
CAH,5m,1729087200000,2024-10-16T14:00:00+00:00,112.855,113.115,112.77,112.97,13950,1729087499999,2024-10-16T14:04:59.999000+00:00,,300,,
CAH,5m,1729087500000,2024-10-16T14:05:00+00:00,113.04,113.13,112.7,112.78,13124,1729087799999,2024-10-16T14:09:59.999000+00:00,,303,,
CAH,5m,1729087800000,2024-10-16T14:10:00+00:00,112.72,112.72,112.54,112.71,10399,1729088099999,2024-10-16T14:14:59.999000+00:00,,300,,
CAH,5m,1729088100000,2024-10-16T14:15:00+00:00,112.66,112.94,112.635,112.91,11250,1729088399999,2024-10-16T14:19:59.999000+00:00,,290,,
CAH,5m,1729088400000,2024-10-16T14:20:00+00:00,112.929,112.929,112.71,112.8,12550,1729088699999,2024-10-16T14:24:59.999000+00:00,,294,,
CAH,5m,1729088700000,2024-10-16T14:25:00+00:00,112.77,112.82,112.73,112.76,11375,1729088999999,2024-10-16T14:29:59.999000+00:00,,296,,
CAH,5m,1729089000000,2024-10-16T14:30:00+00:00,112.76,112.84,112.71,112.765,12164,1729089299999,2024-10-16T14:34:59.999000+00:00,,321,,
CAH,5m,1729089300000,2024-10-16T14:35:00+00:00,112.77,112.9,112.77,112.87,12236,1729089599999,2024-10-16T14:39:59.999000+00:00,,318,,
CAH,5m,1729089600000,2024-10-16T14:40:00+00:00,112.82,112.88,112.76,112.79,15950,1729089899999,2024-10-16T14:44:59.999000+00:00,,376,,
CAH,5m,1729089900000,2024-10-16T14:45:00+00:00,112.825,112.84,112.72,112.785,14044,1729090199999,2024-10-16T14:49:59.999000+00:00,,326,,
CAH,5m,1729090200000,2024-10-16T14:50:00+00:00,112.79,112.99,112.7837,112.99,18416,1729090499999,2024-10-16T14:54:59.999000+00:00,,324,,
CAH,5m,1729090500000,2024-10-16T14:55:00+00:00,113.025,113.13,113.01,113.13,12107,1729090799999,2024-10-16T14:59:59.999000+00:00,,314,,
CAH,5m,1729090800000,2024-10-16T15:00:00+00:00,113.18,113.25,113.11,113.25,15118,1729091099999,2024-10-16T15:04:59.999000+00:00,,346,,
CAH,5m,1729091100000,2024-10-16T15:05:00+00:00,113.24,113.245,113.02,113.02,17098,1729091399999,2024-10-16T15:09:59.999000+00:00,,349,,
CAH,5m,1729091400000,2024-10-16T15:10:00+00:00,113.02,113.1,113.01,113.01,12703,1729091699999,2024-10-16T15:14:59.999000+00:00,,353,,
CAH,5m,1729091700000,2024-10-16T15:15:00+00:00,113.01,113.04,112.97,112.97,10694,1729091999999,2024-10-16T15:19:59.999000+00:00,,289,,
CAH,5m,1729092000000,2024-10-16T15:20:00+00:00,112.965,113.04,112.94,113.04,8974,1729092299999,2024-10-16T15:24:59.999000+00:00,,278,,
CAH,5m,1729092300000,2024-10-16T15:25:00+00:00,113.04,113.05,112.975,113.05,7533,1729092599999,2024-10-16T15:29:59.999000+00:00,,238,,
CAH,5m,1729092600000,2024-10-16T15:30:00+00:00,113.01,113.065,112.96,112.96,7263,1729092899999,2024-10-16T15:34:59.999000+00:00,,238,,
CAH,5m,1729092900000,2024-10-16T15:35:00+00:00,112.95,112.95,112.88,112.89,8516,1729093199999,2024-10-16T15:39:59.999000+00:00,,259,,
CAH,5m,1729093200000,2024-10-16T15:40:00+00:00,112.94,112.98,112.84,112.98,6126,1729093499999,2024-10-16T15:44:59.999000+00:00,,255,,
CAH,5m,1729093500000,2024-10-16T15:45:00+00:00,112.99,113.04,112.975,113.025,4587,1729093799999,2024-10-16T15:49:59.999000+00:00,,155,,
CAH,5m,1729093800000,2024-10-16T15:50:00+00:00,112.97,113.01,112.94,112.98,6882,1729094099999,2024-10-16T15:54:59.999000+00:00,,237,,
CAH,5m,1729094100000,2024-10-16T15:55:00+00:00,112.985,112.985,112.94,112.97,6849,1729094399999,2024-10-16T15:59:59.999000+00:00,,236,,
CAH,5m,1729094400000,2024-10-16T16:00:00+00:00,113,113.03,112.99,113.01,5578,1729094699999,2024-10-16T16:04:59.999000+00:00,,218,,
CAH,5m,1729094700000,2024-10-16T16:05:00+00:00,113,113.0618,112.955,113,9263,1729094999999,2024-10-16T16:09:59.999000+00:00,,306,,
