symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CAT,5m,1729080000000,2024-10-16T12:00:00+00:00,389.94,389.94,389.94,389.94,158,1729080299999,2024-10-16T12:04:59.999000+00:00,,8,,
CAT,5m,1729083000000,2024-10-16T12:50:00+00:00,390.0351,390.0351,390.0351,390.0351,105,1729083299999,2024-10-16T12:54:59.999000+00:00,,2,,
CAT,5m,1729085100000,2024-10-16T13:25:00+00:00,388.61,388.61,387.49,387.49,968,1729085399999,2024-10-16T13:29:59.999000+00:00,,37,,
CAT,5m,1729085400000,2024-10-16T13:30:00+00:00,387.4,391.13,386.925,391.03,55854,1729085699999,2024-10-16T13:34:59.999000+00:00,,880,,
CAT,5m,1729085700000,2024-10-16T13:35:00+00:00,391.05,391.856,391.05,391.315,20057,1729085999999,2024-10-16T13:39:59.999000+00:00,,536,,
CAT,5m,1729086000000,2024-10-16T13:40:00+00:00,391.315,392.8699,390.61,392.51,17988,1729086299999,2024-10-16T13:44:59.999000+00:00,,473,,
CAT,5m,1729086300000,2024-10-16T13:45:00+00:00,392.64,393.498,391.9,392.68,39353,1729086599999,2024-10-16T13:49:59.999000+00:00,,945,,
CAT,5m,1729086600000,2024-10-16T13:50:00+00:00,392.615,392.615,390.355,390.355,62394,1729086899999,2024-10-16T13:54:59.999000+00:00,,1347,,
CAT,5m,1729086900000,2024-10-16T13:55:00+00:00,390.51,390.83,390.25,390.51,54924,1729087199999,2024-10-16T13:59:59.999000+00:00,,1163,,
CAT,5m,1729087200000,2024-10-16T14:00:00+00:00,390.25,391.955,390.21,391.79,51046,1729087499999,2024-10-16T14:04:59.999000+00:00,,1167,,
CAT,5m,1729087500000,2024-10-16T14:05:00+00:00,391.99,393,391.825,392.55,19234,1729087799999,2024-10-16T14:09:59.999000+00:00,,692,,
CAT,5m,1729087800000,2024-10-16T14:10:00+00:00,392.775,393,392.15,392.315,21168,1729088099999,2024-10-16T14:14:59.999000+00:00,,675,,
CAT,5m,1729088100000,2024-10-16T14:15:00+00:00,392.5,393.165,392.1301,392.44,25562,1729088399999,2024-10-16T14:19:59.999000+00:00,,754,,
CAT,5m,1729088400000,2024-10-16T14:20:00+00:00,392.28,392.46,391.97,392.23,8245,1729088699999,2024-10-16T14:24:59.999000+00:00,,355,,
CAT,5m,1729088700000,2024-10-16T14:25:00+00:00,392.11,393.045,392.11,392.31,25023,1729088999999,2024-10-16T14:29:59.999000+00:00,,540,,
CAT,5m,1729089000000,2024-10-16T14:30:00+00:00,392.28,392.775,391.86,392.28,18172,1729089299999,2024-10-16T14:34:59.999000+00:00,,554,,
CAT,5m,1729089300000,2024-10-16T14:35:00+00:00,392.31,392.825,392.105,392.2113,24453,1729089599999,2024-10-16T14:39:59.999000+00:00,,553,,
CAT,5m,1729089600000,2024-10-16T14:40:00+00:00,392.325,392.325,391.5729,391.83,8929,1729089899999,2024-10-16T14:44:59.999000+00:00,,348,,
CAT,5m,1729089900000,2024-10-16T14:45:00+00:00,391.825,392.03,391.52,392.03,6545,1729090199999,2024-10-16T14:49:59.999000+00:00,,318,,
CAT,5m,1729090200000,2024-10-16T14:50:00+00:00,392.06,392.72,392.06,392.655,7007,1729090499999,2024-10-16T14:54:59.999000+00:00,,272,,
CAT,5m,1729090500000,2024-10-16T14:55:00+00:00,392.71,392.92,392.59,392.92,11842,1729090799999,2024-10-16T14:59:59.999000+00:00,,393,,
CAT,5m,1729090800000,2024-10-16T15:00:00+00:00,393,393,392.13,392.13,15040,1729091099999,2024-10-16T15:04:59.999000+00:00,,475,,
