symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CB,5m,1729080000000,2024-10-16T12:00:00+00:00,293.5,293.5,293.5,293.5,814,1729080299999,2024-10-16T12:04:59.999000+00:00,,15,,
CB,5m,1729085400000,2024-10-16T13:30:00+00:00,287.48,287.685,287,287.684,15546,1729085699999,2024-10-16T13:34:59.999000+00:00,,356,,
CB,5m,1729085700000,2024-10-16T13:35:00+00:00,287.91,288.69,287.74,287.74,6210,1729085999999,2024-10-16T13:39:59.999000+00:00,,196,,
CB,5m,1729086000000,2024-10-16T13:40:00+00:00,287.67,288.65,287.46,288.65,2445,1729086299999,2024-10-16T13:44:59.999000+00:00,,180,,
CB,5m,1729086300000,2024-10-16T13:45:00+00:00,289.38,289.38,288.91,288.91,1578,1729086599999,2024-10-16T13:49:59.999000+00:00,,119,,
CB,5m,1729086600000,2024-10-16T13:50:00+00:00,289.11,289.5,288.94,289.13,4797,1729086899999,2024-10-16T13:54:59.999000+00:00,,205,,
CB,5m,1729086900000,2024-10-16T13:55:00+00:00,289.13,290,289.13,290,4930,1729087199999,2024-10-16T13:59:59.999000+00:00,,264,,
CB,5m,1729087200000,2024-10-16T14:00:00+00:00,290.17,290.59,290.02,290.3575,6653,1729087499999,2024-10-16T14:04:59.999000+00:00,,419,,
CB,5m,1729087500000,2024-10-16T14:05:00+00:00,290.22,290.5,290.15,290.3898,5349,1729087799999,2024-10-16T14:09:59.999000+00:00,,314,,
CB,5m,1729087800000,2024-10-16T14:10:00+00:00,290.205,290.205,289.47,289.47,5022,1729088099999,2024-10-16T14:14:59.999000+00:00,,333,,
CB,5m,1729088100000,2024-10-16T14:15:00+00:00,289.83,290.3177,289.6732,290.28,3825,1729088399999,2024-10-16T14:19:59.999000+00:00,,194,,
CB,5m,1729088400000,2024-10-16T14:20:00+00:00,290.32,290.32,289.77,289.78,4086,1729088699999,2024-10-16T14:24:59.999000+00:00,,207,,
CB,5m,1729088700000,2024-10-16T14:25:00+00:00,289.6801,289.855,289.6801,289.855,1051,1729088999999,2024-10-16T14:29:59.999000+00:00,,45,,
