symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CDNS,5m,1729076400000,2024-10-16T11:00:00+00:00,269.5,269.5,269.5,269.5,133,1729076699999,2024-10-16T11:04:59.999000+00:00,,5,,
CDNS,5m,1729076700000,2024-10-16T11:05:00+00:00,269.4,269.4,269.4,269.4,100,1729076999999,2024-10-16T11:09:59.999000+00:00,,1,,
CDNS,5m,1729077000000,2024-10-16T11:10:00+00:00,269.6,269.6,269.6,269.6,180,1729077299999,2024-10-16T11:14:59.999000+00:00,,5,,
CDNS,5m,1729080000000,2024-10-16T12:00:00+00:00,270.126,270.126,270.126,270.126,169,1729080299999,2024-10-16T12:04:59.999000+00:00,,8,,
CDNS,5m,1729083900000,2024-10-16T13:05:00+00:00,270.3,270.3,270.3,270.3,100,1729084199999,2024-10-16T13:09:59.999000+00:00,,1,,
CDNS,5m,1729085400000,2024-10-16T13:30:00+00:00,270.76,271.91,267.66,267.71,75222,1729085699999,2024-10-16T13:34:59.999000+00:00,,1355,,
CDNS,5m,1729085700000,2024-10-16T13:35:00+00:00,267.88,268.195,265.9892,266.305,12014,1729085999999,2024-10-16T13:39:59.999000+00:00,,348,,
CDNS,5m,1729086000000,2024-10-16T13:40:00+00:00,265.98,267.13,265.26,265.61,28697,1729086299999,2024-10-16T13:44:59.999000+00:00,,639,,
CDNS,5m,1729086300000,2024-10-16T13:45:00+00:00,265.61,265.61,264.608242,264.655,35765,1729086599999,2024-10-16T13:49:59.999000+00:00,,812,,
CDNS,5m,1729086600000,2024-10-16T13:50:00+00:00,264.745,265.905,264.21,265.795,35496,1729086899999,2024-10-16T13:54:59.999000+00:00,,797,,
CDNS,5m,1729086900000,2024-10-16T13:55:00+00:00,265.795,266.15,264.67,265.85,39001,1729087199999,2024-10-16T13:59:59.999000+00:00,,960,,
CDNS,5m,1729087200000,2024-10-16T14:00:00+00:00,265.78,267.34,265.36,267.08,281589,1729087499999,2024-10-16T14:04:59.999000+00:00,,722,,
CDNS,5m,1729087500000,2024-10-16T14:05:00+00:00,267.04,267.86,266.15,267.71,12645,1729087799999,2024-10-16T14:09:59.999000+00:00,,462,,
CDNS,5m,1729087800000,2024-10-16T14:10:00+00:00,267.715,268.57,267.4601,268.57,12786,1729088099999,2024-10-16T14:14:59.999000+00:00,,471,,
CDNS,5m,1729088100000,2024-10-16T14:15:00+00:00,268.58,268.6,267.37,267.53,19494,1729088399999,2024-10-16T14:19:59.999000+00:00,,492,,
CDNS,5m,1729088400000,2024-10-16T14:20:00+00:00,267.76,268.87,267.76,268.71,8577,1729088699999,2024-10-16T14:24:59.999000+00:00,,331,,
CDNS,5m,1729088700000,2024-10-16T14:25:00+00:00,268.92,269.34,268.92,269.15,13862,1729088999999,2024-10-16T14:29:59.999000+00:00,,374,,
CDNS,5m,1729089000000,2024-10-16T14:30:00+00:00,269.16,269.16,268.41,268.41,10807,1729089299999,2024-10-16T14:34:59.999000+00:00,,269,,
CDNS,5m,1729089300000,2024-10-16T14:35:00+00:00,268.34,268.38,267.1652,267.1652,9272,1729089599999,2024-10-16T14:39:59.999000+00:00,,307,,
CDNS,5m,1729089600000,2024-10-16T14:40:00+00:00,267.08,267.34,266.41,266.53,15169,1729089899999,2024-10-16T14:44:59.999000+00:00,,514,,
CDNS,5m,1729089900000,2024-10-16T14:45:00+00:00,266.65,267.07,266.48,267.07,21146,1729090199999,2024-10-16T14:49:59.999000+00:00,,491,,
CDNS,5m,1729090200000,2024-10-16T14:50:00+00:00,267.085,267.82,266.7601,267.5,9325,1729090499999,2024-10-16T14:54:59.999000+00:00,,304,,
CDNS,5m,1729090500000,2024-10-16T14:55:00+00:00,267.38,267.38,266.7,266.815,8261,1729090799999,2024-10-16T14:59:59.999000+00:00,,308,,
CDNS,5m,1729090800000,2024-10-16T15:00:00+00:00,266.978,266.978,266.32,266.32,9963,1729091099999,2024-10-16T15:04:59.999000+00:00,,280,,
CDNS,5m,1729091100000,2024-10-16T15:05:00+00:00,266.39,266.51,265.635,265.76,13640,1729091399999,2024-10-16T15:09:59.999000+00:00,,424,,
CDNS,5m,1729091400000,2024-10-16T15:10:00+00:00,265.96,265.96,265.19,265.2,22397,1729091699999,2024-10-16T15:14:59.999000+00:00,,540,,
CDNS,5m,1729091700000,2024-10-16T15:15:00+00:00,265.215,265.72,265.215,265.585,17630,1729091999999,2024-10-16T15:19:59.999000+00:00,,438,,
CDNS,5m,1729092000000,2024-10-16T15:20:00+00:00,265.585,266.02,265.04,265.285,20928,1729092299999,2024-10-16T15:24:59.999000+00:00,,539,,
CDNS,5m,1729092300000,2024-10-16T15:25:00+00:00,265.37,266.28,265.17,266.09,99044,1729092599999,2024-10-16T15:29:59.999000+00:00,,409,,
CDNS,5m,1729092600000,2024-10-16T15:30:00+00:00,265.9,266.05,265.5,265.89,21409,1729092899999,2024-10-16T15:34:59.999000+00:00,,514,,
CDNS,5m,1729092900000,2024-10-16T15:35:00+00:00,265.89,266,265.57,265.62,9385,1729093199999,2024-10-16T15:39:59.999000+00:00,,351,,
