symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CEG,5m,1729076400000,2024-10-16T11:00:00+00:00,267.12,267.12,267.12,267.12,462,1729076699999,2024-10-16T11:04:59.999000+00:00,,22,,
CEG,5m,1729080000000,2024-10-16T12:00:00+00:00,267.16,267.5,267.16,267.5,966,1729080299999,2024-10-16T12:04:59.999000+00:00,,36,,
CEG,5m,1729080900000,2024-10-16T12:15:00+00:00,267.11,267.11,267.11,267.11,271,1729081199999,2024-10-16T12:19:59.999000+00:00,,3,,
CEG,5m,1729081800000,2024-10-16T12:30:00+00:00,267.18,267.18,267.18,267.18,113,1729082099999,2024-10-16T12:34:59.999000+00:00,,5,,
CEG,5m,1729082100000,2024-10-16T12:35:00+00:00,267.9433,267.9433,267.94,267.94,298,1729082399999,2024-10-16T12:39:59.999000+00:00,,13,,
CEG,5m,1729082400000,2024-10-16T12:40:00+00:00,267.94,267.94,267.8713,267.8713,972,1729082699999,2024-10-16T12:44:59.999000+00:00,,63,,
CEG,5m,1729083000000,2024-10-16T12:50:00+00:00,270,270,269.8,269.9,4234,1729083299999,2024-10-16T12:54:59.999000+00:00,,82,,
CEG,5m,1729083300000,2024-10-16T12:55:00+00:00,269,269,269,269,257,1729083599999,2024-10-16T12:59:59.999000+00:00,,8,,
CEG,5m,1729083600000,2024-10-16T13:00:00+00:00,269.644,269.644,269.644,269.644,102,1729083899999,2024-10-16T13:04:59.999000+00:00,,2,,
CEG,5m,1729083900000,2024-10-16T13:05:00+00:00,269.35,269.35,269.35,269.35,1357,1729084199999,2024-10-16T13:09:59.999000+00:00,,18,,
CEG,5m,1729085100000,2024-10-16T13:25:00+00:00,269.7,270,268.85,269.93,1261,1729085399999,2024-10-16T13:29:59.999000+00:00,,52,,
CEG,5m,1729085400000,2024-10-16T13:30:00+00:00,268.22,269.1808,264.12,265.905,70787,1729085699999,2024-10-16T13:34:59.999000+00:00,,1522,,
CEG,5m,1729085700000,2024-10-16T13:35:00+00:00,265.96,266.64,264.6192,265.2139,33543,1729085999999,2024-10-16T13:39:59.999000+00:00,,887,,
CEG,5m,1729086000000,2024-10-16T13:40:00+00:00,265.2706,266.94,265.01,265.85,17265,1729086299999,2024-10-16T13:44:59.999000+00:00,,453,,
CEG,5m,1729086300000,2024-10-16T13:45:00+00:00,266.14,266.61,265,265.6234,15935,1729086599999,2024-10-16T13:49:59.999000+00:00,,510,,
CEG,5m,1729086600000,2024-10-16T13:50:00+00:00,265.375,266.607,264.6,266.23,17654,1729086899999,2024-10-16T13:54:59.999000+00:00,,505,,
CEG,5m,1729086900000,2024-10-16T13:55:00+00:00,266.49,267.789,266.445,267.375,49768,1729087199999,2024-10-16T13:59:59.999000+00:00,,858,,
CEG,5m,1729087200000,2024-10-16T14:00:00+00:00,267.28,267.9399,267.22,267.8525,21584,1729087499999,2024-10-16T14:04:59.999000+00:00,,464,,
CEG,5m,1729087500000,2024-10-16T14:05:00+00:00,267.765,269.14,267.765,268.82,38816,1729087799999,2024-10-16T14:09:59.999000+00:00,,734,,
CEG,5m,1729087800000,2024-10-16T14:10:00+00:00,268.76,270.36,268.76,269.25,32998,1729088099999,2024-10-16T14:14:59.999000+00:00,,834,,
CEG,5m,1729088100000,2024-10-16T14:15:00+00:00,269.26,269.85,268.51,268.5986,16119,1729088399999,2024-10-16T14:19:59.999000+00:00,,467,,
CEG,5m,1729088400000,2024-10-16T14:20:00+00:00,268.625,269.9199,268.355,269.635,16116,1729088699999,2024-10-16T14:24:59.999000+00:00,,383,,
CEG,5m,1729088700000,2024-10-16T14:25:00+00:00,269.99,270.5777,269.49,270.335,29464,1729088999999,2024-10-16T14:29:59.999000+00:00,,593,,
CEG,5m,1729089000000,2024-10-16T14:30:00+00:00,270.27,271.2,270.27,271.025,48999,1729089299999,2024-10-16T14:34:59.999000+00:00,,819,,
CEG,5m,1729089300000,2024-10-16T14:35:00+00:00,271.09,271.74,270.82,271.2199,33152,1729089599999,2024-10-16T14:39:59.999000+00:00,,704,,
CEG,5m,1729089600000,2024-10-16T14:40:00+00:00,271.01,271.2085,270.38,270.63,30098,1729089899999,2024-10-16T14:44:59.999000+00:00,,676,,
CEG,5m,1729089900000,2024-10-16T14:45:00+00:00,270.73,271.3247,270.32,271.07,21919,1729090199999,2024-10-16T14:49:59.999000+00:00,,558,,
