symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CFG,5m,1729071000000,2024-10-16T09:30:00+00:00,43.21,43.21,43.2,43.21,571,1729071299999,2024-10-16T09:34:59.999000+00:00,,11,,
CFG,5m,1729072500000,2024-10-16T09:55:00+00:00,43,43,43,43,800,1729072799999,2024-10-16T09:59:59.999000+00:00,,12,,
CFG,5m,1729072800000,2024-10-16T10:00:00+00:00,43,43,43,43,200,1729073099999,2024-10-16T10:04:59.999000+00:00,,2,,
CFG,5m,1729074600000,2024-10-16T10:30:00+00:00,42.93,43.01,42.93,43,1101,1729074899999,2024-10-16T10:34:59.999000+00:00,,11,,
CFG,5m,1729075800000,2024-10-16T10:50:00+00:00,43.07,43.07,43,43,500,1729076099999,2024-10-16T10:54:59.999000+00:00,,5,,
CFG,5m,1729076400000,2024-10-16T11:00:00+00:00,43,43,42.97,42.97,678,1729076699999,2024-10-16T11:04:59.999000+00:00,,4,,
CFG,5m,1729076700000,2024-10-16T11:05:00+00:00,42.62,42.62,42.5,42.5,427,1729076999999,2024-10-16T11:09:59.999000+00:00,,9,,
CFG,5m,1729080000000,2024-10-16T12:00:00+00:00,42.5,44.48,42.5,44.48,627,1729080299999,2024-10-16T12:04:59.999000+00:00,,10,,
CFG,5m,1729080900000,2024-10-16T12:15:00+00:00,42.15,42.15,42.15,42.15,100,1729081199999,2024-10-16T12:19:59.999000+00:00,,1,,
CFG,5m,1729082100000,2024-10-16T12:35:00+00:00,42.25,42.25,42.25,42.25,13000,1729082399999,2024-10-16T12:39:59.999000+00:00,,1,,
CFG,5m,1729082700000,2024-10-16T12:45:00+00:00,42.5,42.5,42.5,42.5,600,1729082999999,2024-10-16T12:49:59.999000+00:00,,1,,
CFG,5m,1729083000000,2024-10-16T12:50:00+00:00,42.5,42.6,42.5,42.6,575,1729083299999,2024-10-16T12:54:59.999000+00:00,,6,,
CFG,5m,1729083300000,2024-10-16T12:55:00+00:00,42.6,42.6,42.6,42.6,719,1729083599999,2024-10-16T12:59:59.999000+00:00,,11,,
CFG,5m,1729083600000,2024-10-16T13:00:00+00:00,42.51,42.6,42.5,42.6,800,1729083899999,2024-10-16T13:04:59.999000+00:00,,6,,
CFG,5m,1729083900000,2024-10-16T13:05:00+00:00,42.52,42.52,42.52,42.52,301,1729084199999,2024-10-16T13:09:59.999000+00:00,,3,,
CFG,5m,1729084200000,2024-10-16T13:10:00+00:00,42.75,42.75,42.75,42.75,1128,1729084499999,2024-10-16T13:14:59.999000+00:00,,6,,
CFG,5m,1729084500000,2024-10-16T13:15:00+00:00,42.5,42.5,42.5,42.5,181,1729084799999,2024-10-16T13:19:59.999000+00:00,,3,,
CFG,5m,1729084800000,2024-10-16T13:20:00+00:00,42.5,42.51,42.49,42.5,4150,1729085099999,2024-10-16T13:24:59.999000+00:00,,43,,
CFG,5m,1729085100000,2024-10-16T13:25:00+00:00,42.51,42.75,42.5,42.75,2142,1729085399999,2024-10-16T13:29:59.999000+00:00,,25,,
CFG,5m,1729085400000,2024-10-16T13:30:00+00:00,42.33,43.09,41.43,43.045,599001,1729085699999,2024-10-16T13:34:59.999000+00:00,,6201,,
CFG,5m,1729085700000,2024-10-16T13:35:00+00:00,43.09,43.1,42.52,42.5875,313699,1729085999999,2024-10-16T13:39:59.999000+00:00,,3675,,
CFG,5m,1729086000000,2024-10-16T13:40:00+00:00,42.62,43.02,42.39,42.985,214596,1729086299999,2024-10-16T13:44:59.999000+00:00,,1989,,
CFG,5m,1729086300000,2024-10-16T13:45:00+00:00,43,43.61,42.96,43.42,301402,1729086599999,2024-10-16T13:49:59.999000+00:00,,3242,,
CFG,5m,1729086600000,2024-10-16T13:50:00+00:00,43.42,43.51,43.12,43.51,296897,1729086899999,2024-10-16T13:54:59.999000+00:00,,2659,,
CFG,5m,1729086900000,2024-10-16T13:55:00+00:00,43.49,43.78,43.355,43.739,136011,1729087199999,2024-10-16T13:59:59.999000+00:00,,1637,,
CFG,5m,1729087200000,2024-10-16T14:00:00+00:00,43.72,44.18,43.69,44.14,269795,1729087499999,2024-10-16T14:04:59.999000+00:00,,2605,,
CFG,5m,1729087500000,2024-10-16T14:05:00+00:00,44.135,44.23,43.99,44.04,139003,1729087799999,2024-10-16T14:09:59.999000+00:00,,1400,,
CFG,5m,1729087800000,2024-10-16T14:10:00+00:00,44.02,44.04,43.515,43.535,214916,1729088099999,2024-10-16T14:14:59.999000+00:00,,2177,,
CFG,5m,1729088100000,2024-10-16T14:15:00+00:00,43.53,43.55,43,43.27,376475,1729088399999,2024-10-16T14:19:59.999000+00:00,,2624,,
CFG,5m,1729088400000,2024-10-16T14:20:00+00:00,43.21,43.36,43.03,43.35,102171,1729088699999,2024-10-16T14:24:59.999000+00:00,,1091,,
CFG,5m,1729088700000,2024-10-16T14:25:00+00:00,43.32,43.44,43.16,43.22,89855,1729088999999,2024-10-16T14:29:59.999000+00:00,,1093,,
CFG,5m,1729089000000,2024-10-16T14:30:00+00:00,43.21,43.51,43.19,43.5,95022,1729089299999,2024-10-16T14:34:59.999000+00:00,,1157,,
CFG,5m,1729089300000,2024-10-16T14:35:00+00:00,43.51,43.63,43.29,43.35,79843,1729089599999,2024-10-16T14:39:59.999000+00:00,,976,,
CFG,5m,1729089600000,2024-10-16T14:40:00+00:00,43.36,43.48,43.16,43.47,135385,1729089899999,2024-10-16T14:44:59.999000+00:00,,1179,,
CFG,5m,1729089900000,2024-10-16T14:45:00+00:00,43.48,43.59,43.38,43.41,95464,1729090199999,2024-10-16T14:49:59.999000+00:00,,1069,,
CFG,5m,1729090200000,2024-10-16T14:50:00+00:00,43.39,43.58,43.34,43.58,98583,1729090499999,2024-10-16T14:54:59.999000+00:00,,981,,
CFG,5m,1729090500000,2024-10-16T14:55:00+00:00,43.56,43.61,43.4,43.56,86073,1729090799999,2024-10-16T14:59:59.999000+00:00,,856,,
CFG,5m,1729090800000,2024-10-16T15:00:00+00:00,43.56,43.57,43.44,43.48,98708,1729091099999,2024-10-16T15:04:59.999000+00:00,,774,,
