symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CF,5m,1729074000000,2024-10-16T10:20:00+00:00,84.7,84.7,83.5,83.5,4530,1729074299999,2024-10-16T10:24:59.999000+00:00,,33,,
CF,5m,1729074300000,2024-10-16T10:25:00+00:00,83.17,83.3,82.76,82.76,3443,1729074599999,2024-10-16T10:29:59.999000+00:00,,12,,
CF,5m,1729076400000,2024-10-16T11:00:00+00:00,83.14,83.29,83.14,83.29,401,1729076699999,2024-10-16T11:04:59.999000+00:00,,6,,
CF,5m,1729078800000,2024-10-16T11:40:00+00:00,83,83,83,83,517,1729079099999,2024-10-16T11:44:59.999000+00:00,,9,,
CF,5m,1729080000000,2024-10-16T12:00:00+00:00,82.7581,82.7581,82.7581,82.7581,442,1729080299999,2024-10-16T12:04:59.999000+00:00,,7,,
CF,5m,1729083600000,2024-10-16T13:00:00+00:00,83.31,83.31,83.31,83.31,115,1729083899999,2024-10-16T13:04:59.999000+00:00,,2,,
CF,5m,1729084200000,2024-10-16T13:10:00+00:00,83.5,83.5,83.5,83.5,205,1729084499999,2024-10-16T13:14:59.999000+00:00,,2,,
CF,5m,1729084800000,2024-10-16T13:20:00+00:00,83.39,83.42,83.39,83.42,420,1729085099999,2024-10-16T13:24:59.999000+00:00,,12,,
CF,5m,1729085100000,2024-10-16T13:25:00+00:00,83.43,83.812,83.09,83.812,1375,1729085399999,2024-10-16T13:29:59.999000+00:00,,36,,
CF,5m,1729085400000,2024-10-16T13:30:00+00:00,83.76,85.38,83.1071,85.12,81419,1729085699999,2024-10-16T13:34:59.999000+00:00,,652,,
CF,5m,1729085700000,2024-10-16T13:35:00+00:00,85.13,85.27,84.7,84.86,54122,1729085999999,2024-10-16T13:39:59.999000+00:00,,637,,
CF,5m,1729086000000,2024-10-16T13:40:00+00:00,84.94,85.37,84.81,85.295,23455,1729086299999,2024-10-16T13:44:59.999000+00:00,,328,,
CF,5m,1729086300000,2024-10-16T13:45:00+00:00,85.37,85.37,84.9,84.9,23096,1729086599999,2024-10-16T13:49:59.999000+00:00,,292,,
CF,5m,1729086600000,2024-10-16T13:50:00+00:00,84.9,84.99,84.71,84.93,28230,1729086899999,2024-10-16T13:54:59.999000+00:00,,393,,
CF,5m,1729086900000,2024-10-16T13:55:00+00:00,84.955,85.32,84.95,85.19,18747,1729087199999,2024-10-16T13:59:59.999000+00:00,,374,,
CF,5m,1729087200000,2024-10-16T14:00:00+00:00,85.14,85.34,85.14,85.2,12114,1729087499999,2024-10-16T14:04:59.999000+00:00,,158,,
CF,5m,1729087500000,2024-10-16T14:05:00+00:00,85.3,85.36,85.12,85.275,13909,1729087799999,2024-10-16T14:09:59.999000+00:00,,305,,
CF,5m,1729087800000,2024-10-16T14:10:00+00:00,85.23,85.34,85.09,85.09,8197,1729088099999,2024-10-16T14:14:59.999000+00:00,,240,,
CF,5m,1729088100000,2024-10-16T14:15:00+00:00,85.1,85.285,85.01,85.24,7369,1729088399999,2024-10-16T14:19:59.999000+00:00,,234,,
CF,5m,1729088400000,2024-10-16T14:20:00+00:00,85.19,85.19,84.86,84.87,16666,1729088699999,2024-10-16T14:24:59.999000+00:00,,344,,
CF,5m,1729088700000,2024-10-16T14:25:00+00:00,84.87,85.05,84.87,84.98,12991,1729088999999,2024-10-16T14:29:59.999000+00:00,,307,,
CF,5m,1729089000000,2024-10-16T14:30:00+00:00,84.98,85,84.81,84.88,21188,1729089299999,2024-10-16T14:34:59.999000+00:00,,501,,
CF,5m,1729089300000,2024-10-16T14:35:00+00:00,84.88,84.99,84.88,84.935,11781,1729089599999,2024-10-16T14:39:59.999000+00:00,,331,,
CF,5m,1729089600000,2024-10-16T14:40:00+00:00,84.93,85.01,84.83,84.86,10363,1729089899999,2024-10-16T14:44:59.999000+00:00,,273,,
CF,5m,1729089900000,2024-10-16T14:45:00+00:00,84.86,84.9,84.71,84.795,20044,1729090199999,2024-10-16T14:49:59.999000+00:00,,370,,
CF,5m,1729090200000,2024-10-16T14:50:00+00:00,84.805,84.92,84.76,84.88,44096,1729090499999,2024-10-16T14:54:59.999000+00:00,,575,,
CF,5m,1729090500000,2024-10-16T14:55:00+00:00,84.88,84.8925,84.71,84.83,22676,1729090799999,2024-10-16T14:59:59.999000+00:00,,360,,
CF,5m,1729090800000,2024-10-16T15:00:00+00:00,84.82,84.82,84.545,84.545,11528,1729091099999,2024-10-16T15:04:59.999000+00:00,,314,,
CF,5m,1729091100000,2024-10-16T15:05:00+00:00,84.535,84.535,84.46,84.465,13721,1729091399999,2024-10-16T15:09:59.999000+00:00,,332,,
CF,5m,1729091400000,2024-10-16T15:10:00+00:00,84.46,84.54,84.35,84.35,10206,1729091699999,2024-10-16T15:14:59.999000+00:00,,281,,
CF,5m,1729091700000,2024-10-16T15:15:00+00:00,84.38,84.45,84.32,84.39,10211,1729091999999,2024-10-16T15:19:59.999000+00:00,,253,,
CF,5m,1729092000000,2024-10-16T15:20:00+00:00,84.39,84.52,84.35,84.495,10647,1729092299999,2024-10-16T15:24:59.999000+00:00,,282,,
CF,5m,1729092300000,2024-10-16T15:25:00+00:00,84.51,84.51,84.39,84.415,10655,1729092599999,2024-10-16T15:29:59.999000+00:00,,280,,
CF,5m,1729092600000,2024-10-16T15:30:00+00:00,84.39,84.46,84.31,84.33,15886,1729092899999,2024-10-16T15:34:59.999000+00:00,,325,,
CF,5m,1729092900000,2024-10-16T15:35:00+00:00,84.33,84.505,84.325,84.505,9493,1729093199999,2024-10-16T15:39:59.999000+00:00,,224,,
CF,5m,1729093200000,2024-10-16T15:40:00+00:00,84.52,84.59,84.475,84.51,19251,1729093499999,2024-10-16T15:44:59.999000+00:00,,287,,
CF,5m,1729093500000,2024-10-16T15:45:00+00:00,84.51,84.52,84.444,84.4875,11673,1729093799999,2024-10-16T15:49:59.999000+00:00,,238,,
CF,5m,1729093800000,2024-10-16T15:50:00+00:00,84.5,84.585,84.495,84.555,8934,1729094099999,2024-10-16T15:54:59.999000+00:00,,225,,
CF,5m,1729094100000,2024-10-16T15:55:00+00:00,84.5847,84.635,84.55,84.58,10069,1729094399999,2024-10-16T15:59:59.999000+00:00,,234,,
