symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CHTR,5m,1729085400000,2024-10-16T13:30:00+00:00,331.43,333.7,331.005,332.815,6670,1729085699999,2024-10-16T13:34:59.999000+00:00,,155,,
CHTR,5m,1729085700000,2024-10-16T13:35:00+00:00,332.735,334.05,332.735,333.905,5046,1729085999999,2024-10-16T13:39:59.999000+00:00,,149,,
CHTR,5m,1729086000000,2024-10-16T13:40:00+00:00,333.905,334.08,332.47,333.5675,6033,1729086299999,2024-10-16T13:44:59.999000+00:00,,149,,
CHTR,5m,1729086300000,2024-10-16T13:45:00+00:00,333.53,334.69,333.53,334.335,3764,1729086599999,2024-10-16T13:49:59.999000+00:00,,94,,
CHTR,5m,1729086600000,2024-10-16T13:50:00+00:00,334.69,335.07,334.42,334.65,6599,1729086899999,2024-10-16T13:54:59.999000+00:00,,206,,
CHTR,5m,1729086900000,2024-10-16T13:55:00+00:00,334.9,335.35,334.7325,335.13,4118,1729087199999,2024-10-16T13:59:59.999000+00:00,,121,,
CHTR,5m,1729087200000,2024-10-16T14:00:00+00:00,335.135,335.69,334.63,335.58,7850,1729087499999,2024-10-16T14:04:59.999000+00:00,,241,,
CHTR,5m,1729087500000,2024-10-16T14:05:00+00:00,335.85,336.195,335.41,335.88,2578,1729087799999,2024-10-16T14:09:59.999000+00:00,,106,,
CHTR,5m,1729087800000,2024-10-16T14:10:00+00:00,335.72,335.72,334.56,334.56,4251,1729088099999,2024-10-16T14:14:59.999000+00:00,,148,,
CHTR,5m,1729088100000,2024-10-16T14:15:00+00:00,334.535,334.9,334.165,334.53,3407,1729088399999,2024-10-16T14:19:59.999000+00:00,,124,,
CHTR,5m,1729088400000,2024-10-16T14:20:00+00:00,334.42,334.57,334.42,334.57,637,1729088699999,2024-10-16T14:24:59.999000+00:00,,30,,
CHTR,5m,1729088700000,2024-10-16T14:25:00+00:00,334.67,334.85,334.5,334.68,2326,1729088999999,2024-10-16T14:29:59.999000+00:00,,100,,
CHTR,5m,1729089000000,2024-10-16T14:30:00+00:00,334.78,334.78,334.72,334.72,504,1729089299999,2024-10-16T14:34:59.999000+00:00,,18,,
CHTR,5m,1729089300000,2024-10-16T14:35:00+00:00,334.59,334.692,334.34,334.43,2955,1729089599999,2024-10-16T14:39:59.999000+00:00,,115,,
CHTR,5m,1729089600000,2024-10-16T14:40:00+00:00,334.27,334.27,334.23,334.235,1456,1729089899999,2024-10-16T14:44:59.999000+00:00,,71,,
CHTR,5m,1729089900000,2024-10-16T14:45:00+00:00,334.05,334.71,334.05,334.57,4229,1729090199999,2024-10-16T14:49:59.999000+00:00,,152,,
CHTR,5m,1729090200000,2024-10-16T14:50:00+00:00,334.505,334.505,333.35,333.35,6073,1729090499999,2024-10-16T14:54:59.999000+00:00,,160,,
CHTR,5m,1729090500000,2024-10-16T14:55:00+00:00,333.3,333.5,333.04,333.22,11706,1729090799999,2024-10-16T14:59:59.999000+00:00,,233,,
CHTR,5m,1729090800000,2024-10-16T15:00:00+00:00,333.235,333.325,332.81,332.81,5471,1729091099999,2024-10-16T15:04:59.999000+00:00,,177,,
CHTR,5m,1729091100000,2024-10-16T15:05:00+00:00,332.88,332.88,332.63,332.81,1397,1729091399999,2024-10-16T15:09:59.999000+00:00,,74,,
CHTR,5m,1729091400000,2024-10-16T15:10:00+00:00,332.905,333.9,332.9,333.13,10299,1729091699999,2024-10-16T15:14:59.999000+00:00,,268,,
CHTR,5m,1729091700000,2024-10-16T15:15:00+00:00,333.19,333.445,333.175,333.445,1778,1729091999999,2024-10-16T15:19:59.999000+00:00,,75,,
CHTR,5m,1729092000000,2024-10-16T15:20:00+00:00,333.5,333.5825,332.615,332.615,12286,1729092299999,2024-10-16T15:24:59.999000+00:00,,362,,
CHTR,5m,1729092300000,2024-10-16T15:25:00+00:00,332.6,332.6,332.051,332.195,4612,1729092599999,2024-10-16T15:29:59.999000+00:00,,136,,
