symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CINF,5m,1729085100000,2024-10-16T13:25:00+00:00,136.66,136.66,136.5,136.5,457,1729085399999,2024-10-16T13:29:59.999000+00:00,,4,,
CINF,5m,1729085400000,2024-10-16T13:30:00+00:00,136.61,136.97,136.5804,136.5804,8128,1729085699999,2024-10-16T13:34:59.999000+00:00,,39,,
CINF,5m,1729085700000,2024-10-16T13:35:00+00:00,137.42,137.74,137.42,137.47,1380,1729085999999,2024-10-16T13:39:59.999000+00:00,,51,,
CINF,5m,1729086000000,2024-10-16T13:40:00+00:00,137.465,137.68,137.08,137.68,3172,1729086299999,2024-10-16T13:44:59.999000+00:00,,69,,
CINF,5m,1729086300000,2024-10-16T13:45:00+00:00,138.14,138.14,137.79,137.89,2592,1729086599999,2024-10-16T13:49:59.999000+00:00,,77,,
CINF,5m,1729086600000,2024-10-16T13:50:00+00:00,137.86,138.27,137.85,138.27,1056,1729086899999,2024-10-16T13:54:59.999000+00:00,,52,,
CINF,5m,1729086900000,2024-10-16T13:55:00+00:00,138.29,138.63,138.29,138.63,1151,1729087199999,2024-10-16T13:59:59.999000+00:00,,53,,
CINF,5m,1729087200000,2024-10-16T14:00:00+00:00,138.6346,138.71,138.47,138.53,3250,1729087499999,2024-10-16T14:04:59.999000+00:00,,135,,
CINF,5m,1729087500000,2024-10-16T14:05:00+00:00,138.74,138.74,138.67,138.67,542,1729087799999,2024-10-16T14:09:59.999000+00:00,,24,,
CINF,5m,1729087800000,2024-10-16T14:10:00+00:00,138.48,138.505,138.06,138.06,3645,1729088099999,2024-10-16T14:14:59.999000+00:00,,163,,
CINF,5m,1729088100000,2024-10-16T14:15:00+00:00,138.05,138.39,138.015,138.39,3124,1729088399999,2024-10-16T14:19:59.999000+00:00,,105,,
CINF,5m,1729088400000,2024-10-16T14:20:00+00:00,138.19,138.25,138.03,138.155,1784,1729088699999,2024-10-16T14:24:59.999000+00:00,,79,,
CINF,5m,1729088700000,2024-10-16T14:25:00+00:00,138.13,138.26,138.125,138.165,2799,1729088999999,2024-10-16T14:29:59.999000+00:00,,53,,
CINF,5m,1729089000000,2024-10-16T14:30:00+00:00,138.07,138.24,137.945,138.035,8084,1729089299999,2024-10-16T14:34:59.999000+00:00,,203,,
CINF,5m,1729089300000,2024-10-16T14:35:00+00:00,138.1,138.18,138.04,138.04,3668,1729089599999,2024-10-16T14:39:59.999000+00:00,,114,,
CINF,5m,1729089600000,2024-10-16T14:40:00+00:00,138.045,138.14,137.945,137.945,2699,1729089899999,2024-10-16T14:44:59.999000+00:00,,89,,
CINF,5m,1729089900000,2024-10-16T14:45:00+00:00,137.86,137.86,137.6465,137.6479,1038,1729090199999,2024-10-16T14:49:59.999000+00:00,,38,,
CINF,5m,1729090200000,2024-10-16T14:50:00+00:00,137.72,137.84,137.72,137.84,1671,1729090499999,2024-10-16T14:54:59.999000+00:00,,97,,
CINF,5m,1729090500000,2024-10-16T14:55:00+00:00,137.81,138.04,137.78,138.015,3165,1729090799999,2024-10-16T14:59:59.999000+00:00,,126,,
CINF,5m,1729090800000,2024-10-16T15:00:00+00:00,138.015,138.085,137.9,137.96,1747,1729091099999,2024-10-16T15:04:59.999000+00:00,,57,,
CINF,5m,1729091100000,2024-10-16T15:05:00+00:00,137.91,137.91,137.84,137.85,1680,1729091399999,2024-10-16T15:09:59.999000+00:00,,69,,
CINF,5m,1729091400000,2024-10-16T15:10:00+00:00,137.755,137.84,137.71,137.71,1791,1729091699999,2024-10-16T15:14:59.999000+00:00,,86,,
CINF,5m,1729091700000,2024-10-16T15:15:00+00:00,137.8,137.8,137.65,137.74,3369,1729091999999,2024-10-16T15:19:59.999000+00:00,,110,,
CINF,5m,1729092000000,2024-10-16T15:20:00+00:00,137.785,137.99,137.74,137.93,3017,1729092299999,2024-10-16T15:24:59.999000+00:00,,99,,
CINF,5m,1729092300000,2024-10-16T15:25:00+00:00,137.93,137.93,137.79,137.83,1062,1729092599999,2024-10-16T15:29:59.999000+00:00,,69,,
CINF,5m,1729092600000,2024-10-16T15:30:00+00:00,137.83,137.88,137.76,137.88,1296,1729092899999,2024-10-16T15:34:59.999000+00:00,,48,,
CINF,5m,1729092900000,2024-10-16T15:35:00+00:00,137.84,137.855,137.835,137.835,1038,1729093199999,2024-10-16T15:39:59.999000+00:00,,49,,
CINF,5m,1729093200000,2024-10-16T15:40:00+00:00,137.86,137.985,137.86,137.875,1087,1729093499999,2024-10-16T15:44:59.999000+00:00,,80,,
CINF,5m,1729093500000,2024-10-16T15:45:00+00:00,137.91,137.92,137.815,137.815,2214,1729093799999,2024-10-16T15:49:59.999000+00:00,,62,,
CINF,5m,1729093800000,2024-10-16T15:50:00+00:00,137.85,137.92,137.77,137.77,1692,1729094099999,2024-10-16T15:54:59.999000+00:00,,58,,
CINF,5m,1729094100000,2024-10-16T15:55:00+00:00,137.748,137.87,137.748,137.825,3506,1729094399999,2024-10-16T15:59:59.999000+00:00,,116,,
CINF,5m,1729094400000,2024-10-16T16:00:00+00:00,137.82,138.08,137.82,138.06,4086,1729094699999,2024-10-16T16:04:59.999000+00:00,,49,,
CINF,5m,1729094700000,2024-10-16T16:05:00+00:00,138.05,138.09,138.05,138.05,683,1729094999999,2024-10-16T16:09:59.999000+00:00,,32,,
CINF,5m,1729095000000,2024-10-16T16:10:00+00:00,138.1,138.16,138.1,138.16,421,1729095299999,2024-10-16T16:14:59.999000+00:00,,24,,
CINF,5m,1729095300000,2024-10-16T16:15:00+00:00,138.145,138.1641,138.08,138.08,1886,1729095599999,2024-10-16T16:19:59.999000+00:00,,61,,
CINF,5m,1729095600000,2024-10-16T16:20:00+00:00,138.185,138.24,138.15,138.15,2284,1729095899999,2024-10-16T16:24:59.999000+00:00,,80,,
CINF,5m,1729096200000,2024-10-16T16:30:00+00:00,138.165,138.18,138.1321,138.18,885,1729096499999,2024-10-16T16:34:59.999000+00:00,,60,,
CINF,5m,1729096500000,2024-10-16T16:35:00+00:00,138.2839,138.2839,138.24,138.24,576,1729096799999,2024-10-16T16:39:59.999000+00:00,,22,,
CINF,5m,1729097100000,2024-10-16T16:45:00+00:00,138.29,138.29,138.29,138.29,302,1729097399999,2024-10-16T16:49:59.999000+00:00,,18,,
CINF,5m,1729097400000,2024-10-16T16:50:00+00:00,138.3,138.35,138.25,138.255,1731,1729097699999,2024-10-16T16:54:59.999000+00:00,,87,,
CINF,5m,1729097700000,2024-10-16T16:55:00+00:00,138.21,138.22,138.15,138.175,2702,1729097999999,2024-10-16T16:59:59.999000+00:00,,140,,
CINF,5m,1729098000000,2024-10-16T17:00:00+00:00,138.35,138.35,138.35,138.35,189,1729098299999,2024-10-16T17:04:59.999000+00:00,,11,,
CINF,5m,1729098300000,2024-10-16T17:05:00+00:00,138.2,138.25,138.18,138.25,686,1729098599999,2024-10-16T17:09:59.999000+00:00,,55,,
CINF,5m,1729098600000,2024-10-16T17:10:00+00:00,138.13,138.1599,138.0556,138.1599,1064,1729098899999,2024-10-16T17:14:59.999000+00:00,,49,,
CINF,5m,1729098900000,2024-10-16T17:15:00+00:00,138.08,138.09,138.07,138.09,496,1729099199999,2024-10-16T17:19:59.999000+00:00,,16,,
CINF,5m,1729099200000,2024-10-16T17:20:00+00:00,137.98,137.98,137.98,137.98,167,1729099499999,2024-10-16T17:24:59.999000+00:00,,14,,
CINF,5m,1729099500000,2024-10-16T17:25:00+00:00,137.9601,137.9601,137.9601,137.9601,292,1729099799999,2024-10-16T17:29:59.999000+00:00,,15,,
CINF,5m,1729099800000,2024-10-16T17:30:00+00:00,138.05,138.05,138.05,138.05,260,1729100099999,2024-10-16T17:34:59.999000+00:00,,20,,
CINF,5m,1729100100000,2024-10-16T17:35:00+00:00,137.95,138,137.8505,137.88,6260,1729100399999,2024-10-16T17:39:59.999000+00:00,,150,,
CINF,5m,1729100400000,2024-10-16T17:40:00+00:00,138.02,138.02,138.0014,138.0014,603,1729100699999,2024-10-16T17:44:59.999000+00:00,,45,,
CINF,5m,1729100700000,2024-10-16T17:45:00+00:00,138.005,138.005,137.84,137.86,7569,1729100999999,2024-10-16T17:49:59.999000+00:00,,142,,
CINF,5m,1729101000000,2024-10-16T17:50:00+00:00,137.85,137.85,137.6941,137.72,2422,1729101299999,2024-10-16T17:54:59.999000+00:00,,79,,
CINF,5m,1729101300000,2024-10-16T17:55:00+00:00,137.72,137.965,137.72,137.955,6645,1729101599999,2024-10-16T17:59:59.999000+00:00,,177,,
CINF,5m,1729101600000,2024-10-16T18:00:00+00:00,137.955,138.03,137.955,138.03,5900,1729101899999,2024-10-16T18:04:59.999000+00:00,,121,,
CINF,5m,1729101900000,2024-10-16T18:05:00+00:00,137.99,137.99,137.875,137.875,7651,1729102199999,2024-10-16T18:09:59.999000+00:00,,68,,
