symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CL,5m,1729074900000,2024-10-16T10:35:00+00:00,101.57,101.57,101.57,101.57,153,1729075199999,2024-10-16T10:39:59.999000+00:00,,2,,
CL,5m,1729085100000,2024-10-16T13:25:00+00:00,101.55,101.55,101.36,101.36,520,1729085399999,2024-10-16T13:29:59.999000+00:00,,12,,
CL,5m,1729085400000,2024-10-16T13:30:00+00:00,100.88,101.19,100.66,101.045,154836,1729085699999,2024-10-16T13:34:59.999000+00:00,,1347,,
CL,5m,1729085700000,2024-10-16T13:35:00+00:00,101,101.12,100.9,101.045,68383,1729085999999,2024-10-16T13:39:59.999000+00:00,,623,,
CL,5m,1729086000000,2024-10-16T13:40:00+00:00,101.07,101.1326,100.88,101.04,29360,1729086299999,2024-10-16T13:44:59.999000+00:00,,622,,
CL,5m,1729086300000,2024-10-16T13:45:00+00:00,101.03,101.11,100.96,101.02,66603,1729086599999,2024-10-16T13:49:59.999000+00:00,,896,,
CL,5m,1729086600000,2024-10-16T13:50:00+00:00,101.015,101.27,101.015,101.075,54282,1729086899999,2024-10-16T13:54:59.999000+00:00,,846,,
CL,5m,1729086900000,2024-10-16T13:55:00+00:00,101.075,101.14,100.94,100.99,31265,1729087199999,2024-10-16T13:59:59.999000+00:00,,602,,
CL,5m,1729087200000,2024-10-16T14:00:00+00:00,100.995,101.088,100.98,101.04,35468,1729087499999,2024-10-16T14:04:59.999000+00:00,,720,,
CL,5m,1729087500000,2024-10-16T14:05:00+00:00,101.06,101.16,101,101.005,24589,1729087799999,2024-10-16T14:09:59.999000+00:00,,550,,
CL,5m,1729087800000,2024-10-16T14:10:00+00:00,100.97,101.01,100.8,100.9,19278,1729088099999,2024-10-16T14:14:59.999000+00:00,,522,,
CL,5m,1729088100000,2024-10-16T14:15:00+00:00,100.9,101.08,100.87,101.07,22486,1729088399999,2024-10-16T14:19:59.999000+00:00,,478,,
CL,5m,1729088400000,2024-10-16T14:20:00+00:00,101.06,101.06,100.93,100.95,26709,1729088699999,2024-10-16T14:24:59.999000+00:00,,508,,
CL,5m,1729088700000,2024-10-16T14:25:00+00:00,100.95,101.03,100.9247,100.99,23384,1729088999999,2024-10-16T14:29:59.999000+00:00,,519,,
CL,5m,1729089000000,2024-10-16T14:30:00+00:00,100.975,101.035,100.935,100.96,31875,1729089299999,2024-10-16T14:34:59.999000+00:00,,681,,
CL,5m,1729089300000,2024-10-16T14:35:00+00:00,100.96,101.115,100.96,101.1,27616,1729089599999,2024-10-16T14:39:59.999000+00:00,,607,,
CL,5m,1729089600000,2024-10-16T14:40:00+00:00,101.09,101.12,100.93,101.005,48316,1729089899999,2024-10-16T14:44:59.999000+00:00,,662,,
CL,5m,1729089900000,2024-10-16T14:45:00+00:00,101.0064,101.01,100.84,100.87,21559,1729090199999,2024-10-16T14:49:59.999000+00:00,,476,,
CL,5m,1729090200000,2024-10-16T14:50:00+00:00,100.86,100.9,100.79,100.9,27784,1729090499999,2024-10-16T14:54:59.999000+00:00,,506,,
CL,5m,1729090500000,2024-10-16T14:55:00+00:00,100.89,100.97,100.84,100.9,28483,1729090799999,2024-10-16T14:59:59.999000+00:00,,610,,
CL,5m,1729090800000,2024-10-16T15:00:00+00:00,100.9,100.99,100.86,100.93,110936,1729091099999,2024-10-16T15:04:59.999000+00:00,,754,,
CL,5m,1729091100000,2024-10-16T15:05:00+00:00,100.935,100.96,100.86,100.89,26586,1729091399999,2024-10-16T15:09:59.999000+00:00,,555,,
CL,5m,1729091400000,2024-10-16T15:10:00+00:00,100.88,100.9025,100.75,100.785,54064,1729091699999,2024-10-16T15:14:59.999000+00:00,,630,,
CL,5m,1729091700000,2024-10-16T15:15:00+00:00,100.782,100.86,100.78,100.845,26896,1729091999999,2024-10-16T15:19:59.999000+00:00,,499,,
CL,5m,1729092000000,2024-10-16T15:20:00+00:00,100.84,100.895,100.83,100.85,25012,1729092299999,2024-10-16T15:24:59.999000+00:00,,501,,
CL,5m,1729092300000,2024-10-16T15:25:00+00:00,100.85,100.85,100.81,100.82,23236,1729092599999,2024-10-16T15:29:59.999000+00:00,,475,,
CL,5m,1729092600000,2024-10-16T15:30:00+00:00,100.83,100.89,100.77,100.82,49064,1729092899999,2024-10-16T15:34:59.999000+00:00,,777,,
CL,5m,1729092900000,2024-10-16T15:35:00+00:00,100.85,100.86,100.69,100.85,62068,1729093199999,2024-10-16T15:39:59.999000+00:00,,639,,
CL,5m,1729093200000,2024-10-16T15:40:00+00:00,100.85,100.95,100.835,100.95,43135,1729093499999,2024-10-16T15:44:59.999000+00:00,,549,,
CL,5m,1729093500000,2024-10-16T15:45:00+00:00,100.95,101,100.94,100.95,25922,1729093799999,2024-10-16T15:49:59.999000+00:00,,408,,
CL,5m,1729093800000,2024-10-16T15:50:00+00:00,100.95,101,100.94,100.97,46303,1729094099999,2024-10-16T15:54:59.999000+00:00,,649,,
CL,5m,1729094100000,2024-10-16T15:55:00+00:00,100.975,100.975,100.88,100.96,23842,1729094399999,2024-10-16T15:59:59.999000+00:00,,465,,
CL,5m,1729094400000,2024-10-16T16:00:00+00:00,100.96,101.05,100.96,100.995,25535,1729094699999,2024-10-16T16:04:59.999000+00:00,,453,,
CL,5m,1729094700000,2024-10-16T16:05:00+00:00,101,101.05,100.99,101,40446,1729094999999,2024-10-16T16:09:59.999000+00:00,,520,,
CL,5m,1729095000000,2024-10-16T16:10:00+00:00,101,101.14,100.9939,101.13,30203,1729095299999,2024-10-16T16:14:59.999000+00:00,,508,,
CL,5m,1729095300000,2024-10-16T16:15:00+00:00,101.12,101.12,101.03,101.07,24048,1729095599999,2024-10-16T16:19:59.999000+00:00,,458,,
CL,5m,1729095600000,2024-10-16T16:20:00+00:00,101.06,101.07,100.995,101.02,23070,1729095899999,2024-10-16T16:24:59.999000+00:00,,481,,
CL,5m,1729095900000,2024-10-16T16:25:00+00:00,101.03,101.09,100.99,101.04,46051,1729096199999,2024-10-16T16:29:59.999000+00:00,,622,,
CL,5m,1729096200000,2024-10-16T16:30:00+00:00,101.04,101.13,101.04,101.05,24087,1729096499999,2024-10-16T16:34:59.999000+00:00,,386,,
CL,5m,1729096500000,2024-10-16T16:35:00+00:00,101.04,101.06,101.01,101.03,21691,1729096799999,2024-10-16T16:39:59.999000+00:00,,437,,
CL,5m,1729096800000,2024-10-16T16:40:00+00:00,101.03,101.065,101,101.02,20899,1729097099999,2024-10-16T16:44:59.999000+00:00,,509,,
CL,5m,1729097100000,2024-10-16T16:45:00+00:00,101.025,101.055,100.94,100.96,16461,1729097399999,2024-10-16T16:49:59.999000+00:00,,484,,
CL,5m,1729097400000,2024-10-16T16:50:00+00:00,100.96,101.09,100.96,101.09,15530,1729097699999,2024-10-16T16:54:59.999000+00:00,,411,,
CL,5m,1729097700000,2024-10-16T16:55:00+00:00,101.115,101.12,101.05,101.08,21510,1729097999999,2024-10-16T16:59:59.999000+00:00,,405,,
CL,5m,1729098000000,2024-10-16T17:00:00+00:00,101.09,101.11,101.075,101.1,30368,1729098299999,2024-10-16T17:04:59.999000+00:00,,516,,
CL,5m,1729098300000,2024-10-16T17:05:00+00:00,101.095,101.11,101.08,101.1,18462,1729098599999,2024-10-16T17:09:59.999000+00:00,,387,,
CL,5m,1729098600000,2024-10-16T17:10:00+00:00,101.105,101.17,101.105,101.17,19214,1729098899999,2024-10-16T17:14:59.999000+00:00,,404,,
CL,5m,1729098900000,2024-10-16T17:15:00+00:00,101.16,101.165,101.085,101.09,18142,1729099199999,2024-10-16T17:19:59.999000+00:00,,365,,
CL,5m,1729099200000,2024-10-16T17:20:00+00:00,101.09,101.16,101.09,101.155,17997,1729099499999,2024-10-16T17:24:59.999000+00:00,,401,,
CL,5m,1729099500000,2024-10-16T17:25:00+00:00,101.16,101.19,101.15,101.165,13668,1729099799999,2024-10-16T17:29:59.999000+00:00,,338,,
CL,5m,1729099800000,2024-10-16T17:30:00+00:00,101.17,101.17,101.08,101.085,19440,1729100099999,2024-10-16T17:34:59.999000+00:00,,461,,
CL,5m,1729100100000,2024-10-16T17:35:00+00:00,101.08,101.165,101.06,101.16,20528,1729100399999,2024-10-16T17:39:59.999000+00:00,,458,,
CL,5m,1729100400000,2024-10-16T17:40:00+00:00,101.16,101.17,101.061,101.15,20385,1729100699999,2024-10-16T17:44:59.999000+00:00,,404,,
CL,5m,1729100700000,2024-10-16T17:45:00+00:00,101.145,101.18,101.125,101.145,16308,1729100999999,2024-10-16T17:49:59.999000+00:00,,403,,
