symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CMCSA,5m,1729080000000,2024-10-16T12:00:00+00:00,42.1016,42.17,42.1,42.17,647,1729080299999,2024-10-16T12:04:59.999000+00:00,,32,,
CMCSA,5m,1729081500000,2024-10-16T12:25:00+00:00,42.14,42.14,42.14,42.14,210,1729081799999,2024-10-16T12:29:59.999000+00:00,,2,,
CMCSA,5m,1729082400000,2024-10-16T12:40:00+00:00,42.17,42.17,42.1525,42.1525,660,1729082699999,2024-10-16T12:44:59.999000+00:00,,3,,
CMCSA,5m,1729084500000,2024-10-16T13:15:00+00:00,42.1,42.1,42.1,42.1,650,1729084799999,2024-10-16T13:19:59.999000+00:00,,3,,
CMCSA,5m,1729085100000,2024-10-16T13:25:00+00:00,42.14,42.24,42.13,42.24,2501,1729085399999,2024-10-16T13:29:59.999000+00:00,,16,,
CMCSA,5m,1729085400000,2024-10-16T13:30:00+00:00,42.24,42.525,42.22,42.36676,406748,1729085699999,2024-10-16T13:34:59.999000+00:00,,2801,,
CMCSA,5m,1729085700000,2024-10-16T13:35:00+00:00,42.38,42.38,42.23,42.355,104708,1729085999999,2024-10-16T13:39:59.999000+00:00,,1175,,
CMCSA,5m,1729086000000,2024-10-16T13:40:00+00:00,42.355,42.515,42.34,42.51,107413,1729086299999,2024-10-16T13:44:59.999000+00:00,,1195,,
CMCSA,5m,1729086300000,2024-10-16T13:45:00+00:00,42.51,42.585,42.485,42.55,111873,1729086599999,2024-10-16T13:49:59.999000+00:00,,1151,,
CMCSA,5m,1729086600000,2024-10-16T13:50:00+00:00,42.55,42.58,42.465,42.475,79140,1729086899999,2024-10-16T13:54:59.999000+00:00,,763,,
CMCSA,5m,1729086900000,2024-10-16T13:55:00+00:00,42.475,42.6,42.44,42.59,132326,1729087199999,2024-10-16T13:59:59.999000+00:00,,1094,,
CMCSA,5m,1729087200000,2024-10-16T14:00:00+00:00,42.58,42.61,42.545,42.61,147560,1729087499999,2024-10-16T14:04:59.999000+00:00,,1126,,
CMCSA,5m,1729087500000,2024-10-16T14:05:00+00:00,42.605,42.61,42.56,42.61,80588,1729087799999,2024-10-16T14:09:59.999000+00:00,,984,,
CMCSA,5m,1729087800000,2024-10-16T14:10:00+00:00,42.6078,42.6078,42.4801,42.495,115421,1729088099999,2024-10-16T14:14:59.999000+00:00,,1228,,
CMCSA,5m,1729088100000,2024-10-16T14:15:00+00:00,42.495,42.59,42.48,42.58,91984,1729088399999,2024-10-16T14:19:59.999000+00:00,,985,,
CMCSA,5m,1729088400000,2024-10-16T14:20:00+00:00,42.57,42.58,42.5303,42.55,67852,1729088699999,2024-10-16T14:24:59.999000+00:00,,828,,
CMCSA,5m,1729088700000,2024-10-16T14:25:00+00:00,42.54,42.61,42.54,42.585,84250,1729088999999,2024-10-16T14:29:59.999000+00:00,,899,,
CMCSA,5m,1729089000000,2024-10-16T14:30:00+00:00,42.585,42.61,42.56,42.58,134136,1729089299999,2024-10-16T14:34:59.999000+00:00,,1100,,
CMCSA,5m,1729089300000,2024-10-16T14:35:00+00:00,42.585,42.59,42.55,42.55,75244,1729089599999,2024-10-16T14:39:59.999000+00:00,,806,,
CMCSA,5m,1729089600000,2024-10-16T14:40:00+00:00,42.55,42.56,42.51,42.5112,79228,1729089899999,2024-10-16T14:44:59.999000+00:00,,908,,
CMCSA,5m,1729089900000,2024-10-16T14:45:00+00:00,42.515,42.52,42.485,42.505,158191,1729090199999,2024-10-16T14:49:59.999000+00:00,,915,,
CMCSA,5m,1729090200000,2024-10-16T14:50:00+00:00,42.505,42.52,42.49,42.495,147565,1729090499999,2024-10-16T14:54:59.999000+00:00,,1108,,
CMCSA,5m,1729090500000,2024-10-16T14:55:00+00:00,42.495,42.505,42.385,42.39,99218,1729090799999,2024-10-16T14:59:59.999000+00:00,,983,,
CMCSA,5m,1729090800000,2024-10-16T15:00:00+00:00,42.38,42.395,42.325,42.3798,113546,1729091099999,2024-10-16T15:04:59.999000+00:00,,1030,,
