symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CME,5m,1729074000000,2024-10-16T10:20:00+00:00,223.89,223.89,223.89,223.89,101,1729074299999,2024-10-16T10:24:59.999000+00:00,,2,,
CME,5m,1729085100000,2024-10-16T13:25:00+00:00,224.73,224.73,224.73,224.73,407,1729085399999,2024-10-16T13:29:59.999000+00:00,,7,,
CME,5m,1729085400000,2024-10-16T13:30:00+00:00,223.77,224.54,223.68,224.255,17813,1729085699999,2024-10-16T13:34:59.999000+00:00,,163,,
CME,5m,1729085700000,2024-10-16T13:35:00+00:00,224.27,224.92,223.97,224.04,8040,1729085999999,2024-10-16T13:39:59.999000+00:00,,295,,
CME,5m,1729086000000,2024-10-16T13:40:00+00:00,223.97,224.68,223.82,224.65,35247,1729086299999,2024-10-16T13:44:59.999000+00:00,,355,,
CME,5m,1729086300000,2024-10-16T13:45:00+00:00,224.4445,225,224.4445,225,6461,1729086599999,2024-10-16T13:49:59.999000+00:00,,223,,
CME,5m,1729086600000,2024-10-16T13:50:00+00:00,225,225.425,225,225.305,4620,1729086899999,2024-10-16T13:54:59.999000+00:00,,195,,
CME,5m,1729086900000,2024-10-16T13:55:00+00:00,225.305,225.59,225.15,225.57,6025,1729087199999,2024-10-16T13:59:59.999000+00:00,,211,,
CME,5m,1729087200000,2024-10-16T14:00:00+00:00,225.57,225.61,224.96,225.25,12723,1729087499999,2024-10-16T14:04:59.999000+00:00,,316,,
CME,5m,1729087500000,2024-10-16T14:05:00+00:00,225.335,225.59,225.31,225.555,6862,1729087799999,2024-10-16T14:09:59.999000+00:00,,213,,
CME,5m,1729087800000,2024-10-16T14:10:00+00:00,225.555,225.56,225.2,225.23,6232,1729088099999,2024-10-16T14:14:59.999000+00:00,,241,,
CME,5m,1729088100000,2024-10-16T14:15:00+00:00,225.225,225.43,225.03,225.36,13496,1729088399999,2024-10-16T14:19:59.999000+00:00,,326,,
CME,5m,1729088400000,2024-10-16T14:20:00+00:00,225.36,225.5,225.28,225.5,5943,1729088699999,2024-10-16T14:24:59.999000+00:00,,167,,
CME,5m,1729088700000,2024-10-16T14:25:00+00:00,225.55,225.57,225.38,225.505,7571,1729088999999,2024-10-16T14:29:59.999000+00:00,,195,,
CME,5m,1729089000000,2024-10-16T14:30:00+00:00,225.505,225.5812,225,225.23,19174,1729089299999,2024-10-16T14:34:59.999000+00:00,,351,,
CME,5m,1729089300000,2024-10-16T14:35:00+00:00,225.34,225.53,225.31,225.4,14128,1729089599999,2024-10-16T14:39:59.999000+00:00,,221,,
CME,5m,1729089600000,2024-10-16T14:40:00+00:00,225.3,225.48,225.205,225.205,5770,1729089899999,2024-10-16T14:44:59.999000+00:00,,173,,
CME,5m,1729089900000,2024-10-16T14:45:00+00:00,225.05,225.09,224.72,225.09,8665,1729090199999,2024-10-16T14:49:59.999000+00:00,,188,,
CME,5m,1729090200000,2024-10-16T14:50:00+00:00,225.14,225.28,224.9962,225.27,9434,1729090499999,2024-10-16T14:54:59.999000+00:00,,125,,
CME,5m,1729090500000,2024-10-16T14:55:00+00:00,225.27,225.595,225.21,225.465,13795,1729090799999,2024-10-16T14:59:59.999000+00:00,,177,,
CME,5m,1729090800000,2024-10-16T15:00:00+00:00,225.51,225.8,225.51,225.64,14962,1729091099999,2024-10-16T15:04:59.999000+00:00,,345,,
CME,5m,1729091100000,2024-10-16T15:05:00+00:00,225.595,225.6999,225.26,225.26,9055,1729091399999,2024-10-16T15:09:59.999000+00:00,,184,,
CME,5m,1729091400000,2024-10-16T15:10:00+00:00,225.26,225.59,225.14,225.55,13709,1729091699999,2024-10-16T15:14:59.999000+00:00,,355,,
CME,5m,1729091700000,2024-10-16T15:15:00+00:00,225.55,225.56,225.405,225.405,7045,1729091999999,2024-10-16T15:19:59.999000+00:00,,266,,
CME,5m,1729092000000,2024-10-16T15:20:00+00:00,225.41,225.42,225.245,225.3,10992,1729092299999,2024-10-16T15:24:59.999000+00:00,,337,,
CME,5m,1729092300000,2024-10-16T15:25:00+00:00,225.35,225.435,225.3,225.41,6459,1729092599999,2024-10-16T15:29:59.999000+00:00,,201,,
CME,5m,1729092600000,2024-10-16T15:30:00+00:00,225.4318,225.55,225.37,225.55,15410,1729092899999,2024-10-16T15:34:59.999000+00:00,,447,,
CME,5m,1729092900000,2024-10-16T15:35:00+00:00,225.55,225.72,225.53,225.7,8221,1729093199999,2024-10-16T15:39:59.999000+00:00,,256,,
CME,5m,1729093200000,2024-10-16T15:40:00+00:00,225.68,225.91,225.63,225.91,9594,1729093499999,2024-10-16T15:44:59.999000+00:00,,334,,
CME,5m,1729093500000,2024-10-16T15:45:00+00:00,225.97,226.07,225.7701,225.7701,13670,1729093799999,2024-10-16T15:49:59.999000+00:00,,361,,
CME,5m,1729093800000,2024-10-16T15:50:00+00:00,225.839,225.86,225.68,225.755,18988,1729094099999,2024-10-16T15:54:59.999000+00:00,,548,,
CME,5m,1729094100000,2024-10-16T15:55:00+00:00,225.72,225.74,225.605,225.715,7216,1729094399999,2024-10-16T15:59:59.999000+00:00,,299,,
CME,5m,1729094400000,2024-10-16T16:00:00+00:00,225.785,225.84,225.74,225.8301,6786,1729094699999,2024-10-16T16:04:59.999000+00:00,,186,,
CME,5m,1729094700000,2024-10-16T16:05:00+00:00,225.84,226,225.84,225.93,12377,1729094999999,2024-10-16T16:09:59.999000+00:00,,383,,
CME,5m,1729095000000,2024-10-16T16:10:00+00:00,225.91,226.19,225.895,226.15,8777,1729095299999,2024-10-16T16:14:59.999000+00:00,,272,,
CME,5m,1729095300000,2024-10-16T16:15:00+00:00,226.14,226.225,226.03,226.0401,10070,1729095599999,2024-10-16T16:19:59.999000+00:00,,313,,
CME,5m,1729095600000,2024-10-16T16:20:00+00:00,226.085,226.15,226.01,226.065,6298,1729095899999,2024-10-16T16:24:59.999000+00:00,,202,,
CME,5m,1729095900000,2024-10-16T16:25:00+00:00,226.065,226.295,226.065,226.295,7978,1729096199999,2024-10-16T16:29:59.999000+00:00,,220,,
CME,5m,1729096200000,2024-10-16T16:30:00+00:00,226.34,226.43,226.26,226.345,9771,1729096499999,2024-10-16T16:34:59.999000+00:00,,318,,
CME,5m,1729096500000,2024-10-16T16:35:00+00:00,226.36,226.405,226.31,226.31,4183,1729096799999,2024-10-16T16:39:59.999000+00:00,,165,,
CME,5m,1729096800000,2024-10-16T16:40:00+00:00,226.335,226.52,226.3,226.455,6861,1729097099999,2024-10-16T16:44:59.999000+00:00,,255,,
CME,5m,1729097100000,2024-10-16T16:45:00+00:00,226.436,226.575,226.436,226.5169,5357,1729097399999,2024-10-16T16:49:59.999000+00:00,,258,,
CME,5m,1729097400000,2024-10-16T16:50:00+00:00,226.595,226.81,226.595,226.73,7767,1729097699999,2024-10-16T16:54:59.999000+00:00,,335,,
CME,5m,1729097700000,2024-10-16T16:55:00+00:00,226.72,226.895,226.715,226.775,8143,1729097999999,2024-10-16T16:59:59.999000+00:00,,257,,
CME,5m,1729098000000,2024-10-16T17:00:00+00:00,226.82,226.845,226.68,226.765,13173,1729098299999,2024-10-16T17:04:59.999000+00:00,,354,,
CME,5m,1729098300000,2024-10-16T17:05:00+00:00,226.76,226.89,226.76,226.84,9305,1729098599999,2024-10-16T17:09:59.999000+00:00,,269,,
CME,5m,1729098600000,2024-10-16T17:10:00+00:00,226.885,226.885,226.715,226.81,4463,1729098899999,2024-10-16T17:14:59.999000+00:00,,155,,
CME,5m,1729098900000,2024-10-16T17:15:00+00:00,226.78,226.78,226.64,226.64,5218,1729099199999,2024-10-16T17:19:59.999000+00:00,,217,,
CME,5m,1729099200000,2024-10-16T17:20:00+00:00,226.66,226.66,226.55,226.56,5954,1729099499999,2024-10-16T17:24:59.999000+00:00,,170,,
CME,5m,1729099500000,2024-10-16T17:25:00+00:00,226.6,226.69,226.51,226.63,7021,1729099799999,2024-10-16T17:29:59.999000+00:00,,248,,
CME,5m,1729099800000,2024-10-16T17:30:00+00:00,226.66,226.67,226.515,226.655,11962,1729100099999,2024-10-16T17:34:59.999000+00:00,,314,,
CME,5m,1729100100000,2024-10-16T17:35:00+00:00,226.655,226.66,226.43,226.53,11382,1729100399999,2024-10-16T17:39:59.999000+00:00,,303,,
