symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CMG,5m,1729072800000,2024-10-16T10:00:00+00:00,59.84,59.84,59.84,59.84,101,1729073099999,2024-10-16T10:04:59.999000+00:00,,2,,
CMG,5m,1729080000000,2024-10-16T12:00:00+00:00,60,60.03,59.8385,60.03,14210,1729080299999,2024-10-16T12:04:59.999000+00:00,,65,,
CMG,5m,1729080300000,2024-10-16T12:05:00+00:00,59.99,59.99,59.99,59.99,200,1729080599999,2024-10-16T12:09:59.999000+00:00,,3,,
CMG,5m,1729080900000,2024-10-16T12:15:00+00:00,59.97,59.995,59.9,59.9,1011,1729081199999,2024-10-16T12:19:59.999000+00:00,,5,,
CMG,5m,1729081200000,2024-10-16T12:20:00+00:00,59.9999,59.9999,59.9999,59.9999,127,1729081499999,2024-10-16T12:24:59.999000+00:00,,7,,
CMG,5m,1729081800000,2024-10-16T12:30:00+00:00,59.95,59.95,59.9006,59.9006,965,1729082099999,2024-10-16T12:34:59.999000+00:00,,14,,
CMG,5m,1729082400000,2024-10-16T12:40:00+00:00,59.97,60,59.97,60,487,1729082699999,2024-10-16T12:44:59.999000+00:00,,5,,
CMG,5m,1729082700000,2024-10-16T12:45:00+00:00,60,60,60,60,167,1729082999999,2024-10-16T12:49:59.999000+00:00,,1,,
CMG,5m,1729083000000,2024-10-16T12:50:00+00:00,59.99,60,59.94,60,8269,1729083299999,2024-10-16T12:54:59.999000+00:00,,50,,
CMG,5m,1729083300000,2024-10-16T12:55:00+00:00,59.99,59.99,59.97,59.9802,544,1729083599999,2024-10-16T12:59:59.999000+00:00,,8,,
CMG,5m,1729083600000,2024-10-16T13:00:00+00:00,59.97,60.01,59.97,60.01,1270,1729083899999,2024-10-16T13:04:59.999000+00:00,,18,,
CMG,5m,1729084200000,2024-10-16T13:10:00+00:00,59.95,59.95,59.9003,59.9285,1292,1729084499999,2024-10-16T13:14:59.999000+00:00,,12,,
CMG,5m,1729084500000,2024-10-16T13:15:00+00:00,59.93,59.93,59.9285,59.93,6937,1729084799999,2024-10-16T13:19:59.999000+00:00,,13,,
CMG,5m,1729084800000,2024-10-16T13:20:00+00:00,59.976,59.976,59.95,59.95,3123,1729085099999,2024-10-16T13:24:59.999000+00:00,,12,,
CMG,5m,1729085100000,2024-10-16T13:25:00+00:00,59.98,60.11,59.98,60.11,9130,1729085399999,2024-10-16T13:29:59.999000+00:00,,74,,
CMG,5m,1729085400000,2024-10-16T13:30:00+00:00,59.91,60.08,59.65,59.835,240985,1729085699999,2024-10-16T13:34:59.999000+00:00,,1242,,
CMG,5m,1729085700000,2024-10-16T13:35:00+00:00,59.835,59.92,59.65,59.655,119782,1729085999999,2024-10-16T13:39:59.999000+00:00,,1109,,
CMG,5m,1729086000000,2024-10-16T13:40:00+00:00,59.67,59.735,59.45,59.5,103239,1729086299999,2024-10-16T13:44:59.999000+00:00,,1087,,
CMG,5m,1729086300000,2024-10-16T13:45:00+00:00,59.51,59.5105,59.27,59.35,93566,1729086599999,2024-10-16T13:49:59.999000+00:00,,1438,,
CMG,5m,1729086600000,2024-10-16T13:50:00+00:00,59.34,59.34,59.202,59.22,73337,1729086899999,2024-10-16T13:54:59.999000+00:00,,1157,,
