symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CMS,5m,1729085400000,2024-10-16T13:30:00+00:00,70.345,70.5,70.27,70.5,22411,1729085699999,2024-10-16T13:34:59.999000+00:00,,164,,
CMS,5m,1729085700000,2024-10-16T13:35:00+00:00,70.53,70.53,70.38,70.44,4836,1729085999999,2024-10-16T13:39:59.999000+00:00,,121,,
CMS,5m,1729086000000,2024-10-16T13:40:00+00:00,70.48,70.69,70.48,70.69,3606,1729086299999,2024-10-16T13:44:59.999000+00:00,,70,,
CMS,5m,1729086300000,2024-10-16T13:45:00+00:00,70.8,70.85,70.78,70.825,7113,1729086599999,2024-10-16T13:49:59.999000+00:00,,130,,
CMS,5m,1729086600000,2024-10-16T13:50:00+00:00,70.88,70.93,70.82,70.82,8625,1729086899999,2024-10-16T13:54:59.999000+00:00,,222,,
CMS,5m,1729086900000,2024-10-16T13:55:00+00:00,70.8025,70.99,70.8025,70.99,9686,1729087199999,2024-10-16T13:59:59.999000+00:00,,207,,
CMS,5m,1729087200000,2024-10-16T14:00:00+00:00,71.02,71.04,70.885,70.885,16753,1729087499999,2024-10-16T14:04:59.999000+00:00,,315,,
CMS,5m,1729087500000,2024-10-16T14:05:00+00:00,70.91,70.93,70.88,70.93,11059,1729087799999,2024-10-16T14:09:59.999000+00:00,,280,,
CMS,5m,1729087800000,2024-10-16T14:10:00+00:00,70.91,70.91,70.77,70.78,13211,1729088099999,2024-10-16T14:14:59.999000+00:00,,285,,
CMS,5m,1729088100000,2024-10-16T14:15:00+00:00,70.78,70.86,70.76,70.86,6575,1729088399999,2024-10-16T14:19:59.999000+00:00,,177,,
CMS,5m,1729088400000,2024-10-16T14:20:00+00:00,70.86,70.86,70.79,70.82,9807,1729088699999,2024-10-16T14:24:59.999000+00:00,,228,,
CMS,5m,1729088700000,2024-10-16T14:25:00+00:00,70.81,70.865,70.78,70.78,10991,1729088999999,2024-10-16T14:29:59.999000+00:00,,262,,
CMS,5m,1729089000000,2024-10-16T14:30:00+00:00,70.77,70.865,70.73,70.805,7927,1729089299999,2024-10-16T14:34:59.999000+00:00,,204,,
CMS,5m,1729089300000,2024-10-16T14:35:00+00:00,70.8,70.92,70.78,70.85,7191,1729089599999,2024-10-16T14:39:59.999000+00:00,,212,,
CMS,5m,1729089600000,2024-10-16T14:40:00+00:00,70.85,70.92,70.85,70.875,10673,1729089899999,2024-10-16T14:44:59.999000+00:00,,230,,
CMS,5m,1729089900000,2024-10-16T14:45:00+00:00,70.89,70.89,70.785,70.81,8387,1729090199999,2024-10-16T14:49:59.999000+00:00,,242,,
CMS,5m,1729090200000,2024-10-16T14:50:00+00:00,70.805,70.85,70.77,70.835,9065,1729090499999,2024-10-16T14:54:59.999000+00:00,,234,,
CMS,5m,1729090500000,2024-10-16T14:55:00+00:00,70.815,70.8622,70.8,70.855,11952,1729090799999,2024-10-16T14:59:59.999000+00:00,,261,,
CMS,5m,1729090800000,2024-10-16T15:00:00+00:00,70.88,70.88,70.81,70.82,16857,1729091099999,2024-10-16T15:04:59.999000+00:00,,300,,
CMS,5m,1729091100000,2024-10-16T15:05:00+00:00,70.825,70.88,70.785,70.88,6906,1729091399999,2024-10-16T15:09:59.999000+00:00,,149,,
CMS,5m,1729091400000,2024-10-16T15:10:00+00:00,70.89,70.91,70.87,70.9,5820,1729091699999,2024-10-16T15:14:59.999000+00:00,,166,,
CMS,5m,1729091700000,2024-10-16T15:15:00+00:00,70.91,70.93,70.87,70.91,6287,1729091999999,2024-10-16T15:19:59.999000+00:00,,163,,
CMS,5m,1729092000000,2024-10-16T15:20:00+00:00,70.915,70.94,70.9,70.93,6841,1729092299999,2024-10-16T15:24:59.999000+00:00,,182,,
CMS,5m,1729092300000,2024-10-16T15:25:00+00:00,70.93,70.94,70.89,70.91,5473,1729092599999,2024-10-16T15:29:59.999000+00:00,,212,,
CMS,5m,1729092600000,2024-10-16T15:30:00+00:00,70.912,70.95,70.9,70.91,6128,1729092899999,2024-10-16T15:34:59.999000+00:00,,174,,
CMS,5m,1729092900000,2024-10-16T15:35:00+00:00,70.9,70.91,70.85,70.9,6426,1729093199999,2024-10-16T15:39:59.999000+00:00,,217,,
CMS,5m,1729093200000,2024-10-16T15:40:00+00:00,70.91,70.96,70.9,70.96,3963,1729093499999,2024-10-16T15:44:59.999000+00:00,,112,,
CMS,5m,1729093500000,2024-10-16T15:45:00+00:00,70.975,70.98,70.95,70.96,5588,1729093799999,2024-10-16T15:49:59.999000+00:00,,157,,
CMS,5m,1729093800000,2024-10-16T15:50:00+00:00,70.95,70.97,70.88,70.88,8398,1729094099999,2024-10-16T15:54:59.999000+00:00,,234,,
CMS,5m,1729094100000,2024-10-16T15:55:00+00:00,70.9,70.9,70.87,70.88,12925,1729094399999,2024-10-16T15:59:59.999000+00:00,,283,,
CMS,5m,1729094400000,2024-10-16T16:00:00+00:00,70.9,70.925,70.84,70.85,6920,1729094699999,2024-10-16T16:04:59.999000+00:00,,183,,
CMS,5m,1729094700000,2024-10-16T16:05:00+00:00,70.86,70.9,70.85,70.895,6727,1729094999999,2024-10-16T16:09:59.999000+00:00,,138,,
CMS,5m,1729095000000,2024-10-16T16:10:00+00:00,70.9,70.93,70.875,70.92,8655,1729095299999,2024-10-16T16:14:59.999000+00:00,,181,,
CMS,5m,1729095300000,2024-10-16T16:15:00+00:00,70.91,70.945,70.9,70.925,14625,1729095599999,2024-10-16T16:19:59.999000+00:00,,255,,
CMS,5m,1729095600000,2024-10-16T16:20:00+00:00,70.93,70.93,70.88,70.9,8198,1729095899999,2024-10-16T16:24:59.999000+00:00,,172,,
CMS,5m,1729095900000,2024-10-16T16:25:00+00:00,70.88,70.89,70.825,70.84,8295,1729096199999,2024-10-16T16:29:59.999000+00:00,,233,,
CMS,5m,1729096200000,2024-10-16T16:30:00+00:00,70.85,70.88,70.85,70.85,5243,1729096499999,2024-10-16T16:34:59.999000+00:00,,139,,
CMS,5m,1729096500000,2024-10-16T16:35:00+00:00,70.86,70.91,70.86,70.895,8094,1729096799999,2024-10-16T16:39:59.999000+00:00,,190,,
CMS,5m,1729096800000,2024-10-16T16:40:00+00:00,70.9,70.92,70.88,70.92,4219,1729097099999,2024-10-16T16:44:59.999000+00:00,,140,,
CMS,5m,1729097100000,2024-10-16T16:45:00+00:00,70.92,70.925,70.89,70.9,10099,1729097399999,2024-10-16T16:49:59.999000+00:00,,271,,
CMS,5m,1729097400000,2024-10-16T16:50:00+00:00,70.9,70.91,70.8902,70.9,4092,1729097699999,2024-10-16T16:54:59.999000+00:00,,132,,
CMS,5m,1729097700000,2024-10-16T16:55:00+00:00,70.905,70.925,70.8424,70.87,9416,1729097999999,2024-10-16T16:59:59.999000+00:00,,277,,
CMS,5m,1729098000000,2024-10-16T17:00:00+00:00,70.88,70.92,70.88,70.92,8228,1729098299999,2024-10-16T17:04:59.999000+00:00,,240,,
CMS,5m,1729098300000,2024-10-16T17:05:00+00:00,70.91,70.91,70.89,70.9,7491,1729098599999,2024-10-16T17:09:59.999000+00:00,,213,,
