symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CNC,5m,1729085400000,2024-10-16T13:30:00+00:00,68.74,68.75,68.34,68.35,57671,1729085699999,2024-10-16T13:34:59.999000+00:00,,616,,
CNC,5m,1729085700000,2024-10-16T13:35:00+00:00,68.32,68.53,68.21,68.515,39835,1729085999999,2024-10-16T13:39:59.999000+00:00,,651,,
CNC,5m,1729086000000,2024-10-16T13:40:00+00:00,68.515,68.739411,68.37,68.7,47140,1729086299999,2024-10-16T13:44:59.999000+00:00,,614,,
CNC,5m,1729086300000,2024-10-16T13:45:00+00:00,68.71,68.88,68.66,68.665,41061,1729086599999,2024-10-16T13:49:59.999000+00:00,,631,,
CNC,5m,1729086600000,2024-10-16T13:50:00+00:00,68.71,68.71,68.51,68.71,61149,1729086899999,2024-10-16T13:54:59.999000+00:00,,934,,
CNC,5m,1729086900000,2024-10-16T13:55:00+00:00,68.71,68.92,68.69,68.845,43597,1729087199999,2024-10-16T13:59:59.999000+00:00,,629,,
CNC,5m,1729087200000,2024-10-16T14:00:00+00:00,68.85,69.13,68.81,68.81,74686,1729087499999,2024-10-16T14:04:59.999000+00:00,,924,,
CNC,5m,1729087500000,2024-10-16T14:05:00+00:00,68.805,69.03,68.78,68.82,61072,1729087799999,2024-10-16T14:09:59.999000+00:00,,886,,
CNC,5m,1729087800000,2024-10-16T14:10:00+00:00,68.82,68.865,68.57,68.64,51575,1729088099999,2024-10-16T14:14:59.999000+00:00,,840,,
CNC,5m,1729088100000,2024-10-16T14:15:00+00:00,68.63,68.81,68.6,68.73,51195,1729088399999,2024-10-16T14:19:59.999000+00:00,,819,,
CNC,5m,1729088400000,2024-10-16T14:20:00+00:00,68.72,68.75,68.47,68.495,46605,1729088699999,2024-10-16T14:24:59.999000+00:00,,737,,
CNC,5m,1729088700000,2024-10-16T14:25:00+00:00,68.5,68.74,68.5,68.655,34139,1729088999999,2024-10-16T14:29:59.999000+00:00,,645,,
CNC,5m,1729089000000,2024-10-16T14:30:00+00:00,68.64,68.81,68.62,68.76,45787,1729089299999,2024-10-16T14:34:59.999000+00:00,,872,,
CNC,5m,1729089300000,2024-10-16T14:35:00+00:00,68.76,69.06,68.76,69.06,44517,1729089599999,2024-10-16T14:39:59.999000+00:00,,813,,
CNC,5m,1729089600000,2024-10-16T14:40:00+00:00,69.0699,69.09,68.85,69.01,77303,1729089899999,2024-10-16T14:44:59.999000+00:00,,1111,,
CNC,5m,1729089900000,2024-10-16T14:45:00+00:00,69.015,69.03,68.75,68.89,50105,1729090199999,2024-10-16T14:49:59.999000+00:00,,766,,
CNC,5m,1729090200000,2024-10-16T14:50:00+00:00,68.89,68.97,68.86,68.89,46477,1729090499999,2024-10-16T14:54:59.999000+00:00,,739,,
CNC,5m,1729090500000,2024-10-16T14:55:00+00:00,68.91,68.91,68.66,68.69,75459,1729090799999,2024-10-16T14:59:59.999000+00:00,,1151,,
CNC,5m,1729090800000,2024-10-16T15:00:00+00:00,68.68,68.76,68.64,68.755,53721,1729091099999,2024-10-16T15:04:59.999000+00:00,,788,,
CNC,5m,1729091100000,2024-10-16T15:05:00+00:00,68.76,68.81,68.7,68.755,56133,1729091399999,2024-10-16T15:09:59.999000+00:00,,912,,
