symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CNP,5m,1729083000000,2024-10-16T12:50:00+00:00,30.04,30.07,30.04,30.07,505,1729083299999,2024-10-16T12:54:59.999000+00:00,,4,,
CNP,5m,1729085400000,2024-10-16T13:30:00+00:00,30.03,30.07,29.96,30.05,43433,1729085699999,2024-10-16T13:34:59.999000+00:00,,226,,
CNP,5m,1729085700000,2024-10-16T13:35:00+00:00,30.045,30.1,30.03,30.1,29251,1729085999999,2024-10-16T13:39:59.999000+00:00,,269,,
CNP,5m,1729086000000,2024-10-16T13:40:00+00:00,30.1,30.19,30.1,30.17,23016,1729086299999,2024-10-16T13:44:59.999000+00:00,,253,,
CNP,5m,1729086300000,2024-10-16T13:45:00+00:00,30.175,30.24,30.175,30.22,20107,1729086599999,2024-10-16T13:49:59.999000+00:00,,222,,
CNP,5m,1729086600000,2024-10-16T13:50:00+00:00,30.22,30.26,30.21,30.215,123717,1729086899999,2024-10-16T13:54:59.999000+00:00,,285,,
CNP,5m,1729086900000,2024-10-16T13:55:00+00:00,30.215,30.265,30.16,30.24,67295,1729087199999,2024-10-16T13:59:59.999000+00:00,,480,,
CNP,5m,1729087200000,2024-10-16T14:00:00+00:00,30.245,30.26,30.19,30.205,54746,1729087499999,2024-10-16T14:04:59.999000+00:00,,681,,
CNP,5m,1729087500000,2024-10-16T14:05:00+00:00,30.205,30.205,30.18,30.185,23634,1729087799999,2024-10-16T14:09:59.999000+00:00,,320,,
CNP,5m,1729087800000,2024-10-16T14:10:00+00:00,30.185,30.185,30.105,30.115,17844,1729088099999,2024-10-16T14:14:59.999000+00:00,,285,,
CNP,5m,1729088100000,2024-10-16T14:15:00+00:00,30.115,30.135,30.11,30.135,32599,1729088399999,2024-10-16T14:19:59.999000+00:00,,257,,
CNP,5m,1729088400000,2024-10-16T14:20:00+00:00,30.135,30.135,30.095,30.095,20938,1729088699999,2024-10-16T14:24:59.999000+00:00,,275,,
CNP,5m,1729088700000,2024-10-16T14:25:00+00:00,30.095,30.11,30.09,30.095,17939,1729088999999,2024-10-16T14:29:59.999000+00:00,,292,,
CNP,5m,1729089000000,2024-10-16T14:30:00+00:00,30.09,30.11,30.065,30.085,22455,1729089299999,2024-10-16T14:34:59.999000+00:00,,336,,
CNP,5m,1729089300000,2024-10-16T14:35:00+00:00,30.085,30.13,30.085,30.105,17521,1729089599999,2024-10-16T14:39:59.999000+00:00,,270,,
CNP,5m,1729089600000,2024-10-16T14:40:00+00:00,30.105,30.145,30.1,30.115,18119,1729089899999,2024-10-16T14:44:59.999000+00:00,,290,,
CNP,5m,1729089900000,2024-10-16T14:45:00+00:00,30.11,30.11,30.025,30.045,28281,1729090199999,2024-10-16T14:49:59.999000+00:00,,387,,
CNP,5m,1729090200000,2024-10-16T14:50:00+00:00,30.05,30.065,30.03,30.065,13141,1729090499999,2024-10-16T14:54:59.999000+00:00,,197,,
CNP,5m,1729090500000,2024-10-16T14:55:00+00:00,30.06,30.08,30.05,30.08,14635,1729090799999,2024-10-16T14:59:59.999000+00:00,,233,,
CNP,5m,1729090800000,2024-10-16T15:00:00+00:00,30.075,30.09,30.055,30.06,14350,1729091099999,2024-10-16T15:04:59.999000+00:00,,226,,
