symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
COF,5m,1729083600000,2024-10-16T13:00:00+00:00,156.73,156.73,156.73,156.73,18879,1729083899999,2024-10-16T13:04:59.999000+00:00,,1,,
COF,5m,1729085400000,2024-10-16T13:30:00+00:00,159.1,159.1,158.35,158.35,43838,1729085699999,2024-10-16T13:34:59.999000+00:00,,896,,
COF,5m,1729085700000,2024-10-16T13:35:00+00:00,158.244,158.75,158.07,158.75,29345,1729085999999,2024-10-16T13:39:59.999000+00:00,,441,,
COF,5m,1729086000000,2024-10-16T13:40:00+00:00,158.675,159.19,158.45,159.19,58474,1729086299999,2024-10-16T13:44:59.999000+00:00,,991,,
COF,5m,1729086300000,2024-10-16T13:45:00+00:00,159.19,159.21,158.91,158.92,51669,1729086599999,2024-10-16T13:49:59.999000+00:00,,692,,
COF,5m,1729086600000,2024-10-16T13:50:00+00:00,158.88,158.88,158.315,158.4,18540,1729086899999,2024-10-16T13:54:59.999000+00:00,,295,,
COF,5m,1729086900000,2024-10-16T13:55:00+00:00,158.38,158.9,158.23,158.88,18935,1729087199999,2024-10-16T13:59:59.999000+00:00,,482,,
COF,5m,1729087200000,2024-10-16T14:00:00+00:00,158.91,159.17,158.82,159.02,41765,1729087499999,2024-10-16T14:04:59.999000+00:00,,550,,
COF,5m,1729087500000,2024-10-16T14:05:00+00:00,159.01,159.01,158.35,158.4,11953,1729087799999,2024-10-16T14:09:59.999000+00:00,,290,,
COF,5m,1729087800000,2024-10-16T14:10:00+00:00,158.3,158.445,157.9,157.925,16933,1729088099999,2024-10-16T14:14:59.999000+00:00,,382,,
COF,5m,1729088100000,2024-10-16T14:15:00+00:00,157.905,158.47,157.8,158.36,18428,1729088399999,2024-10-16T14:19:59.999000+00:00,,362,,
COF,5m,1729088400000,2024-10-16T14:20:00+00:00,158.39,158.405,157.99,158.075,15506,1729088699999,2024-10-16T14:24:59.999000+00:00,,311,,
COF,5m,1729088700000,2024-10-16T14:25:00+00:00,158.0775,158.5,158.0775,158.445,10484,1729088999999,2024-10-16T14:29:59.999000+00:00,,279,,
COF,5m,1729089000000,2024-10-16T14:30:00+00:00,158.445,159.29,158.355,159.17,51283,1729089299999,2024-10-16T14:34:59.999000+00:00,,839,,
COF,5m,1729089300000,2024-10-16T14:35:00+00:00,159.17,159.24,158.5,158.61,32440,1729089599999,2024-10-16T14:39:59.999000+00:00,,597,,
COF,5m,1729089600000,2024-10-16T14:40:00+00:00,158.59,158.91,158.49,158.63,13029,1729089899999,2024-10-16T14:44:59.999000+00:00,,312,,
COF,5m,1729089900000,2024-10-16T14:45:00+00:00,158.66,158.72,158.46,158.64,15739,1729090199999,2024-10-16T14:49:59.999000+00:00,,361,,
