symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
COST,5m,1729077600000,2024-10-16T11:20:00+00:00,893.7,893.7,893.7,893.7,200,1729077899999,2024-10-16T11:24:59.999000+00:00,,2,,
COST,5m,1729082100000,2024-10-16T12:35:00+00:00,895.8556,895.8556,895.8556,895.8556,114,1729082399999,2024-10-16T12:39:59.999000+00:00,,3,,
COST,5m,1729082400000,2024-10-16T12:40:00+00:00,897,897,897,897,200,1729082699999,2024-10-16T12:44:59.999000+00:00,,1,,
COST,5m,1729083300000,2024-10-16T12:55:00+00:00,893.6,893.6,893.6,893.6,375,1729083599999,2024-10-16T12:59:59.999000+00:00,,23,,
COST,5m,1729084800000,2024-10-16T13:20:00+00:00,893,893,893,893,370,1729085099999,2024-10-16T13:24:59.999000+00:00,,17,,
COST,5m,1729085100000,2024-10-16T13:25:00+00:00,893,893,890,890,2854,1729085399999,2024-10-16T13:29:59.999000+00:00,,131,,
COST,5m,1729085400000,2024-10-16T13:30:00+00:00,889.92,891.325,887.965,888.24,66675,1729085699999,2024-10-16T13:34:59.999000+00:00,,2323,,
COST,5m,1729085700000,2024-10-16T13:35:00+00:00,888.31,888.4,885.5,885.89,28837,1729085999999,2024-10-16T13:39:59.999000+00:00,,1763,,
COST,5m,1729086000000,2024-10-16T13:40:00+00:00,885.9149,886.62,883.4495,884.41,35779,1729086299999,2024-10-16T13:44:59.999000+00:00,,2152,,
COST,5m,1729086300000,2024-10-16T13:45:00+00:00,884.35,884.68,882.11,883.12,33790,1729086599999,2024-10-16T13:49:59.999000+00:00,,1945,,
COST,5m,1729086600000,2024-10-16T13:50:00+00:00,883.12,883.68,882,882.6699,29935,1729086899999,2024-10-16T13:54:59.999000+00:00,,1640,,
COST,5m,1729086900000,2024-10-16T13:55:00+00:00,882.67,882.67,880.6,880.98,41235,1729087199999,2024-10-16T13:59:59.999000+00:00,,1904,,
COST,5m,1729087200000,2024-10-16T14:00:00+00:00,880.98,881.4,879.5001,880.8301,60965,1729087499999,2024-10-16T14:04:59.999000+00:00,,2920,,
COST,5m,1729087500000,2024-10-16T14:05:00+00:00,881.09,882.275,880.87,881.7549,27653,1729087799999,2024-10-16T14:09:59.999000+00:00,,1440,,
