symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CPB,5m,1729078500000,2024-10-16T11:35:00+00:00,48.36,48.36,48.36,48.36,294,1729078799999,2024-10-16T11:39:59.999000+00:00,,4,,
CPB,5m,1729085400000,2024-10-16T13:30:00+00:00,48.14,48.46,48.14,48.265,22960,1729085699999,2024-10-16T13:34:59.999000+00:00,,108,,
CPB,5m,1729085700000,2024-10-16T13:35:00+00:00,48.35,48.46,48.33,48.405,3642,1729085999999,2024-10-16T13:39:59.999000+00:00,,67,,
CPB,5m,1729086000000,2024-10-16T13:40:00+00:00,48.3975,48.65,48.31,48.56,8639,1729086299999,2024-10-16T13:44:59.999000+00:00,,128,,
CPB,5m,1729086300000,2024-10-16T13:45:00+00:00,48.56,48.62,48.425,48.425,14926,1729086599999,2024-10-16T13:49:59.999000+00:00,,234,,
CPB,5m,1729086600000,2024-10-16T13:50:00+00:00,48.392,48.52,48.392,48.51,55778,1729086899999,2024-10-16T13:54:59.999000+00:00,,156,,
CPB,5m,1729086900000,2024-10-16T13:55:00+00:00,48.46,48.58,48.46,48.51,8743,1729087199999,2024-10-16T13:59:59.999000+00:00,,174,,
CPB,5m,1729087200000,2024-10-16T14:00:00+00:00,48.53,48.53,48.4404,48.4404,15401,1729087499999,2024-10-16T14:04:59.999000+00:00,,228,,
CPB,5m,1729087500000,2024-10-16T14:05:00+00:00,48.4414,48.47,48.4,48.415,10974,1729087799999,2024-10-16T14:09:59.999000+00:00,,253,,
CPB,5m,1729087800000,2024-10-16T14:10:00+00:00,48.4,48.43,48.2686,48.285,8441,1729088099999,2024-10-16T14:14:59.999000+00:00,,183,,
CPB,5m,1729088100000,2024-10-16T14:15:00+00:00,48.27,48.37,48.27,48.37,8528,1729088399999,2024-10-16T14:19:59.999000+00:00,,179,,
CPB,5m,1729088400000,2024-10-16T14:20:00+00:00,48.35,48.35,48.32,48.32,4760,1729088699999,2024-10-16T14:24:59.999000+00:00,,146,,
CPB,5m,1729088700000,2024-10-16T14:25:00+00:00,48.31,48.335,48.31,48.31,6340,1729088999999,2024-10-16T14:29:59.999000+00:00,,166,,
CPB,5m,1729089000000,2024-10-16T14:30:00+00:00,48.3,48.38,48.29,48.37,7070,1729089299999,2024-10-16T14:34:59.999000+00:00,,183,,
CPB,5m,1729089300000,2024-10-16T14:35:00+00:00,48.36,48.49,48.36,48.47,8006,1729089599999,2024-10-16T14:39:59.999000+00:00,,215,,
CPB,5m,1729089600000,2024-10-16T14:40:00+00:00,48.47,48.49,48.46,48.46,5545,1729089899999,2024-10-16T14:44:59.999000+00:00,,169,,
CPB,5m,1729089900000,2024-10-16T14:45:00+00:00,48.45,48.45,48.31,48.31,8386,1729090199999,2024-10-16T14:49:59.999000+00:00,,211,,
CPB,5m,1729090200000,2024-10-16T14:50:00+00:00,48.32,48.34,48.3,48.33,4461,1729090499999,2024-10-16T14:54:59.999000+00:00,,144,,
CPB,5m,1729090500000,2024-10-16T14:55:00+00:00,48.33,48.39,48.33,48.39,4881,1729090799999,2024-10-16T14:59:59.999000+00:00,,176,,
CPB,5m,1729090800000,2024-10-16T15:00:00+00:00,48.38,48.38,48.34,48.35,4325,1729091099999,2024-10-16T15:04:59.999000+00:00,,174,,
CPB,5m,1729091100000,2024-10-16T15:05:00+00:00,48.35,48.36,48.31,48.31,6029,1729091399999,2024-10-16T15:09:59.999000+00:00,,219,,
CPB,5m,1729091400000,2024-10-16T15:10:00+00:00,48.3,48.32,48.27,48.28,5924,1729091699999,2024-10-16T15:14:59.999000+00:00,,181,,
CPB,5m,1729091700000,2024-10-16T15:15:00+00:00,48.285,48.31,48.285,48.3,5535,1729091999999,2024-10-16T15:19:59.999000+00:00,,175,,
CPB,5m,1729092000000,2024-10-16T15:20:00+00:00,48.285,48.3,48.255,48.275,5640,1729092299999,2024-10-16T15:24:59.999000+00:00,,177,,
CPB,5m,1729092300000,2024-10-16T15:25:00+00:00,48.27,48.27,48.23,48.24,9078,1729092599999,2024-10-16T15:29:59.999000+00:00,,236,,
CPB,5m,1729092600000,2024-10-16T15:30:00+00:00,48.25,48.28,48.24,48.28,8421,1729092899999,2024-10-16T15:34:59.999000+00:00,,219,,
CPB,5m,1729092900000,2024-10-16T15:35:00+00:00,48.28,48.29,48.22,48.23,4587,1729093199999,2024-10-16T15:39:59.999000+00:00,,202,,
CPB,5m,1729093200000,2024-10-16T15:40:00+00:00,48.23,48.26,48.22,48.235,7141,1729093499999,2024-10-16T15:44:59.999000+00:00,,212,,
CPB,5m,1729093500000,2024-10-16T15:45:00+00:00,48.24,48.27,48.235,48.235,4390,1729093799999,2024-10-16T15:49:59.999000+00:00,,152,,
