symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CPRT,5m,1729083000000,2024-10-16T12:50:00+00:00,54.9,54.9,54.9,54.9,149,1729083299999,2024-10-16T12:54:59.999000+00:00,,3,,
CPRT,5m,1729084800000,2024-10-16T13:20:00+00:00,54.5,54.5,54.5,54.5,500,1729085099999,2024-10-16T13:24:59.999000+00:00,,2,,
CPRT,5m,1729085400000,2024-10-16T13:30:00+00:00,54.71,54.91,54.46,54.55,91097,1729085699999,2024-10-16T13:34:59.999000+00:00,,495,,
CPRT,5m,1729085700000,2024-10-16T13:35:00+00:00,54.53,54.5347,54.25,54.27,19386,1729085999999,2024-10-16T13:39:59.999000+00:00,,294,,
CPRT,5m,1729086000000,2024-10-16T13:40:00+00:00,54.2301,54.44,54.2301,54.44,15578,1729086299999,2024-10-16T13:44:59.999000+00:00,,274,,
CPRT,5m,1729086300000,2024-10-16T13:45:00+00:00,54.44,54.53,54.34,54.515,66201,1729086599999,2024-10-16T13:49:59.999000+00:00,,571,,
CPRT,5m,1729086600000,2024-10-16T13:50:00+00:00,54.49,54.6,54.465,54.5962,52807,1729086899999,2024-10-16T13:54:59.999000+00:00,,464,,
CPRT,5m,1729086900000,2024-10-16T13:55:00+00:00,54.585,54.65,54.55,54.62,55032,1729087199999,2024-10-16T13:59:59.999000+00:00,,515,,
CPRT,5m,1729087200000,2024-10-16T14:00:00+00:00,54.62,54.63,54.455,54.48,48790,1729087499999,2024-10-16T14:04:59.999000+00:00,,570,,
CPRT,5m,1729087500000,2024-10-16T14:05:00+00:00,54.47,54.64,54.43,54.635,320397,1729087799999,2024-10-16T14:09:59.999000+00:00,,586,,
CPRT,5m,1729087800000,2024-10-16T14:10:00+00:00,54.64,54.7,54.615,54.62,164788,1729088099999,2024-10-16T14:14:59.999000+00:00,,573,,
CPRT,5m,1729088100000,2024-10-16T14:15:00+00:00,54.62,54.71,54.595,54.63,22359,1729088399999,2024-10-16T14:19:59.999000+00:00,,357,,
CPRT,5m,1729088400000,2024-10-16T14:20:00+00:00,54.615,54.69,54.59,54.69,28013,1729088699999,2024-10-16T14:24:59.999000+00:00,,384,,
CPRT,5m,1729088700000,2024-10-16T14:25:00+00:00,54.685,54.75,54.65,54.655,20647,1729088999999,2024-10-16T14:29:59.999000+00:00,,336,,
CPRT,5m,1729089000000,2024-10-16T14:30:00+00:00,54.65,54.67,54.595,54.635,30701,1729089299999,2024-10-16T14:34:59.999000+00:00,,450,,
CPRT,5m,1729089300000,2024-10-16T14:35:00+00:00,54.635,54.665,54.545,54.545,29912,1729089599999,2024-10-16T14:39:59.999000+00:00,,444,,
