symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CPT,5m,1729085400000,2024-10-16T13:30:00+00:00,119.73,120.185,119.73,120.185,5557,1729085699999,2024-10-16T13:34:59.999000+00:00,,90,,
CPT,5m,1729085700000,2024-10-16T13:35:00+00:00,120.72,120.72,120.09,120.17,4439,1729085999999,2024-10-16T13:39:59.999000+00:00,,103,,
CPT,5m,1729086000000,2024-10-16T13:40:00+00:00,120.24,120.545,120.11,120.13,16001,1729086299999,2024-10-16T13:44:59.999000+00:00,,203,,
CPT,5m,1729086300000,2024-10-16T13:45:00+00:00,120.49,120.93,120.49,120.93,1658,1729086599999,2024-10-16T13:49:59.999000+00:00,,55,,
CPT,5m,1729086600000,2024-10-16T13:50:00+00:00,120.855,121.05,120.855,121.05,832,1729086899999,2024-10-16T13:54:59.999000+00:00,,13,,
CPT,5m,1729086900000,2024-10-16T13:55:00+00:00,120.795,121.14,120.795,121.14,1502,1729087199999,2024-10-16T13:59:59.999000+00:00,,62,,
CPT,5m,1729087200000,2024-10-16T14:00:00+00:00,121.05,121.58,121,121.58,12781,1729087499999,2024-10-16T14:04:59.999000+00:00,,220,,
CPT,5m,1729087500000,2024-10-16T14:05:00+00:00,121.5,121.56,121.23,121.38,16730,1729087799999,2024-10-16T14:09:59.999000+00:00,,307,,
CPT,5m,1729087800000,2024-10-16T14:10:00+00:00,121.33,121.35,121.23,121.28,22052,1729088099999,2024-10-16T14:14:59.999000+00:00,,119,,
CPT,5m,1729088100000,2024-10-16T14:15:00+00:00,121.23,121.31,121.19,121.31,3311,1729088399999,2024-10-16T14:19:59.999000+00:00,,94,,
CPT,5m,1729088400000,2024-10-16T14:20:00+00:00,121.18,121.18,121.11,121.155,2162,1729088699999,2024-10-16T14:24:59.999000+00:00,,70,,
CPT,5m,1729088700000,2024-10-16T14:25:00+00:00,121.18,121.18,120.88,120.97,5760,1729088999999,2024-10-16T14:29:59.999000+00:00,,135,,
CPT,5m,1729089000000,2024-10-16T14:30:00+00:00,120.88,120.92,120.87,120.91,2761,1729089299999,2024-10-16T14:34:59.999000+00:00,,84,,
CPT,5m,1729089300000,2024-10-16T14:35:00+00:00,121,121.1,120.98,121,8382,1729089599999,2024-10-16T14:39:59.999000+00:00,,132,,
CPT,5m,1729089600000,2024-10-16T14:40:00+00:00,121.015,121.1,121.015,121.04,2076,1729089899999,2024-10-16T14:44:59.999000+00:00,,49,,
CPT,5m,1729089900000,2024-10-16T14:45:00+00:00,121.035,121.045,120.87,120.93,3787,1729090199999,2024-10-16T14:49:59.999000+00:00,,83,,
CPT,5m,1729090200000,2024-10-16T14:50:00+00:00,121.01,121.15,121,121.115,2909,1729090499999,2024-10-16T14:54:59.999000+00:00,,94,,
CPT,5m,1729090500000,2024-10-16T14:55:00+00:00,121.09,121.32,121.03,121.305,3913,1729090799999,2024-10-16T14:59:59.999000+00:00,,109,,
CPT,5m,1729090800000,2024-10-16T15:00:00+00:00,121.32,121.345,121.22,121.22,1337,1729091099999,2024-10-16T15:04:59.999000+00:00,,73,,
CPT,5m,1729091100000,2024-10-16T15:05:00+00:00,121.19,121.25,121.15,121.245,2589,1729091399999,2024-10-16T15:09:59.999000+00:00,,90,,
CPT,5m,1729091400000,2024-10-16T15:10:00+00:00,121.255,121.255,121.255,121.255,665,1729091699999,2024-10-16T15:14:59.999000+00:00,,21,,
CPT,5m,1729091700000,2024-10-16T15:15:00+00:00,121.32,121.335,121.23,121.28,2941,1729091999999,2024-10-16T15:19:59.999000+00:00,,93,,
