symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CRWD,5m,1729065900000,2024-10-16T08:05:00+00:00,303.93,303.93,303.93,303.93,100,1729066199999,2024-10-16T08:09:59.999000+00:00,,1,,
CRWD,5m,1729067100000,2024-10-16T08:25:00+00:00,303.05,303.05,303.05,303.05,239,1729067399999,2024-10-16T08:29:59.999000+00:00,,21,,
CRWD,5m,1729069500000,2024-10-16T09:05:00+00:00,302.98,302.98,302.98,302.98,267,1729069799999,2024-10-16T09:09:59.999000+00:00,,8,,
CRWD,5m,1729070400000,2024-10-16T09:20:00+00:00,302.99,303,302.99,303,357,1729070699999,2024-10-16T09:24:59.999000+00:00,,6,,
CRWD,5m,1729077900000,2024-10-16T11:25:00+00:00,302.31,302.31,302.31,302.31,3130,1729078199999,2024-10-16T11:29:59.999000+00:00,,27,,
CRWD,5m,1729078800000,2024-10-16T11:40:00+00:00,302.63,302.63,302.63,302.63,256,1729079099999,2024-10-16T11:44:59.999000+00:00,,6,,
CRWD,5m,1729080000000,2024-10-16T12:00:00+00:00,302.8,303.85,302.7,303.065,3477,1729080299999,2024-10-16T12:04:59.999000+00:00,,137,,
CRWD,5m,1729080300000,2024-10-16T12:05:00+00:00,302.84,302.85,302.84,302.85,623,1729080599999,2024-10-16T12:09:59.999000+00:00,,6,,
CRWD,5m,1729081200000,2024-10-16T12:20:00+00:00,302.8,302.8,302.8,302.8,452,1729081499999,2024-10-16T12:24:59.999000+00:00,,19,,
CRWD,5m,1729081500000,2024-10-16T12:25:00+00:00,302.86,302.86,302.75,302.75,1157,1729081799999,2024-10-16T12:29:59.999000+00:00,,8,,
CRWD,5m,1729081800000,2024-10-16T12:30:00+00:00,302.75,302.8,302.75,302.8,331,1729082099999,2024-10-16T12:34:59.999000+00:00,,10,,
CRWD,5m,1729082700000,2024-10-16T12:45:00+00:00,302.9351,302.9351,302.9351,302.9351,105,1729082999999,2024-10-16T12:49:59.999000+00:00,,2,,
CRWD,5m,1729083000000,2024-10-16T12:50:00+00:00,302.6,303,302.6,303,2275,1729083299999,2024-10-16T12:54:59.999000+00:00,,62,,
CRWD,5m,1729083300000,2024-10-16T12:55:00+00:00,303.68,303.68,303.68,303.68,161,1729083599999,2024-10-16T12:59:59.999000+00:00,,4,,
CRWD,5m,1729083900000,2024-10-16T13:05:00+00:00,302.9025,302.9025,302.9025,302.9025,130,1729084199999,2024-10-16T13:09:59.999000+00:00,,3,,
CRWD,5m,1729084500000,2024-10-16T13:15:00+00:00,303,303.4,303,303.21,949,1729084799999,2024-10-16T13:19:59.999000+00:00,,26,,
CRWD,5m,1729085100000,2024-10-16T13:25:00+00:00,303,303,302.6082,302.6082,912,1729085399999,2024-10-16T13:29:59.999000+00:00,,21,,
CRWD,5m,1729085400000,2024-10-16T13:30:00+00:00,303.85,305.48,303.35,304.245,82058,1729085699999,2024-10-16T13:34:59.999000+00:00,,1760,,
CRWD,5m,1729085700000,2024-10-16T13:35:00+00:00,304.2375,304.535,301.56,303.4931,44041,1729085999999,2024-10-16T13:39:59.999000+00:00,,1351,,
CRWD,5m,1729086000000,2024-10-16T13:40:00+00:00,303.38,303.855,300.4,300.4,38941,1729086299999,2024-10-16T13:44:59.999000+00:00,,1233,,
CRWD,5m,1729086300000,2024-10-16T13:45:00+00:00,300.46,302.0554,299.67,301.42,83273,1729086599999,2024-10-16T13:49:59.999000+00:00,,2427,,
CRWD,5m,1729086600000,2024-10-16T13:50:00+00:00,301.15,301.9,300.915,301.76,17837,1729086899999,2024-10-16T13:54:59.999000+00:00,,796,,
CRWD,5m,1729086900000,2024-10-16T13:55:00+00:00,301.84,302,299.81,299.84,46617,1729087199999,2024-10-16T13:59:59.999000+00:00,,1232,,
CRWD,5m,1729087200000,2024-10-16T14:00:00+00:00,299.92,301,299.27,300.91,52738,1729087499999,2024-10-16T14:04:59.999000+00:00,,1381,,
CRWD,5m,1729087500000,2024-10-16T14:05:00+00:00,300.64,301.8199,300.185,301.495,47278,1729087799999,2024-10-16T14:09:59.999000+00:00,,1105,,
CRWD,5m,1729087800000,2024-10-16T14:10:00+00:00,301.45,302.518,301.04,302.41,38372,1729088099999,2024-10-16T14:14:59.999000+00:00,,957,,
CRWD,5m,1729088100000,2024-10-16T14:15:00+00:00,302.37,302.37,300.76,301.16,24706,1729088399999,2024-10-16T14:19:59.999000+00:00,,815,,
CRWD,5m,1729088400000,2024-10-16T14:20:00+00:00,301.2,301.9799,300.7,301.75,24942,1729088699999,2024-10-16T14:24:59.999000+00:00,,799,,
CRWD,5m,1729088700000,2024-10-16T14:25:00+00:00,301.785,302.4,301.43,302.29,17503,1729088999999,2024-10-16T14:29:59.999000+00:00,,645,,
CRWD,5m,1729089000000,2024-10-16T14:30:00+00:00,302.47,303.2999,302.4,303.16,29717,1729089299999,2024-10-16T14:34:59.999000+00:00,,861,,
CRWD,5m,1729089300000,2024-10-16T14:35:00+00:00,303.1,303.6691,302.48,302.5125,57327,1729089599999,2024-10-16T14:39:59.999000+00:00,,1355,,
CRWD,5m,1729089600000,2024-10-16T14:40:00+00:00,302.64,302.85,302.01,302.7778,20315,1729089899999,2024-10-16T14:44:59.999000+00:00,,650,,
CRWD,5m,1729089900000,2024-10-16T14:45:00+00:00,302.8,304.25,302.65,303.715,34739,1729090199999,2024-10-16T14:49:59.999000+00:00,,908,,
CRWD,5m,1729090200000,2024-10-16T14:50:00+00:00,303.745,304.62,303.65,304.2704,39951,1729090499999,2024-10-16T14:54:59.999000+00:00,,1071,,
CRWD,5m,1729090500000,2024-10-16T14:55:00+00:00,304.21,304.3,303.79,304.2791,19706,1729090799999,2024-10-16T14:59:59.999000+00:00,,672,,
CRWD,5m,1729090800000,2024-10-16T15:00:00+00:00,304.3297,304.82,304.0301,304.8,22857,1729091099999,2024-10-16T15:04:59.999000+00:00,,768,,
CRWD,5m,1729091100000,2024-10-16T15:05:00+00:00,304.78,305.51,304.3813,304.865,35616,1729091399999,2024-10-16T15:09:59.999000+00:00,,1043,,
CRWD,5m,1729091400000,2024-10-16T15:10:00+00:00,304.875,305.3,304.53,304.83,15276,1729091699999,2024-10-16T15:14:59.999000+00:00,,753,,
CRWD,5m,1729091700000,2024-10-16T15:15:00+00:00,304.81,305.396,304.51,304.51,22244,1729091999999,2024-10-16T15:19:59.999000+00:00,,658,,
