symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CSCO,5m,1729065600000,2024-10-16T08:00:00+00:00,54.58,54.85,54.54,54.85,16073,1729065899999,2024-10-16T08:04:59.999000+00:00,,62,,
CSCO,5m,1729065900000,2024-10-16T08:05:00+00:00,54.79,54.8,54.79,54.8,1364,1729066199999,2024-10-16T08:09:59.999000+00:00,,8,,
CSCO,5m,1729066200000,2024-10-16T08:10:00+00:00,54.81,54.84,54.81,54.84,351,1729066499999,2024-10-16T08:14:59.999000+00:00,,4,,
CSCO,5m,1729066500000,2024-10-16T08:15:00+00:00,54.84,54.84,54.84,54.84,300,1729066799999,2024-10-16T08:19:59.999000+00:00,,3,,
CSCO,5m,1729067100000,2024-10-16T08:25:00+00:00,54.85,54.89,54.84,54.84,1000,1729067399999,2024-10-16T08:29:59.999000+00:00,,6,,
CSCO,5m,1729068000000,2024-10-16T08:40:00+00:00,54.85,54.85,54.85,54.85,485,1729068299999,2024-10-16T08:44:59.999000+00:00,,7,,
CSCO,5m,1729068300000,2024-10-16T08:45:00+00:00,54.85,54.85,54.85,54.85,615,1729068599999,2024-10-16T08:49:59.999000+00:00,,6,,
CSCO,5m,1729068600000,2024-10-16T08:50:00+00:00,54.85,54.85,54.85,54.85,200,1729068899999,2024-10-16T08:54:59.999000+00:00,,1,,
CSCO,5m,1729068900000,2024-10-16T08:55:00+00:00,54.85,54.85,54.85,54.85,151,1729069199999,2024-10-16T08:59:59.999000+00:00,,3,,
CSCO,5m,1729069200000,2024-10-16T09:00:00+00:00,54.89,54.9,54.89,54.9,1636,1729069499999,2024-10-16T09:04:59.999000+00:00,,15,,
CSCO,5m,1729069800000,2024-10-16T09:10:00+00:00,54.94,54.97,54.94,54.97,2400,1729070099999,2024-10-16T09:14:59.999000+00:00,,10,,
CSCO,5m,1729070100000,2024-10-16T09:15:00+00:00,54.97,54.97,54.97,54.97,2621,1729070399999,2024-10-16T09:19:59.999000+00:00,,15,,
CSCO,5m,1729070400000,2024-10-16T09:20:00+00:00,54.97,54.97,54.97,54.97,100,1729070699999,2024-10-16T09:24:59.999000+00:00,,1,,
CSCO,5m,1729071000000,2024-10-16T09:30:00+00:00,54.91,54.91,54.91,54.91,196,1729071299999,2024-10-16T09:34:59.999000+00:00,,2,,
CSCO,5m,1729071300000,2024-10-16T09:35:00+00:00,54.91,54.91,54.89,54.89,2579,1729071599999,2024-10-16T09:39:59.999000+00:00,,21,,
CSCO,5m,1729072500000,2024-10-16T09:55:00+00:00,54.93,54.99,54.93,54.98,8491,1729072799999,2024-10-16T09:59:59.999000+00:00,,32,,
CSCO,5m,1729072800000,2024-10-16T10:00:00+00:00,54.98,54.99,54.98,54.99,300,1729073099999,2024-10-16T10:04:59.999000+00:00,,2,,
CSCO,5m,1729073100000,2024-10-16T10:05:00+00:00,54.92,54.95,54.92,54.95,685,1729073399999,2024-10-16T10:09:59.999000+00:00,,5,,
CSCO,5m,1729074000000,2024-10-16T10:20:00+00:00,54.93,55,54.93,54.99,10342,1729074299999,2024-10-16T10:24:59.999000+00:00,,58,,
CSCO,5m,1729075200000,2024-10-16T10:40:00+00:00,55.01,55.04,55.01,55.03,1501,1729075499999,2024-10-16T10:44:59.999000+00:00,,10,,
CSCO,5m,1729075800000,2024-10-16T10:50:00+00:00,54.99,54.99,54.95,54.96,1881,1729076099999,2024-10-16T10:54:59.999000+00:00,,26,,
CSCO,5m,1729076100000,2024-10-16T10:55:00+00:00,54.94,55.04,54.94,55.04,4910,1729076399999,2024-10-16T10:59:59.999000+00:00,,23,,
CSCO,5m,1729076400000,2024-10-16T11:00:00+00:00,55,55,54.92,54.92,3715,1729076699999,2024-10-16T11:04:59.999000+00:00,,62,,
CSCO,5m,1729076700000,2024-10-16T11:05:00+00:00,54.94,54.98,54.94,54.96,2530,1729076999999,2024-10-16T11:09:59.999000+00:00,,10,,
CSCO,5m,1729077000000,2024-10-16T11:10:00+00:00,54.96,54.98,54.96,54.98,1076,1729077299999,2024-10-16T11:14:59.999000+00:00,,14,,
CSCO,5m,1729077300000,2024-10-16T11:15:00+00:00,54.98,54.98,54.97,54.98,1900,1729077599999,2024-10-16T11:19:59.999000+00:00,,8,,
CSCO,5m,1729077600000,2024-10-16T11:20:00+00:00,54.98,54.98,54.98,54.98,500,1729077899999,2024-10-16T11:24:59.999000+00:00,,1,,
CSCO,5m,1729077900000,2024-10-16T11:25:00+00:00,54.98,54.98,54.92,54.92,818,1729078199999,2024-10-16T11:29:59.999000+00:00,,28,,
CSCO,5m,1729078200000,2024-10-16T11:30:00+00:00,54.94,54.96,54.94,54.96,1492,1729078499999,2024-10-16T11:34:59.999000+00:00,,8,,
CSCO,5m,1729078500000,2024-10-16T11:35:00+00:00,54.98,55,54.98,55,4182,1729078799999,2024-10-16T11:39:59.999000+00:00,,53,,
CSCO,5m,1729078800000,2024-10-16T11:40:00+00:00,54.98,55.01,54.97,55.01,20763,1729079099999,2024-10-16T11:44:59.999000+00:00,,122,,
CSCO,5m,1729079100000,2024-10-16T11:45:00+00:00,55.03,55.09,55.03,55.07,3658,1729079399999,2024-10-16T11:49:59.999000+00:00,,51,,
CSCO,5m,1729079400000,2024-10-16T11:50:00+00:00,55.05,55.06,55.05,55.06,1522,1729079699999,2024-10-16T11:54:59.999000+00:00,,5,,
CSCO,5m,1729079700000,2024-10-16T11:55:00+00:00,55.06,55.09,55.06,55.08,2008,1729079999999,2024-10-16T11:59:59.999000+00:00,,18,,
CSCO,5m,1729080000000,2024-10-16T12:00:00+00:00,54.93,55.18,54.18,55.11,31734,1729080299999,2024-10-16T12:04:59.999000+00:00,,228,,
CSCO,5m,1729080300000,2024-10-16T12:05:00+00:00,55.08,55.12,55.06,55.1,3871,1729080599999,2024-10-16T12:09:59.999000+00:00,,48,,
CSCO,5m,1729080600000,2024-10-16T12:10:00+00:00,55.1,55.12,55.1,55.12,6656,1729080899999,2024-10-16T12:14:59.999000+00:00,,49,,
CSCO,5m,1729080900000,2024-10-16T12:15:00+00:00,55.12,55.14,55.12,55.14,4290,1729081199999,2024-10-16T12:19:59.999000+00:00,,47,,
CSCO,5m,1729081200000,2024-10-16T12:20:00+00:00,55.12,55.138,55.09,55.1,7238,1729081499999,2024-10-16T12:24:59.999000+00:00,,30,,
CSCO,5m,1729081500000,2024-10-16T12:25:00+00:00,55.1,55.1,55.1,55.1,2640,1729081799999,2024-10-16T12:29:59.999000+00:00,,14,,
CSCO,5m,1729081800000,2024-10-16T12:30:00+00:00,55.1,55.1391,55.1,55.1391,7306,1729082099999,2024-10-16T12:34:59.999000+00:00,,74,,
CSCO,5m,1729082100000,2024-10-16T12:35:00+00:00,55.1,55.14,55.1,55.13,4742,1729082399999,2024-10-16T12:39:59.999000+00:00,,45,,
CSCO,5m,1729082400000,2024-10-16T12:40:00+00:00,55.1385,55.2,55.13,55.14,34245,1729082699999,2024-10-16T12:44:59.999000+00:00,,183,,
CSCO,5m,1729082700000,2024-10-16T12:45:00+00:00,55.15,55.18,55.1,55.166,10176,1729082999999,2024-10-16T12:49:59.999000+00:00,,72,,
