symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CSGP,5m,1729082400000,2024-10-16T12:40:00+00:00,78,78.08,77.76,77.76,1348,1729082699999,2024-10-16T12:44:59.999000+00:00,,101,,
CSGP,5m,1729082700000,2024-10-16T12:45:00+00:00,77.95,78.54,77.95,78.21,8953,1729082999999,2024-10-16T12:49:59.999000+00:00,,213,,
CSGP,5m,1729083000000,2024-10-16T12:50:00+00:00,77.86,78.99,77.86,77.88,13931,1729083299999,2024-10-16T12:54:59.999000+00:00,,291,,
CSGP,5m,1729083300000,2024-10-16T12:55:00+00:00,77.92,78.03,77.92,78,5612,1729083599999,2024-10-16T12:59:59.999000+00:00,,115,,
CSGP,5m,1729085100000,2024-10-16T13:25:00+00:00,78.6,78.6,78.6,78.6,270,1729085399999,2024-10-16T13:29:59.999000+00:00,,4,,
CSGP,5m,1729085400000,2024-10-16T13:30:00+00:00,78.28,78.77,78.02,78.02,21352,1729085699999,2024-10-16T13:34:59.999000+00:00,,138,,
CSGP,5m,1729085700000,2024-10-16T13:35:00+00:00,78.145,78.2871,77.985,78.04,2630,1729085999999,2024-10-16T13:39:59.999000+00:00,,74,,
CSGP,5m,1729086000000,2024-10-16T13:40:00+00:00,78.05,78.24,78.05,78.135,2475,1729086299999,2024-10-16T13:44:59.999000+00:00,,69,,
CSGP,5m,1729086300000,2024-10-16T13:45:00+00:00,78.24,78.66,78.14,78.45,21827,1729086599999,2024-10-16T13:49:59.999000+00:00,,208,,
CSGP,5m,1729086600000,2024-10-16T13:50:00+00:00,78.42,78.466589,78.03,78.03,7140,1729086899999,2024-10-16T13:54:59.999000+00:00,,178,,
CSGP,5m,1729086900000,2024-10-16T13:55:00+00:00,77.975,78.27,77.975,78.185,6616,1729087199999,2024-10-16T13:59:59.999000+00:00,,204,,
CSGP,5m,1729087200000,2024-10-16T14:00:00+00:00,78.17,78.17,77.53,77.62,20158,1729087499999,2024-10-16T14:04:59.999000+00:00,,407,,
CSGP,5m,1729087500000,2024-10-16T14:05:00+00:00,77.65,77.83,77.54,77.795,10564,1729087799999,2024-10-16T14:09:59.999000+00:00,,265,,
CSGP,5m,1729087800000,2024-10-16T14:10:00+00:00,77.795,77.795,77.28,77.3,16354,1729088099999,2024-10-16T14:14:59.999000+00:00,,386,,
CSGP,5m,1729088100000,2024-10-16T14:15:00+00:00,77.305,77.63,77.305,77.63,15023,1729088399999,2024-10-16T14:19:59.999000+00:00,,333,,
CSGP,5m,1729088400000,2024-10-16T14:20:00+00:00,77.6,77.6,77.365,77.45,16348,1729088699999,2024-10-16T14:24:59.999000+00:00,,349,,
CSGP,5m,1729088700000,2024-10-16T14:25:00+00:00,77.45,77.5185,77.32,77.32,20551,1729088999999,2024-10-16T14:29:59.999000+00:00,,309,,
CSGP,5m,1729089000000,2024-10-16T14:30:00+00:00,77.295,77.295,77.135,77.165,17155,1729089299999,2024-10-16T14:34:59.999000+00:00,,317,,
CSGP,5m,1729089300000,2024-10-16T14:35:00+00:00,77.18,77.29,77,77.275,38059,1729089599999,2024-10-16T14:39:59.999000+00:00,,418,,
CSGP,5m,1729089600000,2024-10-16T14:40:00+00:00,77.275,77.275,76.8,76.84,13044,1729089899999,2024-10-16T14:44:59.999000+00:00,,246,,
CSGP,5m,1729089900000,2024-10-16T14:45:00+00:00,76.8,76.85,76.695,76.73,10784,1729090199999,2024-10-16T14:49:59.999000+00:00,,248,,
CSGP,5m,1729090200000,2024-10-16T14:50:00+00:00,76.735,77,76.735,76.88,11126,1729090499999,2024-10-16T14:54:59.999000+00:00,,274,,
CSGP,5m,1729090500000,2024-10-16T14:55:00+00:00,76.88,77.15,76.82,77.15,31024,1729090799999,2024-10-16T14:59:59.999000+00:00,,430,,
CSGP,5m,1729090800000,2024-10-16T15:00:00+00:00,77.155,77.22,76.97,77.03,20618,1729091099999,2024-10-16T15:04:59.999000+00:00,,366,,
CSGP,5m,1729091100000,2024-10-16T15:05:00+00:00,77.02,77.26,77.01,77.235,11109,1729091399999,2024-10-16T15:09:59.999000+00:00,,235,,
CSGP,5m,1729091400000,2024-10-16T15:10:00+00:00,77.25,77.34,77.19,77.195,17294,1729091699999,2024-10-16T15:14:59.999000+00:00,,284,,
CSGP,5m,1729091700000,2024-10-16T15:15:00+00:00,77.16,77.2,77,77.025,10365,1729091999999,2024-10-16T15:19:59.999000+00:00,,188,,
CSGP,5m,1729092000000,2024-10-16T15:20:00+00:00,77.01,77.09,77,77.01,14922,1729092299999,2024-10-16T15:24:59.999000+00:00,,197,,
CSGP,5m,1729092300000,2024-10-16T15:25:00+00:00,77.03,77.11,77,77.1,12336,1729092599999,2024-10-16T15:29:59.999000+00:00,,254,,
CSGP,5m,1729092600000,2024-10-16T15:30:00+00:00,77.12,77.24,77.12,77.2,15682,1729092899999,2024-10-16T15:34:59.999000+00:00,,283,,
CSGP,5m,1729092900000,2024-10-16T15:35:00+00:00,77.195,77.195,77.04,77.11,18810,1729093199999,2024-10-16T15:39:59.999000+00:00,,315,,
CSGP,5m,1729093200000,2024-10-16T15:40:00+00:00,77.11,77.14,77.01,77.055,10308,1729093499999,2024-10-16T15:44:59.999000+00:00,,211,,
CSGP,5m,1729093500000,2024-10-16T15:45:00+00:00,77.05,77.13,76.98,77.12,15381,1729093799999,2024-10-16T15:49:59.999000+00:00,,266,,
CSGP,5m,1729093800000,2024-10-16T15:50:00+00:00,77.095,77.095,76.99,77.01,15684,1729094099999,2024-10-16T15:54:59.999000+00:00,,334,,
CSGP,5m,1729094100000,2024-10-16T15:55:00+00:00,77.005,77.07,76.96,77.02,20234,1729094399999,2024-10-16T15:59:59.999000+00:00,,350,,
CSGP,5m,1729094400000,2024-10-16T16:00:00+00:00,77.025,77.12,77.01,77.07,13046,1729094699999,2024-10-16T16:04:59.999000+00:00,,232,,
CSGP,5m,1729094700000,2024-10-16T16:05:00+00:00,77.07,77.07,76.83,76.86,18941,1729094999999,2024-10-16T16:09:59.999000+00:00,,390,,
CSGP,5m,1729095000000,2024-10-16T16:10:00+00:00,76.86,76.89,76.71,76.71,10469,1729095299999,2024-10-16T16:14:59.999000+00:00,,236,,
CSGP,5m,1729095300000,2024-10-16T16:15:00+00:00,76.705,76.85,76.705,76.83,25345,1729095599999,2024-10-16T16:19:59.999000+00:00,,452,,
CSGP,5m,1729095600000,2024-10-16T16:20:00+00:00,76.835,76.85,76.72,76.72,19875,1729095899999,2024-10-16T16:24:59.999000+00:00,,364,,
CSGP,5m,1729095900000,2024-10-16T16:25:00+00:00,76.71,76.8,76.69,76.77,12318,1729096199999,2024-10-16T16:29:59.999000+00:00,,251,,
CSGP,5m,1729096200000,2024-10-16T16:30:00+00:00,76.775,76.8,76.67,76.705,12277,1729096499999,2024-10-16T16:34:59.999000+00:00,,241,,
CSGP,5m,1729096500000,2024-10-16T16:35:00+00:00,76.705,76.84,76.69,76.825,20512,1729096799999,2024-10-16T16:39:59.999000+00:00,,377,,
CSGP,5m,1729096800000,2024-10-16T16:40:00+00:00,76.85,76.86,76.72,76.745,37066,1729097099999,2024-10-16T16:44:59.999000+00:00,,630,,
CSGP,5m,1729097100000,2024-10-16T16:45:00+00:00,76.72,76.74,76.58,76.65,23830,1729097399999,2024-10-16T16:49:59.999000+00:00,,419,,
CSGP,5m,1729097400000,2024-10-16T16:50:00+00:00,76.66,76.67,76.53,76.6,16417,1729097699999,2024-10-16T16:54:59.999000+00:00,,335,,
CSGP,5m,1729097700000,2024-10-16T16:55:00+00:00,76.6,76.655,76.54,76.63,21756,1729097999999,2024-10-16T16:59:59.999000+00:00,,338,,
CSGP,5m,1729098000000,2024-10-16T17:00:00+00:00,76.64,76.78,76.47,76.5,99614,1729098299999,2024-10-16T17:04:59.999000+00:00,,811,,
CSGP,5m,1729098300000,2024-10-16T17:05:00+00:00,76.5,76.63,76.41,76.61,30896,1729098599999,2024-10-16T17:09:59.999000+00:00,,490,,
CSGP,5m,1729098600000,2024-10-16T17:10:00+00:00,76.6,76.65,76.58,76.59,10152,1729098899999,2024-10-16T17:14:59.999000+00:00,,234,,
CSGP,5m,1729098900000,2024-10-16T17:15:00+00:00,76.58,76.64,76.57,76.57,21791,1729099199999,2024-10-16T17:19:59.999000+00:00,,417,,
CSGP,5m,1729099200000,2024-10-16T17:20:00+00:00,76.58,76.59,76.27,76.38,17304,1729099499999,2024-10-16T17:24:59.999000+00:00,,377,,
CSGP,5m,1729099500000,2024-10-16T17:25:00+00:00,76.36,76.44,76.21,76.23,12549,1729099799999,2024-10-16T17:29:59.999000+00:00,,283,,
CSGP,5m,1729099800000,2024-10-16T17:30:00+00:00,76.25,76.32,76.24,76.31,8895,1729100099999,2024-10-16T17:34:59.999000+00:00,,232,,
CSGP,5m,1729100100000,2024-10-16T17:35:00+00:00,76.37,76.63,76.3,76.63,376552,1729100399999,2024-10-16T17:39:59.999000+00:00,,216,,
