symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CTAS,5m,1729077300000,2024-10-16T11:15:00+00:00,210.69,210.69,210.69,210.69,300,1729077599999,2024-10-16T11:19:59.999000+00:00,,2,,
CTAS,5m,1729079100000,2024-10-16T11:45:00+00:00,211.5,211.5,211.5,211.5,550,1729079399999,2024-10-16T11:49:59.999000+00:00,,5,,
CTAS,5m,1729084200000,2024-10-16T13:10:00+00:00,211,211,211,211,160,1729084499999,2024-10-16T13:14:59.999000+00:00,,1,,
CTAS,5m,1729085100000,2024-10-16T13:25:00+00:00,211,211,211,211,619,1729085399999,2024-10-16T13:29:59.999000+00:00,,12,,
CTAS,5m,1729085400000,2024-10-16T13:30:00+00:00,210.82,212.17,210.82,211.04,30806,1729085699999,2024-10-16T13:34:59.999000+00:00,,310,,
CTAS,5m,1729085700000,2024-10-16T13:35:00+00:00,211.145,211.145,210.84,211.135,4303,1729085999999,2024-10-16T13:39:59.999000+00:00,,158,,
CTAS,5m,1729086000000,2024-10-16T13:40:00+00:00,211.12,211.61,210.975,211.6,5475,1729086299999,2024-10-16T13:44:59.999000+00:00,,178,,
CTAS,5m,1729086300000,2024-10-16T13:45:00+00:00,211.6,211.66,211.2942,211.41,4165,1729086599999,2024-10-16T13:49:59.999000+00:00,,129,,
CTAS,5m,1729086600000,2024-10-16T13:50:00+00:00,211.31,211.53,211.0548,211.42,6397,1729086899999,2024-10-16T13:54:59.999000+00:00,,195,,
CTAS,5m,1729086900000,2024-10-16T13:55:00+00:00,211.67,212.19,211.51,212.02,17262,1729087199999,2024-10-16T13:59:59.999000+00:00,,387,,
CTAS,5m,1729087200000,2024-10-16T14:00:00+00:00,211.995,212.15,211.89,212.1396,12049,1729087499999,2024-10-16T14:04:59.999000+00:00,,345,,
CTAS,5m,1729087500000,2024-10-16T14:05:00+00:00,212.07,212.22,212.065,212.21,4112,1729087799999,2024-10-16T14:09:59.999000+00:00,,198,,
CTAS,5m,1729087800000,2024-10-16T14:10:00+00:00,212.22,212.22,211.8763,211.92,7739,1729088099999,2024-10-16T14:14:59.999000+00:00,,287,,
CTAS,5m,1729088100000,2024-10-16T14:15:00+00:00,211.96,212.4675,211.96,212.3625,8731,1729088399999,2024-10-16T14:19:59.999000+00:00,,343,,
CTAS,5m,1729088400000,2024-10-16T14:20:00+00:00,212.365,212.37,212.1601,212.315,6402,1729088699999,2024-10-16T14:24:59.999000+00:00,,267,,
CTAS,5m,1729088700000,2024-10-16T14:25:00+00:00,212.47,212.488,212.2901,212.39,8293,1729088999999,2024-10-16T14:29:59.999000+00:00,,251,,
CTAS,5m,1729089000000,2024-10-16T14:30:00+00:00,212.385,212.385,212.18,212.29,6967,1729089299999,2024-10-16T14:34:59.999000+00:00,,225,,
CTAS,5m,1729089300000,2024-10-16T14:35:00+00:00,212.37,212.388,212.23,212.29,4529,1729089599999,2024-10-16T14:39:59.999000+00:00,,216,,
CTAS,5m,1729089600000,2024-10-16T14:40:00+00:00,212.21,212.26,212.01,212.1,6457,1729089899999,2024-10-16T14:44:59.999000+00:00,,234,,
CTAS,5m,1729089900000,2024-10-16T14:45:00+00:00,212.11,212.2,211.93,212.1889,16077,1729090199999,2024-10-16T14:49:59.999000+00:00,,420,,
CTAS,5m,1729090200000,2024-10-16T14:50:00+00:00,212.21,212.3286,212.17,212.275,15213,1729090499999,2024-10-16T14:54:59.999000+00:00,,226,,
