symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CTRA,5m,1729079700000,2024-10-16T11:55:00+00:00,24.13,24.13,24.13,24.13,310,1729079999999,2024-10-16T11:59:59.999000+00:00,,1,,
CTRA,5m,1729080600000,2024-10-16T12:10:00+00:00,24.1,24.1,24.1,24.1,286,1729080899999,2024-10-16T12:14:59.999000+00:00,,2,,
CTRA,5m,1729083600000,2024-10-16T13:00:00+00:00,24,24,24,24,725,1729083899999,2024-10-16T13:04:59.999000+00:00,,1,,
CTRA,5m,1729085400000,2024-10-16T13:30:00+00:00,24.23,24.29,24.21,24.28,56839,1729085699999,2024-10-16T13:34:59.999000+00:00,,335,,
CTRA,5m,1729085700000,2024-10-16T13:35:00+00:00,24.3,24.3,24.21,24.26,23733,1729085999999,2024-10-16T13:39:59.999000+00:00,,295,,
CTRA,5m,1729086000000,2024-10-16T13:40:00+00:00,24.26,24.26,24.205,24.235,17800,1729086299999,2024-10-16T13:44:59.999000+00:00,,371,,
CTRA,5m,1729086300000,2024-10-16T13:45:00+00:00,24.23,24.26,24.2,24.21,21017,1729086599999,2024-10-16T13:49:59.999000+00:00,,317,,
CTRA,5m,1729086600000,2024-10-16T13:50:00+00:00,24.2,24.2,24.13,24.15,17898,1729086899999,2024-10-16T13:54:59.999000+00:00,,301,,
CTRA,5m,1729086900000,2024-10-16T13:55:00+00:00,24.15,24.19,24.13,24.16,14350,1729087199999,2024-10-16T13:59:59.999000+00:00,,275,,
CTRA,5m,1729087200000,2024-10-16T14:00:00+00:00,24.17,24.18,24.11,24.11,20740,1729087499999,2024-10-16T14:04:59.999000+00:00,,352,,
CTRA,5m,1729087500000,2024-10-16T14:05:00+00:00,24.11,24.125,24.08,24.115,25996,1729087799999,2024-10-16T14:09:59.999000+00:00,,465,,
CTRA,5m,1729087800000,2024-10-16T14:10:00+00:00,24.11,24.1198,24.055,24.055,44467,1729088099999,2024-10-16T14:14:59.999000+00:00,,514,,
CTRA,5m,1729088100000,2024-10-16T14:15:00+00:00,24.055,24.125,24.04,24.115,32914,1729088399999,2024-10-16T14:19:59.999000+00:00,,448,,
CTRA,5m,1729088400000,2024-10-16T14:20:00+00:00,24.115,24.115,24.07,24.075,23503,1729088699999,2024-10-16T14:24:59.999000+00:00,,430,,
CTRA,5m,1729088700000,2024-10-16T14:25:00+00:00,24.065,24.09,24.045,24.045,38598,1729088999999,2024-10-16T14:29:59.999000+00:00,,526,,
CTRA,5m,1729089000000,2024-10-16T14:30:00+00:00,24.04,24.06,24.01,24.01,63783,1729089299999,2024-10-16T14:34:59.999000+00:00,,569,,
CTRA,5m,1729089300000,2024-10-16T14:35:00+00:00,24.01,24.01,23.985,23.985,53900,1729089599999,2024-10-16T14:39:59.999000+00:00,,781,,
CTRA,5m,1729089600000,2024-10-16T14:40:00+00:00,23.98,23.99,23.955,23.98,34177,1729089899999,2024-10-16T14:44:59.999000+00:00,,575,,
CTRA,5m,1729089900000,2024-10-16T14:45:00+00:00,23.99,24.025,23.985,24.025,16615,1729090199999,2024-10-16T14:49:59.999000+00:00,,289,,
CTRA,5m,1729090200000,2024-10-16T14:50:00+00:00,24.03,24.05,24.01,24.04,56915,1729090499999,2024-10-16T14:54:59.999000+00:00,,470,,
CTRA,5m,1729090500000,2024-10-16T14:55:00+00:00,24.045,24.08,24.04,24.08,17196,1729090799999,2024-10-16T14:59:59.999000+00:00,,300,,
CTRA,5m,1729090800000,2024-10-16T15:00:00+00:00,24.08,24.08,23.98,23.98,29282,1729091099999,2024-10-16T15:04:59.999000+00:00,,453,,
CTRA,5m,1729091100000,2024-10-16T15:05:00+00:00,23.985,23.985,23.95,23.965,34283,1729091399999,2024-10-16T15:09:59.999000+00:00,,470,,
CTRA,5m,1729091400000,2024-10-16T15:10:00+00:00,23.9695,23.985,23.91,23.915,48462,1729091699999,2024-10-16T15:14:59.999000+00:00,,619,,
CTRA,5m,1729091700000,2024-10-16T15:15:00+00:00,23.92,23.94,23.92,23.9207,33928,1729091999999,2024-10-16T15:19:59.999000+00:00,,432,,
CTRA,5m,1729092000000,2024-10-16T15:20:00+00:00,23.92,23.945,23.88,23.945,56511,1729092299999,2024-10-16T15:24:59.999000+00:00,,603,,
CTRA,5m,1729092300000,2024-10-16T15:25:00+00:00,23.945,23.96,23.935,23.935,36572,1729092599999,2024-10-16T15:29:59.999000+00:00,,367,,
CTRA,5m,1729092600000,2024-10-16T15:30:00+00:00,23.935,23.96,23.93,23.945,47192,1729092899999,2024-10-16T15:34:59.999000+00:00,,382,,
CTRA,5m,1729092900000,2024-10-16T15:35:00+00:00,23.95,23.96,23.93,23.95,23871,1729093199999,2024-10-16T15:39:59.999000+00:00,,338,,
CTRA,5m,1729093200000,2024-10-16T15:40:00+00:00,23.955,23.96,23.925,23.93,19226,1729093499999,2024-10-16T15:44:59.999000+00:00,,278,,
CTRA,5m,1729093500000,2024-10-16T15:45:00+00:00,23.935,23.94,23.914,23.93,20199,1729093799999,2024-10-16T15:49:59.999000+00:00,,303,,
CTRA,5m,1729093800000,2024-10-16T15:50:00+00:00,23.935,23.97,23.93,23.965,27768,1729094099999,2024-10-16T15:54:59.999000+00:00,,338,,
CTRA,5m,1729094100000,2024-10-16T15:55:00+00:00,23.965,23.98,23.96,23.965,20772,1729094399999,2024-10-16T15:59:59.999000+00:00,,341,,
CTRA,5m,1729094400000,2024-10-16T16:00:00+00:00,23.965,23.985,23.94,23.94,27049,1729094699999,2024-10-16T16:04:59.999000+00:00,,307,,
