symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CTSH,5m,1729085400000,2024-10-16T13:30:00+00:00,77.48,77.605,77.38,77.52,28089,1729085699999,2024-10-16T13:34:59.999000+00:00,,167,,
CTSH,5m,1729085700000,2024-10-16T13:35:00+00:00,77.604,77.69,77.35,77.43,4922,1729085999999,2024-10-16T13:39:59.999000+00:00,,105,,
CTSH,5m,1729086000000,2024-10-16T13:40:00+00:00,77.52,77.64,77.52,77.64,4739,1729086299999,2024-10-16T13:44:59.999000+00:00,,110,,
CTSH,5m,1729086300000,2024-10-16T13:45:00+00:00,77.68,77.71,77.605,77.71,7558,1729086599999,2024-10-16T13:49:59.999000+00:00,,230,,
CTSH,5m,1729086600000,2024-10-16T13:50:00+00:00,77.68,77.72,77.51,77.51,13311,1729086899999,2024-10-16T13:54:59.999000+00:00,,325,,
CTSH,5m,1729086900000,2024-10-16T13:55:00+00:00,77.49,77.66,77.49,77.66,12889,1729087199999,2024-10-16T13:59:59.999000+00:00,,279,,
CTSH,5m,1729087200000,2024-10-16T14:00:00+00:00,77.67,77.7,77.6,77.625,10499,1729087499999,2024-10-16T14:04:59.999000+00:00,,263,,
CTSH,5m,1729087500000,2024-10-16T14:05:00+00:00,77.625,77.75,77.61,77.72,12890,1729087799999,2024-10-16T14:09:59.999000+00:00,,344,,
CTSH,5m,1729087800000,2024-10-16T14:10:00+00:00,77.71,77.71,77.565,77.58,7773,1729088099999,2024-10-16T14:14:59.999000+00:00,,247,,
CTSH,5m,1729088100000,2024-10-16T14:15:00+00:00,77.565,77.68,77.5501,77.66,10121,1729088399999,2024-10-16T14:19:59.999000+00:00,,297,,
CTSH,5m,1729088400000,2024-10-16T14:20:00+00:00,77.66,77.67,77.49,77.57,13183,1729088699999,2024-10-16T14:24:59.999000+00:00,,409,,
CTSH,5m,1729088700000,2024-10-16T14:25:00+00:00,77.575,77.64,77.55,77.61,8711,1729088999999,2024-10-16T14:29:59.999000+00:00,,265,,
CTSH,5m,1729089000000,2024-10-16T14:30:00+00:00,77.6,77.74,77.595,77.735,6174,1729089299999,2024-10-16T14:34:59.999000+00:00,,186,,
CTSH,5m,1729089300000,2024-10-16T14:35:00+00:00,77.735,77.81,77.708,77.75,15650,1729089599999,2024-10-16T14:39:59.999000+00:00,,340,,
CTSH,5m,1729089600000,2024-10-16T14:40:00+00:00,77.73,77.73,77.69,77.71,13806,1729089899999,2024-10-16T14:44:59.999000+00:00,,269,,
CTSH,5m,1729089900000,2024-10-16T14:45:00+00:00,77.7,77.71,77.63,77.64,7836,1729090199999,2024-10-16T14:49:59.999000+00:00,,228,,
CTSH,5m,1729090200000,2024-10-16T14:50:00+00:00,77.64,77.695,77.635,77.66,7827,1729090499999,2024-10-16T14:54:59.999000+00:00,,270,,
CTSH,5m,1729090500000,2024-10-16T14:55:00+00:00,77.62,77.62,77.52,77.57,7354,1729090799999,2024-10-16T14:59:59.999000+00:00,,231,,
CTSH,5m,1729090800000,2024-10-16T15:00:00+00:00,77.56,77.59,77.51,77.54,24907,1729091099999,2024-10-16T15:04:59.999000+00:00,,302,,
