symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
CTVA,5m,1729074000000,2024-10-16T10:20:00+00:00,57.96,58.36,57.96,58.35,2496,1729074299999,2024-10-16T10:24:59.999000+00:00,,25,,
CTVA,5m,1729074300000,2024-10-16T10:25:00+00:00,58.35,58.35,58.34,58.34,1489,1729074599999,2024-10-16T10:29:59.999000+00:00,,8,,
CTVA,5m,1729075200000,2024-10-16T10:40:00+00:00,58.27,58.28,58.27,58.28,205,1729075499999,2024-10-16T10:44:59.999000+00:00,,7,,
CTVA,5m,1729076700000,2024-10-16T11:05:00+00:00,58.17,58.17,58.17,58.17,390,1729076999999,2024-10-16T11:09:59.999000+00:00,,3,,
CTVA,5m,1729077600000,2024-10-16T11:20:00+00:00,58.2,58.3,58.2,58.29,1219,1729077899999,2024-10-16T11:24:59.999000+00:00,,11,,
CTVA,5m,1729080300000,2024-10-16T12:05:00+00:00,58.4425,58.4425,58.4425,58.4425,1000,1729080599999,2024-10-16T12:09:59.999000+00:00,,1,,
CTVA,5m,1729082100000,2024-10-16T12:35:00+00:00,58.44,58.44,58.44,58.44,290,1729082399999,2024-10-16T12:39:59.999000+00:00,,2,,
CTVA,5m,1729084200000,2024-10-16T13:10:00+00:00,58.45,58.45,58.45,58.45,175,1729084499999,2024-10-16T13:14:59.999000+00:00,,2,,
CTVA,5m,1729084500000,2024-10-16T13:15:00+00:00,58.41,58.41,58.41,58.41,1054,1729084799999,2024-10-16T13:19:59.999000+00:00,,18,,
CTVA,5m,1729085100000,2024-10-16T13:25:00+00:00,58.36,58.38,58.36,58.38,553,1729085399999,2024-10-16T13:29:59.999000+00:00,,7,,
CTVA,5m,1729085400000,2024-10-16T13:30:00+00:00,58.48,58.48,58,58.03,97962,1729085699999,2024-10-16T13:34:59.999000+00:00,,493,,
CTVA,5m,1729085700000,2024-10-16T13:35:00+00:00,58.08,58.29,57.93,58.26,57070,1729085999999,2024-10-16T13:39:59.999000+00:00,,600,,
CTVA,5m,1729086000000,2024-10-16T13:40:00+00:00,58.26,58.58,58.23,58.55,37455,1729086299999,2024-10-16T13:44:59.999000+00:00,,421,,
CTVA,5m,1729086300000,2024-10-16T13:45:00+00:00,58.55,58.57,58.37,58.415,24084,1729086599999,2024-10-16T13:49:59.999000+00:00,,404,,
CTVA,5m,1729086600000,2024-10-16T13:50:00+00:00,58.38,58.48,58.34,58.43,14392,1729086899999,2024-10-16T13:54:59.999000+00:00,,312,,
CTVA,5m,1729086900000,2024-10-16T13:55:00+00:00,58.42,58.6,58.42,58.58,11287,1729087199999,2024-10-16T13:59:59.999000+00:00,,259,,
CTVA,5m,1729087200000,2024-10-16T14:00:00+00:00,58.6,58.67,58.54,58.66,22438,1729087499999,2024-10-16T14:04:59.999000+00:00,,409,,
CTVA,5m,1729087500000,2024-10-16T14:05:00+00:00,58.67,58.8,58.66,58.795,13143,1729087799999,2024-10-16T14:09:59.999000+00:00,,316,,
CTVA,5m,1729087800000,2024-10-16T14:10:00+00:00,58.77,58.82,58.76,58.76,12519,1729088099999,2024-10-16T14:14:59.999000+00:00,,285,,
CTVA,5m,1729088100000,2024-10-16T14:15:00+00:00,58.775,58.95,58.775,58.865,19412,1729088399999,2024-10-16T14:19:59.999000+00:00,,280,,
CTVA,5m,1729088400000,2024-10-16T14:20:00+00:00,58.86,58.93,58.77,58.795,19993,1729088699999,2024-10-16T14:24:59.999000+00:00,,347,,
CTVA,5m,1729088700000,2024-10-16T14:25:00+00:00,58.79,58.83,58.72,58.75,45575,1729088999999,2024-10-16T14:29:59.999000+00:00,,375,,
CTVA,5m,1729089000000,2024-10-16T14:30:00+00:00,58.75,58.77,58.63,58.76,30270,1729089299999,2024-10-16T14:34:59.999000+00:00,,399,,
CTVA,5m,1729089300000,2024-10-16T14:35:00+00:00,58.76,58.81,58.755,58.785,20659,1729089599999,2024-10-16T14:39:59.999000+00:00,,342,,
CTVA,5m,1729089600000,2024-10-16T14:40:00+00:00,58.785,58.79,58.68,58.74,23928,1729089899999,2024-10-16T14:44:59.999000+00:00,,462,,
CTVA,5m,1729089900000,2024-10-16T14:45:00+00:00,58.73,58.77,58.6704,58.725,28895,1729090199999,2024-10-16T14:49:59.999000+00:00,,465,,
CTVA,5m,1729090200000,2024-10-16T14:50:00+00:00,58.725,58.85,58.72,58.805,52792,1729090499999,2024-10-16T14:54:59.999000+00:00,,409,,
CTVA,5m,1729090500000,2024-10-16T14:55:00+00:00,58.8,58.8,58.58,58.64,14051,1729090799999,2024-10-16T14:59:59.999000+00:00,,326,,
