symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
C,5m,1729065600000,2024-10-16T08:00:00+00:00,62.83,62.83,62.83,62.83,205,1729065899999,2024-10-16T08:04:59.999000+00:00,,5,,
C,5m,1729065900000,2024-10-16T08:05:00+00:00,62.85,62.85,62.83,62.83,857,1729066199999,2024-10-16T08:09:59.999000+00:00,,10,,
C,5m,1729067100000,2024-10-16T08:25:00+00:00,62.75,62.77,62.75,62.77,488,1729067399999,2024-10-16T08:29:59.999000+00:00,,4,,
C,5m,1729070100000,2024-10-16T09:15:00+00:00,62.7,62.7,62.7,62.7,389,1729070399999,2024-10-16T09:19:59.999000+00:00,,5,,
C,5m,1729070400000,2024-10-16T09:20:00+00:00,62.72,62.73,62.72,62.73,704,1729070699999,2024-10-16T09:24:59.999000+00:00,,8,,
C,5m,1729070700000,2024-10-16T09:25:00+00:00,62.71,62.71,62.71,62.71,547,1729070999999,2024-10-16T09:29:59.999000+00:00,,8,,
C,5m,1729072800000,2024-10-16T10:00:00+00:00,62.69,62.69,62.69,62.69,170,1729073099999,2024-10-16T10:04:59.999000+00:00,,2,,
C,5m,1729073400000,2024-10-16T10:10:00+00:00,62.74,62.74,62.74,62.74,200,1729073699999,2024-10-16T10:14:59.999000+00:00,,2,,
C,5m,1729074300000,2024-10-16T10:25:00+00:00,62.75,62.75,62.75,62.75,2900,1729074599999,2024-10-16T10:29:59.999000+00:00,,3,,
C,5m,1729075500000,2024-10-16T10:45:00+00:00,62.77,62.77,62.77,62.77,400,1729075799999,2024-10-16T10:49:59.999000+00:00,,3,,
C,5m,1729076700000,2024-10-16T11:05:00+00:00,62.77,62.77,62.74,62.74,232,1729076999999,2024-10-16T11:09:59.999000+00:00,,7,,
C,5m,1729077000000,2024-10-16T11:10:00+00:00,62.77,62.83,62.73,62.73,6275,1729077299999,2024-10-16T11:14:59.999000+00:00,,32,,
C,5m,1729077300000,2024-10-16T11:15:00+00:00,62.73,62.85,62.73,62.85,1148,1729077599999,2024-10-16T11:19:59.999000+00:00,,7,,
C,5m,1729077600000,2024-10-16T11:20:00+00:00,62.8,62.8,62.8,62.8,100,1729077899999,2024-10-16T11:24:59.999000+00:00,,1,,
C,5m,1729078200000,2024-10-16T11:30:00+00:00,62.81,62.81,62.8,62.81,395,1729078499999,2024-10-16T11:34:59.999000+00:00,,3,,
C,5m,1729078500000,2024-10-16T11:35:00+00:00,62.85,62.99,62.85,62.99,1748,1729078799999,2024-10-16T11:39:59.999000+00:00,,21,,
C,5m,1729078800000,2024-10-16T11:40:00+00:00,62.91,62.94,62.91,62.94,751,1729079099999,2024-10-16T11:44:59.999000+00:00,,10,,
C,5m,1729079100000,2024-10-16T11:45:00+00:00,62.94,63,62.94,63,4895,1729079399999,2024-10-16T11:49:59.999000+00:00,,34,,
C,5m,1729079700000,2024-10-16T11:55:00+00:00,63.1,63.1,63.1,63.1,233,1729079999999,2024-10-16T11:59:59.999000+00:00,,3,,
C,5m,1729080000000,2024-10-16T12:00:00+00:00,62.7,63.1425,62.7,63.08,12373,1729080299999,2024-10-16T12:04:59.999000+00:00,,99,,
C,5m,1729080300000,2024-10-16T12:05:00+00:00,63.1,63.1,63.07,63.1,3939,1729080599999,2024-10-16T12:09:59.999000+00:00,,25,,
C,5m,1729080600000,2024-10-16T12:10:00+00:00,63.0905,63.1,63.09,63.1,2842,1729080899999,2024-10-16T12:14:59.999000+00:00,,15,,
C,5m,1729080900000,2024-10-16T12:15:00+00:00,63.0525,63.0525,63.0525,63.0525,155,1729081199999,2024-10-16T12:19:59.999000+00:00,,3,,
