symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DAL,5m,1729069800000,2024-10-16T09:10:00+00:00,52.58,52.67,52.56,52.67,1989,1729070099999,2024-10-16T09:14:59.999000+00:00,,77,,
DAL,5m,1729070100000,2024-10-16T09:15:00+00:00,52.65,52.68,52.58,52.68,3928,1729070399999,2024-10-16T09:19:59.999000+00:00,,80,,
DAL,5m,1729070400000,2024-10-16T09:20:00+00:00,52.58,52.67,52.58,52.67,1611,1729070699999,2024-10-16T09:24:59.999000+00:00,,36,,
DAL,5m,1729071000000,2024-10-16T09:30:00+00:00,52.68,52.82,52.68,52.78,1513,1729071299999,2024-10-16T09:34:59.999000+00:00,,38,,
DAL,5m,1729071300000,2024-10-16T09:35:00+00:00,52.64,52.78,52.64,52.68,3437,1729071599999,2024-10-16T09:39:59.999000+00:00,,59,,
DAL,5m,1729071600000,2024-10-16T09:40:00+00:00,52.69,52.76,52.61,52.61,5012,1729071899999,2024-10-16T09:44:59.999000+00:00,,79,,
DAL,5m,1729071900000,2024-10-16T09:45:00+00:00,52.61,52.7,52.61,52.68,2230,1729072199999,2024-10-16T09:49:59.999000+00:00,,38,,
DAL,5m,1729072200000,2024-10-16T09:50:00+00:00,52.62,52.73,52.6,52.61,4939,1729072499999,2024-10-16T09:54:59.999000+00:00,,84,,
DAL,5m,1729072500000,2024-10-16T09:55:00+00:00,52.58,52.58,52.58,52.58,372,1729072799999,2024-10-16T09:59:59.999000+00:00,,7,,
DAL,5m,1729073400000,2024-10-16T10:10:00+00:00,52.44,52.45,52.44,52.45,1155,1729073699999,2024-10-16T10:14:59.999000+00:00,,23,,
DAL,5m,1729073700000,2024-10-16T10:15:00+00:00,52.55,52.55,52.37,52.41,3629,1729073999999,2024-10-16T10:19:59.999000+00:00,,111,,
DAL,5m,1729074000000,2024-10-16T10:20:00+00:00,52.41,52.52,52.32,52.42,5616,1729074299999,2024-10-16T10:24:59.999000+00:00,,124,,
DAL,5m,1729074300000,2024-10-16T10:25:00+00:00,52.43,52.43,52.36,52.41,1846,1729074599999,2024-10-16T10:29:59.999000+00:00,,46,,
DAL,5m,1729076400000,2024-10-16T11:00:00+00:00,52.64,52.68,52.64,52.68,1052,1729076699999,2024-10-16T11:04:59.999000+00:00,,7,,
DAL,5m,1729076700000,2024-10-16T11:05:00+00:00,52.7,52.7,52.67,52.7,1160,1729076999999,2024-10-16T11:09:59.999000+00:00,,9,,
DAL,5m,1729077300000,2024-10-16T11:15:00+00:00,52.94,52.94,52.9,52.9,250,1729077599999,2024-10-16T11:19:59.999000+00:00,,3,,
DAL,5m,1729077600000,2024-10-16T11:20:00+00:00,52.9,52.9,52.8,52.87,2178,1729077899999,2024-10-16T11:24:59.999000+00:00,,47,,
DAL,5m,1729078500000,2024-10-16T11:35:00+00:00,52.95,52.95,52.95,52.95,380,1729078799999,2024-10-16T11:39:59.999000+00:00,,3,,
DAL,5m,1729079400000,2024-10-16T11:50:00+00:00,53,53,52.97,52.97,785,1729079699999,2024-10-16T11:54:59.999000+00:00,,13,,
DAL,5m,1729080000000,2024-10-16T12:00:00+00:00,53,53,53,53,1782,1729080299999,2024-10-16T12:04:59.999000+00:00,,29,,
DAL,5m,1729080600000,2024-10-16T12:10:00+00:00,52.95,52.95,52.94,52.94,287,1729080899999,2024-10-16T12:14:59.999000+00:00,,6,,
DAL,5m,1729080900000,2024-10-16T12:15:00+00:00,53.0799,53.0799,52.93,52.93,780,1729081199999,2024-10-16T12:19:59.999000+00:00,,4,,
DAL,5m,1729081200000,2024-10-16T12:20:00+00:00,52.94,52.94,52.89,52.9,1210,1729081499999,2024-10-16T12:24:59.999000+00:00,,8,,
DAL,5m,1729082400000,2024-10-16T12:40:00+00:00,52.89,52.91,52.88,52.91,5221,1729082699999,2024-10-16T12:44:59.999000+00:00,,19,,
