symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DASH,5m,1729079400000,2024-10-16T11:50:00+00:00,149.18,149.18,149.18,149.18,138,1729079699999,2024-10-16T11:54:59.999000+00:00,,4,,
DASH,5m,1729082400000,2024-10-16T12:40:00+00:00,149.19,149.19,149.19,149.19,242,1729082699999,2024-10-16T12:44:59.999000+00:00,,5,,
DASH,5m,1729085400000,2024-10-16T13:30:00+00:00,148.51,149.31,148.51,148.735,32944,1729085699999,2024-10-16T13:34:59.999000+00:00,,597,,
DASH,5m,1729085700000,2024-10-16T13:35:00+00:00,148.61,148.61,148.17,148.39,12667,1729085999999,2024-10-16T13:39:59.999000+00:00,,262,,
DASH,5m,1729086000000,2024-10-16T13:40:00+00:00,148.32,148.79,148.2,148.265,20837,1729086299999,2024-10-16T13:44:59.999000+00:00,,397,,
DASH,5m,1729086300000,2024-10-16T13:45:00+00:00,148.211,148.27,148.0875,148.17,13871,1729086599999,2024-10-16T13:49:59.999000+00:00,,261,,
DASH,5m,1729086600000,2024-10-16T13:50:00+00:00,148.19,148.2367,147.65,147.7861,13217,1729086899999,2024-10-16T13:54:59.999000+00:00,,320,,
DASH,5m,1729086900000,2024-10-16T13:55:00+00:00,147.775,147.775,147.36,147.36,23039,1729087199999,2024-10-16T13:59:59.999000+00:00,,410,,
DASH,5m,1729087200000,2024-10-16T14:00:00+00:00,147.445,147.89,147.31,147.89,15604,1729087499999,2024-10-16T14:04:59.999000+00:00,,307,,
DASH,5m,1729087500000,2024-10-16T14:05:00+00:00,147.875,148,147.865,147.96,6321,1729087799999,2024-10-16T14:09:59.999000+00:00,,208,,
DASH,5m,1729087800000,2024-10-16T14:10:00+00:00,147.965,148.05,147.965,147.995,6543,1729088099999,2024-10-16T14:14:59.999000+00:00,,202,,
DASH,5m,1729088100000,2024-10-16T14:15:00+00:00,147.985,148.129,147.77,147.84,19516,1729088399999,2024-10-16T14:19:59.999000+00:00,,319,,
DASH,5m,1729088400000,2024-10-16T14:20:00+00:00,147.75,148.39,147.75,148.31,15396,1729088699999,2024-10-16T14:24:59.999000+00:00,,351,,
DASH,5m,1729088700000,2024-10-16T14:25:00+00:00,148.32,148.4,148.3,148.385,4916,1729088999999,2024-10-16T14:29:59.999000+00:00,,161,,
DASH,5m,1729089000000,2024-10-16T14:30:00+00:00,148.47,148.495,148.2,148.27,10378,1729089299999,2024-10-16T14:34:59.999000+00:00,,296,,
DASH,5m,1729089300000,2024-10-16T14:35:00+00:00,148.3332,148.37,148.19,148.32,16039,1729089599999,2024-10-16T14:39:59.999000+00:00,,319,,
DASH,5m,1729089600000,2024-10-16T14:40:00+00:00,148.24,148.32,148.01,148.03,21474,1729089899999,2024-10-16T14:44:59.999000+00:00,,404,,
DASH,5m,1729089900000,2024-10-16T14:45:00+00:00,148.065,148.4322,148.065,148.4322,11348,1729090199999,2024-10-16T14:49:59.999000+00:00,,282,,
DASH,5m,1729090200000,2024-10-16T14:50:00+00:00,148.395,148.69,148.395,148.425,11285,1729090499999,2024-10-16T14:54:59.999000+00:00,,336,,
DASH,5m,1729090500000,2024-10-16T14:55:00+00:00,148.36,148.36,148.17,148.23,9067,1729090799999,2024-10-16T14:59:59.999000+00:00,,281,,
DASH,5m,1729090800000,2024-10-16T15:00:00+00:00,148.225,148.31,148.09,148.26,17682,1729091099999,2024-10-16T15:04:59.999000+00:00,,414,,
DASH,5m,1729091100000,2024-10-16T15:05:00+00:00,148.25,148.81,148.22,148.8,11716,1729091399999,2024-10-16T15:09:59.999000+00:00,,294,,
DASH,5m,1729091400000,2024-10-16T15:10:00+00:00,148.81,149.09,148.81,148.99,9499,1729091699999,2024-10-16T15:14:59.999000+00:00,,268,,
DASH,5m,1729091700000,2024-10-16T15:15:00+00:00,149.025,149.07,148.72,148.72,6815,1729091999999,2024-10-16T15:19:59.999000+00:00,,245,,
DASH,5m,1729092000000,2024-10-16T15:20:00+00:00,148.82,148.92,148.75,148.855,12294,1729092299999,2024-10-16T15:24:59.999000+00:00,,286,,
DASH,5m,1729092300000,2024-10-16T15:25:00+00:00,148.868,149.0999,148.868,148.95,8074,1729092599999,2024-10-16T15:29:59.999000+00:00,,245,,
DASH,5m,1729092600000,2024-10-16T15:30:00+00:00,148.95,149.015,148.85,149.015,7645,1729092899999,2024-10-16T15:34:59.999000+00:00,,234,,
DASH,5m,1729092900000,2024-10-16T15:35:00+00:00,149.005,149.005,148.83,148.935,6020,1729093199999,2024-10-16T15:39:59.999000+00:00,,230,,
DASH,5m,1729093200000,2024-10-16T15:40:00+00:00,149.01,149.03,148.88,148.935,8641,1729093499999,2024-10-16T15:44:59.999000+00:00,,305,,
DASH,5m,1729093500000,2024-10-16T15:45:00+00:00,148.915,148.915,148.65,148.7,12325,1729093799999,2024-10-16T15:49:59.999000+00:00,,378,,
