symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DAY,5m,1729074000000,2024-10-16T10:20:00+00:00,64.8,64.8,64.8,64.8,201,1729074299999,2024-10-16T10:24:59.999000+00:00,,3,,
DAY,5m,1729085400000,2024-10-16T13:30:00+00:00,64.14,64.14,64.125,64.13,7425,1729085699999,2024-10-16T13:34:59.999000+00:00,,59,,
DAY,5m,1729085700000,2024-10-16T13:35:00+00:00,64.07,64.07,63.86,63.92,2919,1729085999999,2024-10-16T13:39:59.999000+00:00,,56,,
DAY,5m,1729086000000,2024-10-16T13:40:00+00:00,63.84,63.92,63.74,63.92,1484,1729086299999,2024-10-16T13:44:59.999000+00:00,,31,,
DAY,5m,1729086300000,2024-10-16T13:45:00+00:00,63.92,64.11,63.92,63.99,4184,1729086599999,2024-10-16T13:49:59.999000+00:00,,62,,
DAY,5m,1729086600000,2024-10-16T13:50:00+00:00,63.89,64.06,63.89,64.01,10555,1729086899999,2024-10-16T13:54:59.999000+00:00,,149,,
DAY,5m,1729086900000,2024-10-16T13:55:00+00:00,64,64.22,63.96,64.22,3346,1729087199999,2024-10-16T13:59:59.999000+00:00,,108,,
DAY,5m,1729087200000,2024-10-16T14:00:00+00:00,64.265,64.48,64.265,64.48,46308,1729087499999,2024-10-16T14:04:59.999000+00:00,,154,,
DAY,5m,1729087500000,2024-10-16T14:05:00+00:00,64.495,64.53,64.43,64.445,4074,1729087799999,2024-10-16T14:09:59.999000+00:00,,135,,
DAY,5m,1729087800000,2024-10-16T14:10:00+00:00,64.455,64.54,64.14,64.15,21062,1729088099999,2024-10-16T14:14:59.999000+00:00,,196,,
DAY,5m,1729088100000,2024-10-16T14:15:00+00:00,64.185,64.185,63.96,63.96,4116,1729088399999,2024-10-16T14:19:59.999000+00:00,,111,,
DAY,5m,1729088400000,2024-10-16T14:20:00+00:00,63.9,63.94,63.9,63.935,1343,1729088699999,2024-10-16T14:24:59.999000+00:00,,41,,
DAY,5m,1729088700000,2024-10-16T14:25:00+00:00,63.97,64.02,63.9,63.93,7788,1729088999999,2024-10-16T14:29:59.999000+00:00,,179,,
DAY,5m,1729089000000,2024-10-16T14:30:00+00:00,63.92,64,63.9,64,2880,1729089299999,2024-10-16T14:34:59.999000+00:00,,87,,
DAY,5m,1729089300000,2024-10-16T14:35:00+00:00,64.03,64.12,64.01,64.01,3677,1729089599999,2024-10-16T14:39:59.999000+00:00,,118,,
DAY,5m,1729089600000,2024-10-16T14:40:00+00:00,64.06,64.06,63.96,64.05,2875,1729089899999,2024-10-16T14:44:59.999000+00:00,,85,,
DAY,5m,1729089900000,2024-10-16T14:45:00+00:00,64.05,64.1,63.957,63.99,5131,1729090199999,2024-10-16T14:49:59.999000+00:00,,137,,
DAY,5m,1729090200000,2024-10-16T14:50:00+00:00,64.045,64.16,63.95,63.95,51433,1729090499999,2024-10-16T14:54:59.999000+00:00,,174,,
DAY,5m,1729090500000,2024-10-16T14:55:00+00:00,63.94,63.975,63.9,63.96,9240,1729090799999,2024-10-16T14:59:59.999000+00:00,,172,,
DAY,5m,1729090800000,2024-10-16T15:00:00+00:00,63.965,64.02,63.82,63.82,6247,1729091099999,2024-10-16T15:04:59.999000+00:00,,141,,
DAY,5m,1729091100000,2024-10-16T15:05:00+00:00,63.85,63.95,63.82,63.95,5070,1729091399999,2024-10-16T15:09:59.999000+00:00,,127,,
DAY,5m,1729091400000,2024-10-16T15:10:00+00:00,63.865,64.03,63.865,64.02,3002,1729091699999,2024-10-16T15:14:59.999000+00:00,,77,,
DAY,5m,1729091700000,2024-10-16T15:15:00+00:00,64.04,64.06,64.04,64.045,1077,1729091999999,2024-10-16T15:19:59.999000+00:00,,33,,
DAY,5m,1729092000000,2024-10-16T15:20:00+00:00,64.04,64.055,63.99,64.04,3747,1729092299999,2024-10-16T15:24:59.999000+00:00,,116,,
DAY,5m,1729092300000,2024-10-16T15:25:00+00:00,64.06,64.08,63.995,64.045,3508,1729092599999,2024-10-16T15:29:59.999000+00:00,,133,,
DAY,5m,1729092600000,2024-10-16T15:30:00+00:00,64.06,64.1,64.04,64.04,2670,1729092899999,2024-10-16T15:34:59.999000+00:00,,132,,
DAY,5m,1729092900000,2024-10-16T15:35:00+00:00,64.05,64.16,64.05,64.14,2239,1729093199999,2024-10-16T15:39:59.999000+00:00,,78,,
DAY,5m,1729093200000,2024-10-16T15:40:00+00:00,64.145,64.145,64.07,64.07,3517,1729093499999,2024-10-16T15:44:59.999000+00:00,,103,,
DAY,5m,1729093500000,2024-10-16T15:45:00+00:00,64.06,64.1,64.045,64.09,3372,1729093799999,2024-10-16T15:49:59.999000+00:00,,112,,
DAY,5m,1729093800000,2024-10-16T15:50:00+00:00,64.09,64.11,63.985,64.015,3400,1729094099999,2024-10-16T15:54:59.999000+00:00,,117,,
DAY,5m,1729094100000,2024-10-16T15:55:00+00:00,64.005,64.06,64.005,64.045,2838,1729094399999,2024-10-16T15:59:59.999000+00:00,,119,,
DAY,5m,1729094400000,2024-10-16T16:00:00+00:00,64.02,64.045,64.016,64.035,1779,1729094699999,2024-10-16T16:04:59.999000+00:00,,57,,
DAY,5m,1729094700000,2024-10-16T16:05:00+00:00,64,64.05,64,64.01,2226,1729094999999,2024-10-16T16:09:59.999000+00:00,,89,,
DAY,5m,1729095000000,2024-10-16T16:10:00+00:00,63.98,63.98,63.87,63.87,1691,1729095299999,2024-10-16T16:14:59.999000+00:00,,100,,
DAY,5m,1729095300000,2024-10-16T16:15:00+00:00,63.87,63.99,63.87,63.955,6472,1729095599999,2024-10-16T16:19:59.999000+00:00,,132,,
DAY,5m,1729095600000,2024-10-16T16:20:00+00:00,63.97,63.98,63.91,63.975,8347,1729095899999,2024-10-16T16:24:59.999000+00:00,,127,,
DAY,5m,1729095900000,2024-10-16T16:25:00+00:00,64,64,63.95,63.95,4113,1729096199999,2024-10-16T16:29:59.999000+00:00,,135,,
DAY,5m,1729096200000,2024-10-16T16:30:00+00:00,63.92,63.945,63.91,63.91,2104,1729096499999,2024-10-16T16:34:59.999000+00:00,,82,,
DAY,5m,1729096500000,2024-10-16T16:35:00+00:00,63.955,63.97,63.91,63.955,3424,1729096799999,2024-10-16T16:39:59.999000+00:00,,110,,
DAY,5m,1729096800000,2024-10-16T16:40:00+00:00,63.945,63.95,63.94,63.94,1673,1729097099999,2024-10-16T16:44:59.999000+00:00,,97,,
DAY,5m,1729097100000,2024-10-16T16:45:00+00:00,63.935,63.94,63.91,63.91,2362,1729097399999,2024-10-16T16:49:59.999000+00:00,,108,,
DAY,5m,1729097400000,2024-10-16T16:50:00+00:00,63.92,63.945,63.88,63.88,8024,1729097699999,2024-10-16T16:54:59.999000+00:00,,211,,
DAY,5m,1729097700000,2024-10-16T16:55:00+00:00,63.91,64.01,63.9,63.97,2710,1729097999999,2024-10-16T16:59:59.999000+00:00,,121,,
DAY,5m,1729098000000,2024-10-16T17:00:00+00:00,63.99,63.99,63.92,63.925,3365,1729098299999,2024-10-16T17:04:59.999000+00:00,,104,,
