symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DD,5m,1729076400000,2024-10-16T11:00:00+00:00,84.7,84.7,84.7,84.7,121,1729076699999,2024-10-16T11:04:59.999000+00:00,,2,,
DD,5m,1729083000000,2024-10-16T12:50:00+00:00,84.73,84.73,84.73,84.73,265,1729083299999,2024-10-16T12:54:59.999000+00:00,,1,,
DD,5m,1729085400000,2024-10-16T13:30:00+00:00,84.94,85.1297,84.61,84.76,22435,1729085699999,2024-10-16T13:34:59.999000+00:00,,192,,
DD,5m,1729085700000,2024-10-16T13:35:00+00:00,84.905,85.08,84.76,85.01,10832,1729085999999,2024-10-16T13:39:59.999000+00:00,,264,,
DD,5m,1729086000000,2024-10-16T13:40:00+00:00,85.025,85.16,84.94,85.125,6276,1729086299999,2024-10-16T13:44:59.999000+00:00,,218,,
DD,5m,1729086300000,2024-10-16T13:45:00+00:00,85.16,85.27,85.07,85.11,9189,1729086599999,2024-10-16T13:49:59.999000+00:00,,286,,
DD,5m,1729086600000,2024-10-16T13:50:00+00:00,85.0461,85.0964,84.995,85.025,5941,1729086899999,2024-10-16T13:54:59.999000+00:00,,174,,
DD,5m,1729086900000,2024-10-16T13:55:00+00:00,84.985,85.275,84.98,85.27,7040,1729087199999,2024-10-16T13:59:59.999000+00:00,,212,,
DD,5m,1729087200000,2024-10-16T14:00:00+00:00,85.31,85.545,85.28,85.545,7617,1729087499999,2024-10-16T14:04:59.999000+00:00,,234,,
DD,5m,1729087500000,2024-10-16T14:05:00+00:00,85.521,85.5736,85.46,85.55,6959,1729087799999,2024-10-16T14:09:59.999000+00:00,,209,,
DD,5m,1729087800000,2024-10-16T14:10:00+00:00,85.54,85.625,85.425,85.45,10274,1729088099999,2024-10-16T14:14:59.999000+00:00,,221,,
DD,5m,1729088100000,2024-10-16T14:15:00+00:00,85.465,85.67,85.46,85.59,7823,1729088399999,2024-10-16T14:19:59.999000+00:00,,201,,
DD,5m,1729088400000,2024-10-16T14:20:00+00:00,85.56,85.56,85.5,85.51,4902,1729088699999,2024-10-16T14:24:59.999000+00:00,,162,,
DD,5m,1729088700000,2024-10-16T14:25:00+00:00,85.505,85.595,85.48,85.52,8390,1729088999999,2024-10-16T14:29:59.999000+00:00,,255,,
DD,5m,1729089000000,2024-10-16T14:30:00+00:00,85.51,85.635,85.49,85.625,12520,1729089299999,2024-10-16T14:34:59.999000+00:00,,309,,
DD,5m,1729089300000,2024-10-16T14:35:00+00:00,85.65,85.76,85.47,85.47,11906,1729089599999,2024-10-16T14:39:59.999000+00:00,,269,,
DD,5m,1729089600000,2024-10-16T14:40:00+00:00,85.47,85.47,85.24,85.29,8395,1729089899999,2024-10-16T14:44:59.999000+00:00,,194,,
DD,5m,1729089900000,2024-10-16T14:45:00+00:00,85.26,85.26,85.17,85.17,4344,1729090199999,2024-10-16T14:49:59.999000+00:00,,148,,
DD,5m,1729090200000,2024-10-16T14:50:00+00:00,85.2,85.2612,85.2,85.2612,3531,1729090499999,2024-10-16T14:54:59.999000+00:00,,116,,
DD,5m,1729090500000,2024-10-16T14:55:00+00:00,85.24,85.37,85.215,85.37,6902,1729090799999,2024-10-16T14:59:59.999000+00:00,,199,,
DD,5m,1729090800000,2024-10-16T15:00:00+00:00,85.36,85.36,85.25,85.25,5564,1729091099999,2024-10-16T15:04:59.999000+00:00,,230,,
DD,5m,1729091100000,2024-10-16T15:05:00+00:00,85.2345,85.27,85.15,85.19,5209,1729091399999,2024-10-16T15:09:59.999000+00:00,,166,,
DD,5m,1729091400000,2024-10-16T15:10:00+00:00,85.1603,85.35,85.1603,85.3,16029,1729091699999,2024-10-16T15:14:59.999000+00:00,,227,,
DD,5m,1729091700000,2024-10-16T15:15:00+00:00,85.295,85.41,85.295,85.39,12659,1729091999999,2024-10-16T15:19:59.999000+00:00,,136,,
DD,5m,1729092000000,2024-10-16T15:20:00+00:00,85.38,85.44,85.32,85.44,6379,1729092299999,2024-10-16T15:24:59.999000+00:00,,196,,
DD,5m,1729092300000,2024-10-16T15:25:00+00:00,85.44,85.44,85.375,85.39,8451,1729092599999,2024-10-16T15:29:59.999000+00:00,,234,,
DD,5m,1729092600000,2024-10-16T15:30:00+00:00,85.38,85.43,85.365,85.42,6878,1729092899999,2024-10-16T15:34:59.999000+00:00,,244,,
DD,5m,1729092900000,2024-10-16T15:35:00+00:00,85.43,85.55,85.43,85.55,8551,1729093199999,2024-10-16T15:39:59.999000+00:00,,218,,
DD,5m,1729093200000,2024-10-16T15:40:00+00:00,85.54,85.57,85.5,85.5,6590,1729093499999,2024-10-16T15:44:59.999000+00:00,,196,,
DD,5m,1729093500000,2024-10-16T15:45:00+00:00,85.49,85.5,85.37,85.39,6254,1729093799999,2024-10-16T15:49:59.999000+00:00,,155,,
DD,5m,1729093800000,2024-10-16T15:50:00+00:00,85.4399,85.4399,85.34,85.355,3744,1729094099999,2024-10-16T15:54:59.999000+00:00,,140,,
DD,5m,1729094100000,2024-10-16T15:55:00+00:00,85.35,85.38,85.32,85.34,5536,1729094399999,2024-10-16T15:59:59.999000+00:00,,153,,
DD,5m,1729094400000,2024-10-16T16:00:00+00:00,85.335,85.335,85.23,85.24,8029,1729094699999,2024-10-16T16:04:59.999000+00:00,,205,,
DD,5m,1729094700000,2024-10-16T16:05:00+00:00,85.23,85.25,85.1904,85.1904,4274,1729094999999,2024-10-16T16:09:59.999000+00:00,,165,,
DD,5m,1729095000000,2024-10-16T16:10:00+00:00,85.2147,85.2147,85.14,85.16,8247,1729095299999,2024-10-16T16:14:59.999000+00:00,,175,,
DD,5m,1729095300000,2024-10-16T16:15:00+00:00,85.14,85.18,85.1,85.18,8729,1729095599999,2024-10-16T16:19:59.999000+00:00,,197,,
DD,5m,1729095600000,2024-10-16T16:20:00+00:00,85.18,85.18,85.125,85.14,4168,1729095899999,2024-10-16T16:24:59.999000+00:00,,105,,
DD,5m,1729095900000,2024-10-16T16:25:00+00:00,85.14,85.15,85.1077,85.11,4936,1729096199999,2024-10-16T16:29:59.999000+00:00,,141,,
DD,5m,1729096200000,2024-10-16T16:30:00+00:00,85.1,85.18,85.08,85.09,10171,1729096499999,2024-10-16T16:34:59.999000+00:00,,265,,
DD,5m,1729096500000,2024-10-16T16:35:00+00:00,85.12,85.17,85.12,85.155,5305,1729096799999,2024-10-16T16:39:59.999000+00:00,,125,,
DD,5m,1729096800000,2024-10-16T16:40:00+00:00,85.15,85.1512,85.11,85.145,3973,1729097099999,2024-10-16T16:44:59.999000+00:00,,131,,
DD,5m,1729097100000,2024-10-16T16:45:00+00:00,85.17,85.1825,85.13,85.13,2531,1729097399999,2024-10-16T16:49:59.999000+00:00,,75,,
DD,5m,1729097400000,2024-10-16T16:50:00+00:00,85.145,85.265,85.14,85.265,5362,1729097699999,2024-10-16T16:54:59.999000+00:00,,148,,
DD,5m,1729097700000,2024-10-16T16:55:00+00:00,85.28,85.31,85.23,85.3,7460,1729097999999,2024-10-16T16:59:59.999000+00:00,,234,,
DD,5m,1729098000000,2024-10-16T17:00:00+00:00,85.33,85.36,85.32,85.36,2851,1729098299999,2024-10-16T17:04:59.999000+00:00,,92,,
DD,5m,1729098300000,2024-10-16T17:05:00+00:00,85.34,85.35,85.31,85.325,3793,1729098599999,2024-10-16T17:09:59.999000+00:00,,132,,
DD,5m,1729098600000,2024-10-16T17:10:00+00:00,85.31,85.365,85.31,85.34,4419,1729098899999,2024-10-16T17:14:59.999000+00:00,,149,,
DD,5m,1729098900000,2024-10-16T17:15:00+00:00,85.34,85.34,85.32,85.325,1877,1729099199999,2024-10-16T17:19:59.999000+00:00,,61,,
DD,5m,1729099200000,2024-10-16T17:20:00+00:00,85.32,85.35,85.3105,85.35,3665,1729099499999,2024-10-16T17:24:59.999000+00:00,,129,,
DD,5m,1729099500000,2024-10-16T17:25:00+00:00,85.35,85.402,85.35,85.36,4911,1729099799999,2024-10-16T17:29:59.999000+00:00,,159,,
DD,5m,1729099800000,2024-10-16T17:30:00+00:00,85.35,85.355,85.33,85.35,3411,1729100099999,2024-10-16T17:34:59.999000+00:00,,123,,
DD,5m,1729100100000,2024-10-16T17:35:00+00:00,85.34,85.47,85.325,85.47,7330,1729100399999,2024-10-16T17:39:59.999000+00:00,,175,,
