symbol,interval,open_time_ms,open_time_iso,open,high,low,close,volume,close_time_ms,close_time_iso,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
DECK,5m,1729079400000,2024-10-16T11:50:00+00:00,163,163,163,163,250,1729079699999,2024-10-16T11:54:59.999000+00:00,,3,,
DECK,5m,1729082700000,2024-10-16T12:45:00+00:00,163.5,163.5,163.5,163.5,500,1729082999999,2024-10-16T12:49:59.999000+00:00,,1,,
DECK,5m,1729085100000,2024-10-16T13:25:00+00:00,165,165,164.98,165,1587,1729085399999,2024-10-16T13:29:59.999000+00:00,,37,,
DECK,5m,1729085400000,2024-10-16T13:30:00+00:00,164.21,164.3,162.3,163.59,29936,1729085699999,2024-10-16T13:34:59.999000+00:00,,306,,
DECK,5m,1729085700000,2024-10-16T13:35:00+00:00,163.6,164.5,163.37,164.425,13444,1729085999999,2024-10-16T13:39:59.999000+00:00,,287,,
DECK,5m,1729086000000,2024-10-16T13:40:00+00:00,164.48,164.69,163.98,163.99,7893,1729086299999,2024-10-16T13:44:59.999000+00:00,,255,,
DECK,5m,1729086300000,2024-10-16T13:45:00+00:00,164.015,164.015,163.385,163.625,13291,1729086599999,2024-10-16T13:49:59.999000+00:00,,346,,
DECK,5m,1729086600000,2024-10-16T13:50:00+00:00,163.77,163.77,162.66,162.7162,4495,1729086899999,2024-10-16T13:54:59.999000+00:00,,203,,
DECK,5m,1729086900000,2024-10-16T13:55:00+00:00,162.92,163.53,162.92,163.3501,7953,1729087199999,2024-10-16T13:59:59.999000+00:00,,315,,
DECK,5m,1729087200000,2024-10-16T14:00:00+00:00,163.35,163.76,163.33,163.575,4849,1729087499999,2024-10-16T14:04:59.999000+00:00,,250,,
DECK,5m,1729087500000,2024-10-16T14:05:00+00:00,163.575,163.78,162.98,163.045,7886,1729087799999,2024-10-16T14:09:59.999000+00:00,,316,,
DECK,5m,1729087800000,2024-10-16T14:10:00+00:00,163.075,163.29,162.515,162.78,32831,1729088099999,2024-10-16T14:14:59.999000+00:00,,587,,
DECK,5m,1729088100000,2024-10-16T14:15:00+00:00,162.74,162.915,162,162.2,25148,1729088399999,2024-10-16T14:19:59.999000+00:00,,455,,
DECK,5m,1729088400000,2024-10-16T14:20:00+00:00,162.03,162.11,161.19,161.45,30879,1729088699999,2024-10-16T14:24:59.999000+00:00,,544,,
DECK,5m,1729088700000,2024-10-16T14:25:00+00:00,161.25,161.69,161.15,161.63,28798,1729088999999,2024-10-16T14:29:59.999000+00:00,,502,,
DECK,5m,1729089000000,2024-10-16T14:30:00+00:00,161.61,162.2,161.58,162.2,22553,1729089299999,2024-10-16T14:34:59.999000+00:00,,476,,
DECK,5m,1729089300000,2024-10-16T14:35:00+00:00,162.24,162.5199,161.655,161.75,9603,1729089599999,2024-10-16T14:39:59.999000+00:00,,265,,
